ParlaMint-FR_2021-04-06-O1230.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-04-06-O1230.u2	Mr Gérard Menuel has the floor to put his question, No. 1382, on new genomic publishing techniques.
ParlaMint-FR_2021-04-06-O1230.u3	Farmers are wondering about their short-term future. For many of them, the challenge is already to finish the year: in my Aube department, 30% of them are now in the red. They are also concerned about the turn of the debate on the reform of the common agricultural policy, the CAP. Our society forgets a little quickly that their primary mission is to feed the world, and we see together that in France, our farmers play a role in a food chain that is of great value, whether in terms of quality, security, safety, diversity or quantity. However, they need to be accompanied in the environmental transition, in the protection of biodiversity and in the fight against global warming. In the face of these challenges, research and innovation must find their place. In order to limit the use of phytopharmaceuticals, varietal research is essential. To combat all attackers, NBTs – New Breaking Techniques, or new genomic publishing techniques – will be a real asset guaranteeing the sustainability of our agriculture, especially since they do not introduce exogenous genetic material. Mutagenesis or cell fusion cannot be put on the same plane as transgenic plants, which requires a necessary evolution. I quote from the Minister for Agriculture and Food: "The European legal framework is no longer compatible with the scientific framework". It's an important subject. There are those who talk a lot about agriculture – and most often dogmatically – and those who do and know it well. I know you do. We need to give our farmers a breath and perspective, and the NBT issue is essential for that. According to what timetable and in what forms does France intend to take initiatives to change the European legal framework for NBTs?
ParlaMint-FR_2021-04-06-O1230.u4	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-04-06-O1230.u5	You are referring to an essential question, that of the place of science in our agriculture. You have often heard me say it, I believe a lot in the policy of reason: reason has too often been forgotten in the agricultural debate. It is essential to give it a new place, especially in the period we are living in where information circulates very quickly and can sometimes be gallvauded. The debate on these new technologies for varietal research calls for a great deal of reason. I believe in these new technologies, but many cartoons were made when I spoke on this subject. NBT, these new technologies, are not GMOs – genetically modified organisms. Moreover, it is a technology – which aims to accelerate varietal selection – and not an organism. 10000 years ago, when man sedentated, he practised solitude culture, starting to make varietal selection. Then, in the 19th century, it modernized this practice and, year after year, decade after decade, it improved the tools of varietal selection. NBTs are a tool for varietal selection: they accelerate the appearance of the plant in question at a place on the planet, without having the ability to identify it, even though it has beneficial properties such as reducing water stress or dependence on certain necessary inputs. First of all, we need to explain in a calm and reasoned way what these new technologies are and that these two plants, one coming out of this technology and the other not, cannot be differentiated in terms of the species, precisely because they are not GMOs and no gene is introduced that would not be a gene of the species. Secondly, we must demonstrate the advantages of these new technologies, in particular – this is a very important objective for me – in the fight against water stress. Thirdly, the legal framework is no longer compatible with the scientific agronomic framework, since the NBTs come under the only European regulation adopted today, namely the regulation on GMOs. As of the end of the month, the European Commission will therefore publish, at the request of the Member States, recommendations and an evaluation on this subject. It will then begin, after consultation with and in association with the Member States, the review cycle of the legal framework. You see, the deadlines are close and you can count on my commitment.
ParlaMint-FR_2021-04-06-O1230.u6	Mr Gérard Menuel has the floor.
ParlaMint-FR_2021-04-06-O1230.u7	Thank you for the accuracy of your answer, Minister. I agree with you that NBTs are not GMOs. We must continue to explain this to public opinion and to a number of non-governmental organisations that have not understood what NBT can do for agriculture and the environment. This technology, which you recalled, is essential for the future to combat water stress and to limit the use of phytopharmaceuticals. I note that the Government intends to be offensive on this issue.
ParlaMint-FR_2021-04-06-O1230.u8	Mr Benoit Simian has the floor to put his question, No 1386, on the exemption from territorial economic contribution for wine-growers.
ParlaMint-FR_2021-04-06-O1230.u9	First of all, I would like to have a thought for our médoc silviculturers, struck this weekend by a fire that devastated nearly 300 hectares. I know I can count on your ministry's support. Today I would like to draw your attention to the issue of viticulture, specifically that of the tax incentive to accompany our wine growers towards the ecological transition. As part of the discussion of the finance bill – PLF – last year, I proposed a tax incentive measure to encourage agroecology to maintain the exemption from territorial economic contribution – CET – the former business tax, for wine growers engaged in a process of exiting chemistry. I was told that this type of exemption was not appropriate and that there could be a risk of unconstitutionality in the light of the principle of equality before taxation. I am pleased to note that the Government encourages, through an optional exemption from territorial economic contribution, through article 42 of the PLF for 2021, the establishment or extension of enterprises in local and regional authorities. This article was not unconstitutional. I therefore assume that the partial or exceptional tax exemption that I proposed, a kind of tax differentiation accompanied by an ecological bonus, is quite possible. I regret that this type of exemption is not also a step towards sustainable development projects: many wine growers in France want to get out of chemistry, but the costs prevent them. Major groups – I know what I'm talking about in Médoc – have more facilities, since their own funds allow them to move towards a faster exit from chemistry and they benefit from massive support under the CAP. On the other hand, small-scale wine production does not have these facilities and faces financial difficulties in making this ecological transition. Applying this tax exemption would reduce the production costs of small-scale wine-growing enterprises, TPE-SME, and thus create margins for investing in reasoned agriculture. I do not deliberately talk about bio, because I prefer a good reasoned product to an organic product – bio can involve the presence of more copper and does not necessarily rhyme with responsible ecology. The municipalities would then gain in air quality and water quality. The debate is passionate in our territories, especially in urban areas where there are farmers, which would thus be less exposed to toxic applications. I would therefore like to know the position of the Government regarding the introduction of an exemption from territorial economic contribution for wine growers engaged in a process of exiting chemistry. We still have one last finance bill before the end of the legislature to plan for it.
ParlaMint-FR_2021-04-06-O1230.u10	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-04-06-O1230.u11	First of all, I would like to associate myself with what you said about the events that took place this weekend, but also with the fall in temperatures that took place last night. This new climate event, experienced by many of our wine growers, arborists and cereal growers, reminds us of the extent to which climate changes have a significant impact on our agriculture. The arrival of such cold winds after the first shoots of flowers is obviously very bad for the crops, whatever the plants concerned. From a political point of view, you are wondering how tax support can be provided to those involved in this agro-ecological transition. I thank you for addressing this political issue, which highlights several elements. First, the agroecological transition is not sufficiently value-creating in relation to the prices paid by the consumer. This leads you to propose, as a parliamentarian, to support the sector by creating tax exemption schemes to create the necessary value at the cost of transitions. We are at the heart of the matter. You've always heard me say, agroecological transitions will be all the faster as they will create value for the benefit of our farmers, our wine growers, our farmers, our tree growers. It is essential: we must never lose sight of it. Since measures are being taken to create value on the market but these have not yet produced effects at the time when the farmer's profit and loss account is being drawn up, we must, in the meantime, use tax mechanisms. You are proposing an exemption from the TEC. I did the same reasoning as you did in the last PLF: I did not propose the exemption from the CET, but the creation of a high-value environmental tax credit – HVE – which this House voted for and which responds to a request made for many years, especially by wine growers. This tax credit came into effect on January 1, 2021. We will be paying attention to its implementation and will take stock at the end of this year, when preparing the new PLF.
