ParlaMint-FR_2021-03-02-O1183.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-03-02-O1183.u2	Mr Paul Molac, speaking on behalf of the Group of the European People's Party, raised his question, No. 1321, concerning the situation of users and employment officers.
ParlaMint-FR_2021-03-02-O1183.u3	In an economic context degraded by the health crisis, the situation of those seeking employment is worrying, as is the growing concern of Pôle Emploi agents about their working conditions and safety – an increased concern about the murder of one of them, in Valencia, which aroused a strong emotion. Despite the partial unemployment scheme, the pandemic has led to an increase in the number of jobseekers, which is likely to increase further in the year 2021, creating a climate of tension; Because, logically, every agent has to manage more and more files. Some fear an increase in irrational behaviour and violence. Today, the portfolio of a Pôle Emploi advisor contains, on average, files from 300 to 600 unemployed: the expected increase in their number will lead to an overload of work; Therefore, officers will not necessarily be able to carry out their duties. Trade unions have been reporting for years the lack of human resources and the deterioration of the quality of service – the priority given to digital technology, the systematic use of online services, have dehumanised it and deprived many unemployed people of an adequate response. The resulting digitisation and optimization of the workforce reach their limits. With automated allowance calculations, measures of return to coercive employment, deteriorating conditions of accompaniment, the anger and frustration of many users create deep tensions, which can lead to verbal or physical assaults, and even irreparable assaults. At a time when it would be necessary to strengthen the accompanying arrangements, significant budget cuts continue to be made: for example, a sharp reduction in the UNEDIC grant was announced for 2022. This disengagement by the State is also reflected in the precariousness of public employment workers: the increase in short contracts, part-time jobs and the use of civic service volunteers. In this unfortunately unfavourable economic situation, I would therefore like to know what measures the Government intends to take to strengthen the tasks of the public employment service, whether for the benefit of agents or users.
ParlaMint-FR_2021-03-02-O1183.u4	The next speaker is the Minister for Integration.
ParlaMint-FR_2021-03-02-O1183.u5	Pôle Emploi's counsellors accompany people who are in a difficult situation: the loss of their jobs, sometimes accompanied by major social difficulties. Recent events have painfully shown us that this tension can degenerate. Before the Valencia tragedy, Pôle Emploi already had an advanced security policy: training counsellors in difficult situations, silent alarms, partnerships with law enforcement. Security diagnoses will now be speeded up, with a view to defining a new policy for the protection of agencies; follow-up of reports of aggression will be strengthened. At the same time, Pôle Emploi received additional staff in the fall to cope with the increase in the number of jobseekers: 2,150 counsellors were recruited, trained through tutoring, and are now operational. More recently, the Interministerial Committee on Cities decided to strengthen the staffing of sixty-six agencies located in priority neighbourhoods. I do not share your finding of a deterioration in the service rendered by Pôle emploi. The satisfaction rate of jobseekers, like that of enterprises, has been steadily increasing for several years and now exceeds 75%. So I would like to take this opportunity to thank all officers for their daily engagement. Finally, we have measured the impact of the economic crisis on the resources of UNEDIC and therefore on those of Pôle Emploi. The Minister of Labour, Elizabeth Borne, will pay particular attention to finding a solution to maintain the level of this resource or to compensate for its decline.
ParlaMint-FR_2021-03-02-O1183.u6	Mr Andre Chassaigne has the floor to put his question, No 1303, on the common agricultural policy and sustainable production.
ParlaMint-FR_2021-03-02-O1183.u7	Mr Minister for Agriculture, I echo the call signed so far by fifty-one parliamentarians, elected from the Central Massif or from other French mountain regions, "for a just common agricultural policy, serving sustainable production and mountain areas". All political sensitivities combined, we warn: there is an urgent need to ensure the survival of agricultural holdings, many of which are suspended, for lack of sufficient remuneration for their production and for health and climate hazards which not only repeat themselves, but go further. In sectors such as cattle and sheep farming, dairy or breastfeeding, more than 2000 farms are already disappearing each year. But this herbager farm does not just provide meat and dairy products of excellence: it stores carbon, contributes to biodiversity, makes our territories attractive by shaping our landscapes by its pastures; it creates local jobs in the agri-food processing sector; it ensures a certain quality of life and the maintenance of essential public services on a daily basis. However, considering the national and European trade-offs that are emerging for the future common agricultural policy – CAP – there is a great risk that our mountain herding, even though it has been able to preserve a model of high environmental value, will be sacrificed to the financing of the transition from the least virtuous systems to more sustainable production. My question therefore concerns three requirements on which the survival of thousands of holdings depends: that at least the combined aid of the first pillar of the CAP, which on average accounts for 80% of the income of beef breeders, should be maintained at their present level; that the additional costs associated with natural handicaps continue to be offset by a strong ICHN – compensation for natural handicaps; Finally, that the CAP should pay for all the environmental services provided by our family farms. What about these three requirements, Mr Minister for Agriculture and Food, in the ongoing negotiations?
ParlaMint-FR_2021-03-02-O1183.u8	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-03-02-O1183.u9	While the international trade fair for agriculture should have started today, let me first of all have a word for this agricultural world, which you know so well, Mr Chassaigne: I do not ignore your commitment to it, nor that of the House as a whole. Since the beginning of the crisis, no product has ever been missed on the stalls of our stores; It's obvious, but it doesn't hurt to say it again: both farmers and breeders have been very strongly mobilized. Your question gives me the opportunity to pay tribute to them once again. You are addressing the subject of French breeding, more precisely in a territory that is yours and where I had the pleasure of going, with you, a few months ago. Above all, livestock farming is part of our sovereignty; I would also like to state that there are many debates on this point at the moment. It is a local, quality farm: these characteristics are among those we want to develop. Furthermore, as you said, there are several aspects to this subject. With regard to remuneration and prices, I will not go into detail; But as I speak to you, the priority, beyond the CAP, lies in the trade negotiations that you know so well. Climate hazards, on the other hand, affect not only crops but also livestock farming very strongly: feed yields are declining year by year, leading to a much earlier-than-expected start in livestock feed stocks. As part of the recovery plan, large sums are therefore foreseen to combat these effects of climate change. Finally, you are referring to the question of the CAP: it must promote our sovereignty and the quality of our production – including livestock farming. It must recognise the specificities of the territories as well as the contribution of their productions: for example, carbon capture in the soil, as you said very well, is not taken into account. The question you are asking concerns coupled aids, the ICHN, the remuneration of externalities. We're working on it. Consultations have been launched with all professionals and organizations with the aim of reaching a successful outcome by the spring. The difficulty I have in answering you precisely on each of these points comes from the fact that touching one of the cursors in question in fact immediately moves others; There are many tools within the CAP that need to be taken into account. However, be assured, Mr. Chassaigne, that all this will be done in connection with you. I will receive on 16 March the fifty-one signatories of your appeal to discuss it further. In addition, my angle of view will always be the same: sovereignty, quality, specificity of our territories.
ParlaMint-FR_2021-03-02-O1183.u10	Mr Olivier Gaillard has the floor to put his question, No. 1325, on the damage caused by drought in the Gard.
ParlaMint-FR_2021-03-02-O1183.u11	In our territories, Minister for Agriculture and Food, difficult times have led many of our fellow citizens to favour French products, local products. However, the Gard, France's second largest department of organic agricultural producers, has many of these small farmers who are more concerned with quality than quantity, and who face considerable challenges on a daily basis in order to survive while supermarkets share in imports from countries where environmental and social standards weigh much less. To produce and consume locally, agriculture still needs to be sustainable and sustainable: I mean local agriculture that would not be crushed by regulations and procedures, but also a more protected agriculture, secure in its access to water. In the north and west of the Gard department, where water can cause as much damage by its overabundance in winter as by its scarcity in summer, agriculture is weakened or condemned in the long term. Already called upon by all kinds of cases, farmers facing such natural disasters are confronted with the complex and binding procedures of state-subsidised crop insurance. This, moreover, leads many of them to give up their assurance. I have identified several dozen farmers from the first cevenol foothills seeking to have basins, small reservoirs, at the scale of a holding or a group of holdings, in order to manage their water efficiently. The Gard department has shown voluntarism in developing a raw water management scheme that promotes locally adapted, cost-effective solutions. The State and the communities therefore have the same objective: that useful and sustainable equipment give access to raw water, in order to avoid withdrawals, in times of drought, where this resource is scarce. The Government encourages the use of land-based projects for water management, the GWPs, which focus on coordinated, shared and balanced management of the resource. This leads me to ask you about the articulation of this PTGE with the "raw water" plan adopted by the Gard department. Almost two years ago, the prefects received instructions to revitalize the PTGEs and remobilize their actors. Farmers have made their needs known. Yet the territory I'm talking about has not seen any new projects emerge; those whose realization is continuing, already old, are far from answering the magnitude of the problem. In view of this inertia, what follow-up has been given to these instructions? What about monitoring, evaluation? The action of the State services in the department has meaning and interest only if it leads to an easier, coordinated, efficient implementation of the infrastructure projects that will enable the agricultural world to meet the challenges of today, but also of tomorrow. Even before the age of covid-19, these challenges were already major, structural; They are always, and more than ever. There is an urgent need to respond to these issues, failing which the number of unrecovered plots and farms will explode. Producing and consuming locally is more environmentally friendly. For this, farmers will certainly be free from excessive regulations and administrative burdens, but not from water.
ParlaMint-FR_2021-03-02-O1183.u12	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-03-02-O1183.u13	I have already had the opportunity to say this: the question of water is the mother of battles. A waterless agriculture is not conceivable. Today, however, the country faces this problem: what Mr Chassaigne said about livestock farming also applies to crops in many territories, including the Gard. Action is needed in three areas. Prevention first of all: how can we guard against the effects of increasing water stress? So far, occasional droughts have been mentioned, but they are no longer, and they are now repeated after summer. Prevention can involve equipment, innovation or research. As part of the recovery plan, we have dedicated EUR 100 million to the exclusive financing of climate change prevention equipment such as water stress – in concrete terms, small irrigation systems, individual and other restraints. The assurance issue, then, which, if it is to be addressed, remains incredibly complex. There are two systems: on the one hand, the one that can be described as climate crop insurance – climate risk insurance, in its real name – which is supported by the common agricultural policy, the CAP; on the other hand, the agricultural calamity scheme which is the subject of a State subsidy. The challenge is to scale up these systems to ensure that farmers can be accompanied in the event of disasters. This is in line with the example I mentioned earlier of the fall in feed production for farms and the need to buy fodder elsewhere. For farmers, this is a double penalty: fewer yields and more disbursements. Work is under way on this subject, in particular whether to deploy a national system, strengthen the system at European level or broaden the base. Finally, the third topic to be addressed: water reserves. My position is very clear: we must have the political courage to go further – with a method of consultation. So you mentioned the PTGEs. To answer your question, I would like to point out that we have set up a project unit within the ministries of ecological transition and agriculture and food, whose role is to ensure the completion of the projects. It must do so in concertation, but it cannot last fifteen years – otherwise, it is a bad concertation. We must have the political courage to say so. The Assembly has, moreover, voted on various provisions – very recently still on the essential decree on the flow and use of water. It has shown courage and made it possible to move things forward. These are the three areas of work which we could discuss much more at length. Water is really the mother of battles and it is a complex subject – so we must not put it under the carpet but on the contrary face it, as I wish to do.
ParlaMint-FR_2021-03-02-O1183.u14	Mr Damien Abad has the floor to put his question, No. 1313, concerning the closure of classes in primary education.
ParlaMint-FR_2021-03-02-O1183.u15	I will mention an important subject, namely the closure of classes in rural areas. As you know, school is the Republic and, in rural areas, it is very important. We regret that the Government has not fulfilled its commitments to maintain these classes. These commitments, made in 2017 at the national conference of the territories, were renewed during the major debate in 2019 and reaffirmed clearly by the Minister of National Education, who declared, in 2020, that no class could close in the communes of less than 5000 inhabitants without the agreement of the mayors. Unfortunately, the reality on the ground is quite different. In my department of Ain, especially in Bugey, we see class closures every day. As many as twenty-three closures are announced for next year's season, while the department earns 6,000 inhabitants a year. Many of them are in rural areas; I am thinking of the students and parents of students at the Matafelon-Granges school, those of Nurieux-Volognat, Cerdon or Nantua, but I could quote a lot more. It is important to avoid closures and to avoid mere accounting adjustments. We must not assign to rural residence the young people of these territories who, like all the French, want to succeed. For us, these closures are a contradiction, first of all educational at a time when learning basic knowledge is essential. It is also a health countersense, at a time when respect for barrier gestures calls for smaller numbers in the classrooms. It is also an economic countersense, at a time when the crisis is already threatening many local public services and the school retains a fundamental role in preserving life in our villages. Finally, it is a historical contradiction, while the first fruits, which we see, of an urban exodus could give a new breath to rural areas. What we want to do is to avoid the lack of assistance in rural areas at risk and thus the closure of classes in rural areas. I am aware that it is sometimes difficult, but I will cite an example: the closure of a class with four levels, as is the case in Cerdon, necessarily leads parents to school their children elsewhere. My question is simple: can you renew the commitment made by the President of the Republic and the Government not to close any classes in rural areas without the consent of the mayors? In my view, this is a matter of territorial equity, social justice and academic success for all the children of the Republic.
ParlaMint-FR_2021-03-02-O1183.u16	The Secretary of State for Priority Education has the floor.
ParlaMint-FR_2021-03-02-O1183.u17	You're right, Mr. Abad: the first Republican promise is school. Primary school, as you know, is a priority for the Government. Between 2017 and 2020, we created 11900 jobs – in a context, which should be remembered, of a sharp demographic decline with 150,000 students less in the first degree. We have split the classes of preparatory courses, then of elementary first year courses, and we are in the process of doubling the major section classes in the priority areas of education. Another complementary reform aims at capping the number of pupils in the main sections, CP and EC1, to 24 pupils throughout the country. These measures help to consolidate the acquisition of basic learning by all our students: reading, writing, counting and respecting others. Thus, in the department of Ain, the share of the large section, CP and CE1 classes whose number does not exceed 24 pupils was increased from 61% in 2019 to 65% in 2020. In addition, at the beginning of 2020, the number of students per class in the Ain – where I will be travelling on Friday, Mr. Abad – stood at 23.6 compared to 23.8 at the previous school year. In this department, as in all French departments, the number of teachers per 100 pupils is increasing from 5.24 at the beginning of 2017 to 5.34 at the beginning of 2020. In the next school year, despite a planned decrease of 381 pupils in Ain, the department is expected to benefit from the creation of 25 additional jobs. As a result, the departmental management rate is expected to improve further to 5.41 positions per 100 students. Since the beginning of 2019, in accordance with the commitment of the President of the Republic, no closure of schools in rural areas can be decided without the consent of the mayor. In the department of Ain, we did not see at the beginning of 2020 any school closures, a fortiori no school closures in rural areas. The commitment not to close any classes in rural areas without the mayor's agreement has applied exceptionally to the school year 2020, in view of the health context, and is not renewed for the school year 2021. On the other hand, the commitment not to close any rural schools without the mayor's consent was well maintained at the beginning of 2021. This requires preparation, consultation, exchange and dialogue with local elected officials, on the basis of a fine and objective assessment of each situation. As part of this work, the department of Ain does not foresee any closure of schools in rural areas. I hope that this information will reassure you. Consultation with mayors is under way; It will continue in a spirit of ever more constructive dialogue, aimed at taking into account the specificities of each territory and of each school until the school year.
ParlaMint-FR_2021-03-02-O1183.u18	Mrs Elsa Faucillon has the floor to put her question, No. 1302, on the reduction of overall hourly allocations.
ParlaMint-FR_2021-03-02-O1183.u19	In referring to the health crisis, Minister Blanquer said it was essential to keep schools open because of the psychological, health and educational consequences of their closure. Many publications, including your ministry, Madam Secretary of State for Priority Education, underline how the closure of schools has exacerbated inequalities; Marie-George Buffet's report, on behalf of the committee of inquiry to measure and prevent the effects of the covid-19 crisis on children and young people, pointed out this as early as December. The current school year will not address these delays. The opening of institutions must therefore be combined with the fight against the pandemic in their hearts. Pupils, from kindergarten to high school, need the facilities, premises and staff to have all the necessary means to work in high quality health and educational conditions. But we do not see a big catch-up plan. Above all, we do not see this in the declines in overall hourly allocations that will be faced by colleges and high schools in the coming year. This is all the more incomprehensible when the workforce is on the rise – it is even irresponsible. In my department of Hauts-de-Seine, there is anger and misunderstanding in a number of institutions, including those in the working-class neighbourhoods and in the priority education areas. Schools in the least favoured territories are experiencing a significant decrease in the number of hours per student. These fewer hours are less projects, these projects that make the establishment more attractive in the neighbourhood, which help to combat avoidance, to work on the mix or to promote coherence within the educational teams. This is where the Republic has to do more, where we could have expected a double catch-up, but it is still the double penalty. In my constituency, the lycée Georges-Pompidou de Villeneuve-la-Garenne thus loses fifteen hours after three consecutive years of decline in its total annual allocation, as does the Collège Jean-Baptiste Clément in Colombes. Guy-Môquet College in Gennevilliers, which is in the REP+ priority education network, will lose only two students at the next school year but will be reduced by fifty-eight hours per week, which corresponds to two classes. Not only will pupils be less supervised, but mechanisms such as these projects are being challenged to hang up students in difficulty. It is here, for one part, the end of the personalized help or the duplication of certain disciplines, the end of options that offered colleges and high schools partnerships with theatres, music conservatories and sports clubs – to take just a few examples. As if it wasn't enough, there are plans for 1880 fewer positions in colleges and high schools. Most of the needs that will be expressed will be funded in HSA – overtime year. In view of the crisis and the need for small groups, there is every incentive to re-establish and even increase the number of such positions. It is a bit crazy to imagine that you could have created positions of Senior Education Advisors, Social Assistants, School Health Psychologists or Administrative Officers. The "cost at all", the school does not see the color. In the absence of effective measures to make the teaching professions more attractive, the academic directors of the national education services – DASEN – run after the contractors to ensure replacements. This is also the case in primary education, where you find it very difficult to enforce the commitment of double classes to twelve students. Madam Secretary of State, local elected officials, parents of students and representatives of the education staff of my constituency affected by these cuts in endowments would like to meet with you. I know that this is the case in many other places; They're not competing, they're waging a common battle, the best battle for all students. Are you ready to receive them?
ParlaMint-FR_2021-03-02-O1183.u20	The Secretary of State for Priority Education has the floor.
