ParlaMint-FR_2021-12-07-O1086.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-12-07-O1086.u2	Mr Philippe Latomb, speaking on behalf of the Group of the European People's Party, raised his question, No. 1562, concerning the circumvention of the non-patentability of software.
ParlaMint-FR_2021-12-07-O1086.u3	Since 2005, when the European Parliament confirmed the current European law by refusing that the software falls within the scope of patentability, the large US software companies have been trying to circumvent this ban. With Germany as the home of the European Patent Office, the European Commission has attempted to establish a trade agreement outside the EU treaties, which removes the European Parliament's right of scrutiny and opinion on the text. The French delegation would have already given its consent to the organization of a ceremony to sign this declaration on the sidelines of a meeting of the Permanent Representatives Committee (COREPER) in Brussels. How could we promote our digital sovereignty, as the President of the Republic told the French in his last speech, and tolerate such practices? Why were our assemblies never informed, when there should have been a debate within them before giving any negotiating mandate for the signing of this declaration in the Council? Can the exact content of this statement be specified? Is the Convention compatible with the Vienna Convention on the Law of Treaties and who has carried out a legal verification of it?
ParlaMint-FR_2021-12-07-O1086.u4	The next speaker is the Minister responsible for industry.
ParlaMint-FR_2021-12-07-O1086.u5	The proposed unified patent jurisdiction in Europe aims to create a European court with jurisdiction over the validity and infringement of European patents and the future European patent with unitary effect, granted by the European Patent Office. The European Commission does not play a role in this intergovernmental project. The objective of the agreement is to create a single European patent judge in accordance with European Union law and the rules of the European Patent Convention. The aim of the project is to remedy the shortcomings of the current situation which leads companies to bring multiple disputes before the courts of the different Member States where patents are protected and infringement proceedings are found. This project is therefore a real step forward and it has the support of all European companies, for which it is an essential part of the effective legal framework of the patent system in Europe and a factor of competitiveness of the European economy. The non-patentability of software is dealt with in the context of the grant of patents in Europe, which does not fall within the competence of the unified patent court but of the European Patent Office under the European Patent Convention. Similarly, the agreement on the unified jurisdiction of patents does not concern the digital sovereignty of Europe or France: this agreement is only intended to provide Europe with a single patent jurisdiction, which Europe does not currently have, which is competent for the validity and infringement of patents in all technological fields. The activity of the unified patent court will be integrated into the legal order of the Union, as the court may refer questions for a preliminary ruling to the Court of Justice of the European Union and will in any event be bound by the case law of the Union and the law of the Union. The purpose of the draft declaration is to adopt an interpretation of Article 3 of the Provisional Protocol to the Agreement on the Unified Patent Court, which draws the consequences of the withdrawal of the United Kingdom. The sole purpose of the declaration is to replace Italy with the United Kingdom with the list of States whose ratification is necessary for the entry into force of the provisional implementing protocol. This draft technical declaration does not alter in any way the content of the Provisional Protocol of Application or the Agreement on the Unified Patent Court. It does not constitute a trade agreement and does not address issues of software non-patentability or digital sovereignty.
ParlaMint-FR_2021-12-07-O1086.u6	Mr Philippe Latomb has the floor.
ParlaMint-FR_2021-12-07-O1086.u7	Thank you for that answer. There is no question of calling into question the unified jurisdiction of patents, which companies actually need. I would simply like to draw your attention to the fact that this jurisdiction will be an extension of the European Patent Office, which twists the legal model and accepts software patentability on the grounds that they can offer technical advantages. With such a jurisdiction, we risk having patents validated at first and second instance which will be difficult to enforce in the different countries of the Union, or to which it will be difficult to apply Union law. Software patentability should not become a deleterious consequence of the creation of this jurisdiction.
ParlaMint-FR_2021-12-07-O1086.u8	Mrs Jeanine Dubie, speaking on behalf of the Committee on Economic and Monetary Affairs and Industrial Policy, raised her question No 1586 concerning capital gains placed in tax deferral.
ParlaMint-FR_2021-12-07-O1086.u9	A tax problem has arisen with increasing severity since the crisis of the covid: that of capital gains placed in tax deferral. In the 1980s-90s, particularly in Lourdes, many hotels and businesses previously operated as sole proprietorships were brought into companies so that hoteliers and traders could transmit them more easily to their children. These changes in legal status allowed hoteliers and traders to generate tax gains in tax deferrals, sometimes very important because of the high profitability of these companies at the time. It is important to point out that these contributions did not in any way generate collection of money or tax deductions for these taxpayers, since they were focused on intangible assets – commercial funds – and constituted the value of social capital by simple accounting. However, the value of these commercial funds has fallen sharply as a result of the covid crisis and the owners of these companies wishing to divest their shares are now faced with a situation which they denounce the tax inequity. Indeed, the loss of value found from the sale, which will be released at the time of the transfer of the shares, falls within the tax system of the personal gains and losses. On the other hand, the surplus-value placed in tax carry-over on the contribution of the sole proprietorship to the company falls under the tax system of occupational capital gains. As a result, personal losses and professional gains cannot be offset, the taxpayer is paid a tax that is not backed by a perceived wealth. In spite of a question written in December 2020 and then a letter of revival in September 2021, I have still not received an answer on this subject. I would therefore like to reiterate my question: in order to put an end to this situation and to make the tax system more equitable, does the Government intend to amend the relevant regulations, for example by allowing compensation between personal and professional gains?
ParlaMint-FR_2021-12-07-O1086.u10	The next speaker is the Minister responsible for industry.
ParlaMint-FR_2021-12-07-O1086.u11	This issue was raised by your colleague Jean-Paul Mattei during the consideration of the 2022 Finance Bill. As I have told him, the Government is carefully considering possible solutions. However, the amendments proposed in the course of these discussions have not been able to find a satisfactory solution to date. The surplus-value realized by a natural person on the occasion of the contribution of an individual enterprise to a company subject to a real taxation regime may, on option, be subject to a tax deferral. Where the contribution of the sole proprietorship has been made to a company subject to corporate tax, the capital gain deferred for taxation falls within the scope of the occupational capital gains scheme. On the other hand, the plus or minus value of the subsequent transfer of the social rights received in return for this contribution falls under the system of personal capital gains. This difference does not allow for the imputation of the possible loss on the sale of the company's securities subject to a real tax scheme on the gain on professional contributions, the tax deferral of which ends at the time of the transfer. That is what you are proposing to question. This imputation ban is due to the fact that each category of income is determined on its own basis of assessment and no compensation is possible in such a situation. Personal and professional gains are not subject to the same taxation, to the same base rules, or to the same social treatment, which, as the regulations currently stand, hinders compensation between them. Revising that rule would pave the way for various fraudulent behaviour, which the Government wished to avoid. Work is under way within the administration to consider a mechanism to mitigate the effects of the situation you mention while limiting the risk of fraud. That was the only reason for the delay in responding: there were many risks of fraud and it was also the duty of the Government to protect itself against them.
