ParlaMint-FR_2021-04-13-O1246.u1	The next item is the question to the Government.
ParlaMint-FR_2021-04-13-O1246.u2	Mr Aurélien Pradié has the floor.
ParlaMint-FR_2021-04-13-O1246.u3	My question is to the Minister for Agriculture and Food. When our agriculture suffers, the whole country suffers.
ParlaMint-FR_2021-04-13-O1246.u4	That's right!
ParlaMint-FR_2021-04-13-O1246.u5	[[Applause on all benches]] The wave of frost that has hit France in recent days has had calamitous consequences. The losses to our wine growers, to our tree growers, to our marketers and to our field crops are disastrous. I mean to our farmers our unwavering support. Such calamity puts us in the face of a vital emergency. In Occitanie, 70 to 100 per cent of the crops were destroyed by frost. For the local viticulture alone, it is a loss of income of more than 50% that is expected for 2022; 90% of fruit trees will not produce this year. For our agriculture, for our economy and for consumers, the cost will be terrible. The finding is without appeal and the urgency is absolute. Traditional declarations and technical measures will no longer be sufficient. All our producers will need massive aid: those, many, who are not insured, as well as those who are, and for whom the income paid by insurance will not cover the actual losses. The tax white year is required; The timing of State-guaranteed loans – EMP – and total cancellation of charges are imperative.
ParlaMint-FR_2021-04-13-O1246.u6	Yes!
ParlaMint-FR_2021-04-13-O1246.u7	[[Applause on the benches of the LR group]] But to prepare for the future, we need to go further. Our nation must organize itself for a long time to cope with these increasingly frequent and violent climatic hazards. We need a long-term strategy: the reform of the disaster regime, but also the creation of a national fund to which each producer would adhere, pooling regional, national, insurer and bank budgets. This is an ambitious project on which we must move forward. Minister, let me make the proposal: let us experiment with such a preventive fund, why not in the Occitan region. Our agriculture faces a new climate challenge; The political responsibility is to be on the rendezvous.
ParlaMint-FR_2021-04-13-O1246.u8	The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-04-13-O1246.u9	First of all, allow me to excuse the absence of Julien Denormandie, long convened in the Senate, as we meet, for a debate on the implementation of the law for the balance of trade relations in the agricultural and food sector – EQUALIM. He could not escape this Senate debate and asked me to represent him today. We share all the observation that you are doing damage to the agricultural world, to all crops – arboriculture, viticulture, market gardening – and to all sectors by this episode of very intense and very late frost, which occurred, moreover, after a period of reeds that had favored the emergence of the first buds, the first fruits. [[Applause on a few benches of the LaREM and Dem groups]] Julien Denormandie was on the ground from the day of the finding of this damage; On Saturday, Prime Minister Julien Denormandie and I were in Ardèche, meeting the most affected agricultural organizations and producers. Yesterday, a first working meeting was held at the Ministry of Agriculture, involving the Ministry of Action and Public Accounts to both assess and prepare for the future. As a first step, we will apply all existing arrangements; They're useful. We need to work on new mechanisms and the number of questions on this subject will allow the Prime Minister to clarify a number of the measures that we will introduce. We must also work on the future, as you said: there are avenues for insurance, reform of the calamity regime and equipment. That is why, for example, we have included, without being able to predict this episode of freezing, 70 million in the recovery plan to promote and accompany the purchase of materials to combat climate hazards. We must look at all these projects, one by one: first respond to the urgency, but also prepare for the future and ensure that this episode, if it were to happen again, is as devastating as possible.
ParlaMint-FR_2021-04-13-O1246.u10	Mrs Geraldine Bannier has the floor.
ParlaMint-FR_2021-04-13-O1246.u11	My question is to the Minister for Agriculture and Food. Last week, the freeze hit our countryside very severely and at a sadly historic level. Beet growers from northern France; arborists from Ardèche or Vaucluse; wine growers from Dordogne, Touraine, Jura or Gironde; cider growers and apple producers from the west; growers of rapeseed, flax, barley from the Paris region.
ParlaMint-FR_2021-04-13-O1246.u12	Ardennes!
ParlaMint-FR_2021-04-13-O1246.u13	Tarn, Gard, Aude, Aveyron, Mayenne: the list of affected departments is endless.
ParlaMint-FR_2021-04-13-O1246.u14	Savoy!
ParlaMint-FR_2021-04-13-O1246.u15	Braseros, wind turbines, water sprinklers or helicopter overflights have ultimately been of little assistance to the well-impoverished producers, who will suffer significant financial losses at various times. From last Thursday, the minister ensured the application of the agricultural calamities regime. Viticulture is not eligible and other mechanisms will be introduced. Professionals are also asking, because of their fragility in the face of climate change – in a few days, some regions have gone from 30 degrees to negative temperatures – for a reform of crop insurance. Indeed, because of the cost, few producers are insured against freezing. In the very short term, there is also the question of replacing the ravaged crop with another, for some, in particular the beavers. [[Applause on a few benches of the LaREM, Dem and LR groups]] Can you go back to the compensation schemes that will be created, the timetable that will be possible from the state of play to the compensatory payments, and the accompaniment that will be set up in the face of this disaster and the distress of our farmers. Members of Parliament sitting on all benches, we recall our unanimous support, which must also be that of consumers.
ParlaMint-FR_2021-04-13-O1246.u16	The next speaker is the Minister for Public Accounts.
