ParlaMint-FR_2021-11-02-O1041.u1	The next item is the question to the Government.
ParlaMint-FR_2021-11-02-O1041.u2	Mrs Mathilde Panot has the floor.
ParlaMint-FR_2021-11-02-O1041.u3	Prime Minister, be careful: Emmanuel Macron splits up. There is on one side Emmanuel Macron, present at COP26, and on the other Macron Emmanuel, President of the Republic for four years. According to the words of the first, the two do not know each other. The Emmanuel Macron of COP26, distributes good and bad points; He fulminates, he storms, he vitupères...
ParlaMint-FR_2021-11-02-O1041.u4	You know how to do that, too!
ParlaMint-FR_2021-11-02-O1041.u5	...against the big polluters who have to pollute less. Macron Emmanuel is President of the Republic, and his ecological record is catastrophic; France has even been condemned twice for climate inaction. [[Applause on the benches of the FI group]] This last sign of free trade agreements, unfolds the red carpet to big polluters like Amazon and Total, lets French banks invest in fossil fuels, reintroduces bee killer pesticides, refuses to ban glyphosate, destroys thousands of posts in the ministry of ecological transition, destroys the public service rail and forestry, burys the proposals of the Citizen Climate Convention, promotes nuclear despite the waste that it produces and which we do not know what to do; Finally, he is maguing with Viktor Orbán for gas to be considered a green energy at European level. Worse, it punishes environmental activists: it criminalizes activists in Bure, gasses young people who commit themselves for the climate and reinvents the crime of lèse-majesté for portrait dropouts, so much so that France flouts its own commitments – our country will have to double its current rate of emission reduction to meet its objectives. [["Oh! » on several benches of the LaREM group]] However, Emmanuel Macron of COP26 said: "France, [and] more broadly the European Union, [...] are today at the rendezvous of these commitments". All right? If Emmanuel Macron and Macron Emmanuel are the same person, then admit that there is a problem. The only plausible explanation is that Emmanuel Macron as a whole is a hypocrite. [[Applause on the benches of the FI group]] In any case and as a precaution, Prime Minister, can you tell the COP26 lessons donor that he is called Emmanuel Macron and that he is the same person who has been ruining the climate for four years?
ParlaMint-FR_2021-11-02-O1041.u6	The Prime Minister has the floor.
ParlaMint-FR_2021-11-02-O1041.u7	[[Applause on the benches of the LaREM group]] "Teacher," did you say? "Teacher", yes...
ParlaMint-FR_2021-11-02-O1041.u8	It's called a mirror effect!
ParlaMint-FR_2021-11-02-O1041.u9	[[Applause on several benches of the LaREM group]] Everything that is excessive, dear lady, is insignificant. Notice, I am very gentle speaking of excess; After all, maybe it's a compliment to you. The truth is, we have heard rather a concert of inaccuracies.
ParlaMint-FR_2021-11-02-O1041.u10	Which ones?
ParlaMint-FR_2021-11-02-O1041.u11	[[Exclaims on the benches of the LR group]] [[Applause on several benches of the LaREM group]] I regret to tell you this, or rather, I am proud of it, dear lady, but I believe, on the contrary, that during this extremely important event, which I solemnly say to the national representative, the Glasgow COP26, which will end on 12 November, we have, on this very serious and essential subject, objectives to be met. And France, through the voice of the President of the Republic, defends a very ambitious speech. France, the guarantor of the application of the Paris Agreement, of which we must be legitimately proud, France in Europe and France, is at the forefront of the fight against global warming. Your assembly, by the way, knows that well. [[Applause on several benches of the LaREM group. – Protests on the benches of the FI group]] As you know: we have obtained, in the European context, the formalisation of positions which, compared to those in other parts of the world, make Europe ahead of this subject. I will not mention the other parts of the world I think of, but all those who listen to us know it perfectly. The truth is, we can't act alone in this case. However, yes, let's say: France is ahead of many registers.
