ParlaMint-FR_2021-06-11-O1301.u1	The next item is the debate on the draft amending finance law for 2021 (No. 4215, 4227).
ParlaMint-FR_2021-06-11-O1301.u2	The next speaker is the Minister for Economic Affairs, Finance and Recovery.
ParlaMint-FR_2021-06-11-O1301.u3	I am pleased to see you on the occasion of the public discussion of the Amending Finance Bill (CFP). What period does it take? We come out of the "no matter what it costs." We're not quite back to normal yet. We must therefore continue to support certain sectors of the French economy, but our ambition is to return to normal, as quickly as possible, all sectors of the French economy: the objective of this bill is to accompany our economy, in particular certain sectors, in general, towards this return to normal. The indicators available show that we are on the right track. Growth is back. Investment has been increasing continuously for three quarters in France. Consumption has rebounded sharply since the reopening of shops and restaurants, as Blue Card spending in physical shops has risen sharply since the beginning of May, up 15% from their level in 2019, over the same period. The confidence of entrepreneurs has been at its highest level since the beginning of the crisis. These figures confirm a posteriori the strategy of the President of the Republic and the Government: to support the economy massively, to protect companies, to accompany employees so as not to have any loss of skills or qualifications, no wave of bankruptcies, during the most serious crisis in France since 1929. This strategy has been costly but it has been the right one and will allow us to bounce harder in the aftermath of the economic crisis. We are therefore counting on 5% growth by 2021, one of the best in Europe. We believe that we will be able to regain the level of activity we had before the crisis in the first quarter of 2022. This estimate could be considered prudent in the light of other assessments of institutions such as the OECD or the European Commission, which estimate French growth for 2021 at 5.8% and 5.7% respectively. However, such caution is consistent with the strategy we have adopted since the beginning of the crisis: to remain realistic and to do everything possible to achieve the best results. The only obstacle on the way back to growth would be the return of the pandemic. I therefore take the opportunity of this forum and of this debate to call on everyone to respect the barriers, the sense of responsibility and vaccination. Only collective vaccination will protect us against any risk of a return to the epidemic in the new year 2021 and thus guarantee the strength of French growth and the resulting job creation. On the basis of this finding, what challenges do we face? I see at least three of them, which are precisely the subject of this amending finance bill. The first challenge is to support sectors that are starting up and facing expenses related to restarting their business – purchasing supplies, hiring and training new employees: it is at the heart of this bill, with the continuation of emergency support, for more than 15 billion euros. The President of the Republic, the Prime Minister and I have therefore decided to maintain a number of accompanying measures, which will decline over the months, until the end of August, in order to accompany these sectors and avoid any brutality in the economic transition. We will therefore maintain a solidarity fund until the end of August for the S1 and S1bis sectors, which cover tourism in the broad sense. This solidarity fund will be accessible to all companies in this sector, regardless of their level of turnover losses, whereas previously it was necessary to have lost at least 50% of turnover. The take-over will be declining, accounting for 40% of the losses compared to sales in 2019 in June, 30% in July and 20% in August. We will meet again at the end of the summer to take stock of these measures and see what decisions are to be taken. Overall, we will continue to cover 15 per cent of the wage bill for June, July and August. The objective is very simple: it aims to ensure that these sectors hire massively, as quickly as possible, with this aid. Partial activity will be maintained: it will also be degressive over the months of June, July and August. All this confirms that we are gradually emerging from the "no matter what it costs", to accompany our economy in its return to normal. With regard to discotheques, the only sector currently closed, we will take stock on 21 June, as the President of the Republic has indicated. I am confident that they will be able to reopen in satisfactory sanitary conditions this summer. I have been working with the Minister for Small and Medium Enterprises, Alain Griset, for several days. We will deliver our conclusions within a few days, before the decision is taken, by the end of June. I say again: I am confident that the discotheques can reopen and I believe that they should do so in good sanitary conditions, according to a protocol that we have defined, rather than having unanticipated gatherings, all over France, throughout the summer. The second challenge is to prevent the risk of bankruptcy, which concerns fragile but viable companies. As much as everyone can imagine that companies disappear, because they are not viable, because they have not made the right economic choices and have not adopted the right strategy, we reject as well as viable companies, but weakened by months and months of crisis, disappear at the end of the crisis. I have therefore presented, with the guard of the seals, a business support plan, which is based on a completely innovative and unique tool in the world to identify companies in difficulty. All the most sensitive data on business activity available to the Directorate-General for Enterprise (DGE), the Directorate-General for Public Finance (DGFIP), the USSRAF and the Banque de France will, for the first time, be merged into a predictive model using the algorithms of artificial intelligence, which will then allow us to alert the companies to accompany them in their recovery. These data will, of course, remain strictly confidential. The plan also provides for a €3 billion transition fund for the largest companies and mid-cap companies, to support businesses that meet post-crisis financing needs in loans and quasi-equity: these provisions are also included in the draft amending finance law that is subject to your approval. The third issue is to lift the constraints on production, because, as each of you can see in his constituency, the first obstacles faced by entrepreneurs, the employers of SMEs, of TPEs, are the price of raw materials,...
ParlaMint-FR_2021-06-11-O1301.u4	Yes!
ParlaMint-FR_2021-06-11-O1301.u5	...and their difficulties in procurement and recruitment. I was in Alsace a few days ago when I was able to discuss with the business leaders of the building and public works (BTP), the hotel industry or the catering industry. All of them had only one message: they were unable to recruit and experienced problems related to the supply of raw materials and their cost. This factor is the one that most weakens restarting, puts a number of entrepreneurs in the various sectors in the most difficult position and gives rise to the greatest concern in the economic world. Why do we encounter such a difficulty in the supply of raw materials? It is very simple: there was less production of raw materials during the crisis, and there are far more demands than expected in the aftermath of the crisis, given the strength of the restart, which in recent weeks has forced all international organizations to revise their growth forecasts upwards. We will therefore ensure that public procurement contracts do not impose late payment penalties when delays are related to supply shortages. I will meet with all the stakeholders next week, in order to set up a mediation of channels between the various players in the sector and to find solutions to the difficulty of supplying raw materials, a short-term problem which we believe can be solved within a few months. The second constraint is that of recruitment: difficulty in recruiting roofers, finding employees in restaurants, hotels and buildings. We have therefore decided to invest massively, with France relaunch, in order to speed up the qualification and training schemes implemented by the Minister for Labour, Employment and Training, Élisabeth Borne: assistance for the formation of the national employment fund, the FNE-Training, for employees in partial employment, the 200000 training courses in the professions of the future for young people, an increased support for retraining. One of the great challenges of the coming years will be to better accompany employees, to acquire the training that will give them access to the jobs that are developing, to protect them from the disappearance of jobs in other sectors, which are fragile: France does not do so easily, but it is essential to meet the challenge of accompanying all those who work in difficult sectors or who are unemployed towards jobs of the future. Beyond these immediate challenges, dealt with in this amending finance bill, we also face long-term challenges, emerging from the crisis: I see at least three. The first is the fight against inequality. We do not want a less just economic model out of this economic crisis than we had before: on the contrary, we want it to enable us to fight more against inequalities and put justice at the heart of our economic model. We have therefore decided to extend and strengthen, in this amending finance bill, the accompanying arrangements to support the most fragile. Partial activity, which accounts for more than EUR 6.4 billion, is a means of supporting those who have the most employment difficulties. We have renewed the exceptional purchasing power premium (PEPA), which can reach up to EUR 2000 per employee, and we have maintained all the support schemes already provided for the most modest employees. [[Applause on the benches of the LaREM and Dem groups]] Such a conception of our economic model also requires more justice at the international level, and the fight we are waging, with the President of the Republic, with this majority, for four years now, paying the high price, for the establishment of a fairer and more efficient international taxation of the twenty-first century. We were heard, and we won, in London a few days ago, at the G7 of Finance Ministers. This fight, launched by the President of the Republic in 2017, is the fight of all the French, who paid the high price. Faced with the refusal of several European countries to introduce a tax on digital giants, we have, with your support, introduced a national tax on these giants, which earns almost 400 million euros a year. This has led us to be victims of sanctions on the part of the Trump administration and the US administration. This success is the success of the French nation as a whole, the success, I repeat, of the French, who paid a great price to achieve it. So we went a step towards the G7 finance. The text is being reviewed by the Heads of State and will arrive at the G20 in early July. It will then have to be the subject of a comprehensive agreement at the Organisation for Economic Co-operation and Development (OECD) including other major nations and other major continents, first and foremost China. So the challenges remain very important to us. We want and continue to fight for an ambitious agreement. There is no question for France to reduce its ambitions with regard to international taxation. We are ambitious about the scope of this tax. We want all digital giants, without exception, including Amazon, to be included in the field of digital taxation.
ParlaMint-FR_2021-06-11-O1301.u6	Yes!
ParlaMint-FR_2021-06-11-O1301.u7	We want the minimum tax rate on these companies to be as high as possible, if possible above the 15% used as the starting point for the G7 finance. I would remind you that we accepted the 21% proposed by Mr Joe Biden a few weeks ago, before the US President came back and proposed a lower rate. Finally, we would like the scope of this minimum tax to be as wide as possible and to include as many sectors as possible. This justice also depends on all the measures implemented since 2017 for employees: the revalorisation of the activity premium, the abolition of the overtime charges, or the reduction of the income tax (IR) and the housing tax (TH), so that the gain of purchasing power for an employee at the SMIC reaches 170 euros per month. I want to take advantage of our discussions to invite companies that can do so to use all the mechanisms to improve the remuneration of employees, in particular the incentive and participation schemes that we have drastically simplified and on which we have abolished the 20% tax. The second long-term issue is investment. To support businesses in the rebound and resumption of normal activities, we wanted to boost their investment by offering them to completely deflate the carry-over of tax deficits and to increase the number of years on which losses can be charged from one to three years. This change in the carry back that we propose to you in this amending finance bill is decisive for many companies. This exceptional measure will help to improve the financial situation of companies that experienced losses in 2020 as a result of the crisis when they were profitable before the crisis. Investment is also an answer to the question we all need to ask ourselves: what growth tomorrow? How can we achieve fairer growth? How can we achieve greener growth? And, above all, how can we ensure that there is no too large a gap in the growth potential between the American continent and the European continent? Europe is not intended to move forward more slowly than the United States in terms of economic recovery. Nor is it intended to leave China and the United States the monopoly of major innovations and technologies, which determine the control of our sovereignty and independence. We have therefore embarked on several investment schemes in the recovery plan. Of the EUR 100 billion of this plan, which is precisely investment-oriented, EUR 34 billion has already been committed in mid-May. Our goal is to deploy €70 billion by the end of the year. If we want a higher level of potential growth than before the crisis, we must, together, invest more in human capital, in the men and women who make French growth – through their skills, training and research – and in physical capital, so that our companies digitize, digitize, robotize and are at the best international standards. Finally, the third and final major issue will be the control of public finances. We all know that when we emerge from the crisis, when growth is back and solid, we will have to restore our public finances. I would also like to thank the majority for their support, who, for the last four years I have been working with her, have consistently and firmly supported us in sometimes difficult public finance choices. Without her, nothing is possible. In the coming months, we will have to commit to the restoration of these finances. [[Applause on the benches of the LaREM, Dem and Agir ens groups]] This work is part of the DNA of this majority, which, I would remind you, restored the public finances of France in the first three years of the mandate, managed to get us under the 3% public deficit bar and removed France from the excessive deficit procedure (DPE). When the crisis is behind us, when growth is solidly back, we will have to restore our public finances. This recovery, I repeat, cannot go through an increase in taxes: it will involve more courageous solutions such as those proposed by President Eric Woerth and the rapporteur-general Laurent Saint-Martin. I want to thank them for their work. Their proposal for an organic law on the modernization of the management of public finances, which will make it possible to lay down a multiannual rule of expenditure, has my full and total support.
ParlaMint-FR_2021-06-11-O1301.u8	The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-06-11-O1301.u9	As Mr Bruno Le Maire has said, the PLFR that we are presenting to you has the ambition to accompany the exit from crisis and the resumption of activity, and to respond both to needs expressed during this beginning of the fiscal year and to financing needs relating to measures, commitments or decisions taken or announced by the President of the Republic or the Government. I would like to focus on four points. This text will first of all, if you adopt it, fund the degressive exit of emergency measures deployed to support the economy since the beginning of the crisis of the Covid-19. We propose to open up EUR 15.5 billion of appropriations, to finance compensation for social security exemptions of EUR 4 billion, and to finance the solidarity fund for businesses, independents and entrepreneurs, until the end of the summer, by means of aid for degressive and securitised enterprises, amounting to EUR 3.4 billion. This aid has been mentioned recently by the Prime Minister and, at the moment, by the Minister for Economic Affairs, Finance and Recovery. Over EUR 30 billion has been committed to the Solidarity Fund for the past 15 months, benefiting 2.2 million companies. We also propose that you enter €6.4 billion to finance the partial activity and replenish in particular the credits of the long-term partial activity, requested to meet the conditions for taking over the partial activity during the period of the covid-19. The latter will be particularly useful to accompany sectors such as aeronautics, which have been affected on a long-term basis. In addition, we propose that you include EUR 150 million to finance sectoral measures for the world of culture and EUR 200 million to help the communities, especially those which organise several public services under governance, which we have not been able to accompany so far on legal issues, but which we will propose to you to help with the examination of this PLFR. The second point which characterizes this PLFR is the desire to facilitate the implementation of the recovery plan. As has been said, our goal is that by the end of 2021, 70 billion euros out of the 100 billion euros of the recovery plan can be committed and half can be disbursed. We have already committed more than one third of the recovery plan to date, more than EUR 36 billion. With this PLFR, we will propose, for example, to consider 600 million euros to finance the "industry of the future" schemes. In addition, we will accompany this PLFR with regulatory measures to allow the reabundance of the most sought after devices in the industrial, digitisation and agricultural fields. As we have indicated, this can be done through redeployments within the EUR 100 billion envelope that you passed in the context of the review of the Finance Bill (FPL) for 2021. This PLFR, which responds, in the third place, to several expressed needs, is marked by the willingness to finance decisions announced by the President of the Republic or by the Government. Before listing the few measures that we are proposing, I would like to point out that, while we have chosen to include in this PLFR for EUR 15.5 billion emergency appropriations with consequences for the public deficits to which I shall return, we also want this PLFR, which marks the return to normality, also to mark the return to a goal of sustainability of public expenditure. The serious budget that the Government, the majority, and Parliament, beyond the ranks of the majority, have shown for several years now, has enabled us both to restore public accounts and to deal with the crisis in good conditions. France has thus been able to mobilize financial markets at particularly benevolent rates. It is this seriousness that we must observe and respect. That is why the new measures we are proposing, amounting to EUR 1.4 billion, are being managed and do not degrade the public deficit or the balance of the public accounts. We have managed them both by cancelling some of the credits that have been put into the precautionary reserve since the beginning of the year, and by reducing the appropriations provided for the calls for guarantees for loans guaranteed by the State (PGE). The combination of the possibility of delaying the first repayment deadline and an improvement in the economic situation – real reinsurance in the area of separability – allows us to reduce these guarantee calls, for just over €950 million. Thus, without deterioration of the public deficit, we will be able to finance, for 700 million euros, the maintenance of the level of winter emergency accommodation throughout the summer. That decision had been announced. Our choice is to ensure that, after the crisis, the number of emergency accommodation places is maintained at a particularly important level. We also propose to finance for EUR 350 million the first sectoral aid paid to farmers, such as that relating to the marketing of broutards, to help them cope with certain hazards such as yellow beet or the first compensation for the consequences of the freeze that we experienced at the beginning of April, deployed as part of the Prime Minister's commitment to allocate EUR 1 billion for them. We also propose to include 100 million euros to finance the sport pass announced by the President of the Republic, as well as 57 million euros to finance the renewal of several provisions concerning the priority neighbourhoods of the city policy (QPV). We also propose that you include EUR 150 million to finance higher education scholarships, which have been increased due to the consequences of the crisis for the student world, as well as EUR 82 million to help New Caledonia cope with the difficulties it has experienced and the crisis has amplified. Finally, this draft law on amending finance contains several "letter" provisions, all of which are intended to accompany the exit of the crisis and to better protect the French. We propose the renewal, for a third consecutive year, of the exceptional premium for the purchasing power exempt from taxes and contributions. In 2020, despite the crisis, more than €3 billion in premiums were paid to 560000 institutions. We also propose to extend the deadline for companies to subscribe to EMPs or to supplement those to which they have been able to subscribe in the past until 31 December in order to accompany companies in cash who would need to apply for EMPs in the coming months. As Mr Bruno Le Maire has indicated, we suggest that you deflate the carry back device and smooth it over three years. With regard to aid and tax schemes relating to enterprises, the Government will have an opinion in favour of the amendments adopted by the Finance Committee – on the initiative of the rapporteur-general as regards the rate of the reduction of income tax for subscription to the capital of SMEs – IR-SMEs, and of Mr Jean-Noël Barrot as regards the scheme for the payment of debts due in respect of rent, previously adopted. We will also propose, as I mentioned a moment ago, that the tariff losses of the companies be taken into account. Several public authorities, organised in the public industrial and commercial service (SPIC), were not able to receive public aid although they were subject to competition. Other authorities, organized in public administrative service (PPS), posted significant tariff losses. We will therefore propose a support mechanism, and we will have a favourable opinion on the amendment by Jean-René Cazeneuve, which allows both to clarify the scheme and to open it to a number of public service delegations, which may have the same characteristics and difficulties of taking care of them in the period that begins. Finally, other arrangements, included in this PLFR, do not have an impact on the public deficit within the meaning of the Maastricht criteria – I am thinking in particular of the abundance of EUR 600 million on the Fund for Economic and Social Development (FDES) for the financing of the anti-bankruptcy measures mentioned by Bruno Le Maire a few moments ago. We also propose that you authorise the State Shareholders' Agency to commit an additional €2 billion to respond to a number of planned operations and, finally, we propose that you abound the EUR200 million air traffic control advance account to help this sector cope with the crisis and the decline in sustainable aviation activity. Other subjects should feed our discussions, such as the possibility obtained by the French Government from the European Commission to authorise a duty free on Eurotunnel boarding docks at the Calais terminal; I am still thinking of an amendment by Sacha Houlié on the extension of the arrangements for the protection of households exempted until now from housing taxes and audiovisual fees. Not all of the measures we propose have an impact on the government deficit. I must point out that some, in particular the EUR 15.5 billion we commit to respond to the crisis and to accompany the exit from the crisis of our economy, result in a deterioration of the forecast public deficit. You passed a finance bill for 2021 that set a deficit target of 9%: today we are forced to review it upwards, with a forecast of 9.4%, which takes into account both the new spending we are proposing and tax revenues slightly higher than expected, which is evidence of the improvement in economic conditions. Similarly, we propose to revise the level of public debt to 117.2%, down from the projected public debt rate. This may seem paradoxical at a time when we are proposing additional spending, but it takes into account both the INSEE's upward revision of the level of gross domestic product (GDP) in previous years and the best prospects for economic growth this year. [[Applause fed on the benches of the LaREM group and on several benches of the Dem and Agir ens groups]] This amending budget, which we are proposing to you, thus illustrates both the will of the Government – and, I believe, the majority – to continue to support the economy during the post-crisis period, and its determination to demonstrate that fiscal sustainability and seriousness are not incompatible with the scale and ambition of the aid we are implementing.
ParlaMint-FR_2021-06-11-O1301.u10	Mr Laurent Saint-Martin, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2021-06-11-O1301.u11	Each of you can now observe it, our country opens again, after a winter that has lasted too long. As vaccination progresses: where the recovery of the economy is sketching out, but where the threat of more contagious or sometimes more virulent variants remains, we can adopt, I believe, a certain optimism, but vigilant optimism. On this occasion, it is up to us to draw up the way in which the public authorities will accompany this process. The amending finance bill before us – the sixth budget that we have been considering since the beginning of this crisis, before the settlement law that we will be considering next week – proposes a clear line for this transition period, namely the massive budget support for our country's communities, businesses and households. This is the "whatever it costs", which has been and will be carried out consistently until the end of the health and economic crisis. This text will present in a very simple and very clear way increases in budgetary appropriations and new tools for new perspectives. Continuity first, with tools that are known to us: for example, this text provides for the ratification of the advance decree of 19 May, which opened up 7.2 billion euros, in particular in favour of the solidarity fund. The finance committee of our assembly, like that of the Senate, had approved these appropriations, and this decree had made it possible to avoid a break in the cash flow of the solidarity fund and the partial activity. The draft law on amending finance proposes to supplement this reloading of the programmes of the mission "Emergency plan in the face of the health crisis" with appropriations for the solidarity fund, amounting to €3.6 billion, the partial emergency activity, for €2.2 billion, and the compensation to the social security of the exemptions from charges, for €4 billion. After the initial finance law (LFI), the carry-overs of €28.8 billion and the advance decree, this is therefore the last budget stone brought to the emergency building for the year 2021, bringing in total the amount of appropriations for the mission "Emergency plan" to €44.7 billion for this financial year. It should also be noted that a significant part of these appropriations is also used to finance rights opened last year. In the same perspective, this amending finance bill extends the lifespan of certain tools, such as the Solidarity Fund, until the end of August 2021. It also opens the possibility to apply for a State-guaranteed loan until the end of 2021. Finally, during the summer, in an incentive to take up business, it extends the aid for the payment of social contributions to small enterprises affected by health restrictions. This text also proposes, in addition to the adjustments I have just mentioned, a real change of approach for communities, businesses and households. For communities that have not been able to benefit from emergency measures under ordinary law, unlike private institutions with comparable activities, this was a blind spot in support of our economic fabric for more than a year. The solution proposed by this amending text for public services managed under management complements the overall aid scheme for local and regional authorities. Moreover, this text represents a change of perspective in the way in which public authorities view business support as part of a gradual return to normal. While the tools of the "whatever it costs" are legitimately completed and extended, the prospect remains of gradually limiting their scope, starting this month and during the summer, and ending, for the most part, from the beginning of September 2021. The end of emergency aid involves support for the top-of-the-line balance sheet and the own funds of our companies, so that their real viability is not jeopardized by a temporarily degraded balance sheet – the famous debt wall of our small and medium-sized enterprises. This is the aim, at the same time, of strengthening the appropriations for State shareholdings for EUR 2 billion, and of setting up a transition fund for enterprises with a total of EUR 3 billion. Finally, the deflation of the carry-back of deficits for the financial year 2020 over the previous three years, at a cash cost estimated at around €400 million, will be an additional tool for reinvigorating business and promoting investment. This support for the revival of our economy is also based on the legitimate repayment of the credits for the long-term partial activity used to finance the partial emergency activity to the tune of €4.2 billion. We had talked about this during the examination of the advance decree, and it seemed to me normal to recall that all the EUR 100 billion appropriations of the recovery plan are well restored in this text. In line with previous texts, it does not forget either households or workers. The timely reintroduction of the Macron premium defiscalised and desocialised until March 2022 bears the mark of the health crisis: the common law ceiling of 1000 euros is increased to 2000 euros in favour of employees on the second line. Here I call on all the employers of these car drivers, maintenance workers, cashiers and cashiers, handling and building workers, preparers and sellers of our bakeries and butchers, home helpers, household workers and security workers, to seize, if they can, the opportunity to pay their employees better. So, of course, all this has a cost to our public finances, and all these provisions lead to a sharp, marked deterioration of our indicators. The government deficit would reach EUR 219.5 billion, compared with EUR 173.3 billion in the initial finance law – as a reminder, EUR 178.1 billion in 2020 – and the share of the government deficit, all public administrations combined, would reach 9.4% of GDP, with an execution in 2020 of 9.2% of GDP, a slight deterioration. This deterioration is restricted by the increase in the forecast of tax revenues, a sign of a resilient economy in the recovery phase, as well as by the cancellation of certain credits put in reserve. That being said, it must be stressed, since, quite rightly, we are talking more and more about our country's debt and the conditions for its financing, that this additional deficit will not be financed by additional debt but by the cash available as a result of last year's debt programme. The medium- and long-term debt issuance programme is therefore not modified by this new text, it is important to mention this. In the face of the new budgetary situation, the time has begun to reflect on the strategy and tools for restoring our public finances. The April stability programme thus establishes a course of control of our public finances until 2027. The report of the commission chaired by Jean Arthuis proposes that a law on public finance programming (LPFP) should establish, at the beginning of the legislature, a five-year trajectory for the evolution of these expenditures: our assembly will soon have before it a proposal for an organic law on the governance of public finances that Eric Woerth and I have tabled and which proposes to make mandatory the adoption of such a trajectory in the PSSA. The Court of Auditors will not fail to contribute to these forecasts, to this work and to these initiatives in the coming days, and it will therefore be up to Parliament to decide, after the national democratic deadlines of 2022, on the path that will allow France to control its deficit, its debt and – I say it with some seriousness – its destiny. For the time being, this text allows us to draw up the perspective, specific to the coming months, of the emergency capacities calibrated to finance, to the end, everything that must be at the service of the communities, at the service of the enterprises, at the service of the households. The urgency and revival, as feared for more than a year now, are a collective success, supported, it must be said, by a very large number of political forces present here, composing the assemblies. It would be logical, therefore, for this text to have as broad an agreement as that obtained by the draft amending finance laws for the year 2020 and the plan to relaunch the PLF for 2021. [[Applause on the benches of the LaREM groups and Action ens]] This text, ladies and gentlemen, is the continuation and, in part, the point of arrival of the sequence that we started together fifteen months ago.
