ParlaMint-FR_2021-06-09-O1296.u1	The next item is the continuation of the discussion of the bioethics bill (No. 3833, 4222).
ParlaMint-FR_2021-06-09-O1296.u2	Last night, the Assembly continued to discuss the articles of the bill. This afternoon we are considering articles 4 and 4 bis, previously reserved at the request of the Government.
ParlaMint-FR_2021-06-09-O1296.u3	Mrs Camille Galliard-Minier has the floor.
ParlaMint-FR_2021-06-09-O1296.u4	The stakes are important. After the promise to open up medical assistance for procreation – AMP – to couples of women and single women, it was necessary to allow them to establish a link of filiation from the birth of the child. It was intended to ensure the protection of the child, but also of each mother, the mother giving birth and the mother's intention, by establishing a bond of filiation which should not be weakened by the creation of a competing relationship with the donor and which should be of the same nature with respect to both mothers. This is done with Article 4, which is based on three principles – prohibition, commitment and recognition – already applicable to couples formed by a man and a woman who used the AMP with third-party donors. The prohibition: the establishment of a bond of filiation between the child and the author of the gift is prohibited. The commitment: the mother of intention will definitively commit herself before a notary to establish the filiation and may be compelled to do so, if necessary. The principle of recognition: both women will recognize the child before the notary before birth, one becoming a mother by birth, the other by transmitting the certificate of recognition to the registrar after the birth of the child. It is thus proposed to you, as Mr. Keeper of the Seals pointed out, to adopt a mechanism that is simple, effective and protective, ensuring both equality of rights between children, regardless of their mode of conception, without discrimination on the basis of the sex or gender of their parents, and equality of rights and duties between all couples.
ParlaMint-FR_2021-06-09-O1296.u5	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2021-06-09-O1296.u6	Section 4 puts us at the heart of the contradictions inherent in the bioethics bill and the opening of the MPA to single women and women's couples. First of all, and even if it follows from the provisions of the bill above, the content of this section is not bioethics,...
ParlaMint-FR_2021-06-09-O1296.u7	Ah?
ParlaMint-FR_2021-06-09-O1296.u8	...to the extent that it is possible to question its conformity with article 45 of our Constitution. Then, despite all the theoretical constructions that you have built to make the initial project evolve up to the device that you propose to us today, you remain confronted with an unsurpassable element: the fact, intangible, that filiation is established following the encounter – or the absence of encounter – between a man and a woman who, at some point, gave life. This is what underpins the principles of the law of filiation. Developments are obviously possible. The law has evolved over the course of history, providing for exceptions. The law of filiation in France is in fact not that established by Napoleon, as is sometimes understood. However, by denying the biological reality, you do not desecrate the social family, but the social construction of the bonds of filiation. You place on an equal footing the mother who gives birth and the social mother by allowing her to recognize the child, while the solution of adoption, permitted by the law of filiation, offered the same legal security to both mothers and the child.
ParlaMint-FR_2021-06-09-O1296.u9	Yes!
ParlaMint-FR_2021-06-09-O1296.u10	[[Emmanuelle Ménard applauds and Anne-Laure Blin acquiesce]] This theoretical social construction, which is based on the sole will of the parents, constitutes a breach in the law of filiation. This will necessarily have to evolve tomorrow to take into account various situations – including heterosexual couples – such as multi-composed families, or the desire expressed by three or more people to raise a child together. By making this will take precedence and the parenting project – as you describe it – you cause the whole building of the law of filiation to collapse. The solution that you are proposing to us today is no more realistic than the previous one, and we will try to demonstrate this to you in our debates.
ParlaMint-FR_2021-06-09-O1296.u11	Mrs Annie Genevard has the floor.
ParlaMint-FR_2021-06-09-O1296.u12	Article 4 is fundamental because it concerns the right of filiation. However, in order to establish the filiation of a child born by medically assisted reproduction (AHR) within a couple of women, it was unnecessary to push the law in force: the necessary provisions exist and have demonstrated their clarity and solidity. The changes you propose are therefore guided only by an obsession: to eliminate any difference between the woman giving birth and the other woman. Moreover, it was the same will that motivated the proposal to practice the in vitro fertilization known as reception of the partner's oocytes – FIV-ROPA – that you refused, I dare say, thanks to us. And it is because of this obsession that I find it so difficult to make you recognize the specificity of the woman giving birth. I remind you of where we are going: at the beginning of the first reading, Mrs Belloubet – your predecessor, Mr. Keeper of the Seals – had declared that it is not the birth that makes the filiation. Those are his own words! Since then, you have evolved, and the mother who gives birth is now restored to her rights. Good! Whatever you say, in fact, it will always remain a difference between her and the mother of intent, even if she is not hierarchical and does not exclude equality – which, moreover, paragraph 5 states very clearly: "All children whose filiation is legally established have the same rights and duties in their relations with their parents [...]. filiation brings the child into the family of each of his or her parents. » This difference remains because the mother's body is not only a receptacle. An embryo learns from what his mother does and lives. Over the weeks, an attachment is formed between the two through the production of oxytocin. Therefore, a question arises: how to establish the second bond of filiation? The problem with the solution you are proposing – joint recognition – is precisely that it obeys the logic of erasing differences. In this regard, and even though I remain deeply and consciously hostile to the deliberate deprivation of a father caused by the opening of the LDC to women's couples, I consider that the text from the Senate – which the committee has deleted – was balanced and could be considered an acceptable compromise. Indeed, while preserving the right of all children to carnal filiation, he adapted the conditions of adoption to facilitate the establishment of the bond of filiation between the child and the mother of intention. [[Emmanuelle Ménard applauds]] Again, this proposal, which we defended at first and second reading and which the Senate adopted, is balanced, because it guarantees equal ties of filiation, albeit of a different nature, since the situations are objectively distinct. Moreover, it does not undermine the current right of filiation. I recall that in the discussion of the law opening marriage to same-sex couples, adoption was really hoped for by these couples. Why is what was valid eight years ago today rejected, even though the use of adoption to establish the second link offers far more advantages and interests than your proposal?
ParlaMint-FR_2021-06-09-O1296.u13	Mr Gérard Leseul, rapporteur of the Special Committee, has the floor.
ParlaMint-FR_2021-06-09-O1296.u14	We welcome the re-establishment of Article 4 in the wording adopted by the National Assembly at second reading. We wanted it and asked for it in a special committee. At second reading, the Senate reaffirmed its wish to make the adoption procedure the only way for the mother of intention of a child born of the use of the AMP by a couple of women to establish a bond of filiation. He refused the retroactive establishment of this link thanks to an early joint recognition made before a notary. It was important to re-establish this new procedure for establishing filiation; It's now done. However, we regret that it remains distinct from the one proposed for heterosexual couples. We will therefore defend amendments to extend the application of the common law to women's couples.
ParlaMint-FR_2021-06-09-O1296.u15	I have before me eight identical amendments, Nos 230, 409, 885, 1023, 1107, 1359, 1548 and 1567, to delete Article 4. I call Mr Patrick Hetzel to support Amendment No. 230.
ParlaMint-FR_2021-06-09-O1296.u16	The Special Committee re-established the wording of Article 4 adopted by the Assembly at second reading, thus rejecting the Senate proposal to which our colleague Annie Genevard has just referred. The latter solution, however, had the merit of consistency in that it did not touch the foundations of the law of filiation. It allowed a woman who gave birth naturally to be recognized as a mother, by virtue of the principle of mater semper certa est. The second member of the couple could establish filiation by adoption. The new system that you create creates contradictions within the law of filiation to the point of calling it into question. This is the first complaint we make against this proposal: it endangers a whole legal structure. We wonder why the Government is advocating such a solution. Secondly, this system is likely to lead to a genuine withdrawal of biological filiation, since it falls within a completely different logic. Finally, it leads to a "deinstitutionalization" of the father, who no longer needs to be. De facto, the law will create ex ante fatherless orphans. The proposed wording is therefore a source of very serious drifts – legal in nature, but also anthropological and societal in nature. When one refuses to adopt an ideological and partisan approach to the question of opening the MPA to women's couples and single women, how did the Senate's proposal pose the slightest problem?
ParlaMint-FR_2021-06-09-O1296.u17	Mr Xavier Breton has the floor to support Amendment No. 409.
ParlaMint-FR_2021-06-09-O1296.u18	With Article 4, we enter the legal heart of extending medical assistance to procreation. Article 1 was in fact more symbolic whereas it was a matter of practical legal work, much more complex than the mere assertion of a slogan. The legal construction is inconclusive. First of all, the form: I will quickly pass on the fact that the initial version of the Government bill already raised many questions on the part of the Council of State. An amendment, which had not been the subject of any impact assessment or opinion of the Council of State, changed the drafting of the text without achieving a balanced formulation. Our colleague Gérard Leseul said that this wording was "for the moment" and that it met the compromise of the moment, implying that it will be necessary to return, in future months or years, to the establishment of the method of filiation, whereas the latter is one of the pillars of our society. In substance, I will take up the arguments of my colleagues Annie Genevard, Patrick Hetzel or Pascal Brindeau: this text removes the paternal branch for children who are forever forbidden to have a father. This creates discrimination for them and sends a signal to all men in society: the role of the father is optional in a family, it is not indispensable. It is true that some fathers are absent and failing, but they exist; An adjective calls his behavior but they're here. With this text, the father disappears. We are told that uncles or grandfathers will be able to serve as male referents, but the masculine does not sum up the paternal, who goes far beyond it. The mode of filiation that you establish depends only on the will of the adults. From this perspective, everything is open as soon as an adult says that he wants a child, that he wants to raise him and love him – you always say that you follow the logic of love. All possible constructions are allowed if the filiation is not based on objective benchmarks. We will have the opportunity, during the examination of Article 4, to show that the device you are proposing is not an additional right, contrary to what you are saying, but a change in the law of filiation, which will come out of it for a long time. There will be both a domino effect – inevitable changes, cascading – and a mikado effect – by modifying an element, we influence other aspects of the law of filiation.
ParlaMint-FR_2021-06-09-O1296.u19	Mrs Anne-Laure Blin has the floor to support Amendment No. 885.
ParlaMint-FR_2021-06-09-O1296.u20	When I first studied this text – I was recently elected – and then during the discussions we had in the special committee, I realized that Article 4 was the heart of your system. Unfortunately, the French are not sufficiently informed about the impact this article will have on the daily lives of all families. Its provisions – legal arguments – amount in fact to denying otherness and biological reality. You can frown the eyebrows, the rapporteur of the special committee, but these are the facts. That you don't understand it is one thing, but at least try to hear it. You don't have the truth and our words reflect reality. You completely distort filiation for all families; You don't just add rights, you touch all the families in France. Mr. Keeper of the Seals, we would like to hear from you on this subject because everyone needs to be informed of your intentions.
ParlaMint-FR_2021-06-09-O1296.u21	If we can't even frown the eyebrows...
ParlaMint-FR_2021-06-09-O1296.u22	It's a little condescending, though!
ParlaMint-FR_2021-06-09-O1296.u23	Amendment No 1023 by Mrs Emmanuelle Ménard is being defended. Mr Pascal Brindeau has the floor to support Amendment No. 1107.
ParlaMint-FR_2021-06-09-O1296.u24	I have tabled this amendment to delete the article for two reasons. I mentioned the first at the moment: an amendment to the law of filiation does not have to be included in a bioethics bill; another legislative vehicle would have been needed.
ParlaMint-FR_2021-06-09-O1296.u25	Ah!
ParlaMint-FR_2021-06-09-O1296.u26	I would also like to know the Government's position on this point: why have a reform of filiation been included in this text? Second reason: why should the simple adoption solution be rejected in favour of recognition of the child by the social mother? However, it offers no less security for both the couple and the child. Is it less rewarding to adopt than to recognize? If that is the case, it must be explained to those who are seeking to adopt a child, and who are following a real journey of the combatant – even though we are reforming the law of adoption so that it is now easier to give a family to children who are looking for one. Perhaps you are content to respond to activists who demand de facto equality – not real equality – between two women who claim a comaternity over a child and then, tomorrow, between two men claiming a copaternity, or between several people who demand a co-parentality? There is no doubt that associations will make such requests, unless they are the subject of legal proceedings. How are you going to get out of this dead end?
