ParlaMint-FR_2021-01-26-O1136.u1	The next item is the question to the Government.
ParlaMint-FR_2021-01-26-O1136.u2	Mr Philippe Vigier has the floor.
ParlaMint-FR_2021-01-26-O1136.u3	Prime Minister, the regional and departmental elections were to take place in March 2021. As everyone knows, health conditions have led the Government and Parliament to shift the date of these elections. For being elected local, you know the major role that regions and departments play in local action, and the role they will play in the rebound that we all expect. It is therefore important that you confirm to national representation that the elections will be held in June. If I can understand that, for health reasons, you may be led to postpone them once again, you must bring all the guarantees – I say all the guarantees – to all the political forces of our country, to all the parliamentary groups: if a postponement were to be organised, it could only be done with the consent of all...
ParlaMint-FR_2021-01-26-O1136.u4	And Jean-Louis Debré, what does he think?
ParlaMint-FR_2021-01-26-O1136.u5	...for we cannot imagine that the date of these elections can be changed for political reasons: there cannot be a shadow of doubt about it. I would then like to talk to you about the parliamentary elections and the introduction of a proportional dose.
ParlaMint-FR_2021-01-26-O1136.u6	That's for sure it's really urgent... It's even vital!
ParlaMint-FR_2021-01-26-O1136.u7	We are experiencing a profound democratic crisis; I remind you that this was a promise made to the yellow vests, but also a commitment of the President of the Republic. Finally, I would like to remind you that it is perfectly abnormal that some of the French are not represented in the National Assembly.
ParlaMint-FR_2021-01-26-O1136.u8	You've changed, Philippe!
ParlaMint-FR_2021-01-26-O1136.u9	[[Applause on the benches of the Dem and IDU-I groups]] Mr Prime Minister, are you prepared to initiate a reform to bring about, whatever the method, that of the referendum or that of the legislative path, a democratic and strong response to this demand at a time when France is in doubt?
ParlaMint-FR_2021-01-26-O1136.u10	The next speaker is the Minister for the Interior.
ParlaMint-FR_2021-01-26-O1136.u11	Mr President, you have in fact asked two questions, which relate to electoral law and to the deadlines that our country is about to meet. First of all, I confirm to you that the Government's will is that the regional and departmental elections will be held in June: it is the law of the Republic. The bill currently being introduced in the Senate by the Associate Minister for Citizenship does not provide for a further postponement. As you yourself have pointed out, the health crisis, which is particularly serious, of course concerns all our citizens. But it is not so much the day of the vote as the organisation of the electoral campaign that raises the question: yet, at the time we are talking, there is no reason to propose another date for the holding of regional and departmental elections. You are all the more confident that the legislator himself had chosen to include that date in the law. And if a re-visitation clause was provided for in April, notably by the Scientific Committee, it is only moral, not legislative: there is therefore no reason to worry about a possible postponement.
ParlaMint-FR_2021-01-26-O1136.u12	All right!
ParlaMint-FR_2021-01-26-O1136.u13	You then asked the question of the election of parliamentarians, and in particular Members, by proportional ballot. During his campaign, the President of the Republic committed himself to introducing a proportional dose – which, you will agree, is not exactly the same as the full proportional dose. The President is obviously concerned about the promises he has made...
ParlaMint-FR_2021-01-26-O1136.u14	It's the first time!
ParlaMint-FR_2021-01-26-O1136.u15	Again, you would have had to have been able to agree with the Senate on this matter, as you yourself will have seen. Moreover, we are living in a moment dedicated to the management of the health and economic crisis, and this issue is not the primary concern of the Government and the President of the Republic.
ParlaMint-FR_2021-01-26-O1136.u16	We've got other problems!
ParlaMint-FR_2021-01-26-O1136.u17	[[Applause on the benches of the LaREM and Dem groups, and on a few benches of the IUD-I group]] Now, if Parliament and political parties, in a unanimous or almost unanimous movement, wanted to put this issue of the election of deputies on the agenda, and in particular one year before the election, as is customary and legal practice, the Government would be ready to hear them.
ParlaMint-FR_2021-01-26-O1136.u18	Where are the walkers?
ParlaMint-FR_2021-01-26-O1136.u19	Mr Jean-Jacques Gaultier has the floor.
ParlaMint-FR_2021-01-26-O1136.u20	[[Exclaims on the banks of the LaREM Group]] Minister for Solidarity and Health, after the delays, the failures, the false departures and the coucacs, and, to put it simply, the fiasco of the beginning of the campaign
ParlaMint-FR_2021-01-26-O1136.u21	That's the reality, and your lies won't change anything!
ParlaMint-FR_2021-01-26-O1136.u22	...a million Frenchmen were vaccinated in a month. This represents only 1% of the population, which still leaves us behind Spain, Italy, Germany, and even very far behind the United Kingdom, which already has nearly seven million vaccinees. Barely gone, already in slow motion! Yet, elected officials and communities are ready; The caregivers and the French are ready. But is the Government? Our vaccination centres clearly suffer from a lack of doses. You have given rise to many hopes; We now feel a lot of frustration. My first question is of a national nature: this pandemic unfortunately marks the industrial decline, and the dependence of Europe and France on masks, tests and vaccines.
ParlaMint-FR_2021-01-26-O1136.u23	He's right!
ParlaMint-FR_2021-01-26-O1136.u24	While the Institut Pasteur threw the sponge away, that Sanofi is slowing down, is there still room and time for a French vaccine? Won't he arrive after the battle? Could we at least help produce, under licence, already licensed and ready vaccines? My second question is territorial: a week ago, you were in Nancy, Minister. The fridges were full but, a little further south, in the Vosges, they are desperately empty. We have seven vaccination centres, three of which are located in my constituency...
ParlaMint-FR_2021-01-26-O1136.u25	Veran can't count!
ParlaMint-FR_2021-01-26-O1136.u26	Now, neither Ninechateau, Mirecourt, nor Vittel, which were ready before Nancy, can be restocked as I speak to you. Thank you for the rural people! [[Applause on the benches of the LR group]] I see life in Vosges, but especially Vosges without vaccine. When will rural people finally be treated as urban? When will we be restocked? Will we, like the others, be able to benefit from the Moderna vaccine? When will we really be actors and not spectators of this crisis?
ParlaMint-FR_2021-01-26-O1136.u27	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2021-01-26-O1136.u28	Don't take it wrong, Member, but when I heard your question, I couldn't help but think of this old Renault TV ad, I think, where we repeated every time: "It's never going to work! And yet, it works!
ParlaMint-FR_2021-01-26-O1136.u29	What a disdain!
ParlaMint-FR_2021-01-26-O1136.u30	Coué method!
ParlaMint-FR_2021-01-26-O1136.u31	More than a million French have received a first injection of vaccine, they will be more than a million and a half by the end of the week, that is, 50% more than the target we set ourselves.
ParlaMint-FR_2021-01-26-O1136.u32	A little modesty, Veran!
ParlaMint-FR_2021-01-26-O1136.u33	Outside England, France is now the country of Europe with the highest rate of vaccination. But I do not despair, honourable Member, of convincing you that France is full of resources, talent, wealth, of the desire to move forward...
ParlaMint-FR_2021-01-26-O1136.u34	What about the Institut Pasteur?
ParlaMint-FR_2021-01-26-O1136.u35	It does not necessarily wait, by listening to its national representatives, for it to be told that it will never succeed. And in fact, France can do it. Caregivers, elected officials, regional health agencies, prefectures are mobilized...
ParlaMint-FR_2021-01-26-O1136.u36	But there are no doses!
ParlaMint-FR_2021-01-26-O1136.u37	...and more French people are being vaccinated every day. That's good news. You are worried about the ability of French companies to identify a vaccine. First of all, I would like to remind you that this vaccination campaign is above all a scientific adventure...
ParlaMint-FR_2021-01-26-O1136.u38	It's not an adventure, it's a pandemic! But it's true that your mandate, you're living it like an adventure!
