ParlaMint-FR_2021-05-11-O1270.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-05-11-O1270.u2	Mr Sylvain Templier has the floor to put his question, No. 1441, on the forests of the Great East.
ParlaMint-FR_2021-05-11-O1270.u3	Mr Minister for Agriculture and Food, by storing carbon, preserving our water resources, protecting biodiversity, forests demonstrate that they are an ally more than essential to combat climate change, even though they are largely victims of climate change. For several years, the forests of the Far East have faced many aggressors. In the space of three years, the scolyte almost destroyed the massifs surrounding Verdun, including spruce forests. The forests of Haute-Marne, a department where I am elected, are not spared. Last summer, several hectares of dead trees were slaughtered there to stop the spread of the insect. As for ash trees, they are decimated by chalarosis, a pest fungus from Asia. In 2019, one third of the ash trees in the Trois-Fontaines massif were carrying it. Some scientists estimate that the disease is progressing at a speed of 60 kilometres per year. In addition, there is also the proliferation of processional caterpillars on oaks or the drought phenomena that occur in times crucial to the development of trees. These situations degrade fauna and flora as well as local economies. The recovery plan has provided EUR 200 million for forest renewal and provides significant support to the sector. We need to reforest, diversify the species, add more resistant ones, renew the plots, but also and above all, protect what can still be. While the National Assembly has just adopted the draft law on combating climate change and strengthening resilience to its effects, how and with what long-term means does the Government intend to strengthen operationally the resilience of eastern forests to the effects of climate change?
ParlaMint-FR_2021-05-11-O1270.u4	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-05-11-O1270.u5	Thank you, honourable Member, for focusing on the societal, environmental and economic contribution of our beautiful French forests, but also on the many challenges they face at this time, most of which are related to global warming – the proliferation of Scolyte, in particular, is due to this phenomenon that promotes the development of parasites. At least three answers can be provided. To cope with the proliferation of scolytes, which is very visible in the Greater East region, I decided at the end of last year to renew in 2021 the devices put in place by my predecessor, Didier Guillaume. In this way, I have allocated additional budgets to allow for the removal of timber and the rebuilding of the massif. If they are necessary, these devices are not enough: we must take a second step, that of reforestation of our massifs. Of the EUR 200 million of the recovery plan for forest renewal, EUR 150 million is earmarked for reforestation, of which EUR 95 million has already been allocated. We are therefore moving quickly in this area. Thirdly, it is a matter of anticipating the effects of climate change and adapting our forests to it, a very complicated exercise. To this end, we have the expertise of the National Forestry Board (NFB), whose remarkable work I welcome, the forestry communes, private owners and the actors of the entire wood industry. While it is already difficult to think long time, for the management of a forest massif it is necessary to think very long time. In particular, in the context of the reforestation plan, we must ask ourselves the question: what kind of tree should be replanted, knowing that the beech trees of Lyons-la-Forêt, for example, are subject to the effects of climate change? You talked about ash and softwood. How can we adapt our forestry practices to make our forests more resilient? The answer is species choice, diversity within a forest massif, variety research. To sum up, we have to deal with health crises in a cyclical way, and in the longer term, reforest under the recovery plan by changing forestry practices thanks to this wonderful expertise that we have in France.
ParlaMint-FR_2021-05-11-O1270.u6	Mrs Nathalie Serre, speaking on behalf of the Committee on Agriculture, Fisheries and Rural Development, raised her question No 1451 on aid for arboreal and wine production.
ParlaMint-FR_2021-05-11-O1270.u7	Mr Minister for Agriculture and Food, I wanted to alert you to the difficulties encountered by the marketmen in the arboriculture and wine cooperative cellars. Often forgotten, however, they are the collateral victims of the intense freezing episode that has marked our country. In my constituency, cherries producers and wine growers have experienced unprecedented frost episodes in terms of their size and duration. In the Bessenay region, cherry is a historical culture. In 2016, the brand Cherise de Bessenay was created under the impetus of the Qualifruits interprofession. These cherries are packaged and sold by two makers on the market, whose dynamic action has enabled the brand Eh Cherry to have a worldwide reputation. The wine cooperatives of Beaujolais will have to face a lower supply for the third year in a row. Recently affected by the freeze, wine growers will be affected a second time as co-operators. The wine co-operative cellars, however, have been equipped with high-performance production tools and have come together with competent specialists to guarantee perfect mastery of the upstream. At a time when I am asking this question, the extent of the damage is not yet precisely known. Some tree growers are already fearing a 50% to 100% loss of their production, which will have considerable consequences for market makers who have been investing millions of euros for years in order to face competition, especially from Spain. The market season is very short – from two to three months – and it requires the employment of many seasonal workers who come in addition to permanent staff on open-ended contracts. For cellars, the quality and quantity of the harvest will weigh heavily on the cooperative tool whose daily management is ensured by qualified personnel with the desired skills. Co-operative cellars therefore have to bear investments that cannot be delayed and large fixed costs. Producers – wine growers and arborists – were partially heard, obtaining a EUR 1 billion aid plan from the State. On the other hand, marketers and cooperative cellars, collateral victims, remain in expectation. Investors in our territories, job providers and dynamic actors of the influence of our ruralness internationally, marketers and cooperative cellars need a total commitment from the state, as well as support for economic actors during the health crisis.
ParlaMint-FR_2021-05-11-O1270.u8	The next speaker is the Minister for Agriculture and Food.
ParlaMint-FR_2021-05-11-O1270.u9	Thank you, honourable Member, for your solidarity with the agricultural world, which was greatly affected by the freeze that took place three weeks ago. Thank you also for reminding us that the hand of the Government had not trembled in these circumstances: we have granted aid of extreme urgency, cash flow and support. More than 20 million euros have already been distributed in the territories to those who could no longer pay their bills, having exhausted their cash in financing protection measures against freezing. We have also extended the State-guaranteed lending mechanism (GLP) and partial unemployment measures – and we have been talking about making them even more generous. Finally, we are finalizing tax and social exemption schemes. Second axis of action: compensation of production losses for professionals in the upstream sector – arborists and wine growers – but also for those in the downstream sector, including cooperatives. As you have suggested, we are precisely putting in place systems very inspired by the devices created in response to the health crisis. As far as upstream is concerned, we are going to extend the system of agricultural disasters to sectors which are currently not eligible, which poses particular problems: while this system usually takes nine months to compensate, we would like to be able to compensate for the losses of tree growers from this summer, i.e. at the end of June-early July. The department has structured itself to deal with this important issue. For the support of the industry, an exceptional fund – whose scope is being discussed with the profession – will allow to act in the same spirit as the one that prevailed to face the crisis of the covid-19. I would really like to reassure you, while greeting the downstream actors who are hard hit. The third axis concerns a structural element: crop insurance. How can we better secure production and remove this sword of Damocles that threatens farmers and all the actors in the food chain? This is an essential sovereignty issue.
ParlaMint-FR_2021-05-11-O1270.u10	Mrs Nathalie Serre has the floor.
ParlaMint-FR_2021-05-11-O1270.u11	[[Mrs NathalieSerreremetunsacauMinister for Agriculture and Food]] Thank you, Minister, for your answers. I know your attachment to our agriculture. Next week, May 17, the departments of the Departmental Directorate of Territories (DDT) will be visiting to monitor the damage following the freezing episode. On behalf of all the actors in the sector, I invite you to join us in this visit to our beautiful Beaujolais territory. Instead of an invitation card, I will hand you a bag of the brand Eh Cherry, a DVD of information about the business of market director and the beautiful region of Bessenay, and an award-winning bottle of one of the eight co-operative cellars of Beaujolais.
