ParlaMint-FR_2021-06-09-O1297.u1	The next item is the continuation of the discussion of the bioethics bill (No. 3833, 4222).
ParlaMint-FR_2021-06-09-O1297.u2	This afternoon, the Assembly continued its consideration of the articles of the bill, concluding with amendment No. 1314 to article 14.
ParlaMint-FR_2021-06-09-O1297.u3	Amendments Nos 1314 by Mr Thibault Bazin, 258 by Mr Patrick Hetzel, 468 by Mr Xavier Breton, 941 by Mrs Anne-Laure Blin, 1430 by Mr Marc Le Fur and 1315 by Mr Thibault Bazin, which could be discussed jointly, were defended. Among them, Amendments Nos 258, 468, 941 and 1430 are identical. Mr Philippe Berta, rapporteur of the Special Committee, has the floor to give the Committee's opinion.
ParlaMint-FR_2021-06-09-O1297.u4	Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u5	The Minister for Higher Education, Research and Innovation has the floor to give the Government's opinion.
ParlaMint-FR_2021-06-09-O1297.u6	Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u7	Mrs Caroline Fiat has the floor.
ParlaMint-FR_2021-06-09-O1297.u8	I am sorry to disturb the debate on Article 7 ter, but I am still waiting for a reply from the Minister on the amendment concerning the donation of bodies that we discussed this afternoon.
ParlaMint-FR_2021-06-09-O1297.u9	Mrs Fiat, I am sorry for that, but you must speak on the amendments under discussion; You cannot go back to an amendment that has already been voted on.
ParlaMint-FR_2021-06-09-O1297.u10	Yeah, but...
ParlaMint-FR_2021-06-09-O1297.u11	It's not possible, I'm sorry.
ParlaMint-FR_2021-06-09-O1297.u12	I hear, Madam Chair, but I am still waiting to know whether the minister will submit the amendment to a second debate, as it has become a habit here. She promised to promote a similar measure yesterday, Tuesday, June 8, in the press.
ParlaMint-FR_2021-06-09-O1297.u13	Mrs Emmanuelle Ménard's amendment No 76 is being defended.
ParlaMint-FR_2021-06-09-O1297.u14	I have before me four identical amendments, Nos 259, 469, 943 and 1318. I call Mr Patrick Hetzel to support Amendment No. 259.
ParlaMint-FR_2021-06-09-O1297.u15	Research on human embryonic stem cells can focus exclusively on existing lines already established in France and abroad. This would resolve the ethical conflict associated with the derivation of new lines, which involves the destruction of human embryos. Since the human embryonic stem cell lines on which researchers work around the world are known, they could be listed, thus limiting research to them. That is the purpose of this amendment.
ParlaMint-FR_2021-06-09-O1297.u16	Identical amendments Nos 469 by Mr Xavier Breton, 943 by Mrs Anne-Laure Blin and 1318 by Mr Thibault Bazin are being defended. What is the opinion of the committee on these identical amendments?
ParlaMint-FR_2021-06-09-O1297.u17	I understand your intention. As I explained earlier, such a list already exists and these lines are listed, classified, numbered. However, this will never prevent these cells, like all the others, from multiplying into culture, eventually degenerating, drifting. This obliges us, in an extremely limited number of situations, to return to a standard cell-strain, "fresh", so to speak, directly from an embryo. Unfavorable opinion.
ParlaMint-FR_2021-06-09-O1297.u18	What is the Government's opinion?
ParlaMint-FR_2021-06-09-O1297.u19	Unfavorable opinion, for the same reasons. Mrs Fiat, I remind you – but I am sure you remember – that I was the one who defended the Government's amendment creating Article 7 ter, at first reading, in the Senate, in response to the disaster discovered at the Faculty of Medicine Paris-Descartes. I further confirm that the law of 15 November 1887, which enshrines absolute respect for the human body before and after death, is still in force.
ParlaMint-FR_2021-06-09-O1297.u20	But that's not possible!
ParlaMint-FR_2021-06-09-O1297.u21	Amendment No 1317 by Mr Thibault Bazin is being defended.
ParlaMint-FR_2021-06-09-O1297.u22	I have before me four identical amendments, Nos 260, 470, 944 and 1432. I call Mr Patrick Hetzel to support Amendment No. 260.
ParlaMint-FR_2021-06-09-O1297.u23	Since human embryonic stem cells are, as their name suggests, derived from a human embryo, they should be subject to the same research regime and their shelf life should be set at seven days.
ParlaMint-FR_2021-06-09-O1297.u24	Identical Amendments Nos 470 by Mr Xavier Breton, 944 by Mrs Anne-Laure Blin and 1432 by Mr Marc Le Fur are being defended. What is the opinion of the committee on these identical amendments?
