ParlaMint-FR_2021-05-18-O1275.u1	The next item is the question to the Government.
ParlaMint-FR_2021-05-18-O1275.u2	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2021-05-18-O1275.u3	Prime Minister, tomorrow begins the first of the three stages of deconfination as defined by the President of the Republic. On that occasion, the Government wished to speed up vaccination. But the French need to know how you plan the summer period. Indeed, half of our caregivers – exhausted – will then be on vacation, which is quite legitimate. As for the French, they will move, by millions. The Minister of Solidarity and Health has indicated that they should organize their holidays according to vaccination, which is for the most part strictly impossible. [[Applause on the benches of the IDU-I group]] At the same time, you explain that you will make more vaccines available in holiday areas, especially on the coast. Only the French who, in agreement with their employers, have already set the date of their leave, cannot know today when they will be vaccinated. The completion of the second injection will pose insurmountable problems. Therefore, if vaccination is to be accelerated, it is necessary for the Government to anticipate. So we are waiting for you to explain what the French must do to receive two doses of vaccine this summer.
ParlaMint-FR_2021-05-18-O1275.u4	The Prime Minister has the floor.
ParlaMint-FR_2021-05-18-O1275.u5	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] [[Same moves. –Protests on the benches of the LR group]] To succeed in vaccination this summer, we must first continue our efforts. And here I would like to congratulate all those who helped to cross the very important course, which I had set for 15 May last, with 20 million of our fellow citizens having to receive a first dose. I would like to stress that this is a collective effort that is accountable to all health professionals, to all those who, in vaccination centres, are mobilised seven days a week. I believe that they deserve the recognition of unanimous national representation. We will continue our effort as we will receive 16 million doses in May and 30 million in June.
ParlaMint-FR_2021-05-18-O1275.u6	We'll see...
ParlaMint-FR_2021-05-18-O1275.u7	Before I answer your question, Mr.President Lagarde, I would like to point out that we have two objectives – which we share. The first is not to lose any dose,...
ParlaMint-FR_2021-05-18-O1275.u8	Yes!
ParlaMint-FR_2021-05-18-O1275.u9	What about the local authorities?
ParlaMint-FR_2021-05-18-O1275.u10	Even the doses of AstraZeneca?
ParlaMint-FR_2021-05-18-O1275.u11	... and we will reach it by expanding, as we have begun to do, the vaccination targets. The second is not to lose sight of the fact that there are still vaccine priorities that I indicated to you last December during the debate on the Government's strategy. I would remind you that some 4 million of our fellow citizens who are over the age of 75 or who suffer from co-morbidities that make them particularly vulnerable to the disease, that is, who are more likely than others to go to hospital or even to resuscitation, are not vaccinated yet. These people remain more than ever the priority of our vaccination policy. With regard to the summer period – I would point out to you that we are already preparing the next steps, such as the vaccination of this autumn and the vaccination of adolescents and children – yes, you are absolutely right, we must anticipate, at the places of destination of our fellow citizens, by strengthening the possibility for them to be vaccinated. But not just to receive their second dose: they need to plan as much as possible – I say as much as possible – their vacation dates in order to receive their second injection on the same place as the first. [[Applause on the benches of the LaREM, Dem and Agir ens groups]] We will therefore, in conjunction with the Ministry of Solidarity and Health, the regional health agencies (ARS) and the vaccination centres, organise a planning of the delivery of doses according to these requirements.
ParlaMint-FR_2021-05-18-O1275.u12	Mr Jean-Christophe Lagarde has the floor.
ParlaMint-FR_2021-05-18-O1275.u13	Thank you for your answer, Prime Minister. In the spirit of responsibility that characterizes them, Members of the IDU and independent group make three proposals to you. First, it would be a matter of opening vaccination very quickly to the youngest who will leave between 15 June and 15 September, who will travel a lot, party and who could be the source of a new wave of contamination. Since doses are coming, it is possible; Also, please, do it quickly. The second proposal concerns the vaccine pass, which is now operational.
ParlaMint-FR_2021-05-18-O1275.u14	[[Applause on the benches of the IDU-I group]] Third, when you are vaccinated, you receive a QR code on your AllAntiCovid app. However, there is a very simple solution for a Frenchman who can no longer change the date of his vacation and cannot receive his second dose at the place where he received the first: thanks to the QR code, he will be able to be vaccinated a second time, on the right date, at his vacation place. That would move things forward.
ParlaMint-FR_2021-05-18-O1275.u15	Mr Olivier Faure has the floor.
ParlaMint-FR_2021-05-18-O1275.u16	Prime Minister, we demand that the Republican police be exemplary. In return, the Republic must be exemplary with its police officers. They protect us, we have to protect them.
ParlaMint-FR_2021-05-18-O1275.u17	Bravo!
ParlaMint-FR_2021-05-18-O1275.u18	Otherwise, we would fail in our duty to guarantee the authority of the State. Authority is not a big word when it is exercised in the service of justice and law. Authority is not obscenity when protecting the most vulnerable. Authority is not an offence when it guarantees our freedoms. However, this authority is threatened whenever murders are trivialized, when assaults, intimidations on police officers, gendarmes or their families are neglected. [[Applause on the SOC benches]] Tomorrow, like many others here, we will naturally be alongside those who keep peace to show them our respect and support. But words won't be enough. No more than your interior minister's incongruous presence. This is the police-justice-penitentiary continuum that needs to be revisited. From this point of view, Beauvau's logic of safety is missing its target by not associating all of these public services.
ParlaMint-FR_2021-05-18-O1275.u19	That's right!
ParlaMint-FR_2021-05-18-O1275.u20	Police officers, gendarmes, magistrates, prison guards, integration and probation advisers form the same criminal chain.
ParlaMint-FR_2021-05-18-O1275.u21	All right!
ParlaMint-FR_2021-05-18-O1275.u22	Is there a link to give in? It's the whole chain that's broken. Therefore, each must be consolidated. [[Applause on the SOC benches]] When do you intend to make dialogue between these different forces that must not be opposed but must be combined around a common goal? Police officers, although key players in the criminal response, are too little associated with it. The procedural constraints have piled up, identical regardless of the level of seriousness of the acts in question. How and when do you intend to act? Security is a common good. It presupposes not the demagogic auctions but the unwavering determination of the entire nation.
ParlaMint-FR_2021-05-18-O1275.u23	Bravo!
ParlaMint-FR_2021-05-18-O1275.u24	The next speaker is the Minister for the Interior.
ParlaMint-FR_2021-05-18-O1275.u25	The Government shares much of what you have just said so much about the Republican police, the national gendarmerie, beyond successive governments and majorities, are the vigils of public security, the protectors of fundamental freedoms and, ultimately, the first social actors in a territory, since security, of course, is the protection of the weakest, those who cannot afford this private protection that we do not want to see as a response to their difficulties, to the violence that can affect Western societies. You mention the Beauvau of safety, but it is very little to follow the work that you do not see that the answer is included in your question... However, your political sensitivity is represented here, I am thinking of a socialist senator who could point out to you that, precisely as we speak of these issues with the guard of seals, the judicial authority is particularly prominent in relations with the police and the gendarmerie. The guard of the seals himself will be present there – so do not hesitate to consult him – next week with the representatives of the police unions, with those of the gendarmerie, with those of the local elected representatives. I would remind you that Mr Rebsamen's first deputy, mayor of Dijon, who I believe belongs to your political family, is actively involved. In fact, I thank the mayor of Dijon who took care to commend our important work in the fight against drug trafficking and to support, despite our political differences, the action of the Government. [[Applause on the benches of the groups LaREM, Dem and Agir ens. – "Congratulation! » on several benches of the LaREM group]] It is indeed important to support the police and, if I may say so, it must be supported all the time and at all times.
ParlaMint-FR_2021-05-18-O1275.u26	Mr Julien Dive has the floor.
ParlaMint-FR_2021-05-18-O1275.u27	Pro patria vigilante – "They look after the homeland", this police motto is now incomplete: the forces of law and order do not just look after themselves but sacrifice themselves to the service of the population. Stéphanie Monfermé, 49, stabbed in Rambouillet, Éric Masson, 36, shot dead in downtown Avignon, Arno Mavel, Rémi Dupuis, Cyril Morelle killed in Puy-de-Dôme in December 2020 and so many other names of victims, parents, daughters and sons killed in the performance of their duties. How can we defend the republican order when the criminal response is not strong enough? The ras-le-bol and concerns about the lack of state authority are multiplying, whether it is our fellow citizens who fear for their safety and no longer trust justice, or the police officers who suspended their participation in the Beauvau of security, or the military and police officers who publish forums to highlight an unusual malaise in society,...
ParlaMint-FR_2021-05-18-O1275.u28	Yes!
ParlaMint-FR_2021-05-18-O1275.u29	...not to mention those officials who commit suicide, like these days in Strasbourg and Amiens.
ParlaMint-FR_2021-05-18-O1275.u30	That's right, Prime Minister!
ParlaMint-FR_2021-05-18-O1275.u31	Prime Minister, under pressure from the police unions, you announced last week that the penalties for the attackers of law enforcement officials would be tightened. It's about time! It took an outbreak of violence and assassinations for you to react. Why depend on current events at a time when the state must be able to anticipate and apprehend the daily lives of police officers? But we are faced with a justice that allows a whole generation of offenders to emerge and break through. To restore confidence in authority, not only security but also justice must be restored. Today, the Assembly will consider a bill "for confidence in the judicial institution".
ParlaMint-FR_2021-05-18-O1275.u32	But not "for confidence in the Government", at least!
ParlaMint-FR_2021-05-18-O1275.u33	[[Applause on the benches of the LR group]] But how can we go beyond the intention when your seal keeper seems more concerned about his campaign for regional elections in the Hauts-de-France than with criminal reform more than necessary? [[Applause on the benches of the LR group]] Mr. Keeper of the Seals, how can you restore justice while being a part-time minister? Take care of restoring authority in this country, rather than making the Hauts-de-France your new courtroom.
ParlaMint-FR_2021-05-18-O1275.u34	[[Huties on the benches of the LR group]] The next speaker is Mr Custody of the Seals, Minister of Justice.
ParlaMint-FR_2021-05-18-O1275.u35	May he be a full - time minister!
ParlaMint-FR_2021-05-18-O1275.u36	The police unions, and that's very legitimate,...
ParlaMint-FR_2021-05-18-O1275.u37	We're not at the bar!
ParlaMint-FR_2021-05-18-O1275.u38	Tourist!
ParlaMint-FR_2021-05-18-O1275.u39	...request respect.
ParlaMint-FR_2021-05-18-O1275.u40	Respect is to be a full-time minister!
ParlaMint-FR_2021-05-18-O1275.u41	The judicial institution also deserves to be respected. I will have the honour of developing it in a moment: the police and justice are in the same republican boat. You remind us at every session your old marottes like the floor pains that would solve everything. Well, no. Because it's a fiasco and some representatives of the police unions themselves say so.
ParlaMint-FR_2021-05-18-O1275.u42	It's laxity in the Taubira!
ParlaMint-FR_2021-05-18-O1275.u43	[[Applause on several benches of the LaREM group]] The number of sentences handed down during the period 2008 to 2013 is significantly lower than the number of sentences handed down after the repeal of the floor sentences. [[Applause on several benches of the LaREM group. – Mr. Erwan Balanant also applauds]] And if you, gentlemen, have the magic solution, then let us out of the figures that would show that during this period, with these penalties floorings – which are not, you know, because they have been abandoned by the judicial institution and rightly –, come out of the figures that would show, I said, that during this period, which is so dear to you since it is the one where you were in power, delinquency would have fallen. [[Applause on a few benches of the LaREM group]] If I have enough time, I have a few figures to give you: 132,000 prison sentences were handed down in 2019, compared to 120,000 in 2015. That's what laxism is, no doubt! 113000 years in prison were handed down in 2016, compared to 89000 in 2005. That's lax, isn't it?
ParlaMint-FR_2021-05-18-O1275.u44	And what about the execution of sentences?
ParlaMint-FR_2021-05-18-O1275.u45	That doesn't mean anything!
ParlaMint-FR_2021-05-18-O1275.u46	[[Applause on a few benches of the LaREM group. – Protests on the benches of the LR group]] Between 2002 and 2020, the prison population increased by almost 25,000 people, which is not without the problems of overcrowding you know!
ParlaMint-FR_2021-05-18-O1275.u47	Mr Sylvain Maillard has the floor.
ParlaMint-FR_2021-05-18-O1275.u48	I associate the members of the France-Israel friendship group with my question. For several days in the Middle East, women, men and children have been dying under missiles. For several days, terror has prevailed in Israel and Gaza. It is not a question of keeping a macabre account, by opposing the number of victims on one side and on the other, because each death is a death of too many.
ParlaMint-FR_2021-05-18-O1275.u49	That's right!
ParlaMint-FR_2021-05-18-O1275.u50	However, 120,000 of our compatriots are among the potential victims of the more than 3,000 missiles deliberately launched on civilians, to kill, by Hamas' terrorist organization. [[Applause on a few benches of the LaREM group. – Mr Meyer Habib also applauds]] To affirm our friendship with Israel, a friendly democracy, is not to endorse the policies of its successive governments: it is to reaffirm that, everywhere in the world, France is at the side of those who are victims of Islamist terrorism. Support for the Palestinian civilian population, in great difficulty, cannot be confused with support for the terrorist organization Hamas. Like Germany and so many other European countries, France must play its full role. I know the commitment of Jean-Yves Le Drian and the President of the Republic, who visited the country last year. I know that France must be and will be at the meeting to protect our compatriots, to ensure a friendly and allied country with our support, and to carry a message of peace in the region. What initiative does France intend to take to limit the number of civilian casualties...
ParlaMint-FR_2021-05-18-O1275.u51	On both sides!
ParlaMint-FR_2021-05-18-O1275.u52	[[Applause on a few benches of the LaREM group]] ...and ensure that a cease-fire is established as soon as possible? What steps do you intend to take to relaunch a lasting peace process in the Middle East?
ParlaMint-FR_2021-05-18-O1275.u53	The next speaker is the Minister for Foreign Trade and Attractiveness.
ParlaMint-FR_2021-05-18-O1275.u54	Please excuse the absence of Jean-Yves Le Drian,...
ParlaMint-FR_2021-05-18-O1275.u55	It's the replacement for the replacement who answers us!
ParlaMint-FR_2021-05-18-O1275.u56	... which is participating at this very moment in the Foreign Affairs Council of the European Union in order to raise precisely the question of the Middle East, where the situation is serious and where the absolute priority is the ceasefire. More than 3,000 rockets have reached Israel in a few days...
ParlaMint-FR_2021-05-18-O1275.u57	Bombs also fell on the other side!
ParlaMint-FR_2021-05-18-O1275.u58	...and 800 Israeli strikes hit Gaza. There are many victims and the human balance is heavy. We must do everything to ensure that hostilities cease. I would like to reaffirm here our unwavering commitment to the security of Isräel: France condemns the rocket fire on Israel.
ParlaMint-FR_2021-05-18-O1275.u59	The opposite must also be condemned!
ParlaMint-FR_2021-05-18-O1275.u60	We must also make it very clear how worried we are about civilians in Gaza...
ParlaMint-FR_2021-05-18-O1275.u61	Well, say it!
ParlaMint-FR_2021-05-18-O1275.u62	...and demand that access to humanitarian aid be guaranteed, as is the safety of medical and humanitarian personnel.
ParlaMint-FR_2021-05-18-O1275.u63	Well, do it!
ParlaMint-FR_2021-05-18-O1275.u64	It is also important to protect journalists and all those who, through their expression, contribute to freedom of information and to public debate, as they have an essential responsibility. [[Applause on several benches of the LaREM group]] The President of the Republic and the Government are mobilized to put an end to these hostilities. A few minutes ago, President Macron exchanged with the King of Jordan and President al-Sisi, after talking to Prime Minister Netanyahu and President Abbas, in order to find a solution to bring the conflict to an end. Jean-Yves Le Drian, as I indicated, is currently working with his European counterparts in the Foreign Affairs Council.
ParlaMint-FR_2021-05-18-O1275.u65	Mr Michel Herbillon has the floor.
