ParlaMint-FR_2021-12-10-O1094.u1	The next item is the debate on the draft finance bill for 2022 (No. 4709, 4787).
ParlaMint-FR_2021-12-10-O1094.u2	The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-12-10-O1094.u3	Ladies and gentlemen, I am pleased to meet with you today to begin the re-reading of the Finance Bill (FPL) for 2022. The text you voted on at first reading, the last PLF of the quinquennium, finances the main priorities set by the Government and the Assembly for the coming years. It marks real progress, of which we can be proud: rearmament of the sovereign missions of the State; massive support for the most precarious; investment in youth and the future through increased funding for education, research and ecological transition. It's a good budget, up to our ambitions and what the French deserve. You are aware of the commitments made by the Government and the President of the Republic in this PLF: this quinquennium marks an unprecedented reduction in the taxation of both companies and households. More than 50 billion euros were returned to the French. In this regard, we have not deviated from the principle that has always guided our action: to say what we are doing and to do what we are saying. I regret the decision of the Senate not to pursue the budget discussion that we have begun on the first part of the text; by rejecting the rule of balance, he rejected the text in its entirety. However, I am confident that this new reading will provide an opportunity for further improvements. We will be able to substantially refine this bill around three priorities. The first is to refine the support and protection mechanisms that we have put in place at the end of the crisis. The second is to continue to support the economy towards the end of the crisis despite the uncertainty of the health situation. The third is to confirm the State's support for local and regional authorities; This PLF wants to mark the deepening of close cooperation with the latter. We approach this new reading with the experience of our fight against the covid crisis. We want to refine some of the support mechanisms for households and businesses, which are accompanying our country on its way out of the crisis. The tariff shield is an essential instrument for protecting the purchasing power of our citizens in the face of rising energy prices – I will submit amendments to supplement it. I will therefore be happy to discuss the implementation of a mechanism complementary to the existing tariff shield system, which freezes gas prices and limits the increase in electricity prices to 4%, as we had committed ourselves to it, and although price increases may prove to be more important than we imagined a few weeks ago. The mechanism we offer, which complements and enriches the devices introduced at first reading, is simple. In the exceptional context of price increases we are experiencing today, it allows the Government to derogate from the tariff proposed by the Energy Regulatory Commission (ERC) to smooth up price increases, avoid the return of electricity tariffs and better protect households. Small suppliers will be able to benefit from a cash advance pending tariff offsets. This mechanism will allow our fellow citizens to calmly approach the period ahead, with energy price developments becoming very uncertain. The strengthening of the tariff shield reinforces all the other measures deployed in this PLF in support of the living standards of the French. To help people in the most precarious situations, it was decided to maintain 190,000 emergency accommodation places throughout the year 2022. This is a record. Funding for emergency accommodation will thus have increased from 1.8 billion euros to 2.7 billion euros between 2017 and 2022: this increase is unprecedented. This PLF supports the most precarious and encourages work, in particular by allowing for the desocialization and desocialisation of tips paid to employees with incomes below 1.6 SMIC. I welcome the initiative of the presidential majority on this subject. This majority took their share of responsibility in this fight. I regard as a collective victory the adoption of an amendment extending the ceiling of the "Coluche" tax advantage by two years, in order to encourage donations to aid organisations for the most deprived in times of crisis. Beyond purchasing power, the discussion of this text also ensured the protection of the French against health risks. The PLF thus provides for the extension until 31 December 2022 of the application of VAT at the reduced rate of 5.5% on protective masks and hydro-alcoholic gels. It will also be proposed to generalise this measure to personal protective equipment, and I thank all Members for their contributions and the improvements thus allowed. We also pay particular attention to business support schemes. We are proposing an additional EUR 150 million for airports to cover the safety and security costs of this sector severely affected by the health crisis. As we did during the crisis, without failing to speak, we will continue to support the sectors that are being challenged by the changing health environment. This advance will be reimbursed by air transport dynamics in the coming years. Tourism has also been particularly affected by the pandemic: the Prime Minister announced an additional response to this sector with the Destination France plan. We will therefore propose to include the necessary credits in the public guarantee fund for travel and subsistence operators. However, these devices do not mean a return to "no matter what it costs." In the face of the crisis, we made decisions that were urgent. We are now in the time of tailor-made. Without in any way ignoring the extreme necessity of "whatever it costs" at the height of the crisis, we have returned to refined public action, more nuanced and less costly for our fellow citizens, without leaving aside the necessary measures to strengthen our economy. We will target the aid provided as well as the sectors supported. Parliament and the Government have worked together to extend certain crisis mechanisms, such as the Solidarity Fund, which can be opened by decree. However, it will be implemented on a case-by-case basis, taking into account the real economic and financial needs of applicants, taking into account the level of fixed costs. In other words, this PLF marks the transition from "whatever it costs" to "whatever it happens", in the direct continuity of improving our public finance performance. As such, I am pleased to recall that the debt and deficit forecasts for our State are better than those we feared in April 2021. We will pursue our target of 5% public deficit by 2022, as we committed to it when the PLF was presented last September. As a reminder, last April, we feared 5.3% deficit for 2022. This is the right balance between the infallible support we have given to economic actors and the preservation of the financial capacity of the State, which makes possible the economic results we know, which must be encouraged in the context of a gradual exit from crisis mechanisms. The results of our action are undeniably positive: the French economy is moving forward vigorously and alongside European summits with at least 6.25% GDP growth in 2021 and 4% in 2022. Instead, the Bank of France forecasts growth for 2021 of 6.7%, which would result in new revenues to reduce the government deficit by 2021. For our citizens, this exceptional economic environment has very direct consequences: the unemployment rate has thus stabilized below 8% of the working population, at the lowest in more than ten years. The employment rate stands at 67.5%, the highest level since 1975, which means that we are in the process of succeeding in reducing the employment of men and women who were permanently away from it. We have already achieved the objective of returning to our pre-crisis level of activity, which we had set ourselves by 2022. With this PLF, we want to encourage and strengthen these economic results. That is why we asked you to adopt the necessary appropriations for the France 2030 investment plan, amounting to €3.5 billion in payment appropriations (CP) and €34 billion in commitment authorisations (EA). These spending, appropriations and actions are accompanied by an ambitious skills investment plan, the cornerstone of sustainable and as inclusive growth as possible. For example, EUR 15 billion has been mobilised since the beginning of the quinquennium to develop the skills of people furthest away from employment or with disabilities, and to respond to the challenges of tomorrow's economy, by enabling companies to rely on trained people whose skills meet their need for competitiveness. We are continuing our efforts for business and innovation. The PLF for 2022 voted at first reading already reflected great progress in this area. In particular, the tax credit for collaborative research will help to maintain an incentive to subcontract research spending to public bodies despite the disappearance of the double base mechanism for the research tax credit, which will expire on January 1. This is the demonstration that we can find innovative solutions to meet our public policy objectives. I will give a favourable opinion on the majority amendment to raise the ceiling for expenditure eligible for this 'collaboration' tax credit; It goes in the right direction and allows us to take a step in supporting innovation and research. These aids are welcome to support our economy in its recovery momentum. However, they do not constitute a blank-sing for expenditure: this is why the PLF provides for new tools in the fight against tax fraud. The bill substantially improves the effectiveness of prevention and control mechanisms. It strengthens the fight against tax fraud by, for example, opening up the possibility for commercial court clerks to alert the tax administration, or by facilitating the detection of tobacco smuggling in e-commerce parcels. It also extends, for two years, the experiment aimed at paying tax advisers. As a reminder, this system was created in 2016 to allow the tax administration to compensate those who would have provided it with information that led to the discovery of a breach of international tax rules. The effectiveness of this action is no longer to be demonstrated: as of 1 September 2021, they had made it possible to recover EUR 110.32 million of duties and penalties. We wish to continue with this system, and I welcome the work of both the majority and the opposition on this subject. Beyond fraud, I presented at first reading a number of measures aimed at ending "tax gaps", i.e. loopholes in tax legislation that are contrary to our objectives to combat tax optimisation schemes. Finally, the new reading of this PLF will allow us to adjust the arrangements put in place in favour of local and regional authorities, as since the beginning of this quinquennium. Our discussions will allow us to draw the consequences of amendments adopted at first reading, but also to supplement the amount of constitutional guarantees that we owe to the regions because of the powers transferred to them. For example, we will propose adjusting their share of the domestic consumption tax on energy products (ICTPE). This new reading also allows us to clarify the modalities of experimenting with the recentralisation of active solidarity income (RSA) for the departments which will apply before 30 June 2022 and which will enter into the experiment on 1 January 2023, in line with article 35 of the draft law on differentiation, decentralization, deconcentration and various measures to simplify local public action (3DS). Finally, it allows us to co-finance with the regions the training leading to the diplomas of nurses and health-care workers amounting to EUR 139 million in commitment authorisations and EUR 39 million in payment appropriations. This strong and symbolic measure allows us to accompany and improve the training of the medical professions, to which we owe so much. [[Applause on the benches of the LaREM and Dem groups]] This budget is fair and serious, it reflects our results and strengthens our policy. It enables investment in future growth and supports the quinquennium's broad orientations, as well as measures taken to address the crises we have encountered since then. The new reading of this PLF should provide an opportunity to continue our efforts and consolidate the provisions we propose. I thank you for the work carried out in the Committee on Finance and in this House since the beginning of the examination of this text.
ParlaMint-FR_2021-12-10-O1094.u4	Mr Laurent Saint-Martin, rapporteur-general of the Committee on Finance, the General Economy and Budgetary Control, has the floor.
ParlaMint-FR_2021-12-10-O1094.u5	On November 23, the Senate rejected, at first reading, the balancing clause of the 2022 Finance Bill. He thus, in fact, rejected the text as a whole. Consequently, the Joint Joint Committee (JCJ), which met on 1 December, could only note the impossibility of drawing up a common text. The Senate motivated its rejection of the PLF for 2022 by arguing that public spending would not be controlled. It is true that, when the text was discussed in the National Assembly at first reading, the Government proposed new budgetary measures to ensure the implementation of the France 2030 plan, the Young Engagement Contract (JEC) and the plan to reduce recruitment tensions. All these provisions were then largely, if not unanimously, approved on the benches of the National Assembly. Had the Senate examined the appropriations in the second part of the text in public, would it have refused to adopt these new means? In any event, it does not appear from the work of its Finance Committee on the tasks of the State budget that the Senate was in the process of abolishing these arrangements. Nor did it propose to reduce other budget allocations to move from speeches to acts of budgetary rigour. It is more than regrettable that the Senate did not reflect its intentions in its vote. The control of public expenditure is arduous enough not to deprive oneself of a practical exercise, especially when advocated. It is true that it is easier to refuse the expenditure barrier and to keep the ability to expand the deficit by examining only the fiscal component of the finance bill, as the Senate has done. Fiscal balance cannot be defined either as a guarantee of new, indeed costly tax measures, or as a mere prospect of return in the fight against tax fraud and tax evasion, as proposed by the Senate.
ParlaMint-FR_2021-12-10-O1094.u6	All right!
ParlaMint-FR_2021-12-10-O1094.u7	I also note that the latter did not question the tariff shield put in place in order to limit the increase in the cost of electricity and gas for the French. [[Mrs Stella Dupont, Catherine Osson and Marie-Christine Verdier-Jouclas applaud]] In summary, the Senate has simply demonstrated, if necessary, that a political posture is not an effective strategy for controlling public spending.
ParlaMint-FR_2021-12-10-O1094.u8	Yes!
ParlaMint-FR_2021-12-10-O1094.u9	It is therefore up to the National Assembly to vote again on the text it adopted on 16 November, without the benefit of the work of the shuttle, which is nevertheless at the heart of the bicameral function. The 2022 Finance Bill contains important provisions on purchasing power. First of all, the indexation of the income tax (IR) instalments on non-tobacco inflation, which represents a 1.5 billion euro gain in purchasing power for taxpayers subject to income tax, will be added to the one linked to the gradual and soon definitive abolition of the housing tax for all French citizens. Let us also remember the security of the tax credit for the employment of an employee at home and the defiance of tips while the hotel and catering sector has been particularly affected by the health crisis and which it struggles to recruit to respond to a vigorous recovery in consumption. Finally, let us recall the welcome extension, in the current health context, of the reduced VAT rate of 5.5% on masks and hydro-alcoholic gel. This text also reflects part of the plan in favour of the self-employed, with the simplification and extension of the option periods for the tax systems specific to their results, the improvement of the schemes for the divestiture of their business and the temporary possibility, at the end of the crisis, of tax depreciation of their commercial funds. In addition, this bill contains a series of consistent provisions to combat tax evasion and evasion. The first is the creation of a presumption of ownership of 10 per cent of trust entities for the taxation of income from States with preferential tax regimes. This is then the possibility for the tax administration to sanction VAT fraud based on fictitious exports. Finally, these measures are the result of the work presented on 29 September by Eric Woerth, the Chairman of the Finance Committee, and Zivka Park, as part of the information mission on tobacco consumption and the efficiency of its taxation during confinement. Provision is made for an extension of the presumption of fraud to packages containing tobacco shipped from France and a doubling of fines for the illicit manufacture, possession, sale or transport of tobacco. This bill also contains strong measures in favour of housing. In addition to the extensions and adjustments to the zero-rate loan schemes (ZTPs), a major reform of the "Affordable Rent" tax deduction scheme is under way. It is based on its transformation into a tax reduction and on the favour granted to social and very social rental intermediation. In addition, the concomitant preservation of the tax advantage enjoyed by the construction of intermediate rental housing and the tax resources of the municipal block is permitted by the replacement of a 20-year land tax exemption on built properties (TFPB) with a corporation tax credit of the same amount and for the same period. Similarly, the loss of TFPB resulting from the exemption granted to the production of registered social rental housing until 30 June 2026 will be fully compensated by the State to the local authorities for ten years. This text also promotes new public policies. This is the case with the France 2030 plan, with €34 billion in commitment authorisations over the next decade and €3.5 billion in payment appropriations as early as 2022. While unemployment results have been unprecedented for 15 years and many sectors find it difficult to recruit, an additional effort of more than EUR 1 billion is planned for the work and employment mission in order, on the one hand, to better support the young people furthest from the labour market, through the creation of the young contract of engagement giving rise to the receipt of an allowance and, on the other hand, to carry out the plan to reduce the recruitment tensions announced by the Prime Minister on 27 September 2021. Finally, this draft finance law contains many provisions in favour of local and regional authorities. I will not go back to the measures in favour of protecting the product of the TFPB sitting on new housing. Let us remember again and again: the overall operating allocation (GF) will be stable in 2022, for the fifth year in a row, in accordance with the commitment made at the beginning of the quinquennium, and contrary to the very marked decrease observed at the previous quinquennium. This text also provides an opportunity to respond in detail to the concrete problems encountered by certain local and regional authorities. For example, it provides for compensation to the regions, for more than 10 million euros, for the effects of the fall in production taxes, as well as the budgetary means and the guarantee of the State, in favour of the reconstruction and renovation of many schools in Marseille, following the announcement of the Marseille plan in large. During the discussion of the text on a new reading, the Finance Committee did little to change the text it had adopted at first reading. However, on the proposal of Mrs Sage, Mr Pahun and Mrs Panonacle, the Commission has endeavoured to increase the excess depreciation for the acquisition of auxiliary decarbonised propulsion from 20 to 105 %. I then gave an opinion of wisdom because this is an important issue, while stressing that the agreed rate should certainly be reviewed in the sitting. Ultimately, this draft finance bill foresees a government deficit reduced to 5% of GDP, after a forecast of 8.2% in 2021. In 2022, the debt ratio stood at 113.5 per cent of GDP, compared with 115.3 per cent in 2021. These developments, which are encouraging in view of our country's ability to control its public finances in the future, are the result of the anticipated decline in emergency expenditure related to the health crisis. However, it should be borne in mind that the protection of the French will continue to have a cost in 2022. From a health point of view, it can be hoped that it will only be residual for the State budget, even if social expenditure on vaccines and tests will remain legitimately high. With regard to the "whatever it costs", if new funding were to be allowed for the emergency mission, it would unfortunately mean that the epidemic is not behind us. With regard to the fight against price rises, the collective effort, already massive in 2021, will continue in 2022, with the anticipated reduction of the internal tax on final electricity consumption (TICFE) for EUR 5.9 billion, the inflation allowance for EUR 3.8 billion and the aid provided to companies which are subject to the blockage of gas prices. [[Applause on the benches of the LaREM group]] I therefore propose that you pass this finance bill again. It is almost the same text as the one adopted at first reading: it has only been amended to take account of the few advances I have just proposed.
ParlaMint-FR_2021-12-10-O1094.u10	Mr President, the Committee on Finance, the General Economy and Budgetary Control has the floor.
ParlaMint-FR_2021-12-10-O1094.u11	We are nearing the end of the budget review for 2022, the last of this quinquennium. This year will have been exceptional in many ways: by the health crisis that was thought to be over but which, unfortunately, does not seem to be stopping; by the extent of the funds mobilized to support our economy – 90 billion euros of recovery and support expenditure in 2021; by the extent of the increase in current expenditure in times of crisis – 48 billion euros in 2021 and 100 billion euros in three years. It will also have been done, Mr.Minister Delegate, by the record number of amendments tabled by the Government on the text. I had also raised the subject at first reading when almost 130 amendments had been tabled at the last minute. This is obviously a way of avoiding serious scrutiny by the committee, since we do not have time to look at them. This is still the case this time. For this new reading, some forty amendments have still been tabled by the Government, which are obviously not just deletion amendments: there was no question of re-establishing a text which, in substance, is that of the National Assembly. The copy that we are correcting today until the last moment is the same one that we adopted at first reading on 16 November. The Government continues to constantly amend its own text, no doubt in order to adapt to the current situation. This inflation of the number of amendments has led to a deterioration of the state's fiscal and budgetary balance, since at the end of the first reading you have reduced the revenue by EUR 5 billion compared to the balance presented in the original draft law and increased the expenditure by EUR 6.8 billion, due to the additional budgetary appropriations. In the end, the government's deficit deteriorated by almost EUR 12 billion compared to the original finance law, reaching EUR 155 billion, notably due to the France 2030 investment plan – the provision of payment appropriations amounting to EUR 3.5 billion, for example, in 2022 – measures for skills development and integration into employment – Young contract, a plan to reduce recruitment tensions – or measures taken to deal with inflation, particularly in the field of energy, through the energy premium. I'd like to focus a little on this last one. By the end of September 2021, regulated electricity prices were expected to increase by approximately 12% by February or March 2022, due to rapid price growth in wholesale markets. To deal with this, section 8d of the 2022 Finance Bill provides that the rates of the TICF for residential users will be reduced in order to limit the increase in regulated electricity tariffs, scheduled for February 2022, to an average of 4%. However, the forecast for the growth of regulated electricity tariffs has been revised upwards over the past few days: an increase of between 20 and 25 per cent – compared to an initial estimate of 12 per cent – is now reported in 2022. The application of a simple arithmetic rule leads to a total cost of almost EUR 12 billion. In other words, even a total suspension of the TICF would not in itself compensate for the extra cost of the tariff shield, since the total revenue of this tax is EUR 8 billion. To deal with this worsening situation, you introduced an amendment at first reading which provides for a regulated freeze on gas sales. You now want to have an equivalent measure adopted for regulated electricity sales tariffs. To do this, you need to free yourself from the CRE's recommendations in order to set a regulated selling tariff below what it should be, designed to ensure price stability. At first reading, you estimated the various measures voted to contain the rise in electricity and gas prices at just over EUR 5 billion for the loss of tax revenue on electricity and EUR 1.2 billion for gas suppliers. The situation in which we are faced with the dramatic rise in energy prices, particularly those of electricity, is delicate. No one can reasonably impute it to you, but you bet that the increase will not last next year and that everything will come back in order in the coming months. It's a very risky bet. What if this increase continues? What's Plan C going to be? One can legitimately question a possible further deterioration of the budgetary balance for 2022, that you keep to 5% whatever happens. I understand that the impact of the crisis, uncertainties about the future and tensions of all kinds translate into deficits and additional expenditure. However, since the beginning of this quinquennium, you have been unable to make it clear that public finances are your priority, which I regret. Your message could have been to prove to all French people that public finances are part of our sovereignty.
