ParlaMint-FR_2021-10-11-O1008.u1	The next item is the debate on the draft finance bill for 2022 (No. 4482, 4524).
ParlaMint-FR_2021-10-11-O1008.u2	The next speaker is the Minister for Economic Affairs, Finance and Recovery.
ParlaMint-FR_2021-10-11-O1008.u3	I am very pleased to introduce, together with the Deputy Minister for Public Accounts, the fifth five-year Finance Bill (FPL).
ParlaMint-FR_2021-10-11-O1008.u4	And the last one!
ParlaMint-FR_2021-10-11-O1008.u5	There are two ways to view this finance bill: as the last of President Emmanuel Macron's quinquennium, or as the first of the exit from crisis.
ParlaMint-FR_2021-10-11-O1008.u6	Yes!
ParlaMint-FR_2021-10-11-O1008.u7	The first of the new era!
ParlaMint-FR_2021-10-11-O1008.u8	You will allow me to see it as the first finance bill to come out of the crisis and restore our economy, the first finance bill in the decade of sustainable growth that we want to build with the majority. I would first like to address the majority, just to say, thank you: thank you for your unwavering support, thank you for the quality of our joint work over the last five years,...
ParlaMint-FR_2021-10-11-O1008.u9	Bravo, really...!
ParlaMint-FR_2021-10-11-O1008.u10	...thank you for your tireless struggle to overcome political divisions and bring concrete solutions to the problems of the French.
ParlaMint-FR_2021-10-11-O1008.u11	Ah!
ParlaMint-FR_2021-10-11-O1008.u12	I continue to think, since 2017, that the solutions are not right or left, right center, left center or left centered: the solutions are French or they are not; They are national and European, or they are nothing.
ParlaMint-FR_2021-10-11-O1008.u13	Yes!
ParlaMint-FR_2021-10-11-O1008.u14	They're European!
ParlaMint-FR_2021-10-11-O1008.u15	So continue to wage just fights – not right-wing fighting, not left-wing fighting, just fighting: the fight for equality between women and men, embodied by Mrs Marie-Pierre Rixain's bill of law, is a just and necessary fight for France; the fight for the regulation of digital platforms, following the agreement on international taxation, is a just and necessary fight for France and for Europe; The fight for the reform of the European energy market is a just and necessary fight for all European states without exception. It is these struggles that will give meaning to your political action; These are the battles that the French will recognize. By the majority, I would also like to say: be proud of what you have accomplished. Bring the economic and financial balance of the President of the Republic to the fort, because this balance sheet is yours. Oppositions are attacking us – it's their role, let's not blame them...
ParlaMint-FR_2021-10-11-O1008.u16	Thank you!
ParlaMint-FR_2021-10-11-O1008.u17	Your role is to respond to these attacks, calmly and firmly. To those who say that you let the debt go,...
ParlaMint-FR_2021-10-11-O1008.u18	That's right!
ParlaMint-FR_2021-10-11-O1008.u19	[["Yes! On a few benches of the LaREM group. – Ms. Cendra Motin applauds]] [[Exclaims on a few benches in the LR group]] ... remember loud and clear that you are the first majority to have brought the government deficit below 3% of GDP in 2018, for the first time in eleven years. Remember that you have stopped the explosion of the public debt since 2010; Remember that you removed France from the excessive government deficit procedure. Be proud of these results!
ParlaMint-FR_2021-10-11-O1008.u20	Perfectly!
ParlaMint-FR_2021-10-11-O1008.u21	Remember that you have achieved these results through courageous decisions: you have reformed the functioning of the chambers of commerce and industry; you have reduced assisted jobs; You voted for the reform of the public audiovisual system: these courageous decisions, which no one had the courage to take before you, allowed us, between 2017 and 2019, to restore the public finances of France. So we have no lesson to learn from anyone about restoring public finances – and certainly not from those who want everything and its opposite: more spending but additional savings, being prodigal in the countryside but austere in the Finance Committee... Coherence does not stifle them! Put before their contradictions those who criticize the drift of public spending but constantly propose new spending, those who sound alarm bells with one hand but tend the sebile of the other, those who want less public investment but more growth, less public spending but more police, more military, more gendarmes, more hospitals, better paid teachers, and more subsidies for businesses.
ParlaMint-FR_2021-10-11-O1008.u22	Yes!
