ParlaMint-FR_2021-11-10-O1057.u1	The next item is the debate on the draft amending finance law for 2021 (No. 4629, 4659).
ParlaMint-FR_2021-11-10-O1057.u2	The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-11-10-O1057.u3	This second amending finance bill – PLFR – for 2021, known as the "end-of-management" bill, confirms the validity of the Government's strategy for supporting the economy and the public most affected by the crisis. It marks a marked improvement in our public finances and shows control over public spending, illustrating the good balance in our economic and budgetary policy. As the crisis ends, we can state loud and clear that Parliament and the Government have met the challenge: we can collectively turn proudly over the past two years. This is the first idea I want to defend in front of you. Indeed, in the face of the health, economic and social emergency, the joint action of Parliament and the Government was able to find quickly the effective, necessary and proportionate solutions to protect the economy and the French. We started by supporting businesses as well as households. The Solidarity Fund has enabled more than 2 million companies to break the budget deadlock by mobilising the equivalent of EUR 37 billion. State-guaranteed loans, or EMPs, deployed for EUR 141 billion, benefited 690000 companies. As announced by the President of the Republic, they will be extended until 30 June 2022. I will also propose an amendment to that effect. The main tax deadlines have been postponed to consolidate the short-term cash flow of the professionals: in total, the carry-over amounted to 3.6 billion euros, which helped the companies. By supporting businesses, the Government had sought to maintain employment and preserve skills. We have saved the rebound capabilities of our economy. Labour costs were largely covered by the State through the partial activity scheme, which involved almost 9 million employees at a total cost of 42 billion euros, of which 35 billion were borne by the State budget. At these difficult and unforeseeable times, Parliament has fully assumed its role. In this respect, I will mention two key points which illustrated the unity and coherence of our response to the crisis in the year 2021. On 12 May 2021, first of all, the Government presented to you a draft decree in advance allowing the redeployment of €7.2 billion to partial activity and solidarity funds; On the same day, your commissions issued an opinion and the order could thus be issued very quickly, on May 19. In this way, you have helped to enable the Government to respond urgently to a darkening economic situation. Also aware of the economic and social urgency, you renewed your support for the review of the first amending finance bill for 2021, which provided $9.8 billion for the Mission's Emergency Plan arrangements. In view of the efforts made, we can collectively be proud of the results of joint economic action. Today, the situation is different and we must pursue with caution and pragmatism the gradual extinction of emergency measures. Thus, the arrangements of the Solidarity Fund, the exemption from social contributions and the partial activity have been gradually refocused since the summer of 2021, as the activity resumed and the needs diminished. They are now removed or focused on the most difficult companies. Bruno Le Maire and I have announced the end of the fixed cost scheme. This is one of the reasons why we propose to cancel more than EUR 2 billion of unconsumed emergency appropriations for the year 2021. Once the emergency had passed, we embarked on a turning point: the revival, with a stimulus plan of more than $100 billion over two years, which was debated during the consideration of the 2021 finance bill. Why? To revive the economy and enable it to respond quickly after a historic crisis. In what way? By giving priority to the actions most useful to our country's economy. This is, first of all, the energy transition. We collectively, Government and Parliament, committed to mobilizing $30 billion for greening our economy and energy transition. MaPrimeRenov'or ecological bonus have become emblematic features of this policy. All actors are mobilized in this collective effort. For example, of the 4,214 government buildings we have planned to renovate, more than 2,500 have already undergone energy renovations. The industry was able to benefit from state support of 700 million to support its investments in less carbonised production processes. Secondly, we have given priority to the competitiveness of enterprises, with a total of 34 billion credits, in particular to support for export or investment and the modernisation of the economy. Thirdly, the social and territorial cohesion of our country has been and remains one of the priorities of the recovery plan. In this respect, it is emblematic that no less than 800,000 apprenticeship contracts have been concluded to boost local employment within the framework of France Recovery. Since the first stone of the recovery plan was laid, our efforts have not weakened. I see this every week when I travel to the local actors, the recovery is being carried out today with strength and speed. In line with our commitments, at the end of this year we will have committed $70 billion out of the €100 billion planned for recovery. Even more striking: the economic results are at the rendezvous. While our objective was to return to our pre-crisis level of activity next year, we exceeded that objective. As well as the youth employment rate, unemployment also returned to its level at the end of 2019 and even at the end of 2007, which is the best result in 14 years. In this period of support for the economy, we have never forgotten that the crisis has hit the most fragile audiences. We can be proud to have supported the economy as a whole, but also all our fellow citizens – resourceless students, interim students, intermittent students, unemployed people and all the other faces of precariousness, which have been at the centre of our debates and our concerns. Even today, the imbalances caused by the crisis remain relevant and threaten some of our fellow citizens in particular. That is why the amending finance bill that I am presenting to you accompanies the State's protective actions towards the people most in difficulty, in the continuity of the measures taken so far. We wanted to combat inflation and the difficult endings of months: that is why this text takes note of the inflation compensation announced by the Prime Minister. All our fellow citizens – wage earners, self-employed, pensioners, unemployed, recipients of social minimums, scholarship students – receiving less than 2000 euros net monthly, will receive this benefit in the amount of 100 euros. This measure will be effective because it is simple to apply. It was the simplicity, the speed, the automatic nature of the benefit of this allowance that guided us when we built the parameters of the method by which it would be paid. This inflation allowance is of course in addition to the exceptional energy check of EUR 100, which will benefit 5.8 million households, at a cost slightly less than 600 million. The specific support given to some of our compatriots does not stop at inflation compensation, which is part of a broader package. For example, EUR 15 million for the financing of the baby box, which accompanies households during the first thousand days following the birth of their child by providing them with the necessary equipment for the proper running of this key period for a child's life. In order to help those who need it most, this measure will target the priority areas of city policy and the areas of rural revitalization. I will also mention the appropriations for the freeze plan, which will be financed by this text in order to support farmers in the face of the hazards of climate change. With EUR 500 million proposed on the Agriculture mission, we will continue the commitment made by the Head of Government to mobilise EUR 1 billion to support farmers affected by the consequences of last spring's freezing episode. Finally, we are undertaking a series of measures aimed at young people, including the increase, financed in this text, in the amount of scholarships for all levels since the beginning of 2021, or the financing of crisis measures – I am thinking of psychologists' consultations, tutoring or the provision of certain materials, such as sanitary protections. I would also like to highlight the attention and support given by this amending finance bill to local and regional authorities, in line with all the financial texts that we have submitted to Parliament. It provides €800 million in repayable advances to Île-de-France Mobilitys, after €1.2 billion in 2020, and €200 million in grants. This may be what some call "burning the caisse", but it is useful help and those who blame us are sometimes the first to ask for state assistance and the release of credits.
ParlaMint-FR_2021-11-10-O1057.u4	Absolutely!
ParlaMint-FR_2021-11-10-O1057.u5	We also expect EUR 400 million of the call for clean-site public transport projects for the mobility organising authorities, as well as the strengthening of the fund for the rehabilitation of wasteland, for 400 million, in order to meet the commitment of doubling this plan for which a second call for projects is under way, the continuation of the plan Montagne with 170 million, the abundance of the stabilization fund of the departments to raise it to 200 million, as we had committed to it, and additional funding of the masked endowment, to which we had also committed ourselves to cover all applications for reimbursement from the communities. Even if it does not concern this PLFR, I would add, with regard to support for the communities, that I will propose to you this evening or Friday an amendment to extend, for fiscal year 2021, the specific support scheme for the authorities operating industrial or commercial services, as we had done for fiscal year 2020 on the occasion of the PLFR in July.
ParlaMint-FR_2021-11-10-O1057.u6	That's a good thing!
ParlaMint-FR_2021-11-10-O1057.u7	This Government is therefore the government of support for household purchasing power, which is targeted as much as possible to those who need it most. I come to the second idea that I want to defend before you: this finance bill once again illustrates our fiscal seriousness, including in times of crisis. First of all, the Government's strategy has allowed for a very strong rebound that mechanically reduces the burden of deficit and debt on our GDP. The improved macroeconomic outlook illustrates and confirms the effectiveness of the Government's policy of support and recovery. This efficiency is measured in terms of growth, which we have increased from 6% to 6.25%. As we announced with Bruno Le Maire, we will change the macroeconomic scenario, which will result mechanically in additional revenue for the state, for fiscal year 2021 as well as for fiscal year 2022. In addition, as I said a moment ago and INSEE confirmed on 29 October, the employment situation is a vivid proof of the success of the recovery plan, with an unemployment rate now estimated at 7.6%, the lowest in 14 years. These results demonstrate that the reforms carried out since the beginning of the quinquennium by the President of the Republic and the Government have produced concrete results, which we have strengthened and strengthened through emergency and recovery measures. They result in a reduction in the government deficit and public debt reported to GDP compared to our previous forecasts. I also confirm that if the growth recorded in 2021 was greater than 6.25%, the surplus revenue would have the effect of reducing the level of the public deficit. We have been able to find a good balance between the seriousness and the expenditure needed to cope with the crisis. We will not let anyone say that we have let the expenses go: it is a criticism based on sand, issued by those who would certainly never have managed such a crisis.
ParlaMint-FR_2021-11-10-O1057.u8	That's not nice of the opposition!
ParlaMint-FR_2021-11-10-O1057.u9	The first sign of our serious budget: like every year, the end-of-year PLFR cancels appropriations to finance the needs that have arisen during the year, in particular by mobilising the inter-ministerial reserve, and to draw the consequences of the smallest consumptions over the year. Beyond these usual movements, it also provides for a cancellation of more than 2 billion euros on the mission Emergency plan in the face of the health crisis. In accordance with the timetable for phasing out emergency aid, we are putting an end to the most expensive schemes. We also propose that you cancel the appropriations made available under the first financial act amending the appropriation for accidental and unpredictable expenditure of 1.5 billion, which we did not need to mobilise in view of the improvement of the health and economic situation in recent months. I would also like to point out that the execution of the expenditure on the so-called ordinary budgets of the ministries in 2021 will be in line with the level provided for in the original finance law, with the exception of the financing of the inflation compensation and the measures to compensate for the loss of revenue linked to the health crisis for the benefit of particular operators in the field of culture, but also to the benefit of France for which we will strengthen the support of the State of 2 billion. Finally, the State's total expenditure has been controlled and is down from the forecast of the first amending finance law for 2021. The Government's expenditure target, which covers almost all of them, is estimated at 534.6 billion by 2021, integrating the forecast of expenditure of the Mission's emergency plan against the health crisis to the tune of 36.3 billion. In total, the upward revision of growth, the cancellation of emergency surplus appropriations and the control of ordinary expenditure allow us to reduce the deficit by 2021 and to meet the target of 5% of the public deficit by 2022, as we had set it. I would point out that the reduction of the deficit for 2021 brings it, in the macroeconomic scenario that we have presented to you, to 8.1%, but I will have the opportunity to propose an amendment to raise it slightly to 8.2%, the Senate having adopted an amendment that raises the level of the national health insurance expenditure target (ONDAM) of 1.7 billion to deal with the health crisis in 2021. Due to rounding, this mechanically leads us to revise the deficit to 8.2 per cent, but we are well below the 9.4 per cent in the first amending finance bill. Similarly, last spring we estimated that our debt would reach 117.8 per cent of GDP in 2021 and 116.3 per cent in 2022: it will finally be 115.3 per cent in 2021 and 113.5 per cent in 2022. So our public finances are better than we expected last spring.
ParlaMint-FR_2021-11-10-O1057.u10	With a few cash transactions!
ParlaMint-FR_2021-11-10-O1057.u11	This does not mean that we have finished, on the contrary, with the efforts that are still needed to return to a more sustainable path and on the road to the normalisation of public finances. [[Applause on a few benches of the LaREM group]] We would make a serious mistake if we suddenly stopped the various arrangements, if we wanted to correct the public accounts too quickly. On the contrary, we favour a gradual exit and concentration of the resources allocated to the public policies that are most effective and to the benefit of those who need them most, with the objective of growth, employment, growth because it generates revenue, generates wealth and thus enables us to meet our commitments. That's the meaning of the PLFR I'm proposing.
