ParlaMint-FR_2021-10-26-O1032.u1	The next item is the question to the Government.
ParlaMint-FR_2021-10-26-O1032.u2	Mr Pierre-Yves Bournazel has the floor.
ParlaMint-FR_2021-10-26-O1032.u3	[[Exclaims on the benches of the LR group]] [[Applause on the benches of the Action ens group]] [[Same movements]] [[Same movements]] [[Same movements]] [[Same movements]] Since 2017, the presidential majority has been acting for the purchasing power of French and French people, and some of our colleagues on the benches of the Republicans group or the Socialists group have supported François Hollande and have increased the contributions, taxes and taxes of our fellow citizens. We have been acting for purchasing power since 2017. Who exempted 80% of the French from housing tax? It's the presidential majority! Who dropped the income tax? It's the presidential majority! Who introduced the remaining zero charge on glasses and dental and auditory prosthetics? It's the presidential majority! Who has increased the minimum old age, the allowance for adults with disabilities, childcare assistance for the most modest families, the activity premium and the remuneration of 450,000 staff members in category C? It's the presidential majority! We are therefore legitimate to fight today for the purchasing power of the French. [[Exclaims on the benches of the LR group]] While the recovery is there, growth is forecast at more than 6%, we are witnessing an increase in energy demand on an international scale, which means higher prices. The Government has announced, in a reactive and efficient manner, an energy check and then an inflation allowance of 100 euros for all our fellow citizens earning less than 2000 euros net per month. We support these measures. [[Applause on the benches of the Action ens group. – Noise on the benches of the LR group and on various benches]] Mr Minister responsible for public accounts, can you explain to us how these 100 euros will go very quickly to the French homes and how, in the long run, to curb the inflation which worries many of our fellow citizens?
ParlaMint-FR_2021-10-26-O1032.u4	What an impertinent question!
ParlaMint-FR_2021-10-26-O1032.u5	[[Applause on the benches of the LaREM, Dem, LR, Agir ens and SOC groups]] Colleagues, please! Generally speaking, we must arrive on time and then listen to the speakers and the answers. The next speaker is the Minister for Public Accounts.
ParlaMint-FR_2021-10-26-O1032.u6	Mr President, you are right to recall what the majority has done for the purchasing power of the French.
ParlaMint-FR_2021-10-26-O1032.u7	It's opportunism!
ParlaMint-FR_2021-10-26-O1032.u8	We have two guidelines. The first is to revalue business income. This has led us to increase the activity premium by EUR 100 at the level of the SMIC, to exempt overtime from taxes and taxes and to exempt certain employees from contributions, so that those who work can earn better. It is also to help the most fragile, and you rightly recall the unprecedented increases of 90 euros in the allowance for adults with disabilities and 100 euros in the minimum old age. This represents, in each case, more than 12% increase, which had never occurred. We also struggled on the tax front, with the housing tax measures, but also, in 2020, with the reduction of the income tax for households subject to the first two tranches. In the face of the recovery we are experiencing, and the inflationary tensions that all economists agree to consider temporary, but undeniable, we wanted to protect the purchasing power of the French from rising fuel and energy prices. This has led us to three decisions. The first, which you have recalled, concerns energy cheques, which will be sent in the next few days to the 5.8 million most modest households...
ParlaMint-FR_2021-10-26-O1032.u9	What about the average income?
ParlaMint-FR_2021-10-26-O1032.u10	[[Applause on the benches of the LaREM groups and Action ens]] ...to allow them to pay electricity, gas or oil bills. The second decision, adopted by the National Assembly, concerns a tariff shield which allows the increase in the price of electricity to be limited to 4% and gas prices to be capped until April. The third is the desire to support our fellow citizens in the face of inflation. The Prime Minister has thus announced the payment of a premium of 100 euros to 40 million French, those who earn less than 2000 euros net per month. It will be quick: a large part of the French concerned will receive this bonus in December, the others in January. The payment will be automatic, through employers, the USSRAF, the CROUS or pension funds. This measure will be neutral for employers, as it does not reimburse a credit on social contributions payable on the first maturity. Above all, we will not have to ask for this payment, which will be automatic for the French.
ParlaMint-FR_2021-10-26-O1032.u11	Mr Jean-Paul Lecoq has the floor.
