ParlaMint-FR_2021-07-06-E1003.u1	The next item is the question to the Government.
ParlaMint-FR_2021-07-06-E1003.u2	Mrs Duby-Muller has the floor.
ParlaMint-FR_2021-07-06-E1003.u3	Prime Minister, insecurity is not just a feeling, but a reality that explodes in our face.
ParlaMint-FR_2021-07-06-E1003.u4	Exactly!
ParlaMint-FR_2021-07-06-E1003.u5	Femicides are the result of this situation of ultraviolence. Again, last Friday in Bordeaux, a woman was fatally stabbed by her ex-companion. Sandra had, however, done everything possible to protect herself, writing to the prosecutor on multiple occasions and filing two complaints of harassment and psychological abuse. She always felt stalked by this man with obsessive behavior that harassed her with messages; This man, who has been convicted eight times for traffic offences and the use of narcotics, has never been convicted of domestic violence. Prime Minister, there are still too many holes in the fight against domestic violence. It's not for lack of legislating. Our political family has always been at the initiative in the fight against domestic violence...
ParlaMint-FR_2021-07-06-E1003.u6	That's right, she's right!
ParlaMint-FR_2021-07-06-E1003.u7	... in particular with the bill adopted in October 2019, defended by my colleague Aurélien Pradié, which allows for better care for women, as well as easier access to protection orders and to the wearing of anti-approximation bracelets. We also continue to make proposals: the creation – on the model of Spain – of specialized courts that shorten the time for judgement to seventy-two hours; doubling the number of emergency accommodation places; new experiments, such as the creation of apartments for violent spouses, so that victims do not suffer double punishment by having to leave their homes. The observation is clear: the criminal chain does not work.
ParlaMint-FR_2021-07-06-E1003.u8	Yes!
ParlaMint-FR_2021-07-06-E1003.u9	[[Applause on the benches of the LR and GDR groups]] It lacks responsiveness and resources, whether in response to violence against women or any form of violence. Prime Minister, how can we explain these malfunctions today and, above all, how can we put an end to this scandal?
ParlaMint-FR_2021-07-06-E1003.u10	The Minister for Gender Equality, Diversity and Equal Opportunities has the floor.
ParlaMint-FR_2021-07-06-E1003.u11	There are battles that deserve to be addressed with seriousness, which require overcoming partisan divisions and uniting.
ParlaMint-FR_2021-07-06-E1003.u12	That's what she did!
ParlaMint-FR_2021-07-06-E1003.u13	That's what you're doing, and I thank you for that. The fight against violence against women is one such fight. [[Protests on the benches of the LR and GDR groups]] Last week, the President of the Republic convened the Génération Equality Forum in Paris. We have seen that in 2021 no country succeeded in halting the scourge of domestic violence.
ParlaMint-FR_2021-07-06-E1003.u14	That's not true! What about Spain?
ParlaMint-FR_2021-07-06-E1003.u15	You have cited the example of Spain: this is a good example, since this country started fighting domestic violence in 2003, but this week still deplores five femicides. That's to tell you how long it's a long-term job. That is why in four years, with the whole majority and the parliamentarians of this assembly...
ParlaMint-FR_2021-07-06-E1003.u16	Yes, be careful!
ParlaMint-FR_2021-07-06-E1003.u17	[[Applause on the benches of the LaREM and Dem groups. – Protests on the benches of the LR and GDR groups. – Ms Marie-George Buffet protested very strongly]] ...the Government has passed four laws,...
ParlaMint-FR_2021-07-06-E1003.u18	Your laws are very effective!
ParlaMint-FR_2021-07-06-E1003.u19	... established anti-apparel bracelets, established centres for the care of perpetrators of violence to protect victims, committed to increasing my budget by 40 per cent to support all associations that assist women and their children who are victims on a daily basis.
ParlaMint-FR_2021-07-06-E1003.u20	What about the police? What about justice?
ParlaMint-FR_2021-07-06-E1003.u21	This work will never be over until the whole of society deals with this issue.
ParlaMint-FR_2021-07-06-E1003.u22	Stop polemicing!
