ParlaMint-FR_2021-03-23-O1209.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-03-23-O1209.u2	Mr M'jid El Guerrab has the floor to put his question, No. 1327, concerning the repatriation of French nationals from abroad.
ParlaMint-FR_2021-03-23-O1209.u3	With this question addressed to the Minister for Europe and Foreign Affairs, I would like to draw the Government's attention to measures to restrict the movement of French nationals abroad and to the possibility of formally creating a right to repatriation or, more precisely, a right to return to national territory. For almost a year now, air transport has almost stopped. Companies are facing the resurgence of the covid-19 epidemic and its many variants. Many of these companies are at risk of disappearing, as States can no longer continue to help them all. In the meantime, however, many constraints are becoming more and more felt for our 3.5 million compatriots living abroad. The Council of State, in a decision of 12 March, abolished the obligation to justify compelling reasons for returning to France, and the Government went even further, since the measure has since been extended to French spouses who do not have French nationality. I can therefore only welcome such measures and progress, for which I and other Members of Parliament have been very active behind you. Indeed, our compatriots who live abroad must no longer feel a little forgotten by the mother-patria: that is why the question of the right to return to national territory, with an inalienable effect, arises very seriously. I would therefore like to alert the Government to the difficulties that French residents of countries outside the European Union still face in their personal and professional lives, and to ask you how we can speed up our reflection on the idea of a right to return to national territory, as well as, more broadly, on the status of French foreigners and their place in the Republic.
ParlaMint-FR_2021-03-23-O1209.u4	The next speaker is the Secretary of State for Tourism, the French from abroad and the French-speaking world.
ParlaMint-FR_2021-03-23-O1209.u5	Thank you for this question, honourable Member, because you have been at the heart of diplomatic action aimed at ensuring a return to our compatriots who, a year ago, suddenly found themselves blocked by the re-establishment of borders. A figure is better than a thousand words: it is 370,000 French visitors abroad that we have brought home, if you allow me this expression, with a logistics operation of the most complex. In the Philippines, for example, small groups of French people had to be picked up on small islands to take them back to medium islands, then to the big island, and finally to Paris. All of this was done in active cooperation with you and through various tools that we had put in place with parliamentarians representing the French established outside France and with the advice of the French abroad. I would also like to welcome the work of the CDCS, the crisis and support centre of the Ministry of Europe and Foreign Affairs, which has been the driving force behind all these repatriations. The action was therefore strong, and it was recognised by the Court of Auditors, which, in its annual report issued a few days ago, welcomed a cost-controlled operation. We can therefore welcome not only the effectiveness of this action but also the cost to public finances, even if, of course, when it comes to our compatriots living outside France, we do not count. As you know, we have also put in place a €220 million plan, because some of our compatriots have made the choice of staying in their country of residence – which is normal because, when you set up your life there, it is important to be able to preserve everything that has been done on the spot. This plan continues to apply and we naturally call for the continuation of this social, educational and medical assistance scheme throughout 2021. After having sent medicines and telemedicine, we are actively working on vaccination, in order to find solutions for the 16% of French foreigners living in areas that do not have vaccines approved by the European Union. Again, you are at the heart of this process. As far as the right to repatriation is concerned, it is clear that being able to return to his country is a fundamental freedom, as you have said. The obligation to justify compelling reasons was a very temporary measure, which was eased and then suspended. We have extended this suspension ourselves not only to the spouses of the French settled outside France, but also to their children. However, to engrave such a right in any marble requires legal reflection, as this right may sometimes be hindered by measures taken by the authorities of the country of residence. We have seen in some countries that French residents returning to France would find it very difficult to return to their country of residence – we have several examples in the Americas and Asia. There is therefore still work to be done in the legal sphere to ensure that this right is not only formal, but also real. Nevertheless, the year that has just passed has shown that, when we face these situations, the French authorities and the Government do not spare their time to allow the children of the country to return home.
ParlaMint-FR_2021-03-23-O1209.u6	Mrs Duby-Muller has the floor to raise her question, No. 1350, concerning the vaccination of personnel of exporting companies.
ParlaMint-FR_2021-03-23-O1209.u7	I would like to draw the attention of the Minister for Europe and Foreign Affairs to the difficulties faced by French exporting companies in the face of the health crisis. As economic trade gradually resumes its pre-crisis pace, particularly in Asian markets, French companies are faced with unfair competition from other foreign companies due to the delay in vaccination in France. In many countries, effective vaccination is and will be required for commercials who come for marketing or contract negotiation, as videoconferencing does not always replace the requirements of the economic trading market. Many French entrepreneurs would like to be able to give their international salesmen rapid access to vaccination. In the short term, their access to rapid PCR testing is not always guaranteed, which sometimes prevents them from pursuing trade discussions abroad. The queues for PCR tests, sometimes impressive, have also generated an illegal market, with false tests sometimes being produced. We are all aware of the vaccination schedule established by the High Health Authority, which favours the most vulnerable people. However, I would like to alert the Government to the situation in our French exporting sector and to the attractiveness of our international supply, especially as the trade deficit worsened dangerously in 2020. It is therefore necessary to ensure priority access to covid-19 vaccination and, in the short term, rapid access to PCR tests for entrepreneurs exporting or their international trade. How do you intend to respond to this situation?
ParlaMint-FR_2021-03-23-O1209.u8	The next speaker is the Secretary of State for Tourism, the French from abroad and the French-speaking world.
ParlaMint-FR_2021-03-23-O1209.u9	Madam Member, we are all aware that vaccination is the light at the end of the tunnel, and that is why we are putting double bites, with the aim of reaching the figure of 10 million people vaccinated in France at the end of April. The climb is underway, with a rate of 200,000 vaccinations per day. This system responds to a vaccination strategy validated by the High Health Authority, which has made recommendations in this regard to reduce mortality and protect caregivers, and has defined age as the most important factor in this strategy. Major exporting powers, such as the United States, the United Kingdom or Israel, a country where vaccination is also very advanced, have not chosen to target the function or mission of the people vaccinated, especially for the commercials you refer to. Therefore, the vaccination strategy remains age-specific, but we do not remain the export-oriented arms. For example, Mr Franck Riester, Minister Delegate to the Minister for Europe and Foreign Affairs, responsible for external trade and attractiveness, has, together with Business France, multiplied events to the Asian market. Many things can be done by means of dematerialization, but not only. In this way, we have introduced a €5,000 VIE Relaunch Check – International Volunteering in Business – to allow SMEs and ETI – mid-size institutions – to use this sensational device, which is a true school of tomorrow's export executives. Business France also organises numerous events and the testimonies we gather are those of companies that adapt and, when important commercial discussions need to be advanced, do not hesitate to devote important resources to them – I am thinking in particular of the use of private business aviation. In any case, do not doubt for a moment our determination to support the French productive fabric in its ability to export. With regard to PCR tests, access to this type of equipment, which is essential for travelling and travelling, is currently very good and we should reach the figure of 100 million tests from the beginning in a few days or a few weeks. The context that has been in place for the past year certainly makes relations between companies more difficult, but we have national actors, tricolor players who are very involved, and I pay tribute to the teams of Business France and those of Atout France, who work with the tourist influence of France.
ParlaMint-FR_2021-03-23-O1209.u10	Mr Guillaume Vuilletet, speaking on behalf of the Group of the European People's Party, raised his question, No. 1343, on Support for motor vehicles in the overseas countries and territories.
ParlaMint-FR_2021-03-23-O1209.u11	My question is addressed to the Minister for Economy, Finance and Recovery, but also to the Minister for Overseas Affairs, who has given me the honour of entrusting myself with a mission on the place of overseas countries in the regional environment in the context of the covid -19 pandemic, that is, in a context of crisis and with a view to regional integration and economic development. The contacts that I have been able to establish during the preparation of this report, which I am due to make shortly, have revealed the problem which I wish to report to you today and which is one of the singularities explaining that the crisis is taking on a very special relief in our overseas countries. The Minister for Overseas Affairs is also very familiar with this problem because, when he gave me the honour to associate me with his trip to Reunion in August 2020, this particular situation was reported to us. Tourism, which has a decisive influence on the economic fabric of the overseas countries – it accounts for about 10% of the ultramarine activity – is heavily affected by the health crisis: I would like to read about this in our honourable senator's report. Going to island territories involves a variety of related services, including passenger car rental, which is the subject of my question and concerns more than 150 companies providing this service to visitors. In addition to tourism, vehicle rental is one of the essential mechanisms for ultramarine economies, and companies in this sector are experiencing a structural problem, which the crisis is making even more sensitive and which I would like to draw the Government's attention to. The problem is simple: for passenger rental vehicles, the tax administration recognizes, throughout the country, amortization periods of forty-eight to sixty months. However, such a standard is not suitable for overseas countries and territories. In fact, expert reports converge to indicate a much higher rate of wear and tear. There are probably climatic reasons for this, but also reasons related to a network and infrastructure that do not always meet the standards we know in hexagon. In fact, therefore, we see premature vehicle wear, of the order of 33% in relation to hexagon. If, of course, it is possible for renters to argue that the wear is found with a shorter time of use, in order to benefit from accelerated depreciation, we can agree that this is an administrative heaviness which they would do in this somewhat troubled period. Furthermore, to the extent that this wear is systemic, the situation has to last and would justify the provision of a permanent correction by the administration. The industry is asking that the depreciation rate be adapted to the ultramarine reality for the particular case of passenger vehicles, and that it reach 33% of the value of the vehicle per year. Mr Secretary of State, could such an adaptation of the tax rules be made?
