ParlaMint-FR_2021-02-05-O1153.u1	The next item is the final reading of the bill extending the state of health emergency (No. 3836).
ParlaMint-FR_2021-02-05-O1153.u2	The next speaker is the Secretary of State for Children and Families.
ParlaMint-FR_2021-02-05-O1153.u3	After the failure of the Joint Joint Committee and yesterday's adoption of a motion to reject the bill in the Senate, we have come together for the last reading of this bill. What can we do? The observation, shared by the two assemblies, that the deterioration of the health situation fully justifies extending the exceptional powers granted to the executive to combat the epidemic of covid-19. In this connection, I note that the deletion of Article 3 by the Law Committee of the National Assembly, at the beginning of the examination of the text, has helped to address a common concern of both chambers by setting closer re-visit deadlines. Thanks to this text, until the beginning of June, we will have the necessary tools to stop the epidemic: we will be able to maintain curfew, impose the wearing of the mask and limit gatherings. Our goal for all is to avoid saturation of resuscitation services and that patients cannot be cared for. For, yes, all the restrictive measures taken by the executive have only one purpose: never be faced with the impossibility of taking care of a person, for lack of available bed or lack of care. There's not on one side the caregivers, on the front line, and we, on the other, on the second line. If our roles are different, we are all faced with the same collective challenge. I know that everyone understands this imperative despite the principled opposition to certain provisions, since the gap between the two assemblies can be summed up by differences linked, on the one hand, to the pace of the deadlines for the prolongation of the state of emergency and, on the other hand, to the changes to be made to the state of emergency regime. On this second point, we have had the opportunity to say that this work will have to be carried out during the consideration of the bill establishing a permanent health emergency management regime; This has led the Government to oppose several amendments to article 1. In view of the current dynamics and the gradual spread on the national territory of variants, whose contagiousness would be greater, we have no alternative but to extend the health emergency regime. Beyond animal health measures, the "test, alert, protect" strategy has been reinforced. In recent weeks, we have talked a lot about animal health and vaccination measures, but I would like to refer in a few words to this strategy, which remains a cornerstone of our response to the epidemic. This is not widely understood in this House, but the efforts of all professionals have made the French screening system one of the most effective in Europe. Tests are totally free in France, for everyone, and it is unique in Europe. We often compare the countries in this crisis, it is quite normal: remember that for an asymptomatic person wishing to be tested, it costs almost 120 euros in Germany and up to 350 euros in the United Kingdom. In France, everyone can be tested at the slightest doubt, in a laboratory, a pharmacy, at his doctor or in a nursing office, which distinguishes our country from other European countries where the question of access to tests is still unresolved. Our screening system is also based on a requirement of speed: 94% of test results are now rendered in less than 24 hours, a very high proportion compared to our neighbours, only Spain approaching this rate. Finally, our system relies on traceability, thanks to the national population screening information system, SIDEP. Since the start of the epidemic, the teams of Health Insurance and the regional health agencies – which I welcome once again – have been tracking at-risk contacts within ever shorter periods of time and accompanying the people concerned, thanks to the information systems that you set out for you last May and that will be extended under section 4 of this bill. Our greatest challenge now is to strengthen understanding and respect for isolation, a subject that I know is dear to many of you, particularly the Members of the Group of the European People's Party. We had a transparent debate, at the end of which we made the choice of trust, by not moving towards a system of obligations and control, but by significantly strengthening the support of isolated people. We have removed the financial obstacles to effective and immediate isolation: since January 10, any person with symptoms or contact cases can declare themselves, even before having taken a test, on the Health Insurance site to obtain an immediate stoppage of work; it will be compensated from the first day, without a day of failure. We have also strengthened the tele-survey at home: since the end of January, every isolated person is called at least twice by the health insurance. Finally, each isolated person may be offered a visit to the home of a nurse, through the territorial isolation support units set up by the prefectures, in conjunction with the local authorities. These are 16,000 – and not 20,000 as I was able to say yesterday in the Senate – nursing visits that have already been made. Ladies and gentlemen, I thank you for the work that has been under way for almost a year now on this subject. Everyone here knows the fatigue, fear and exhaustion of caregivers. Successive extensions are a necessity, they are not a failure, they are not a gadget, let alone decisions that are made with joy of heart. These are decisions taken within the framework of full democratic control, which was exercised during the crisis and which is still being exercised, here and now, and on which I would like to say a few words to conclude. This point is the subject of recurrent criticism, which needs to be addressed. Since the outbreak began, the National Assembly and the Senate have continuously monitored the Government's efforts to manage the health emergency. Since the end of March 2020, you have debated six bills, which have been the subject of more than 3400 amendments, for more than 160 hours of debate in sittings, divided into about 20 different readings. Twelve thematic debates were also held during the session and allowed the Government to question the management of the health crisis – I am thinking in particular of the debates on the management of masks, on the debunking or on the StopCovid application. As Minister Olivier Véran recalled, we have responded to each standing committee meeting to inform the vaccination strategy, for example, or the discussions leading up to the review of the emergency legislation. Finally, the Government's action is subject to the supervision of the administrative judge, and hundreds of emergency injunctions have been formed and examined by the Council of State since the beginning of the crisis, and have led, whenever requested by the judge, to change our response so that it is as proportionate as possible to the health risks involved. This has been the case, in particular, for the measure introducing a system of prior authorization for public gatherings last July, or for limiting all gatherings in places of worship to 30 persons last November; In both cases, the Government drew the consequences of the Council's decisions and proposed alternative measures. [[Applause on the benches of the LaREM group]] The exceptional circumstances justify exceptional measures but, in the exception, we do not forget that the norm, our standard for all, is democracy.
ParlaMint-FR_2021-02-05-O1153.u4	Mr Jean-Pierre Pont, rapporteur of the Committee on Constitutional Laws, Legislation and General Administration of the Republic, has the floor.
ParlaMint-FR_2021-02-05-O1153.u5	As we come together one last time to finally pass this bill extending the state of health emergency, you will hear, in a few moments, some colleagues accuse the majority of sweeping the provisions of the Senate with a turn-around. That's not true, I'm telling you straight away: it's just political-political lies.
ParlaMint-FR_2021-02-05-O1153.u6	It's a good start!
ParlaMint-FR_2021-02-05-O1153.u7	Our majority, in connection with the Government, whom I thank once again for its unprecedented commitment, addressed the Joint Joint Committee, which was held at the National Assembly last Thursday, with the ardent desire to reach the compromise required by the health situation, which is particularly worrying. I must remind you that the National Assembly and the Senate agreed on the main points, namely the extension of the legal framework for the state of health emergency provided for by Article 1 until 31 December, the abolition of Article 3 voted by the National Assembly, and even, to one hair, the duration of the extension of the state of health emergency currently in force: 1st June or 3 May, it was enough to cut the pear in half, and we were perfectly prepared to do so, more for the sake of compromise than to improve this text. As a sign of good will, in its search for compromise, the majority of the National Assembly was ready to accept further developments in the legal framework of the state of health emergency, in particular in Article 1. However, our discussions have taken hold on a provision proposed by the Senate, which appears to me to be unrealistic, inapplicable, or potentially dangerous from a health point of view, namely, the fact that legislation is necessary to extend confinement beyond a month. The Assembly did not, however, take a stand on its position. While it has stated unequivocally that this provision is unacceptable as it stands, it has made alternative proposals, credible and realistic, guided by its willingness to reach a compromise. I assume that, as the negotiations with the Senate have failed, the Assembly is therefore about to adopt definitively the text which it had originally voted for, and whose balanced and proportionate character, with a few minor exceptions, had won the approval of the Senate. [[Exclaims on the benches of the LR group]] In conclusion, I want to express to you a deep conviction, which I have acquired as a parliamentarian. When, in a piece of legislation, only an article or amendments do not agree with me, while I agree with the spirit of the text, I choose not to participate in the vote or to abstain, because voting against is voting against its spirit. Some of our colleagues have voted against every amendment, every article and against this bill as a whole, thus against the very objective of this law, which is to give the Government the weapons necessary to combat this virus and to ensure the protection of the population. I therefore believe that those who have voted or will still vote against this bill oppose the fight against the virus and the protection of the population.
ParlaMint-FR_2021-02-05-O1153.u8	Pathetic!
ParlaMint-FR_2021-02-05-O1153.u9	[[Applause on the benches of the LaREM group]] That's my opinion, and I share it!
ParlaMint-FR_2021-02-05-O1153.u10	What a caricature!
ParlaMint-FR_2021-02-05-O1153.u11	Yes, if we're against it, we don't like people!
