ParlaMint-FR_2021-07-13-E1009.u1	The next item is the question to the Government.
ParlaMint-FR_2021-07-13-E1009.u2	Mr Bertrand Pancher has the floor.
ParlaMint-FR_2021-07-13-E1009.u3	Prime Minister, last week, in response to your letter, I told you that the success of our policy to combat covid was based on three requirements: anticipation, consultation and transparency. In view of the scientific elements, it is crucial to speed up the vaccination of the French. Given the urgency, imposing it on some audiences may be a solution, but it must be accompanied by pedagogy. The President of the Republic made another choice: to decide alone, once again.
ParlaMint-FR_2021-07-13-E1009.u4	That's not true!
ParlaMint-FR_2021-07-13-E1009.u5	[[Protests on several benches of the LaREM group]] In addition, he chose to combine health issues with his electoral pre-campaign in his intervention. It is, I believe, a mistake, because in the crisis it was up to you to gather and not to divide. You have not been able to mobilize or incite; you have created mistrust and now you must act by coercion.
ParlaMint-FR_2021-07-13-E1009.u6	It's pathetic!
ParlaMint-FR_2021-07-13-E1009.u7	Our concern now concerns the conditions for the implementation of these announcements. Will caregivers and all those who are in contact with vulnerable people who will not be vaccinated by September 15 be laid off on leave without pay? Let us remember their unwavering commitment since March 2020. How can we ensure the proper functioning of hospitals and EHPADs when we are already understaffed? Since yesterday, entrepreneurs and employees have been telling me their fears and questions: how are the restaurateurs going to do it? Shopping malls, places of culture and tourism? Will employers have access to the vaccination data of their employees? Should they not come to work without a health pass? Have you thought about the messes this could cause in these companies? We learn that ministers will receive representatives of the sectors concerned this afternoon: why not associate them with these decisions?
ParlaMint-FR_2021-07-13-E1009.u8	That's easy!
ParlaMint-FR_2021-07-13-E1009.u9	[[Applause on the benches of the LaREM group]] The Prime Minister has the floor.
ParlaMint-FR_2021-07-13-E1009.u10	Mr. President Bertrand Pancher, forgive me for telling you, but I am surprised at the wording of your question...
ParlaMint-FR_2021-07-13-E1009.u11	Ah?
ParlaMint-FR_2021-07-13-E1009.u12	Yes, she amazes me, and for two reasons. On the substance, first of all: France, Europe, the world are unfortunately facing a resurgence of the health crisis because of the delta variant, which we all see and which it is precisely our duty to anticipate. The rate of spread of this variant is staggering in a number of departments, and we see what is happening in other countries, some very close. As always, it was therefore the responsibility of the public authorities to act. You ask us why we act: we act because the situation commands it.
ParlaMint-FR_2021-07-13-E1009.u13	It's been a while!
ParlaMint-FR_2021-07-13-E1009.u14	You then ask me – second reason for my astonishment – about the method, accusing the President of the Republic, who has taken his responsibilities – that is the least – of acting alone. I would like to say to this House that, on the contrary, in the recent period the Government has conducted extremely extensive consultations,...
ParlaMint-FR_2021-07-13-E1009.u15	Yes!
ParlaMint-FR_2021-07-13-E1009.u16	... including with your group – and I thank you for the written answer you have given us – with the social partners, the associations of elected representatives, the professional sectors.
ParlaMint-FR_2021-07-13-E1009.u17	We're not talking about consultation!
ParlaMint-FR_2021-07-13-E1009.u18	Of course, not everyone has agreed, and it is happy in democracy. In any event, with regard to the health pass, the subject of your question, which we shall return to, I note, contrary to what you claim, that the returns made to me and, beyond that, the state of public opinion in relation to this vaccination imperative...
ParlaMint-FR_2021-07-13-E1009.u19	Why don't you tell the polls?
ParlaMint-FR_2021-07-13-E1009.u20	[[Applause on the benches of the LaREM group]] ... recalled by the President of the Republic, rather show support and consensus.
ParlaMint-FR_2021-07-13-E1009.u21	Of course!
ParlaMint-FR_2021-07-13-E1009.u22	[[Applause on the benches of the LaREM, Dem and Agir ens groups]] The same applies to compulsory vaccination of carers and similar persons, a decision which we do not regret. Some accuse us of not taking it early enough, others tell us that it should not be taken. I believe that things need to mature and evolve. We have for a very long time preferred the incentive – and we continue to do so – because we have always believed in the sense of the responsibilities of our fellow citizens. We will also give a deadline, as the President of the Republic recalled in his speech last night. However, we must, at some point, take our responsibilities so that we all find not additional constraints but, on the contrary, security and freedom!
ParlaMint-FR_2021-07-13-E1009.u23	Mr Meyer Habib has the floor.
ParlaMint-FR_2021-07-13-E1009.u24	Prime Minister, the IDU-I Group has always been committed to making many constructive proposals to anticipate the vaccine strategy and the management of this terrible epidemic. Already in December 2020, we suggested that we anticipate the way in which a health passport could be put in place on the basis of the Israeli model, synonymous with the freedom found for vaccinated people – at the time under your criticism and quolibets.
ParlaMint-FR_2021-07-13-E1009.u25	Ah, that's right, freedom in Israel...
ParlaMint-FR_2021-07-13-E1009.u26	You were talking about discrimination, now you're coming: better late than never. As early as May, we asked you to allow vaccination at the holiday places: you did, of course, but only at the beginning of July. Let us be clear, Prime Minister: we support the measures announced yesterday by the President of the Republic...
ParlaMint-FR_2021-07-13-E1009.u27	That's the main one!
ParlaMint-FR_2021-07-13-E1009.u28	[[Applause on the benches of the UDI-I, LaREM, Dem, Agir ens and LT groups]] ...but we regret the backlog. When I see on social media, a few days from the commemoration of the Vél' d'Hiv' raid, filthy comparisons between the health pass and the Shoah, I am revolted. The yellow star was a passport for death; The sanitary pass is a passport for life. [[Mr. Jean-Christophe Lagarde applauds]] Today we want to draw your attention to two essential points, hoping that this time our alerts will be heard. The first point: vaccination of health care workers – we have been asking for it for weeks, it is essential, it now exists, but the school must also be protected: what is the logic of encouraging children to be vaccinated and not forcing teaching staff, who supervises them, to do so? [[Applause on the benches of the IDU-I group]] Secondly, many of the 1.5 million French people living outside the European Union are vaccinated with the same vaccines as we do but still do not have the right to a European health pass. That they have to undergo PCR tests to return, either, but they will have to be systematically tested to go to the restaurant, the cinema, the theatre and elsewhere: this is totally absurd! Since 1 June, I have alerted the Ministry of Health twice about this breach of equality before the law, without obtaining any answer. Prime Minister, how do you intend to correct this injustice?
ParlaMint-FR_2021-07-13-E1009.u29	The Minister for Solidarity and Health has the floor.
ParlaMint-FR_2021-07-13-E1009.u30	First of all, we welcome the support of the UDI-I Group in the National Assembly for all the measures announced by the President of the Republic and which we now have to put in place for the protection of the French. You are right to point out that the health pass is a pass for freedom. Basically, I want to tell the French that if they are vaccinated, their lives will not change since this health pass will allow us, if the health situation is to deteriorate, not to confine the country. In any case, that is what we all want, and we are all giving ourselves the means, at an early stage of epidemic onset, of a new potential wave, to preserve all economic, cultural, sporting, social and educational activities during the weeks and months to come. We may not agree with vaccination, and we may be afraid. We are also here to remove fears and health professionals are engaged with us to explain why the vaccine protects, why it is a prevention tool and why it will never – I insist: never – be a punishment or a sanction, quite the contrary.
ParlaMint-FR_2021-07-13-E1009.u31	What a joke!
ParlaMint-FR_2021-07-13-E1009.u32	But the outburst is not acceptable. You are right to point out that a number of people are engaging in absolutely outrageous outrages on social networks and elsewhere, and I agree with your condemnation. I will respond quickly and concretely to both of your questions. Why vaccinate at the hospital and not at school? Children, it is true, may be infected with coronavirus, but they do not declare serious forms; their lives are not in danger when they are contaminated.
ParlaMint-FR_2021-07-13-E1009.u33	They're losing hours of class!
ParlaMint-FR_2021-07-13-E1009.u34	On the other hand, they can transmit the virus. That is why we have established a health protocol and we urge families to have their teens immunized from 12 to 17 years of age – but not earlier, for lack of scientific authorization. On the contrary, in hospitals and EHPADs, people are very fragile and sometimes immunity from vaccination does not fully or sufficiently protect them: this is the big difference. [[Applause on several benches of the LaREM, Activité ens and IDU-I groups]] To your second question, I will answer this: by the time the law is promulgated that you will soon have the opportunity to vote, we will have solved the problem and all French abroad – as well as foreign tourists – justifying that they have been vaccinated according to a complete vaccination scheme will be able, when they return to the national territory, to enjoy equivalence and circulate like other citizens.
ParlaMint-FR_2021-07-13-E1009.u35	Mrs Bénédicte Peyrol has the floor.
