ParlaMint-FR_2021-06-29-O1322.u1	The next item is the question to the Government.
ParlaMint-FR_2021-06-29-O1322.u2	Mrs Valérie Rabault has the floor.
ParlaMint-FR_2021-06-29-O1322.u3	Prime Minister, last Sunday, two thirds of the French did not go to the polls, a first for this type of election.
ParlaMint-FR_2021-06-29-O1322.u4	That's right!
ParlaMint-FR_2021-06-29-O1322.u5	However, this high rate of abstention was announced and the State should have been exemplary in the organization of the ballot. However, it was the opposite since there was almost no government communication – reduced to a few video clips. Above all, we have noted a series of coucacs concerning the distribution of electoral propaganda. Thus, in Burgundy-Franche-Comté, voters received the professions of faith and the ballots of the Greater East region. Our colleague Christine Pires Beaune interviewed the 463 communes in her department, the Puy-de-Dôme. Well, guess what, Prime Minister: only two of them had no problems. In the Centre-Val de Loire region, for lack of distribution of envelopes in the second round, the prefecture authorized the use of the first round ballots except for François Bonneau. Finally, what about the factors that, Saturday, at seven o'clock, had to distribute empty envelopes?
ParlaMint-FR_2021-06-29-O1322.u6	That's right!
ParlaMint-FR_2021-06-29-O1322.u7	[[Applause from the SOC and LR groups. – Exclaims on the banks of the LaREM Group]] [[Same movements]] Such a fiasco in the organization of elections is a first in France. Therefore, you owe us explanations because, in any democracy, it is the government that is responsible for the proper conduct of the elections. Your Deputy Minister for Citizenship said a few days ago that "everyone has to take responsibility for this scandal." It is therefore surprising that she did not submit her resignation. In the face of this fiasco of the organisation of the elections, I therefore hope that you will answer us.
ParlaMint-FR_2021-06-29-O1322.u8	The Prime Minister has the floor.
ParlaMint-FR_2021-06-29-O1322.u9	The regional and departmental elections held on 20 and 27 June...
ParlaMint-FR_2021-06-29-O1322.u10	For you a crazy defeat!
ParlaMint-FR_2021-06-29-O1322.u11	...were indeed marked by a record abstention.
ParlaMint-FR_2021-06-29-O1322.u12	You have done everything you can to promote abstention! You've been looking for him!
ParlaMint-FR_2021-06-29-O1322.u13	[[Noise and numerous interruptions on the benches of the LR group]] This is a very worrying phenomenon, a defeat for democracy that is calling on all of us, as I said last Tuesday already.
ParlaMint-FR_2021-06-29-O1322.u14	Please, a little silence!
ParlaMint-FR_2021-06-29-O1322.u15	[[Same movements]] We have held a debate here, ladies and gentlemen, and I am responding to President Rabault and to her alone, on the basis of Article 50-1 of the Constitution, to find out when these elections should be held and under what conditions. The Government's declaration had been widely adopted and the Government had implemented the decisions taken.
ParlaMint-FR_2021-06-29-O1322.u16	Your campaign has been really effective!
ParlaMint-FR_2021-06-29-O1322.u17	[[Same moves. – Noise continues throughout the intervention of the First Minister]] As far as the organisation of communication is concerned, I have set up, following this debate, a committee chaired by Jean-Denis Combrexelle, president of the honorary section of the Council of State, which, after consulting all the groups, made recommendations which we have followed to the letter.
ParlaMint-FR_2021-06-29-O1322.u18	Off the subject!
ParlaMint-FR_2021-06-29-O1322.u19	This is the last time! Mr. President Abad, ask your colleagues to stop yelling!
ParlaMint-FR_2021-06-29-O1322.u20	There have been very serious and worrying malfunctions and we assume our responsibilities for the distribution of electoral propaganda. You are absolutely right, Madam President Rabault, and the Minister of the Interior will have the opportunity to answer other questions on this subject and will tell you the nature of these malfunctions and, above all, the follow-up that we intend to give them.
ParlaMint-FR_2021-06-29-O1322.u21	Stop it!
ParlaMint-FR_2021-06-29-O1322.u22	[[Exclaims on the benches of the LR group. – Mr Sylvain Maillard manifests his annoyance by gestures of the arms]] You know very well that they occurred in the context of the application of a procurement under the law. We will learn all the lessons from it. I would point out, however, that, as serious and unacceptable as they have been, these malfunctions cannot explain the historical rate of abstention.
ParlaMint-FR_2021-06-29-O1322.u23	That's not true!
ParlaMint-FR_2021-06-29-O1322.u24	[[Exclaims on the benches of the LR group and on many benches of the GDR group]] We have seen – I invite you to do the same – that the abstention rate, unfortunately, does not vary between departments where electoral propaganda has been distributed normally and those where it has not been distributed. This is obviously not an excuse. It remains that we must act on both registers: that of the malfunctions which, I insist, and the Minister of the Interior will return to it, we will draw all the consequences; and the much wider one of abstention. [[Exclaims on the benches of the LR group]] [["That's the case! » on several benches of the LR group]] [[Many Members of the LR Group turn an inch towards the ground]] [[Applause on the benches of the LaREM group and on a few benches of the Agir ens group. – Protests on the benches of the LR group]] The President of the Assembly has, as you know, taken an initiative in this area, which receives the full support of the Government, so that together we may study in a calm and transparency manner all the causes of this democratic phenomenon and of society. It's so easy – and you're used to it – to say that it's all the government's fault. But that is not the case, and you know it well. It is everyone who is being challenged by this abstention, including local executive officials who have not been able to drain voters to the polls and explain the importance of these elections. This is obviously a collective responsibility and we will have to react collectively.
