ParlaMint-FR_2021-01-12-O1125.u1	The next item is the oral questions without debate.
ParlaMint-FR_2021-01-12-O1125.u2	Mr Bertrand Sorre, speaking on behalf of the Group of the European People's Party, raised his question, No. 1203, concerning the Granville-Mont-Saint-Michel aerodrome.
ParlaMint-FR_2021-01-12-O1125.u3	Mr President, Madam Deputy Minister for Citizenship, ladies and gentlemen, allow me first of all, since I have the honour to open the first sitting of 2021, to express my best wishes to you and to all the staff of the National Assembly. May this year be the most beautiful year for all, and allow us to return to a less constrained life. Together with several of my elected colleagues from the English Channel, I had asked the Minister of the Interior, while he was Minister of Action and Public Accounts, to re-establish a customs border crossing at the Granville-Mont-Saint-Michel airfield, so that he could accommodate international passenger flights from and to countries outside the Schengen area until 2011. The Granville-Mont-Saint-Michel aerodrome, located in Bréville-sur-Mer, in the department of La Manche, could thus once again contribute to increasing the cultural and economic reach of the Mont-Saint-Michel site and its wide area of influence. Its requalification as a border crossing point – PPF – would develop business aviation and tourism for international flights from and to countries outside the Schengen area, an even more strategic issue since Brexit. The scarcity of the clientele of the Anglo-Norman Islands – Jersey, Guernsey and Aurigny –, close by, fifteen minutes away from the flight, had a very negative impact on the local economy and tourism, as our close neighbours in the country left our hotel establishments, our thalassotherapy centres and our golf course known for its 18-hole link on the dunes, the only one in France to face the sea. In June 2019, while he was Minister of Action and Public Accounts, the Minister of the Interior, after examining the issue and the various arguments put forward, had issued a favourable opinion. Given that requalification for FMP would require the re-establishment of a police station at the border and that customs are present locally, he had also engaged in a dialogue with the Ministry of the Interior, which he heads today. I would add that the local authorities are very interested in this aerodrome. In fact, while he was previously a member of the Chamber of Commerce and Industry, he was taken over by the Conseil départemental de la Manche on 1 January 2021. As for the financing of any facilities necessary to secure the aerodrome, the Conseil départemental de la Manche and the community of communes Granville Terre and Mer are prepared to participate in the compliance investments. Finally, it should be noted that a customs brigade has existed for a long time in Granville, and its officers have already carried out checks at this aerodrome. Can you, Madam Deputy Minister, confirm to me that your department is in favour of the re-establishment of this customs border crossing and indicate to me the timetable for its reopening, which would allow international flights again?
ParlaMint-FR_2021-01-12-O1125.u4	The Deputy Minister for Citizenship has the floor.
ParlaMint-FR_2021-01-12-O1125.u5	Mr President, ladies and gentlemen, I wish you and all the staff of the National Assembly the best. Member of the European Parliament, I will reply to you on behalf of the Minister of the Interior, Mr Gérald Darmanin. As you know, an air border crossing point allows a French airport to host international flights outside Schengen. The Order of 24 October 2017 on the crossing of borders by persons and goods on aerodromes created a national procedure for the formal designation of FMPs, and provides that their list is drawn up by the Minister responsible for immigration, in this case the Minister of the Interior, in consultation with the Minister responsible for customs and the Minister responsible for civil aviation. Such requests for qualification, whether temporary or non-temporary, must be made by aerodrome managers, together with local elected officials. They can also be supported by the deconcentrated services of the State. They must respond to particularly important development issues in terms of the attractiveness of the territory, which you have described perfectly, to needs related to the employment and production pool, but also to the minimum requirements laid down by the Schengen Borders Code – CFS – which involve, in particular, sufficient extra-Schengen traffic, the upgrading of infrastructure by operators and the absence of FMPs capable of absorbing traffic in the vicinity. I understand, of course, the importance you attach to the opening of an air WP to complement the maritime WP already available to Granville, whose status, as you know, was confirmed on 14 July 2020 by publication in the Official Journal of the European Union. For our part, we are assessing at this stage the resources needed to open a new WP, which we believe is important, because it will have to meet extremely strict safety criteria. We also note that in its November 2020 report on the reorganisation of DGDDI – Directorate-General for Customs and Indirect Duties – the Court of Auditors did not mention the re-establishment of a PPF in Granville, and that it was not integrated into the 2019 reorganisation, particularly in view of the absence of an attested extra-Schengen traffic forecast and its relative proximity to those of Cherbourg and Dinard. Finally, the current closure of the borders with the United Kingdom in the context of the health crisis does not seem to us to be conducive to the immediate reopening of an air FMP in Granville. As the Minister of the Interior had indicated to you in the course of his previous functions, however, the Government is at your full disposal to continue discussions with local actors on this issue, taking into account, of course, the developments that might emerge once the health crisis is behind us and the closure of the borders has come to an end.
ParlaMint-FR_2021-01-12-O1125.u6	Mrs Natalia Pouzyreff has the floor to put her question, No. 1206, on the fight against motorised rodeos.
ParlaMint-FR_2021-01-12-O1125.u7	Madam Deputy Minister for Citizenship, allow me to express my best wishes to you and to extend them to the police. The scourge of motorized rodeos still creates serious nuisances and situations of insecurity for the inhabitants of our cities and countryside. In 2018, the proposal for a law strengthening the fight against motorised rodeos, adopted unanimously, allowed the development of legislative tools useful for law enforcement to combat these practices. As a result of this parliamentary work, we, together with several members of the majority, continued our discussions with actors on the ground – the mayors, the association Ville &am p; Banlieue, the police and gendarmes – in each of our territories – the Yvelines, in my case. It is clear from this that the law must be extended by other measures, including regulatory measures. We are all convinced that troublemakers should not enjoy any sense of impunity. To that end, the application of the supplementary penalty of confiscation must be systematized. The recent declarations of the keeper of seals on community justice are in this direction. Recently, we had the opportunity to meet with your services and the interdepartmental delegation to road safety on new complementary measures, with a view to ensuring, for example, better traceability of the vehicles used to commit the offences and greater rigour in registering to the DICEM file – declaration and identification of certain motor vehicles – since the act of purchase or rental. In the House, when considering the proposal for a law on global safety, the Minister wanted to inform us of his commitment to strengthen measures to combat motorised rodeos. I would therefore like to ask you again on this subject, on which the expectations of parliamentarians, mayors and internal security forces remain very strong. Could you please go back to the response to motorized rodeos and any new measures planned?
ParlaMint-FR_2021-01-12-O1125.u8	The Deputy Minister for Citizenship has the floor.
ParlaMint-FR_2021-01-12-O1125.u9	Madam Member, I also wish you a happy 2021 year. Motorised rodeos are indeed a matter of concern, both in terms of public order and in terms of the safety of road users and public space. Beyond road safety issues, a worrying form of incivility associated with motorized rodeos has a strong sense of insecurity and abandonment in a large part of the population. The legal framework applicable to the fight against motorised rodeos has gradually been enriched, as you have pointed out, by various laws. The Directive on the conditions for the marketing and use of certain motor vehicles provides for the obligation to identify vehicles not subject to approval and for the creation of the automatic processing of personal data called DICEM. In addition, the law of 3 August 2018 strengthening the fight against motorised rodeos provides – as you know, and for reasons – that participation in a motorised rodeo constitutes an offence, punishable by one year's imprisonment and a fine of 15,000 euros, as well as several additional penalties, including "the compulsory confiscation of the vehicle used to commit the offence if the person is the owner, or, subject to the rights of the owner in good faith, if he has the free disposition". In order to step up the fight against motorized rodeos, which have not stopped with this law, and as a result of the exchanges we have had on the basis of your work, new legislative measures are envisaged in order to better identify the perpetrators of these offences. The aim is in particular to strengthen the reporting obligations to the administrative authorities of vehicles not subject to approval, the speed of which may, by construction, exceed 25 kilometres per hour. In the same vein, Gérald Darmanin and I plan to make mandatory, in lease agreements for non-licensed equipment, the identification number of the equipment and the vehicle registration number that allows it to be carried. In order to prevent recidivism, it is also envisaged to reduce the time allowed for the abandonment of the vehicles used to commit the offences and left behind, as well as to bring them to destruction upon the finding of such abandonment. At the regulatory and technical level, on the basis of your work, Madam Member, several measures are being examined or applied at the Ministry of the Interior. For example, it is planned to allow municipal police officers to access the DICEM file directly, without the intervention of national police officers or gendarmes, and to require the owner of an unlicensed vehicle to hold an AM driver's licence, or road safety certificate, which includes a module on the risks associated with motorized rodeos. Finally, a prevention campaign aimed at the public most affected by this dangerous practice, particularly the younger ones, will be carried out by the Ministry of the Interior, as the parliamentarians asked us to do.
ParlaMint-FR_2021-01-12-O1125.u10	Mrs Isabelle Florennes, speaking on behalf of the Group of the European People's Party, raised her question, No 1192, on the industrial hazard alert system.
ParlaMint-FR_2021-01-12-O1125.u11	Madam Minister responsible for citizenship, I wish to return to the announcements made by Minister Gérald Darmanin during his visit to Rouen on 24 September, a year after the Lubrizol plant disaster, namely the introduction of various mechanisms for preventing industrial risks and informing the population. Among them was the deployment of a new telephone alert and information system that would allow, to quote the Minister of the Interior, to switch "from siren to cell phone". This new tool would be based on two technologies: cellular broadcasting or cell broadcast, which would transmit an alert message on telephones, and the sending of geo-localized SMS messages directly issued by the State services, containing all the information about the possible disaster and the instructions to be observed. This new tool is obviously very much expected. The minister had indicated that he would be deployed from the second half of 2021 in densely populated or risk-prone areas and then throughout the territory from June 2022 onwards. Could you elaborate on the timing and modalities of its deployment? In which specific territories will the scheme be tested during its first phase? I am elected from the constituency of Nanterre, which has several industrial sites with environmental risks, and I know that the inhabitants who have seized on these issues are, like many French people living in close proximity to such sites, very attentive to the Government's initiatives in this area.
