Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2216	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2218	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	ČovićDragan	Čović, Dragan	M	1956	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2219	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2222	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2223	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2224	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	SDS	Srpska demokratska stranka	Opposition	Centre-right to right	TadićOgnjen	Tadić, Ognjen	M	1974	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2225	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2226	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2227	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2228	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	GenjacHalid	Genjac, Halid	M	1958	
ParlaMint-BA-en_2012-12-06-1	ParlaMint-BA_2012-12-06-1.u2229	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 6, Session 24	2012-12-06	Unicameralism	6. mandat	-	Sjednica 24	2012-12-06	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
