Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-ES-PV-en_2015-02-05-meta.tsv,2015-02-05,0,11,10,0,0
ParlaMint-ES-PV-en_2015-02-12-meta.tsv,2015-02-12,0,6,8,0,0
ParlaMint-ES-PV-en_2015-02-13-meta.tsv,2015-02-13,0,12,9,0,0
ParlaMint-ES-PV-en_2015-02-19-meta.tsv,2015-02-19,0,8,10,0,0
ParlaMint-ES-PV-en_2015-02-27-meta.tsv,2015-02-27,0,14,9,1,0
ParlaMint-ES-PV-en_2015-03-05-meta.tsv,2015-03-05,0,6,13,0,0
ParlaMint-ES-PV-en_2015-03-06-meta.tsv,2015-03-06,0,9,13,0,0
ParlaMint-ES-PV-en_2015-03-12-meta.tsv,2015-03-12,0,6,8,1,0
ParlaMint-ES-PV-en_2015-03-13-meta.tsv,2015-03-13,0,16,8,0,0
ParlaMint-ES-PV-en_2015-03-26-meta.tsv,2015-03-26,0,6,7,0,0
ParlaMint-ES-PV-en_2015-03-27-meta.tsv,2015-03-27,0,9,8,0,0
ParlaMint-ES-PV-en_2015-04-16-meta.tsv,2015-04-16,0,9,12,0,0
ParlaMint-ES-PV-en_2015-04-17-meta.tsv,2015-04-17,0,12,12,0,0
ParlaMint-ES-PV-en_2015-04-23-meta.tsv,2015-04-23,0,9,9,0,0
ParlaMint-ES-PV-en_2015-04-24-meta.tsv,2015-04-24,0,13,6,0,0
ParlaMint-ES-PV-en_2015-04-30-meta.tsv,2015-04-30,0,9,12,1,0
ParlaMint-ES-PV-en_2015-05-07-meta.tsv,2015-05-07,0,10,10,0,0
ParlaMint-ES-PV-en_2015-05-28-meta.tsv,2015-05-28,0,7,12,0,0
ParlaMint-ES-PV-en_2015-05-29-meta.tsv,2015-05-29,0,13,8,0,0
ParlaMint-ES-PV-en_2015-06-04-meta.tsv,2015-06-04,0,7,7,1,0
ParlaMint-ES-PV-en_2015-06-11-meta.tsv,2015-06-11,0,8,10,0,0
ParlaMint-ES-PV-en_2015-06-12-meta.tsv,2015-06-12,0,13,7,0,0
ParlaMint-ES-PV-en_2015-06-18-meta.tsv,2015-06-18,0,11,8,1,0
