Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U1	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	RE	Reformierakond	-	Centre-right	s_kallas_19481002	Kallas, Siim	M	1948	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U2	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U3	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U4	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	k_kaljulaid_00000000	Kaljulaid, K	U	-	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U5	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U6	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	Coalition	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U7	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U8	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	i_pilving_00000000	Pilving, I	U	-	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U9	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U10	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	j_holm_00000000	Holm, J	U	-	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U11	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U12	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	ü_madise_00000000	Madise, Ü	U	-	
ParlaMint-EE-en_2019-04-23	ParlaMint-EE_2019-04-23_U13	XIV Parliament term, I Session, Plenary Assembly regular meeting on Tuesday, 23.04.2019, 12:00	2019-04-23	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-23	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
