Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U1	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U2	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U3	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_kallas_19770618	Kallas, Kaja	F	1977	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U4	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U5	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_kallas_19770618	Kallas, Kaja	F	1977	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U6	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U7	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	v_ladõnskaja_kubits_19810720	Ladõnskaja-Kubits, Viktoria	F	1981	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U8	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_kallas_19770618	Kallas, Kaja	F	1977	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U9	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Chairperson	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	h_põlluaas_19600216	Põlluaas, Henn	M	1960	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U10	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	EKRE	Eesti Konservatiivne Rahvaerakond	-	Right to far-right	j_madison_19910422	Madison, Jaak	M	1991	
ParlaMint-EE-en_2019-04-15	ParlaMint-EE_2019-04-15_U11	XIV Parliament term, I Session, Plenary Assembly regular meeting on Monday, 15.04.2019, 15:00	2019-04-15	Unicameralism	XIV Riigikogu	I regular session	-	2019-04-15	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	-	Centre-right	k_kallas_19770618	Kallas, Kaja	F	1977	
