Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U1	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U2	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	h_tõnisson_00000000	Tõnisson, Heili	F	-	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U3	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U4	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U5	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_kotkas_19600410	Kotkas, Kalev	M	1960	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U6	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U7	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U8	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U9	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	k_kotkas_19600410	Kotkas, Kalev	M	1960	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U10	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U11	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U12	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	MP	notMinister	-	-	-	-	l_kaljuvee_19521229	Kaljuvee, Lembit	M	1952	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U13	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U14	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U15	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	MP	notMinister	SDE	Sotsiaaldemokraatlik erakond	-	Centre-left	h_kütt_19610728	Kütt, Helmen	F	1961	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U16	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Regular	notMP	Minister	-	-	-	-	t_rõivas_19790926	Rõivas, Taavi	M	1979	
ParlaMint-EE-en_2013-10-21	ParlaMint-EE_2013-10-21_U17	XII Parliament term, VI Session, Plenary Assembly regular meeting on Monday, 21.10.2013, 15:00	2013-10-21	Unicameralism	XII Riigikogu	VI regular session	-	2013-10-21	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
