Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U1	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U2	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	h_lenk_19460917	Lenk, Heimar	M	1946	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U3	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U4	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	p_toobal_19831101	Toobal, Priit	M	1983	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U5	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U6	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U7	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U8	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U9	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Regular	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	a_kokk_19600415	Kokk, Aivar	M	1960	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U10	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Chairperson	MP	notMinister	ISA	Isamaa	Coalition	Centre-right to right	e_ergma_19440229	Ergma, Ene	F	1944	
ParlaMint-EE-en_2013-02-14	ParlaMint-EE_2013-02-14_U11	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 14.02.2013, 10:00	2013-02-14	Unicameralism	XII Riigikogu	V regular session	-	2013-02-14	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	m_mälberg_19700426	Mälberg, Meelis	M	1970	
