Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U1	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U2	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Regular	MP	notMinister	KE	Keskerakond	-	Centre-left	y_toom_19661015	Toom, Yana	F	1966	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U3	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U4	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U5	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U6	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U7	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U8	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U9	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U10	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Regular	MP	notMinister	RE	Reformierakond	Coalition	Centre-right	r_maruste_19530927	Maruste, Rait	M	1953	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U11	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
ParlaMint-EE-en_2013-05-23	ParlaMint-EE_2013-05-23_U12	XII Parliament term, V Session, Plenary Assembly regular meeting on Thursday, 23.05.2013, 10:00	2013-05-23	Unicameralism	XII Riigikogu	V regular session	-	2013-05-23	-	Reference	English	Chairperson	MP	notMinister	KE	Keskerakond	-	Centre-left	j_ratas_19780702	Ratas, Jüri	M	1978	
