Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u1	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	KO	Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska	-	-	AleksandraGajewska	Gajewska, Aleksandra	F	1989	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u2	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u3	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u4	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u5	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u6	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u7	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u8	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	GrzegorzBraun	Braun, Grzegorz	M	1967	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u9	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u10	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Regular	MP	notMinister	Konfederacja	Koło Poselskie Konfederacja	-	Far-right	JakubKulesza	Kulesza, Jakub	M	1990	
ParlaMint-PL-en_2019-11-13-sejm-01-2	ParlaMint-PL_2019-11-13-sejm-01-2.u11	Report of the session of the Sejm of the Republic of Poland, Term 9, Session 1, Day 2 (2019-11-13)	2019-11-13	Lower house	9. kadencja Sejmu	1. sesja Sejmu	-	2. dzień sesji Sejmu	-	Reference	English	Chairperson	MP	notMinister	PiS	Klub Parlamentarny Prawo i Sprawiedliwość	Coalition	Right	ElżbietaWitek	Witek, Elżbieta	F	1957	
