Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ОлександрСергійовичЄфремов.1954	Jefremov, Oleksandr Serhijovyč	M	1954	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ОлександрСергійовичЄфремов.1954	Jefremov, Oleksandr Serhijovyč	M	1954	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u5	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u6	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ОлександрСергійовичЄфремов.1954	Jefremov, Oleksandr Serhijovyč	M	1954	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u7	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u8	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frBYuT	Yulia Tymoshenko Bloc Faction	-	Big tent	ПавлоМихайловичМовчан.1939	Movčan, Pavlo Mychajlovyč	M	1939	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u9	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Chairperson	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	АрсенійПетровичЯценюк.1974	Jacenjuk, Arsenij Petrovyč	M	1974	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u10	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frNUNS	Our Ukraine -- People's Self-Defense Bloc Faction	-	Centre-right	ВолодимирМихайловичВязівський.1963	V’jazivs'kyj, Volodymyr Mychajlovyč	M	1963	
ParlaMint-UA-en_2008-11-11-m1	ParlaMint-UA_2008-11-11-m1.u11	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 3, sitting day 2008-11-11, n1	2008-11-11	Unicameralism	6	3	-	2008-11-11	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	-	Centre	ОлександрВолодимировичЛавринович.1956	Lavrynovyč, Oleksandr Volodymyrovyč	M	1956	
