Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u1	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u2	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-L	Grupo Parlamentar do Livre	Opposition	Centre-left to left	RuiMiguelMarcelinoTavaresPereira	Miguel Marcelino Tavares Pereira, Rui	M	1972	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u3	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u4	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-PAN	Grupo Parlamentar do Pessoas-Animais-Natureza	Opposition	Centre-left	PaulaInêsAlvesdeSousaReal	Inês Alves de Sousa Real, Paula	F	1980	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u5	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u6	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-BE	Grupo Parlamentar do Bloco de Esquerda	Opposition	Left to far-left	JoanaRodriguesMortágua	Rodrigues Mortágua, Joana	F	1986	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u7	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u8	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-PCP	Grupo Parlamentar do Partido Comunista Português	Opposition	Left to far-left	AlmaBenedettiCroceRivera	Benedetti Croce Rivera, Alma	F	1991	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u9	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u10	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-IL	Grupo Parlamentar do Iniciativa Liberal	Opposition	Centre-right to right	JoãoFernandoCotrimdeFigueiredo	Fernando Cotrim de Figueiredo, João	M	1961	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u11	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u12	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-CH	Grupo Parlamentar do Chega	Opposition	Right to far-right	AndréClaroAmaralVentura	Claro Amaral Ventura, André	M	1983	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u13	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u14	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-PSD	Grupo Parlamentar do Partido Social Democrata	Opposition	Centre-right	AlexandreDamascenodaSilvaPoço	Damasceno da Silva Poço, Alexandre	M	1992	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u15	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u16	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	RuiCarlosMoraisLage	Carlos Morais Lage, Rui	M	1975	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u17	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u18	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Regular	notMP	notMinister	-	-	-	-	MarceloNunoDuarteRebelodeSousa	Nuno Duarte Rebelo de Sousa, Marcelo	M	1948	
ParlaMint-PT-en_2022-09-23	ParlaMint-PT_2022-09-23.u19	Minutes of the Assembly of the Portuguese Republic, Session 1, Number 42	2022-09-23	Unicameralism	Série I - XV Legislatura	Sessão 1	Número 42	23.09.2022	-	COVID,War	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	AugustoErnestoSantosSilva	Ernesto Santos Silva, Augusto	M	1956	
