Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u1	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u2	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	MariadaLuzGameiroBejaFerreiraRosinha	da Luz Gameiro Beja Ferreira Rosinha, Maria	F	1948	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u3	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u4	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Regular	MP	notMinister	GP-PAN	Grupo Parlamentar do Pessoas-Animais-Natureza	Opposition	Centre-left	PaulaInêsAlvesdeSousaReal	Inês Alves de Sousa Real, Paula	F	1980	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u5	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u6	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Regular	MP	notMinister	GP-PAN	Grupo Parlamentar do Pessoas-Animais-Natureza	Opposition	Centre-left	PaulaInêsAlvesdeSousaReal	Inês Alves de Sousa Real, Paula	F	1980	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u7	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u8	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	MariadaLuzGameiroBejaFerreiraRosinha	da Luz Gameiro Beja Ferreira Rosinha, Maria	F	1948	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u9	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u10	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Regular	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	MariadaLuzGameiroBejaFerreiraRosinha	da Luz Gameiro Beja Ferreira Rosinha, Maria	F	1948	
ParlaMint-PT-en_2022-02-10	ParlaMint-PT_2022-02-10.u11	Minutes of the Assembly of the Portuguese Republic, Session 3, Number 33	2022-02-10	Unicameralism	Série I - XIV Legislatura	Sessão 3	Número 33	10.02.2022	-	COVID	English	Chairperson	MP	notMinister	GP-PS	Grupo Parlamentar do Partido Socialista	Coalition	Centre-left	EduardoLuísBarretoFerroRodrigues	Luís Barreto Ferro Rodrigues, Eduardo	M	1949	
