Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u3	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u4	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u5	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	LupoGiulia	Lupo, Giulia	F	1977	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u6	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	FI-BP	Forza Italia-Berlusconi Presidente	Coalition	Centre-right	AlbertiCasellatiMariaElisabetta	Alberti Casellati, Maria Elisabetta	F	1946	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u7	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Regular	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	LupoGiulia	Lupo, Giulia	F	1977	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u8	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u9	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u10	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Regular	MP	notMinister	FdI	Fratelli d'Italia	Opposition	Right to far-right	MalanLucio	Malan, Lucio	M	1960	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u11	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
ParlaMint-IT-en_2021-09-30-LEG18-Senato-sed-364	ParlaMint-IT_2021-09-30-LEG18-Senato-sed-364.ana.u12	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 364, Day (2021-09-30)	2021-09-30	Upper house	18 Legislatura	-	-	364 Seduta	-	COVID	English	Chairperson	MP	notMinister	M5S.2	MoVimento 5 Stelle	Coalition	Big tent	TavernaPaola	Taverna, Paola	F	1969	
