Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3133	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije Sandžaka	Opposition	Right	ImamovićEnis	Imamović, Enis	M	1984	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3144	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3145	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Regular	MP	Minister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3146	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3147	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije Sandžaka	Opposition	Right	ImamovićEnis	Imamović, Enis	M	1984	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3148	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3149	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Regular	MP	Minister	SNS	Srpska napredna stranka	Coalition	Big tent	StefanovićNebojša	Stefanović, Nebojša	M	1976	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3150	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3151	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Regular	MP	notMinister	SDS	Socijaldemokratska stranka	Coalition	Centre-left	HomenSlobodan	Homen, Slobodan	M	1972	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3152	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	BečićIgor	Bečić, Igor	M	1971	
ParlaMint-RS-en_2014-06-13-0	ParlaMint-RS_2014-06-13-0.u3153	Term 10, Meeting v2	2014-06-13	Unicameralism	10. mandat	-	Zasedanje v2	2016-02-04	-	Reference	English	Chairperson	MP	notMinister	SNS	Srpska napredna stranka	Coalition	Big tent	GojkovićMaja	Gojković, Maja	F	1963	
