ParlaMint-BG_2015-07-21.u1	There is a quorum, I am opening the plenary session. A procedural proposal please, Mr. Kazak.
ParlaMint-BG_2015-07-21.u2	Thank you. Madam President, honourable Members! Because we all know there are serious debates ahead of us. 1 a t. 2, as far as I know, it is consensual, on behalf of all current, former and future MPs from the Shumen constituency, I propose that we exchange the two points first. 2 and then t. 1. Thank you.
ParlaMint-BG_2015-07-21.u3	A reverse opinion? Here you go, Mrs. Todorova.
ParlaMint-BG_2015-07-21.u4	Madam President, I'm making a reverse procedural proposal. About three weeks we postpone the debate on the rules for holding referendums. If we continue to postpone, we will seriously compromise the authority of the referendums, and we must defend it and show that we are not afraid of holding referendums. Thank you. [[Applause from ABB.]]
ParlaMint-BG_2015-07-21.u5	Colleagues, I am putting to the vote the procedural proposal made to displace the items on the agenda of the extraordinary plenary. Vote 166 MPs: 117, against 33, abstention 16. The motion is accepted. Dear colleagues, by letter No 554-00-643, dated 17 July this year, on the basis of art. 82 of the Rules of Organization and Activity of the National Assembly were withdrawn on 21 March 2015. Draft Law amending and supplementing the Law on Physical Education and Sports with entry No 554-01-97. Next are the signatures of Dimitar Shishkov, Nastimir Ananiev, Assoc. Borislav Velikov, Nikola Hadzhiyski, Willi Lilkov, Boyka Marinska, Borislav Milanov and Dimitar Delchev. On July 20, 2015, the National Assembly received the Commission Newsletter No 15 for the disclosure of documents and the declaration of belonging of Bulgarian citizens to the State Security and intelligence services of the Bulgarian People's Army for the period 26 November 2014. The newsletter contains information on the Commission's activities, its decisions and its report under art. 4, para. 6 of the Law for the period July 20, 2014 The Bulletin is available to the MPs in the Library of the National Assembly. Moving on to: PROJECT FOR THE PHILILILILIST DECISION "SHUMEN" IN THE STRUCTURAL OF THE MEDICAL UNIVERSITY "PROF." Dr. Parascev Ivanov Stoyanov Reports have been received from the Committee on Education and Science and the Committee on Health. We will first hear the report from the Committee on Education and Science. [[Presidents change.]]
ParlaMint-BG_2015-07-21.u6	Dear Mr. Chairman, honourable Members of the National Assembly! I present to your attention. ♪ I can't believe on the Project for a Decision for the Opening of the Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Stoyanov On 10 July 2015, the Council adopted Regulation At its regular meeting, held on 15 July 2015, the Education and Science Committee examined the Project for a Decision for the Opening of Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Stoyanov The meeting was attended by: Prof. Nikolay Denkov "Deputy Minister of Education and Science," who presented the project, prof. Radoslav Gerchev from the National Agency for Evaluation and Accreditation and Assoc. Ljiljana Valcheva from the trade union High education and science at the CST. The draft decision shall be submitted on the basis of art. 9, para. 2, p. 1 of the Law on Higher Education. The proposal for the opening of the Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Stoyanov is on the basis of a positive assessment and accreditation project by the National Evaluation and Accreditation Agency, according to Protocol No 16 of 11 September 2014 of the Board of Accreditation. Proof of the public importance of the project is the written support expressed by the Regional Governor of Shumen District and by the Bulgarian Association of Health Care Professionals. With the opening of Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Stoyanov (Varna) will create opportunities to prepare highly qualified personnel to meet the need for nurses and midwives in the region and in the country. The discussion was attended by the MPs Snezana Dukova, Milen Mihov, Borislav Velikov and Mariana Georgieva. They stressed the social importance of the project and the need for specialists to open health centres on a regional basis. The project envisions training in the newly opened branch in the specialities of the regulated professions "Medician sister" and "A midwife" for the acquisition of educational and qualification degrees "Bachelor" from the professional field of health care. The NAOA's cited decision sets the training capacity of 80 students for each of the specified specialties of regulated professions. For the provision of training will be fulfilled the requirement of art. 26c, para. 2 of the Law on Higher Education by providing a ten-member academic staff with a basic contract of employment. A corresponding material and technical base provided by the municipality of Shumen is provided for training in the planned subsidiary. As educational and practical training bases will be used accredited for the training of medical institutions students in the municipality of Shumen. After a vote on the draft decision with a score of 15 votes for the decision, without the opposition and the abstentions, the Committee on Education and Science proposed to the National Assembly to adopt a decision for the opening of the Philial of Shumen, in the structure of the Medical University. Dr. Paraskev Stoyanov
ParlaMint-BG_2015-07-21.u7	Thank you, Mrs. Damyanova. The report of the Committee on Health will read the President of the Commission Dr. Daniela Daritkova. Here you go, Dr. Daritkova.
ParlaMint-BG_2015-07-21.u8	Mr. President, ladies and gentlemen of the House, I would like to present to your attention: ♪ I can't believe on the Project for a Decision for the Opening of the Philial "Shoumen', in the structure of the Medical University "Prof. Dr. Paraskev Ivanov Stoyanov At its extraordinary meeting held on 16 July 2015, the Committee on Health examined and discussed the Project for a Decision for the Opening of Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Ivanov Stoyanov The meeting was attended by: Deputy Minister of Education and Science Prof. Nikolay Denkov and representatives of the word organizations in the field of health. The draft decision and the reasons for it were presented by Prof. Nikolay Denkov Deputy Minister of Education and Science. He informed the Members of the National Assembly that the proposed opening of Philial "Shoumen," in the structure of the Medical University "Varna," was at the request of the management of the higher school based on a positively assessed project by the Accreditation Board of the National Evaluation and Accreditation Agency. The project envisions training of students to acquire an educational-qualification degree in two majors from the regulated professions "Medical Sister" and "Akusherka" from the professional field "Health Care" with a capacity of 80 students for each specialty. According to the legal requirements of the Health Act, the training of nurses and midwives shall be carried out in educational and qualification degrees under art. 42, para. 1, t. 1 (b) of the Law on Higher Education in Faculties or branches of Higher Schools, which received accreditation under the Law on Higher Education. At present, the Medical University of Varna has a program accreditation for the above-mentioned specialities of regulated professions of the educational and qualification degree of the Bachelor's regular form of training, valid until 7 February 2018. According to the project for the opening of Philial, Shumen, in the structure of the Medical University Varna, is provided a 10-member academic staff of a major contract of employment. In view of the stated, the academic staff of the subsidiary shall comply with the requirement of art. 26c, para. 2 of the Law on Higher Education. For the needs of the new structure is provided a corresponding material and technical base, and for this purpose the municipality of Shumen has provided for a period of 10 years municipal property a building of the Regional Dispanser for pneumothsiatric diseases. Two lecture halls, two seminar halls, three practical offices, a computer hall, a library, a sports hall, as well as offices for teachers and administration are equipped. The training facilities of accredited medical institutions in the municipality of Shumen will be used for the conduct of practical training of the students. With the opening of Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Ivanov Stoyanov "Varna" will provide new opportunities for the preparation of highly qualified specialists, which is a positive step in the process of implementing the national policy for meeting the needs of the population of health care, as well as support for regional priorities and policies. Support for the proposed draft decision was expressed by representatives of the Bulgarian Medical Union and the Bulgarian Association of Health Care Professionals. The members of the Health Commission united in their opinions and expressed support for the proposed draft decision. In the context of the discussion, the sustainable trend of shortage of nurses and midwives in the national healthcare system was also noted, as many of them focus on looking for work abroad. According to the opinion of the Members of the National Assembly, statistics should be kept regarding the implementation of health care professionals, after completion of their training and measures aimed at remaining to practice in Bulgaria should be taken. On that note, Professor. Denkov said there are statistics available for the period 2009 - 2013 according to which the graduates of professional care are 4210, of which the unemployed are 2.28 percent and 81% are included in the insurance system in Bulgaria of average insurance income 719 BGN. On the basis of the discussion and the vote taken on the following results:....................................................................................................................................................................................................................................................... Dr. Paraskev Ivanov Stoyanov.... Varna, No 502-03-13, submitted by the Council of Ministers on 10 July 2015.............................................................................................................................................................................................................................................
ParlaMint-BG_2015-07-21.u9	Thank you, Dr. Daritkova. Debates are open. Anyone? I won't. Debates closed. We vote. ? RESPONSIBILITY? for the opening of Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Ivanov Stoyanov The National Assembly on the basis of art. 9, para. 2, p. 1 of the Law on Higher Education HAS DECIDED He opened Philial "Shoumen," in the structure of the Medical University "Prof. Dr. Paraskev Ivanov Stoyanov We vote, fellow Members. Vote 154 MPs: 152 against 1, abstention 1. The motion is accepted. Moving on to: THE SECOND READING OF THE LAW FOR DELEGATION AND COMPLIANCE OF THE LAW FOR THE NEXT PARTICIPATION OF THE CIVILS IN THE STATE POWERS AND LOCAL REPRESENTATION, No 554-01-99. The bill was submitted by Danail Dimitrov Kirilov and a group of MPs on 22 May 2015. Here you go, Mr. Kirilov. I recall that the Commission supports the text of the importer for § 2. That's a vote. Next is a proposal from the MP Borislav Borisov, but this to be read by the President of the Legal Commission.
ParlaMint-BG_2015-07-21.u10	Thank you, Mr. Chairman. Dear colleagues! Proposal of the MP Borislav Borisov and a group of MPs: A new § 3 is being created. .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 10: (a) in para. 1, t. 5, the number (b) in para. 2 the number "sixty five hundred thousand" is replaced by three hundred thousand. The Commission does not support the proposal. Proposal of the National Representative Georgi Kadiev: screated § 2a: sssssssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 10 the following amendments shall 1. In para. 1, t. 1 and the expression "one-five' is replaced by "one-six-six'. 2. In para. 1, t. 4 and the expression "one fiveth" is replaced by the expression "one tenth." 3. In para. 1, t. 5 and the expression "Supplied not less than 200 000 signatures of citizens with electoral rights" shall be replaced by "Supplied not less than 75 000 signatures of citizens with electoral rights" and a sentence of the second sentence shall be added. The signatures of citizens with permanent address registration from one area shall not represent more than 50% of all signatures. 4. In para. The 4th number is replaced by the 200,000 and the second sentence is added: The signature of citizens with permanent address registration from one area cannot represent more than 50% of all entries. The Commission does not support the proposal. Proposal of the MPs Anna Alexandrova and Svilen Ivanov: screated § 2a: sssssssssssssssssssssssssssssssssss. In Article 4 (1) (b), point (c) is replaced by the following: 10, para. 2, the number "sixty five hundred thousand" is replaced by four hundred thousand. The Commission supports the proposal. The Commission proposes to create a new § 3: .................................................. In Article 4 (1) (b), point (c) is replaced by the following: 10, para. 2, the number "sixty five hundred thousand" is replaced by four
ParlaMint-BG_2015-07-21.u11	Thank you, Mr. Kirilov. The People's Representative Mariana Todorova has the floor.
ParlaMint-BG_2015-07-21.u12	Thank you, Mr. Chairman. My fellow Members, I am pleased that, by virtue of my being an importer, I have the opportunity to make some points first, as I expect the debate to be distorted again and to go in another direction. In the previous debates, we have indeed seen that the subject of the Bill was not discussed, which is to choose new rules on which referendums are to be held, but many other topics were interpreted. This was intended to wear out, waste, belittle and corrupt the issue of referendums. The discussion went in the direction of the suggestion that referendums are dangerous, that, you see, irresponsible government through them are hiding behind the back of the people that this is how the architecture and the future of the European Union are being questioned, that referendums are being conducted on conjunctural and momentary emotions. In this way, an artificially created original sin was waged for the referendum and the idea of the sovereign right and will of a people to rule on a subject was challenged. However, I am interested in how all political entities during election campaigns are flirting with the people and trying to gain their sympathies when they interpret the results of the elections, whether good or bad, always rely on the wisdom of the people and say: "This is the way the people decide, that is why the parliamentary configuration is, and only when referendums are being held we do not want to delegate the rights of these people to speak on a subject. So, rather today, I would like to say that the vote on this bill will not be on the axis of left, centre and right, but rather on the basis of a status quo or protection of change. Today we will have the opportunity to count and mark. And specifically to our proposal, it is about reducing the petition to call a referendum of 500 thousand to 300 thousand and an initiative to hold a referendum of 200 thousand to 150 thousand people. I also call on my colleagues from the Reformation bloc to support it, as they had an identical proposal. Of course, the reduction from 500 to 400,000 is also the right step, but we should not be afraid and have a psychological barrier that what a political entity may not achieve by 300,000 will achieve by 400,000. I therefore call on you to support our proposal. Thank you for your attention.
ParlaMint-BG_2015-07-21.u13	Thank you, Mrs. Todorova. - What's the line? I won't. The word has the People's Representative Chetin Kazak's procedure. Here you go, Mr. Kazak.
ParlaMint-BG_2015-07-21.u14	Dear Mr. Chairman, honourable Members! I have a procedural proposal on the way in. Dear Mr President, since you are currently debating and possibly voting on texts that I believe are unacceptable should not be put to any discussion or vote. I want to read you the text in art. 81, para. 2 of our Rules of Procedure: The second vote shall discuss only the proposals of Members of the National Assembly which have been received in accordance with art. 80, as well as proposals from the committee responsible, included in her report. Editorial amendments are also eligible. And now: The proposals that contradict the principles and scope, repeat and bruise, the scope of the bill adopted at the first vote, are not discussed and voted. These proposals, which were made here by Mr. Borislav Borisov, by Mr. Georgi Kadiev, by Ms. Anna Alexandrova and Svilen Ivanov, contradict both the principles and the scope of the first vote adopted, only adopted in the first vote, a bill amending and supplementing the Law on direct participation of citizens in state power and local self-government. Nowhere within the scope of this Draft Law, as you see in the main text, is the issue of neither the number of signatures nor the number to make the postponement of the referendum compulsory or in relation to its validity, so in an unacceptable way in the Legal Committee these texts have been admitted to consideration. However, I hope that the management of the National Assembly will not violate the Rules of Procedure, will not allow a clear violation of the Rules, and you will not allow any further discussion of these texts, so I ask you to really put an end to the debate here, to move on to § 3. Thank you.
ParlaMint-BG_2015-07-21.u15	Thank you, Mr. Kazak. That's your hypothesis. I follow exactly the report of the Legal Commission. These are unsupported proposals by the Commission, which I will put to the vote after the debate and the end of the debate. Mr. Bajraktarov, before you Georgi Kadiev had a speech. Here you go, Mr. Kadyev.
ParlaMint-BG_2015-07-21.u16	Thank you, Mr. Chairman. I'll say two words about what Mr. Kazak said. Mr. Kazak, you're probably right. Indeed, very often in Parliament, including myself, I make proposals between first and second readings that are outside the scope of first reading. If we follow your logic, then we should, for example, change to the Energy Act, which were seen yesterday by the Energy Commission, completely cross them off, because at first reading there were two members, and yesterday there were 31 pages of proposals. So, unfortunately, sometimes real changes occur between first and second readings. I admit it's a bad practice because they don't suggest enough time to discuss, or enough time for society to say their word, but that's reality. My proposals, honourable Members, concern one simple thing: facilitating the procedure for calling a referendum: point one reduces the number of MPs who can request a referendum of 48 to 40 people; point two reduces the number of municipal councils that can ask parliament to call a poll of a fifth, that is, from about 53 municipal councils of a tenth around 27 municipal councils. Point three is for collecting fewer signatures for offering a referendum.. up to 75 thousand, which is about 1% of the population. That's my logic. The ABB colleague offered $150,000, which is 2%, but whether it's 1 or 2% is not that important, but the number has to be reduced. And point four is equivalent to point two.. bringing the threshold for a mandatory request for a referendum of 500 thousand to about 200 thousand, which is about 3% of the country's population or about 4% of the people with voting rights. The logic of all these proposals is easier to call a referendum, and I in § 1 had suggested that human rights and national security issues should not be offered for a referendum because of the possibility of populism. And since this thesis has not been adopted, I would like to tell you that if in Sofia, for example, there is a referendum on whether to introduce a Sofia residence, I guarantee you that the result will be defeating....... which, however, violates a fundamental human right and this is the right and movement, it is also a fundamental European right, and the right to live where you want to live. Therefore, honourable Members, I ask you to support logic. Whether you will support my proposal, the ABB proposal, if the reformers have their proposals, even the Commission's proposal, which is the softest of all, and a 20% reduction from 500 to 400 thousand. souls, but the direction is correct. And in my opinion, the more definite the changes, the better. Thank you.
ParlaMint-BG_2015-07-21.u17	Thank you, Mr. Kadyev. First line here, Mr. Kazak. For the second line, Mr. Lazarov.
