ParlaMint-BG_2015-09-30.u1	Hey, guys. Good afternoon. Please register. Abort registration. Second attempt.09.10 a.m. (09.11)
ParlaMint-BG_2015-09-30.u2	There is a quorum. [[PHONE RINGING]] I'm opening the plenary session. Honourable Members of the National Assembly, I offer to your attention a Programme for the work of the National Assembly for the period from 30 September to 2 October 2015 as follows: 1. Second vote on the Pre-school and School Education Bill on a sequel. 2. First vote on the Draft Law amending and supplementing the Public Procurement Act with an importer of the Council of Ministers. 3. Second vote on the Bill of State Agency Intelligence. 4. Second vote on the Military Intelligence Bill. 5. First vote on bills to amend and supplement the Law on excises and tax warehouses with importers Georgi Kovachev and a group of MPs and the Council of Ministers. 6. First vote on the Bill of Accounting with the Importer Council of Ministers. 7. Second vote on the Draft Law amending and supplementing the Law on Asylum and Refugees with importer Tuncher Kardzhaliev. He was accepted in the first vote on 20 March 2015. 8. First vote on bills to amend and supplement the Tax and Insurance Procedure Code several bills. The first at the time is of Petar Slavov and a group of MPs; two bills of the Council of Ministers, July 23rd and September 15th respectively. This Decision shall 9. Draft Law on the ratification of the Agreement amending the Agreement amending and supplementing and continuing the Agreement on Grants under the Programme of the European Union for the Prevention and Control of HIV/AIDS in Bulgaria and between the Global Fund for the Fight against AIDS, Tuberculosis and Malaria and the Ministry of Health of the Republic of Bulgaria. 10. A bill for ratification of the Anex amending the Memorandum of Understanding on Cooperation and Support with regard to the Secretariat of the South East European Police Cooperation Convention, signed on 12 October 2012 in Matrahaza, Hungary. 11. Draft Law on the ratification of the Memorandum of Understanding between the Ministry of Interior of the Republic of Bulgaria and the Ministry of Interior of Hungary, the Government of the Netherlands, the Ministry of Justice and Public Security of Norway, the Swedish Migration Board, the Swedish Ministry of Justice and the International Centre for the Development of Migration Policy on the Implementation of the Project. 12. Draft Law on the ratification of the Amendment of the Agreement between the Government of the Republic of Bulgaria and the Government of the Swiss Confederation on financial assistance. Importer is the Council of Ministers. In fact, all ratifications are with an importer of the Council of Ministers. 13. Draft Law on the ratification of the Agreement between the Republic of Bulgaria and the United Kingdom of Great Britain and Northern Ireland on the avoidance of double taxation and the prevention of tax evasion of income and profits from the transfer of property. 14. Draft Law on the ratification of the Agreement between the Republic of Bulgaria and Romania on the avoidance of double taxation and the prevention of tax evasion. 15. A bill for ratification of the Agreement between the Government of the Republic of Bulgaria and the Government of Gurnsey on the exchange of information on tax matters. Importer is the Council of Ministers. 16. Parliamentary control under art. On Friday, 2 October, the National Assembly's Rules of Procedure, with a changed time, starting time of 1300 hours, i.e. the control will be from 1300 hours to 16.00 hours, the last three hours of the plenary session on Friday on 2 October. Please vote. They voted 136 MPs: 119, against 3, abstention 14. The motion is accepted. Honourable Members, two proposals have been made in accordance with art. 50, para. 3 of the Rules of Organization and Activity of the National Assembly by the MPs Mr. Chetin Kazak and Mr. Mustafa Karadayi of the Parliamentary Group of the Movement for Rights and Freedoms. The requests are for inclusion in the weekly programme of two bills with importers Lutvi Mestan and a group of MPs. Both bills, however, are dated 22 July 2015. The time limits under art. 50, para. 3 of the Rules of Procedure of the National Assembly have not expired since during August, when the National Assembly is on a regulated holiday, the time limits are not running, which is why they are inadmissible for inclusion in a weekly programme for a single reason: the deadlines have not expired. Bills and draft decisions for the period from 23 to 29 September 2015: Draft Law on ratification of the Agreement between the Government of Bulgaria and the Government of the Republic of Austria on cooperation in the fields of culture, education, science and youth. Importer is the Council of Ministers. The Committee on Foreign Affairs is the lead. It is also allocated to the Committee on Education and Science, the Committee on Culture and Media, the Committee on Children, Youth and Sports. Draft amending and supplementing the Administrative-Processional Code with importer Nayden Zelenogorski and group of MPs. The Committee on Legal Affairs is the lead. It is also allocated to the Committee on Budget and Finance and the Committee on Economic Policy and Tourism, the Committee on Regional Policy, Public Works and Local Self-government. Report on the implementation of the State Budget of the Republic of Bulgaria for 2014 Report on the report on the implementation of the State Budget of the Republic of Bulgaria for 2014 Annual Report and Activity Report of the State Fund for the Sustainability Guarantee of the State Pension System for 2014 and Annual Report on the State Debt Status for 2014 with Importer of the Council of Ministers. It is allocated to the Committee on Budget and Finance and the Committee on Labour, Social and Demographic Policy. Project for a decision to convene an extraordinary meeting of the Advisory Council for National Security to examine the policy of the Republic of Bulgaria against the mass migration of refugees and migrants across the border of the European Union and Bulgaria. The importer is Mikhail Mikov. It has been allocated to the Committee on Legal Affairs. Draft Law on the ratification of the Agreement amending the Agreement amending and supplementing the Agreement on the Grants under the Programme of the National Tuberculosis Programme in Bulgaria............................................................................................................................................................................................................................................... Importer is the Council of Ministers. The Committee on Health is the lead. The Legal Commission and the Foreign Policy Committee will also be watching it. And one last message. On 29 September 2015 the National Statistical Institute received information about the business climate in industry, construction, trade and services in September 2015. The material is available to the MPs in the Library of the National Assembly. Let's continue with: Second reading of the LawProject on Pre-Student and Scholarship. On yesterday are adopted texts by importer from art. Art. 280 to Art. 288 including, which becomes art. 290. Articles 289 to 294 have been reported, which the Commission proposes to have with the corresponding numbering from 291 to 296, as well as the proposals to them. The vote is pending because, in the event of the upcoming vote, a name check has been requested and due to the absence of a quorum, the sitting has been suspended. I put to the vote the proposal of Mr. Valeri Zablyanov and a group of changes in art. 289. The Commission does not support the proposal. They voted 122 MPs: 15 against 71, abstention 36. The offer is not accepted. I shall put to the vote the texts of art. Article 291 296 in the version and numbering of the Commission report. They voted 121 MPs: 104, none against, abstention 17. The proposals have been accepted.
ParlaMint-BG_2015-09-30.u3	Article 295. Proposal by the MP Iskren Veselinov and a group of MPs: In Article 1, paragraph 1 is replaced by the following: In the case of aid granted by a Member State or through State resources, the aid granted by a Member State shall be compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty and shall be compatible with the internal The Commission does not support the proposal. Proposal by MP Stanislav Stanilov: In Article 1, paragraph 1 is replaced by the following: In the case of aid granted by a Member State or through State resources, the aid granted by a Member State shall be compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty and shall be compatible with the internal market The Commission does not support the proposal. A proposal from the MP Irena Kotseva and a group of MPs. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission supports the proposal in principle. The Commission shall in principle support the text of the importer and propose the following version of art. 295, which becomes art. 297: Art. 297. (1) The state budget shall provide funds to support the education in the educational subjects Bulgarian language and literature, History and civilization, Geography and economics in their part related to the history and geography of Bulgaria, organized abroad by: 1. organizations of Bulgarians living outside the Republic of Bulgaria, registered under the legislation of the country concerned for carrying out educational and cultural activities; 2. diplomatic representations of the Republic of Bulgaria abroad; 3. Bulgarian Orthodox Church Municipalities; 4. Slavano Bulgarian Monastery "St. Whip. Georgi Zograf. Athos, Greece. (2) The funds under para. 1 shall be provided by the state budget through the budget of the Ministry of Education and Science under conditions and by order determined by an act of the Council of Ministers. (3) The training under para. 1 is organized for pre-school children and for students from I to XII grade in educational programs and teaching aids established by the Minister of Education and Science.
ParlaMint-BG_2015-09-30.u4	Statements? Here you go.
ParlaMint-BG_2015-09-30.u5	Dear Madam President, dear Minister, honourable colleagues! Madam President, I would like to make an editorial amendment to the word'supporting' to replace it with 'financing'. This article regulates the financing of the training of tens of thousands of Bulgarian children studying abroad. We all hope that at some point these children will return to the country and they should join the system of Bulgarian education and should be prepared. There are only three subjects to study in Bulgarian, history and geography, which they can't study in the countries where their parents live and where they live. Changing the term will not bring more expenses to the Ministry. We simply believe that the amount of money that is being financed by the state budget is much more correct and will show the attitude of the National Assembly towards these tens of thousands of Bulgarian children and their parents. Thank you.
ParlaMint-BG_2015-09-30.u6	Thank you, Mr. Kenov. - What's the line? I won't. Any other MPs? I won't. The debate is closed. Let's move on to the vote. I put to the vote the proposal of Mr. Iskren Veselinov and a group of MPs. The Commission does not support this proposal. They voted 107 MPs: 15 against 27, abstention 65. The offer is not accepted. We vote on Mr. Stanilov's proposal. The Commission does not support it. They voted 109 MPs: 13 against 22, abstentioned 74. The offer is not accepted. Mr. Zablyanov's proposal and a group of MPs are supported. I shall put to the vote art. 297 in its version of the Commission report. Cancel this vote. I was just thinking at the moment that there were supported proposals from Mr. Zablyanov and a group of MPs, and on yesterday we listened all day that there was not one supported proposal, so I got distracted. [[Voices from BSP LB: "Eee! "]] I shall put to the vote Mr. Kenov's proposal in the version of the Commission in art. 297, para. In the first row, the word "supporting' shall be replaced by the word "refunding'. We vote on Mr. Kenov's proposal. They voted 108 MPs: 21, Against 9, abstention 78. The offer is not accepted. Vote art. 297 in the version of the Commission. Vote 105 MPs: for 104, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u7	Statements? I won't. We are voting for members with numbers 298 and 299 on the Commission report. Vote 97 MPs: for 96, against none, abstention 1. The motion is accepted.
ParlaMint-BG_2015-09-30.u8	Under art. 298 has a proposal from the MP Boyka Marinska and a group of MPs. The Commission supports the proposal. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: OJ L 298, 26.10.2012, p. 1, t. 5 the words "schools of foreign countries" shall be replaced by the words "schools of countries outside the European Union." The Commission shall in principle support the text of the importer and propose the following version of art. 298, which becomes art. 300: Art. 300. (1) In the system of pre-school and school education shall be collected fees in amounts fixed by a tariff of the Council of Ministers for: 1. examination of an application for authorisation to enter a private kindergarten or private school in the register of institutions in the system of pre-school and school education or change of a private kindergarten or private school; the fee shall include the costs of carrying out an assessment of the compliance of the requested facts and circumstances and the documents submitted with the requirements for entering a private kindergarten or private school or the requirements for entering a change of a private kindergarten or private school; 2. issue of a certificate to register a private kindergarten or private school or to register a change of a private kindergarten or private school; the fee shall include the costs of preparing the certificate; 3. examination of applications for the approval of a cognitive book, textbook or study kit for pre-school and school education; the fee includes the costs of checking the documents imported; 4. carrying out an assessment of the cognitive book, textbook or study kit for their compliance with the state educational standard under art. 22, para. 2, p. 13; 5. recognition of a document for completed stage of school training, degree of education and degree of professional qualification issued by schools of foreign countries and for issuing a certificate; the fee shall be determined according to the recognised stage of school training, the degree of education and professional qualification and shall include the costs of verifying documents and carrying out an expert assessment of the comparison of the duration of the training, the type of school where the training was carried out, and the educational subjects with the requirements of the regulations and study plans and programmes operating in the system of pre-school and school education; 6. validation of competences acquired through informal training and informative learning; the fee shall be determined according to the type of validation and shall include the costs of verifying the submitted documents and carrying out the test; 7. examination of applications and evaluation of training programmes for improving the qualification of pedagogical specialists; the fee includes the costs of checking the submitted documents and evaluating the programmes; 8. conducting courses for literacy, courses for acquiring competences for completed secondary stage or for completed grades of secondary stage and courses for recognition of professional qualification; the fee shall include the costs of training and carrying out the test; 9. training of third-country nationals above compulsory school age; the fee includes the costs of training. (2) The income from the fees under para. 1, t. 1 " 5" are included in the budget of the Ministry of Education and Science and the fees under para. 1, t. The budget of the school concerned is 6............................................................................................. (3) Fees under para. 1, t. 5 do not gather when persons who want recognition are at compulsory school age. (4) Fees under para. 1, t. 6 and 8 shall not be collected when the activities are financed by national and international programmes and projects.
ParlaMint-BG_2015-09-30.u9	Statements? I won't. I put to the vote the proposal of Mr. Jablyanov and a group of MPs. The Commission does not support it. Vote 95 MPs: 14 against 61 abstention 20. The offer is not accepted. Vote art. 300 in the version of the Commission report. Vote 96 MPs: 84, none, abstention 12. The motion is accepted.
ParlaMint-BG_2015-09-30.u10	Under art. 299 has a proposal from the MP Irena Kotseva and a group of MPs. The Commission supports the proposal in principle. Proposal by the National Representative Valeri Jablyanov and a group of MPs. The Commission does not support the proposal: In Article 1, paragraph 1 is replaced by the following: 299, para. 1 the words............................................................................. 10, para. The Proposal by the National Representative Galya Zaharieva, made in accordance with art. 80, para. 4 t. 2 of the Rules of Procedure. The Commission supports the proposal. The Commission shall in principle support the text of the importer and propose the following version of art. Article 299, which becomes Art. 301: Art. 301. (1) Activities other than those financed by the State under art. 10, para. 3 which are carried out for payment by private kindergartens or schools shall be determined by the rules of the respective private kindergarten or private school. (2) The conditions and arrangements for payment of the activities under para. 1 and the amount of payment shall be determined by a contract between the private kindergarten or private school and the parent of the child or student. (3) Private kindergartens and schools included in the state funding system may raise funds from parents to compensate for the costs incurred by them to provide and maintain the material and technical basis where the activities of carrying out compulsory pre-school and school education of children and students are carried out and the maximum amount for a child or student shall be determined according to a methodology established by the State Educational Standard for the financing of institutions. (4) The participation of the child or student in activities under para. 1 shall not be a mandatory condition for its enrollment in a private kindergarten or school and its participation in compulsory pre-school and school education activities.
ParlaMint-BG_2015-09-30.u11	Statements? I won't. We are voting on the proposal of Mr. Zablyanov and a group of MPs, not supported by the Commission. They voted 89 MPs: 11 against 60, abstention 18. The offer is not accepted. Vote art. 301 in the version of the Commission report. 90 MPs voted: 79, none, abstention 11. The motion is accepted.
