ParlaMint-NO_1998-11-05.ana.ud1513e42	The representative, Harald Tom Nesvik, will make a private proposal.
ParlaMint-NO_1998-11-05.ana.ud1513e45	On behalf of the representative John I. Alvheim and myself, I would like to put forward a proposal to ask the Government to present legislative proposals prohibiting the interception of boys who do not have medical reasons.
ParlaMint-NO_1998-11-05.ana.ud1513e50	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_1998-11-05.ana.ud1513e62	: Let me first correct a typographical error in the configuration, page 8, column 1, where it shall read ‘Budgets of the Nordic Council of Ministers’ and not ‘Budgets of the Northern Council’. Nordic cooperation has undergone a comprehensive reform process in recent years. The objective of this process has been both to streamline and vitalise the Nordic Council and to adapt the work of the Council to the new framework set by the Nordic countries’ membership of the EU and the EEA respectively. The reform process is in good hands, and much indicates that Nordic cooperation is now in the process of finding its form. The Nordic Council will hold its 50th session here in Oslo next week. Hopefully this time we will not read editorials entitled 'Nordic Council on Idle', as happened during the previous session in Oslo in 1993. However, although there are obvious positive features in the development of Nordic cooperation, the resource situation places clear limits on the work of the Council. Last year, the majority of the Committee felt that there should now be a cautious increase in the common Nordic budget, targeted primarily at actions in the Nordic neighbourhoods. This was followed up by the Norwegian Government, without it being possible to obtain support from countries other than Iceland. This means that 1999 will be the fourth consecutive year of decline or stagnation in the budget of the Nordic Council of Ministers. Increased efforts towards neighbourhoods have therefore resulted in other important areas having to cope with constraints in relation to the expectations contained in the report on "Nordic cooperation in a new era". It is openly stated in the news of Nordic cooperation that the cuts in recent years have affected, among other things. key areas of cooperation under the Nordic cultural agreement and that it has therefore been difficult to meet the expectations of enhanced cultural cooperation created by the reform process. Cultural cooperation is in many ways a cornerstone of today's Nordic cooperation. I agree with the Government that cultural cooperation should, in essence, be Nordic cooperation, although overall cooperation within the Nordic Council framework is characterised by continued strong emphasis on the European dimension and cooperation between the Nordic countries and their neighbourhoods. The eigenvalue of a Nordic cultural and value community and the need to maintain and strengthen Nordic identity and the Nordic region as a region of Europe indicate that cultural cooperation should primarily have a Nordic anchor. I say 'first and foremost' to point out that, of course, we should not forget the neighbourhoods and the rest of Europe when we talk about cultural cooperation. At the EU Summit in 1997, Finland’s Prime Minister presented his initiative on the ‘Northern Dimension’ to make the EU’s involvement visible and coordinate in the northern regions. This initiative fits well into the work of the Nordic Council and is therefore also supported by Norway. The Council consolidated parliamentary cooperation in the Baltic Sea region in 1992 and, in 1993, initiated parliamentary cooperation in the Arctic between the Nordic countries, Russia, Canada and the United States. The issue of a parliamentary superstructure of Barents' cooperation – in line with what one has in the Baltic Sea – will be the focus when the Nordic Council and the Stortinget convene in April next year a parliamentary conference for the Barents region. This far-reaching cross-border cooperation will contribute to a valuable exchange of experience and knowledge and create conditions for mutual trust across old dividing lines. For the Nordic countries, regional cooperation in the Arctic, the Barents region and the Baltic Sea region represents a new type of international cooperation going beyond the Nordic countries as a framework. The Nordic Council should play an active and coordinating role to ensure that Nordic countries participate effectively in cooperation at parliamentary level in these three regions. The development of neighbourhoods is, moreover, a major challenge for the Nordic countries. Baltic countries are entering the patterns of cooperation of Western countries, both economically and security policy. It has become a tradition for foreign ministers in the three Baltic countries to attend one of the Nordic countries’ annual foreign ministers’ meetings. These so-called 5+3 meetings have marked Nordic support for democratisation and development in the Baltic region and have become a forum for dialogue on the Baltic countries' approach to Western cooperation. The fact that the Russian Foreign Minister has also been invited underlines that the Nordic countries will also include Russia as part of the Nordic neighbourhood. The fact that the information office in St. Petersburg has now gained official status suggests that it should now be easier both to increase activity and to extend the contact network to various parts of North-West Russia. This would be in the Nordic's own interest, among other things. to improve the social and health situation in the area, which in the worst cases could develop into a threat to stability and democratic development in the area. There is no doubt that there is a proper prioritisation of the Nordic Council when it comes to action against vulnerable groups of children and young people in our neighbourhoods, and it is positive that a project for disadvantaged families, children and young people in these areas has been launched precisely during the Norwegian Presidency period. In recent years, there has been a certain shift of gravity in Nordic cooperation towards southern Europe and Eastern Europe, including the neighbourhoods. This has led to some concern in the Western Nordic region that the Western Nordic region will be marginalised in Nordic cooperation – to say the least. This turmoil should be serious. The Nordic region will be weakened if one does not continue to attract Iceland, Greenland and the Faeroe Islands as active partners in the Nordic family, and as a participant in Nordic Atlantic cooperation Norway has a special responsibility here. The voluntary organisations represent a wide range of Nordic cooperation. ==References== 700 Nordic organisations have Nordic cooperation on their agenda. These organisations will be more actively involved in cooperation in the coming period, and financial resources for the voluntary sector have been proposed for the first time in the 1999 budget of the Nordic Council. The strategy for fruitful cooperation between voluntary and official Nordic cooperation is set out in a Council of Ministers proposal which will be discussed at the Nordic Council's session next week. The sector work of the Council of Ministers on European issues has a great deal of scope. This is particularly true in the consumer and nutrition sectors, as the Nordic Council has also requested. In some disciplines, special working groups have been set up to ensure Nordic cooperation, including: on the legal acts of the European Union and the adaptation of EU directives to the laws of the Nordic countries. In the case of preparedness for future directives, an early warning system is in place, so that the possibilities of influence in the context of directives which in any case, by virtue of the EU and the EEA Agreement, will have to be improved. There is reason to believe that close and early cooperation between Nordic countries contributed to, for example: Both consumer policy and employment policy were strengthened in the so-called Amsterdam Treaty. The Treaty of Amsterdam means that Schengen cooperation is now becoming an integral part of the European Union. Negotiations on a new EU-Norway agreement are already underway. Although the Nordic passport union has a central place in Nordic cooperation, the Committee has not considered it appropriate to discuss this issue in the vote. This case will give the Stortinget the opportunity to discuss when there is a new negotiated EU-Norway agreement. Security and defence policy has now become an integral part of the debate in the Nordic Council. Cooperation on joint action in UN peace operations is now the most successful part of Nordic cooperation. Cooperation within IFOR and SFOR in the former Yugoslavia has led Nordic cooperation in this area many steps forward. On 1 July this year, an organisation considered NORDCAPS to be established. Nordic CAPS replaces former Nordic cooperation structures in the field of international peace operations. The aim is to be able to place a common Nordic peacekeeping unit on the brigade's size. The system shall include units from all sectors of defence and a Nordic power register is well established. This time the Foreign Affairs Committee presents a unanimous position on Nordic cooperation. Last year, members of the Committee joined the Committee to wind up the Nordic Council, as a result of Sweden and Finland joining the European Union. If during the last year the Progress Party has changed its mind, it shall be interesting to hear what causes such a change in course.
ParlaMint-NO_1998-11-05.ana.ud1513e102	It is not difficult to agree with the initial comments of the Communication that the glue in cooperation in the Nordic region has been cultural and linguistic similarities, democratic societal models and matching valuations. Our common value base, based on, for example, solidarity, equivalency and democracy have also enabled Nordic coordination of positions, actions and policies in various international forums, often with constructive and successful results. In fact, joint Nordic initiatives have marked the development of work, objectives and instruments in a number of multinational institutions, far beyond the size and geographical location of the Nordic region. The size is treated e.g. a year ago, the Great Britain Communication on reforms in the United Nations system. For a number of years, the Nordic countries have cooperated closely to strengthen and streamline the UN in the economic and social field. The report of the second Nordic UN reform project was handed over to the UN Secretary-General, Kofi Annan, at the beginning of 1997. One of the proposals was to have a so-called UN resident coordinator at country level, i.e. a person who should have the overall responsibility for the various UN organisations in each country, including the United Nations. in order to avoid double-driving and different priorities in organisations which, unfortunately, have partly developed different cultures and, at least, major bureaucracies of their own. I have seen self-esteem, both in Vietnam and Laos and also in Central Asia, that this seems a little different, but in total believe that such a UN resident coordinator will strengthen the UN's work out in the individual countries. Another proposal from the report was the proposal for a more predictable financing of UN development activities, including: a financing model based on a fairer burden-sharing approach and the possibility of revenue from fees charged on foreign exchange transactions. There is also full Nordic support for Norway's candidacy to the 2001-2002 UN Security Council. Although it may be the European Commission that speaks the case of EU members, for example: The World Trade Organisation, the Nordic countries are often united in views both in terms of the WTO and the OECD context, not least in order to safeguard social standards and employee rights in these systems and in a possible investment agreement, i.e. the MAI agreement, if any. At the 1996 World Congress of the International Free Trade Union (WTO) it was documented how the pressure on workers and trade unions had increased in many parts of the world – fragmentation of employment, increased production rates, non-payment of wages, trade unionism and the exchange of children are just a few examples of what is happening. The Nordic approach to these challenges based on our values is not to reverse open markets but to get stricter rules and conditions in international agreements to set minimum standards. I would like, among other things: indicate that next week, at the session of the Nordic Council, there is a proposal for an opinion on the MAI. Although aid is no longer part of formal Nordic cooperation, I am pleased that there is still extensive informal cooperation based on a convergence of views on development issues. With regard to multilateral assistance, the policy of the Nordic countries in the multilateral organisations is broadly consistent. The Nordic countries have, among other things: emphasised on ensuring that the overall objective of poverty reduction is directed at the design and implementation of the activities of the World Bank and regional development banks. I would also like to mention that last year the Nordic countries were very committed to the further development of the so-called HIPC programme, i.e. Heavy Indebted Poor Countries, to ease the debt burden on the developing world. However, it is our neighbourhoods and Europe that present the main challenges, which is also reflected in the communication. Nordic cooperation and participation in regional cooperation bodies are characterised by the existence in our neighbourhoods of two crucial premises suppliers, namely the EU and Russia. The EU is currently, without comparison, the most powerful instrument for enhanced political cooperation and social development in our neighbourhoods. With three Nordic EU Member States and two EEA countries, the European dimension of Nordic foreign policy cooperation has naturally been strengthened. The Nordic Council of Ministers currently has extensive cooperation on EU/EEA coordination where it is natural and there are common interests. There are, of course, examples of things where there are also real contradictions of interest, I don't think we're going to hide it. But largely there is a interconnection and coordination of such matters. It should be said that the Section for Employment, Gender Equality and the Environment of the Treaty of Amsterdam can be very much attributed to Nordic influence. It is easy to agree with the Communication’s conclusion that the further development of the EU will affect all Nordic countries. Negotiations on the new enlargement of the EU are one of the most important processes in modern European history. The Nordic countries have common interests in helping to qualify countries such as Estonia and Poland for EU membership, while I believe that we must recognise that some of these candidate countries will increasingly focus on Europe and the continent. It has been important for the implementation of the provisions of the Amsterdam Treaty to be close to Nordic contact. This applies not least in the context of the integration of Schengen into an EU framework. The Danish Presidency of the Baltic Sea Council and the Norwegian Presidency of the Barents Council have, as the report underlines, improved the possibilities for Nordic coordination on the Nordic neighbourhoods. Let me add that the Baltic Sea Council is also important because of its composition. Here are the five Nordic countries with different links to the EU, here are the three Baltic countries, and here are Poland, Germany and Russia. The Council, in a way, maintains Russia in close cooperation with Russia and is therefore an important link between the EU and Russia, between the North and Russia. The Baltic Sea Council is also a good forum for exchange of views, but the challenge lies in making the Baltic Sea Council more operational. I would also like to stress that the Committee in its position has referred to Innst. S. No 15 for 1997-98, which was also concerned with Nordic cooperation, where the Committee called for greater scope for efforts to be made towards the neighbourhoods of Nordic cooperation, but not at the expense of concrete Nordic cooperation. In this respect, the Nordic region should seek to specify and give substance to the northern dimension of the EU, so that the EU’s involvement in the northern regions is not limited to the Baltic region but that the concept of the northern dimension is considered as an overall concept of cooperation from the Baltic Sea region in the south, through the Barents region and the Arctic, as expressed by the Committee. Finally, the Danish Government's delegation to the Nordic Council has raised the question of whether Barents' cooperation should have a parliamentary dimension. The Nordic Council should be able to play a role here. Otherwise, I refer you to the Committee's position.
ParlaMint-NO_1998-11-05.ana.ud1513e130	In evaluating Nordic cooperation, we need to maintain the overall objectives of Nordic utility and Nordic added value. The same must also apply to the Nordic joint action in our neighbourhoods, whether it be North-West Russia, the Arctic or the Baltic. However, with a Nordic budget that has not increased in recent years, priorities need to be carefully weighed when new areas of intervention are included in the Nordic sphere of interest. In the right we see the investment in the neighbourhoods of such vital importance that we do not hesitate to characterize the effort outside the traditionally defined North as an activity with very great Nordic benefit. Environment and children's living conditions, disease development and energy supply, to mention some areas of intervention in Russia and the Baltic region, are examples of activity with long-term, high Nordic benefits and Nordic added value. The circumstances of the neighbouring house have a bearing on the housing around the Nordic region. Let me also add that the Arctic dimension in Nordic cooperation is starting to take shape and turns out to be an interesting area of cooperation. Here, Norway can derive considerable benefits from extended barn cooperation, which includes Arctic strips outside the Nordic region, such as: in the United States, Canada and Russia. I agree with the Committee which stresses in the vote that the Nordic Council should have an active and coordinating role to ensure effective Nordic cooperation at parliamentary level within the three regions of the Barents region, the Arctic and the Baltic Sea region. The Parliamentary Conference in Alta next year will be an important venue for such a parliamentary debate. By the way, I would remind you that in its 1999 alternative budget, the Right has put forward proposals for increased Norwegian environmental and nuclear safety efforts in Russia and Eastern Europe, and we repeat last year's proposal for an additional 80 million aid package. kr for emergency aid to Kola through non-governmental organisations. Both are essential. Because we can't relieve ourselves of the responsibility of being involved and restoring the damage after 70 years of communist mismanagement. On the other hand, it is central to our consideration that Norway and the Nordic countries also need to be coordinated with and in the EU’s policy on the northern dimension. At all events, it is important for Norway that the Nordic Council prioritises European issues for the coordination of views in relation to EU/EEA matters. And as a point of reference: it is interesting, but also quite correct, when the Bondevik government in the Communication stresses that Nordic cooperation helped to strengthen consumer and employment policies in the Treaty of Amsterdam. Thank you and the price, I will now say, that not all Nordic countries chose Norway's different route. Of course, it's just thinking games, but it's tempting to ask, because the government is so positive with the Nordic results: what would we be able to achieve if all the Nordic countries had been within the EU? How much more could we have achieved in the EU as a whole by influencing European development in the direction of Norwegian and Nordic common values and solutions? I do not know if the Council of State has thought in those terms, but even the EU opponents of the Government must admit that it is not the Nordic countries that are outside membership that have done the job of consumer and employment policy in the EU, which they – rightly – praise. However, the example confirms that Norway has a major challenge in getting Denmark, Sweden and Finland to speak our case in EU bodies as well. Here the Nordic cooperation is the foremost arena for us Norwegian politicians. The Finnish Presidency of the EU next autumn, followed by Sweden in the spring of 2001, and Denmark ends the Nordic Presidencies in the autumn of 2002. Norway should have a strategy for our communication with the EU and our Nordic neighbours in this context, not least to ensure that the northern dimension of the EU is also a Nordic and Norwegian issue. As a member of the Nordic Committee of the Nordic Council, I have recently participated in the selection to focus in particular on culture, small languages, and how to maintain and strengthen Nordic identity. There will also be important themes at the meeting of the Nordic Council next week. The pressure from Anglo-American culture is a threat, and in such a perspective, not only are Greenlandic, Icelandic and Sami small languages, but also Norwegian become a small language. In this field, increased efforts in the Nordic region will add value to our national efforts to protect our own language and identity. The surrounding regions of the Nordic countries are drawing us ever closer. At the same time, I record a growing fear in the West of the North that we in the Nordic community will engage so much to the east that we ignore and do not properly care for our neighbourhood in the West of the North. The Western Nordic Council, the Parliamentary Cooperation Body for Greenland, Iceland and the Faeroe Islands, expresses some fear that a tight Nordic Council budget will result in financing activities in the neighbourhoods to the east at the expense of the common Western Nordic cultural heritage. It is also the case that the broad investment in the neighbourhoods has brought the funding through the Norden sample down by 4 percentage points from 1997 to 1999. Here we have a special responsibility in Norway, both because we have strong ties to the west in a historical perspective, but we are also the ones that form the border between the nations and the self-government areas on the west side of the sea and the countries of Scandinavia on the east side. Therefore, I would like to ask the Government and the Stortinget to have an alert eye on how in the Nordic community we prioritise the effort between East and West. I am also pleased that the representative Johan J. Jakobsen, a little while ago, also strongly underlined the need for us to have an alert eye for the place of the West-Nordic community. I also remember that in modernising Nordic cooperation, we imposed ourselves and created expectations of enhanced cultural cooperation. Here are, for example: language cooperation, teacher and pupil exchange, youth exchange, dictionary production and Nordic houses in Iceland and the Faeroe Islands, key instruments with the Culture Fund. However, the Nordic Council budget is being pushed into the priority between the neighbourhoods and enhanced cultural cooperation as long as Sweden, in particular, opposes increased appropriations for the Nordic Council. In the case of children and young people and exchange programmes and education, efforts need to be increased in the years to come, both east and west. Networks, knowledge of each other, insight and understanding can best be enhanced by bringing young people together. In the new generation, there is a lot of common Nordic utility and added value whether they come from the Nordics or neighbourhoods. Here, in the Nordic Council context and in the national context, we need to make careful assessments of the budget lines that are in the Nordic Council, looking for the increased Nordic added value and value added, and then be willing to liquidate schemes that do not have sufficient impact. In the right, we have great faith that more funds can be channelled through the voluntary sector. Today, only 4-5 pst., equivalent to 35 million. Danish kr of a total Nordic budget of 716 million. Danish kr, channelled to the voluntary organisations. Experience shows that added value is created, that creative solutions are chosen, and that experience and knowledge dissemination and knowledge raising are high in grassroots assemblies dealing with common problems and challenges. The Nordic Committee of the Nordic Council will, at its next meeting, appoint a working group to discuss the voluntary sector in the Nordic region, as a continuation of the Council of Ministers' commitment. We believe that this is latent resources that need to be exploited even better both in the Nordic region and in the neighbouring regions. These include support schemes, guidelines and opportunities for better cooperation and interaction between the public and voluntary sectors. It is worth noting that the Nordic People's Assembly, which held its annual meeting in Kristiansand 25. – 27 September this year, asking to be used more in the Nordic context. They are calling for a strategy plan for Nordic cooperation with voluntary organisations, which through their approx. 1000 different groupings cover a wide range of activities from, as they said, still cultural associations to aggressive environmentalists. The Nordic Council and the Nordic Committee, which are particularly responsible for this, should and should agree to increased cooperation with voluntary organisations next week. From the Right we are at least interested in it. The Norwegian Presidency last year highlighted the importance of the voluntary sector for Nordic cooperation. The Nordic Committee is now following up and will provide an overview of the framework conditions and, through broad contacts with the diversity of the sector, focus on the problems and challenges of voluntary organisations. There's a lot of the whole foundation for Nordic cooperation right here. However, it is also interesting to find out how volunteering serves as an alternative to public welfare solutions in different countries, and what conditions underpin a positive interaction between the voluntary and public sector as a welfare producer, also within the extended cultural concept. Here are solutions that are transferable to the neighbourhoods. It is therefore important to raise the issue of increased efforts through the voluntary sector to contribute to good solutions to the problems of neighbourhoods, whether we are talking about social problems or organisational and cultural imbalances, which in turn have implications for the development of society in the Baltic and North-West Russia. In other words, here we can combine a broad public commitment to triggering added value and Nordic benefits in all the four regions of the Nordic Councils, namely the Nordic region, the Baltic region, the Barents region and the Arctic. It can't be better! Other representatives from the Right will address a few other important issues in later articles, including: The Nordic Council's efforts for children and young people in the neighbourhoods and the Nordic Council's commitment to security and defence policy cooperation.
ParlaMint-NO_1998-11-05.ana.ud1513e179	Cooperation between the governments and parliaments of the Nordic countries has had the overall aim of bringing the Nordic countries and peoples closer together and making society easier between the people of the five countries north of Europe. Still, we're not at the end of the road. There are still different types of obstacles between the Nordic countries, which are a common Nordic policy objective to be removed. It appears from the opinion that the appointment of a group to identify new areas for cooperation in the Nordic region has been initiated. I am happy about this and hope you can clear the way out a number of obstacles that have made it difficult, for example. cross-border practical business cooperation. It should be possible for a Swedish excavator to easily carry his machinery across the border to carry out a job in Norway without unnecessary obstacles being created by national legislation. International developments have led the Nordic Council in recent years to strengthen its commitment to security policy. In August 1997, the Council held its first Security Policy Conference with participants from both the Parliament and the government sides in the Nordic countries, the Baltic States and Russia. In the same autumn, the first defence policy statement was also made at the session of the Council by the Norwegian Minister for Defence, on behalf of the Nordic Defence Ministers. The debate on security policy is now definitely involved as an integral part of the Council's work. This has focused on politically important issues of common Nordic interest and has given the Nordic Council debates a new and interesting dimension. For a long time, there has been close Nordic cooperation in the North Calotte, a cooperation that has continued in Barents' cooperation, including Russia. An important task of the Nordic Council will be to ensure that the EU’s involvement and interest in the northern regions are not confined to the Baltic Sea area but that it is natural to regard the ‘northern dimension’ as an overall concept of cooperation south of the Baltic Sea through the Barents region of the Arctic. The issue that can be raised is whether Barents' cooperation, like cooperation in the Baltic Sea region and in the Arctic, must have a parliamentary dimension. This will be discussed at a conference held next April in Alta, jointly organised by the Nordic Council and the Stortinget, a conference which was also mentioned by the rapporteur in his statement. Participants will mainly be parliamentarians elected from the regions of the Barents region, as well as parts of the Nordic Council. This will make Barents' cooperation a better parliamentary anchor. In my opinion, the Nordic Council should have both an active and a coordinating role to ensure that the Nordic countries participate effectively in cooperation at parliamentary level in these three regions. From the Norwegian side, it may be of particular importance to ensure that the attention and interest of the northern regions are maintained. The concept of the ‘northern dimension’, introduced by the Finnish Prime Minister, Lipponen, does not necessarily ensure such attention to the special challenges we face in the north, both politically, economically and environmentally. I believe, for my part, that an important dimension in the work of the Nordic Council in relation to the neighbourhoods must be to reduce the prosperity gap between the Nordic countries and neighbouring countries. Social unrest and lack of consideration for the environment can be a serious threat to stability and safety. Therefore, it is essential that the Nordic Council seeks to develop contacts with Russia and strengthen cooperation with the Baltic countries. This is a part of Nordic cooperation which must be part of and give content to the concept of the ‘northern dimension’. From the Norwegian, Nordic and European sides, there should be a clear objective of bringing Russia closer to the Western cooperation arrangements. The policy platform of the Nordic Council is currently acting as an important link between the EEA countries in the Nordic region. Many argue that the Nordic region will be as important as the link between new and old EU members. This will also be reflected in the cooperation between the Nordic Council and the Baltic countries through the Baltic Parliamentary Assembly, Russia and the EU. The Nordic Council held a conference in Copenhagen in spring 1998 on the forthcoming enlargement of the EU. The Nordic countries, with different experiences from cooperation with and within the EU, can play an important role as bridge builders and connecting points, but also as a catalyst for increased cooperation in the Baltic Sea region and in the Barents region. An enlargement of the EU also means an enlargement of the EEA, and I would like to underline the importance of close Nordic cooperation in this process. In my view, as part of the enlargement process, it is important to strengthen cooperation on legal and domestic policy issues. This will strengthen cooperation across the Baltic Sea in the field of asylum and immigration, border control and the fight against international crime. I would like to stress the Committee's comment on the voluntary organisations. It is important that voluntary organisations have greater opportunities and better framework conditions in order to be able to play an active role as partners of the Nordic Council and the Nordic Council of Ministers. It is a network of Nordic cooperation channelled through 600 to 700 Nordic organisations. The Nordic Council of Ministers' proposal for a strategy to strengthen the voluntary network in Nordic cooperation – to be discussed at the Nordic Council session next week – has been met with some critical comments from organisations, but it can also be seen as a concrete step towards closer cooperation between voluntary organisations and official Nordic cooperation. The proposal also emphasises the role of voluntary organisations in relation to democratic development in the neighbourhoods, for example. through the training of leaders of the voluntary organisations in the Baltic countries. The establishment of the Baltic-Nordic NGO network must in future also include Russia. In recent years, the Norwegian delegation has had regular meetings with representatives of voluntary organisations. This is a system that we'll continue with. Like the Government, I believe that the work aimed at children and young people is an important part of Nordic cooperation, both internally and in the neighbourhood. The various exchange mechanisms and grant programmes are of great importance in this context. I hope that the proposal for a new exchange scheme to cover primary school students will soon become a reality. I also find it interesting that the Nordic and Baltic Ministers of Education have made an agreement to launch an investigation with a view to the possible establishment of a common Baltic-Nordic educational space, based on the Nordic and international cooperation agreements in this area. I hope that the Baltic countries will want continued cooperation in the field of teacher education and the launch of a project on the integration of disabled people into school can enter the neighbourhood programme next year. The Storting will next week be the framework for the 50th session of the Nordic Council. In addition to the 87 permanent members of parliament, almost 60 members from the Nordic governments, with the Prime Ministers at the head, will also participate. It's been 50 years since the UN Declaration of Human Rights saw the light of day. This will be marked by artistic features during the opening of the session, thus highlighting the breadth of Nordic engagement and in the Nordic debate. The session participants will also be met by different cultural elements here in the house, in the stairwell, every morning before the start of the meeting. The session will also be marked outside the Stortinge by different cultural markers, which will also enable the city's population to participate in. Sara's tent will be an information point where the audience will be able to get information about Nordic cooperation. There will be different stops and direct transmission of television from the negotiations in the session. The list of cases for the session is characterised by many interesting issues: foreign, foreign and security policy issues, EU/EEA coordination, employment, labour market, social policy issues, issues related to the situation of children and young people, racism, crime and culture. As far as I can see, a very large number of statements and proposals will be made by the Council of Ministers. It is therefore a session with major challenges and a comprehensive work programme, and I am looking forward to some exciting and interesting days in the Nordic Signs here in Stortingen next week.
ParlaMint-NO_1998-11-05.ana.ud1513e209	I can without delay join most of what has been said in the previous posts – there were many good words about Nordic cooperation. It's important. However, the fact that there is also political disagreement in the Nordic Council should not be underestimated, nor should it be underlined that the willingness to give priority to the Nordic Council is different in different parties and different countries. This means that many of the necessary and good initiatives taken are limited by the economic and political opportunity to put them into action. And from our point of view, it is worrying that the Nordic Council budget for the fourth consecutive year will be reduced this year, making it even more difficult to follow up many of the award-winning and good initiatives that the Nordic Council has taken and that they will try to implement – not only in our neighbourhoods, but also in cooperation internally in the Nordic region. Since I essentially agree with most of what has been said, I'm not going to repeat so much of it, but just stress a couple of important things. Since 1997, the Nordic Council has also received a very interesting safety policy aspect. Both the Helsinki Conference and the previous Helsinki Session have shown that this was necessary. It is linked to the fact that we have different links with alliances in Europe, both military and other security alliances, but at the same time we are common to many, not least the OSCE. This has given the Nordic Council a new dimension, and the debates that are now taking place in the Nordic Council on security policy challenges and links have been very exciting and have helped to develop and enrich the Nordic Council. What is also a fact is that, through the different links between the Nordic countries with the EU, the Nordic Council has been given different priorities in the different countries. After all, it is no secret that some countries with membership of the EU give the Nordic Council a lower priority than we do in Norway. It must therefore be an objective that we should ensure Nordic cooperation, and it must also be an objective that we give the Nordic Council economic and political opportunity to play the active role we want in the Nordic region. In particular, Sweden has shown less interest in the Nordic Council over the past few years, unfortunately, and it must be an objective to raise the interest of the Nordic Council and Nordic cooperation in the coming years. Because there is no secret and no disagreement that Nordic cooperation is an arrow for us. It is also interesting to see that initiatives are now being taken to develop cooperation westward. It is true, as many have already said, that we have an active commitment both to the Baltic and to Russia. An initiative has also been taken by Finnish Prime Minister Lipponen on the northern dimension. That means that the part that is not well covered is what is called the West North, which goes from Norway and westwards to Greenland, Iceland and the Faroe Islands. It would probably be interesting to develop a western Norse dimension more strongly in the Nordic Council. That's what the left-wing socialist group will also come back to. The 50th session of the Nordic Council will be here in Stortinget next week. There will be an exciting session, with many different and exciting things on the agenda. I have to say that it is interesting to see that the Bureau has unanimously supported a very critical opinion on the MAI agreement, which the Left Socialist Group has put in. It is interesting to see that a broad political spectrum, all political parties in the Nordic region, actually manage to agree on a text of resolution that is critical. I think the majority will agree that we want a mirrored MAI agreement – which is not a MAI agreement, but it is a different debate. The point is that what we want to do about regulating international trade and investment is to a far greater extent social and environmental standards than what we find today. It shows that there is a common Nordic platform on how to take care of the environment and social standards, and that is interesting. So, of course, the debate will depend on whether such an agreement makes sense at all, and there might be different views between the different parties and different countries. But it's interesting to see that in such an important question Nordic parties can so far agree on the criticism of an agreement that all the Nordic governments have been secretly negotiating down in Paris. After these short words, I shall end by saying that the piece that I feel is the worst taken care of in what is now available is education. We have linguistic and educational cooperation in the Nordic region, and one element that should perhaps be included is that we use too much of our neighbouring country's higher education institutions. The fact that we have better support schemes means that unfortunately we do not accept as many Nordic students to Norway as we send out to our Nordic neighbouring country. An initiative that should have been taken was that we set up some form of grant scheme that made it more possible for Nordic students to come to our higher education universities in the same way that we have used universities in Denmark, Sweden and Finland for many years. It is an initiative that can be a little ahead of time. In any case, education cooperation in the Nordic region is one of the pillars of Nordic cooperation.
ParlaMint-NO_1998-11-05.ana.ud1513e226	We must note that in the week before the Nordic Council will have its 50th session here in Oslo, we have also been confirmed for 1997 and 1998 that Nordic cooperation is important, and that cooperation is both at the level of the Government of the Council of Ministers and the parliamentary cooperation of the Nordic Council. Equally important is the fact that even more popular cooperation and cooperation based on voluntary organisations are central and essential in the Nordic region. It is quite clear that a major factor for Nordic cooperation is linked to common language and culture. But I think it is important that we are aware that, especially for Finland, the language community is not the same as for the three Scandinavian countries. With this way of putting it, I've let Iceland be in some kind of intermediate position, and that's in and of itself conscious. In particular, Finland, but also Iceland, the Faeroe Islands and Greenland, it is important to note that we do not have the same language community as the three Scandinavian countries. Another important part of Nordic cooperation for many periods – for so long before we received the Nordic Council – has been legislation. I think it's very important that we're still concerned about it. A side of legislative cooperation has been mentioned, namely cooperation with the three EU Member States in the form of common EU and EEA legislation. It is an important aspect of legislative cooperation, and there may be a certain point that this is not a new but actually a kind of extension of an old and traditional Nordic law cooperation. However, it is important to be aware that legislative cooperation will relate to areas that are not part of EU/EEA legislation. I can mention that I am part of a working group to look at the situation of children and young people in the Nordic region. Cooperation issues related to legislation for children and young people will be one of the most likely issues to be addressed there. This year, too, Svein Ludvigsen was unable to suggest that if Norway had also been a member of the EU, the Nordic impact in the EU might have been stronger. Of course you can't ignore that. At the same time, however, I think there can be a point that the three Member States can have a greater weight and a greater impact by cooperating with the two EEA countries Iceland and Norway in advance of the EU process. I believe that it should be noted that Norway and Iceland are outside the EU, in some contexts they actually also provide strength, and that it may be beneficial for Sweden, Denmark and Finland in some contexts that countries outside the EU are participants in Nordic cooperation. Finally, I just want to go so far into the geographical dimension of Nordic cooperation, a little in line with what both Johan J. Jakobsen, Svein Ludvigsen and Øystein Djupedal were in. It is natural that the 1990s have become in many ways a decade in which Nordic cooperation has turned towards the Baltic Sea and the Barents Sea because of the developments that led to a completely different situation between the Baltic and Russia around 1990. However, in this context, it is important to stress that it is also a Western Nordic, and it is perhaps a small paradox – and we should consider from Norwegian point of view – that Western Nordic cooperation should be linked to the Faeroe Islands, Iceland and Greenland without Norway being also involved. It may be a point to stress that large, important resources such as fish and oil are just located between Norway and these countries in the North Sea and in the Norwegian Sea. In that context, when we pull in the North Sea, we might want to focus on the fact that the United Kingdom becomes a neighbouring country to the North as well, and that's maybe a dimension we should get a little bit more concerned about.
