ParlaMint-NO_1998-12-15-2.ana.ud360e26	We will continue in the debate on the 3th Framework Ministry of Culture.
ParlaMint-NO_1998-12-15-2.ana.ud360e29	Over the next 26 years, the party of progress has often been called a anti-cultural party, with a cultural policy that was laughed at and flabbergasted by. It has also irritated many ugly words and remarks that have hurt. Something might be deserved, but over the years the Progress Party has shown that we take the matter seriously, and we have gradually reaped praise for it. It is true that the Progress Party for 1999 will also reduce the number of crowns for culture. Instead of as proposed in St.prp. No 1 with Appendix No 4 to give NOK 3 467 717 000 to the culture, the Progress Party will spend the entire amount of NOK 2 531 208 000. This is done by the Progress Party with a good conscience, as we take the savings and use them at the same time. the health and social sector, where we believe they can make a better use of the situation today. When you look at where the Progress Party reduces most, you see that the Progress Party is left with funds where we think they will reach the maximum possible. The promotion party wants, inter alia: by means of its draft budget, to remove production aid for the newspapers by NOK 194 700 000. When you think back to last year, you will remember that the Labour Party and the Right also reduced this position when they were put by a majority in the Committee. This year, the centre parties, the Advance Party and the Right are reducing. What I want to do with this is to show that those parties can also be involved in a reduction. Although their reduction is significantly smaller, the principle is there. Having said this, I would like to point out that the Progress Party will retain some funds on this chapter – Chapter 335 – for Applied Media Research and Retraining, Contributions to Various Publications and Distribution Grants to the newspapers in Finnmark. This is because the Progress Party is positive to newspapers and their work. With regard to the ratio of newspapers to VAT, I am not going to go into this in detail here. It is also important and proper to look at who is receiving support and how much the individual newspapers receive. The Newspaper Newspaper, Bergensavisen, Our Country, Nations, Rogaland Newspaper, The Day, The Future, the Financial Newspaper and the Class struggle run off alone with 122 562 862 kroner, and this is only for nine newspapers. Conclusion: The party wants a free and independent press, which does not base its life on the support given by the state. Freedom of expression is not and shall not depend on the number of crowns in support. Another major post The Progress Party wants to remove is NOK 65 000 000 for the Marking of the Millennial Change, for the year 1999. The progress party seems to spend so much of the taxpayers' money for this, is completely wrong. Fortunately, the word fireworks has been removed, but nevertheless. This principle also applies to the funds intended to be used in the future towards 2005. It is lured, inter alia, by: that it is to be built, restored or similar in so-called thousand-year-olds scattered around the country, but the Progress Party is afraid that these sites may gradually become large expenditure posts for individual counties and municipalities. Otherwise, the Progress Party will reduce financial resources for artists' scholarships and designate them as young artists as possible. With regard to guarantee income, we will remove it in its entirety, namely NOK 71 563,000, as artists should and must be able to produce something they can live on, and as society in addition to demand. Those who disagree with this will probably say that then you don't get the diversity and the width. The progress party does not agree with this, and is willing to take this chance. Posten Filmproduktion med. the Progress Party wishes to reduce by SEK 70 000 000, as we cannot see that it is the task of the State, the task of taxpayers, to provide financial support for popular and entertainment films. Such industries should be as self-financing as far as possible. In addition, the Progress Party says that the remaining funds should be allocated to actions where children and young people and special social interests are to be met. When you look back at some films that have received a lot of state aid and that have only had a few spectators, you might wonder if this is the right use of funds, as the other parties claim. The last major cost cut at the Progress Party is for theatre and opera purposes, where the Progress Party believes it can be significantly reduced. It is known that the tickets are subsidized a lot, and this is wrong in the opinion of the Progress Party. Well-established people should pay for their experiences to a greater extent than now. When I look at what is left of state support for culture in Norway for 1999, there is a lot, and especially when, as the Progress Party believes, more money in the cultural sector does not necessarily have to mean more and better culture. The most important thing is how and to whom the funds come, and how they are disposed of. The party of progress is of the opinion that the concept of culture is large and diverse and that our interests are of a very different nature. This is good, and it shows that the state, with its transfers of funds, should not govern this. What seems to be positive for one might even be vulgar for the other. The dividing line in Norwegian cultural policy must not be that it is public support that determines what survives. Humans' own views and choices must be determined. The concept of culture can be purely personal or general. Culture must be popular, so that the people's perception of culture can guide cultural policy and cultural development in Norway. We have to be open to the new, but at the same time take care of and also process the cultural heritage we have. Norway should not imitate the culture of other countries, as we have so much to care for and which distinguishes Norway as a country and a cultural nation. It is impossible, in the view of the Progress Party, to grant a fair distribution of State aid to culture. It is also unrealistic to believe that the public cultural effort could give everyone the same amount in the sense that everyone should have their fair share. Therefore, there is in reality no guarantee that ‘culture bureaucrats’ make the right choices on behalf of the individual. The Progress Party believes that the individual can take care of, renew and further develop common cultural values. Is it to subsidise an opera ticket better or more valuable than to subsidise a ticket to, for example: a rock concert? With its tax reductions, the Progress Party provides each individual with the option of choosing the cultural services to which they wish to make use of. When you read statistics on the cultural services used by the Nordics, it shows a trend that is quite similar to the priorities of the Advance Party. Cinema, sport, museum and library are the most popular. Up to 60 pst. use these offers individually, only 6 pst. of the opera offer. It also says that three out of five Nordics have never been to the opera or the opera. The statistics also show that large consumers of cultural services are children and young people. Over 90 pst. of young people who have been in cinema in the last year. The first half of the 20 years have been in cinema on average over ten times in 1997. The statistics also tell us that revisions, especially local ones, are more visited than institutional theatres. In the case of revisions etc., the Progress Party will build up and support the local and voluntary effort, which is so much of it out there among people. With cultural economic help together with hard work, we will be able to multiply the cultural impact, and then we are concerned with the essentials of the Cultural Policy of the Advancement Party. The party of progress has more faith in broad culture than so-called fine culture. Engaging people culturally does not necessarily mean large transfers of money. If all sports, Scout, 4H, school music etc. If part of the work had been done with all the lotteries and cake bazaars in order to get the ends to meet and, instead, to do more targeted work, Norway would have an even richer cultural life and would be able to engage even more with its offers. There is a spirit of virtue in the Norwegian people that many can envy us. But we must be careful not to make the knit too long. Then we can lose the fires, and very much can be lost. And when it is said: we also need to have a more flexible and unbureaucratic application and verification procedure of less amount. It may be difficult for the small sport team to have a correct filled-in application at the right time in order to get badly needed crowns they may be entitled to. Norwegian composers and practitioners who work in the popular genres have traditionally had little influence on how state and private funds distribute the funds over them. This has been the tradition of all funds and state schemes that do not stem from rocking. When you look at how the funds that these funds distribute are spent, this is from radio playback, sales of cassettes, video cassettes, CDs, music played in cafes, discotheques, restaurants, digital transmission, etc. It is undeniable that there is music from popular genres that has the greatest degree of exploitation and dissemination, whether copying or gambling in public media. This means that practitioners and composers earn money that they have no influence over, and that is widely distributed to completely different parts of cultural life. It's up to any person to decide what you choose to spend their money on. This is also about giving popular practitioners and composers better control over their own lives and everyday lives. To the extent that it is measurable, an effort should be made to ensure that the exerciser or composer used is allocated the funds individually. This was essentially what we can say about the Cultural Policy of the Advancement Party in a relatively short time. What you can draw from this is: Yes, the Progress Party will take a few crowns from the cultural side in relation to the proposals of the other parties and transfer them to other disciplines where the Progress Party sees a shrieking need for funds, but the Advance Party does not want any less culture than the others, rather perhaps the opposite. What's the big difference is what and to whom the Progress Party wants to designate the transfers. Here, I would like to reiterate that the funds should as far as possible meet children, young people, the elderly and others with a special need, while the well-established must pay as much as possible for their own experiences. The party wants to benefit from a broad culture rather than so-called a fine culture. Maybe this will also help maintain the settlement in the districts, and we get a double effect. That culture is important also at the Progress Party, there should therefore be no doubt about it, but we want a culture as free from political governance as possible. This would give us a rich cultural flora, which will be able to embrace most of us at a reasonable amount.
ParlaMint-NO_1998-12-15-2.ana.ud360e75	It's going to be line change.
ParlaMint-NO_1998-12-15-2.ana.ud360e78	The representative of Bredvold said that culture was important for the Progress Party, and that he had spent quite a short time explaining what the Progress Party's policy was. I do not think I agree that the view of the Progress Party is that culture is important. At least they don't bet money that shows it's essential. But the representative Bredvold also had a bet area. It was in relation to broad culture. And he would signal little bit of money to fine culture. I want to hear what Bredvold thinks is the difference between broad culture and fine culture. So another question that's a little bit open. The Labour Party has signaled very strongly that we want to have a sports debate in the budget debate on culture. The party of progress has not indicated their relationship to sport. And my question to Bredvold is, what does the Progress Party really want with its sports policy? Is it so important that they want it on the State budget, so that the Storting will have the opportunity to discuss sports policy? Or is this something that they think the ministry and sports organizations themselves should do? I think it is important that the Progress Party here gives a signal as to what they mean by sports policy. After all, it's $1.7 million. members of the Norwegian Sports Association. It is an important cultural group that also needs big business politicians to care about them.
ParlaMint-NO_1998-12-15-2.ana.ud360e87	I thought I expressed myself quite clearly, but I could try to repeat. The difference between broad culture and fine culture can be seen, among other things. see the percentage visit. I mentioned museums, and I mentioned libraries, various cinema events, etc., which were visited by up to 60 p.m. That's what I'd call a broad culture. When a youth uses a cinema up to ten times in a year, it has to be a broad culture. But when we see that three out of five Nordics have never been to an opera or opera, I think it's a fine culture. That's how we can keep reading statistics. That such statistics may differ from part of the country to part of the country is correct. But in large terms, it's like this. When it comes to sports, it's something that interests them all, most of us in one way or another. Either we've been with ourselves, or we've been spectators. Sport is also important in the cultural policy of the Progress Party. The principle of Norwegian Tipping means, we can agree – that it is the third that has been before, and that sport gets its third. The Progress Party will continue to support Norwegian sport.
ParlaMint-NO_1998-12-15-2.ana.ud360e96	It is difficult to know which words to use to describe the cultural policy of the Progress Party. Main Kutter Promskrittspartet over 900 mill. kr. That's what the representative, Mr. Bredvold, calls ‘taking a few dollars’ from the cultural budget. It's kind of inviolate, because it kind of doesn't affect anyone else as it's made. But if this were to be decided in the Storting, it would mean that very many of the cultural institutions around the country would disappear. In a way, it is real to have this view, and I would like to say nevertheless, admirable and commendable, that the representatives of Sandberg and Bredvold in the Committee have acted as responsibly and tidy as they have done now in the harvest when they have entered into a budgetary settlement. I'm going to use this line to ask a question to the representative of Bredvold. I have the impression that Henie Onstad Kunstsenter on Hövikodden is an institution that stands close to the heart of the Advance Party, and I understand that, because it's a great institution. However, in a note, the Progress Party asks the Ministry to: «Assess a functional distribution between the Museum of Contemporary Art and Henie Onstad Art Centre»; and let the latter be responsible for the dissemination of international art. The question is, what does the Progress Party want to achieve by such a functional distribution? Does this mean that the Museum of Contemporary Art will only focus on Norwegian art, and that Henie Onstad Kunstsenter will take care of the international?
ParlaMint-NO_1998-12-15-2.ana.ud360e108	Although the Progress Party is reducing the cultural budget, we still have over DKK 2.5 billion, so there are quite a lot of resources that the Progress Party wants to spend on culture. I'll be allowed to thank you for the praiseworthy words. We in the Progress Party are trying as best we can, to conduct a serious and proper cultural debate, just as in all other disciplines – so that's what they say. With regard to the specific issue and Henie Onstad Art Centre, there is a rather difficult question about how the functional distribution should be between contemporary art and other art. What is the difference between last year and this year in the case of Henie Onstad Kunstsenter, is that last year we were a little clung to it, this year we're positive, and we're going to be involved and develop it further. And then we'll look at and evaluate how the distribution is going to be.
ParlaMint-NO_1998-12-15-2.ana.ud360e117	The party of progress and the representative of Bredvold have been accused of being a culturally hostile party, said Bredvold himself in his contribution. He has been hurt by remarks about this. I won't try to hurt Bredvold in my line, but I appreciate the commitment that the Progress Party shows in the Culture Committee, in the work we do there. One thing is that the Progress Party almost shaves the budget when they present their primary proposals. But now I have had the pleasure of working with Bredvold and the Progress Party on the distribution of the funds that we were to redispatch. The joy that shined out of the eyes of the representatives of the Progress Party about being able to re-dispose, really put a thought in me, namely that the Progress Party really seems to be having fun being involved in cultural appropriations for good action. It is the view of the Progress Party that it is the broad culture to be supported, not the fine culture. I wonder if the representative Bredvold sees that it is the innovation of culture, i.e. culture that does not reach the broad masses, which is often the basis of what later becomes a broad culture, and which thus falls within the definition of what should be supported by Bredvold. Finally, I have a question for Bredvold regarding a long and twisted remark about Norwegian rock, which the Progress Party has gone into with the Workers' Party and SV, and which turns out that a lot of people are responding to. For example, Norwegian Rockebund is afraid of losing its operating support. Tour, festival and transport support can be lost, and most of it will go to what is called the Norwegian network. I wonder if Bredvold could explain to me how the Norwegian network is going to take care of the coat, and how it will benefit the broad masses by building up a new bureaucracy through the Norwegian network.
ParlaMint-NO_1998-12-15-2.ana.ud360e128	The Norwegian network has been such that there have been a number of artists who have participated in and subsidized other artists. Obviously, these aren't satisfied with just getting a small part of the financial support or having a small share of it. So that's what the Norwegian network is now going to do to a great extent to help, so that whoever's been in and out of it is going to get something back. I guess that's almost what I can say about it.
ParlaMint-NO_1998-12-15-2.ana.ud360e133	So the chord change is over.
ParlaMint-NO_1998-12-15-2.ana.ud360e137	I would first like to take the opportunity to correct an error in the recommendation for Framework 3 decisions. I would like to draw your attention to the fact that there is a mistake in setting the recommendation for a decision for C. The correct commitment amount under paragraph 1 shall be up to 41,8 million. kr. The attitude of the Committee on Family Affairs, Culture and the Administration shows that, with some exceptions, the Government has been able to endorse the main priorities of its proposal for a cultural budget. The most noticeable changes to the Government's original proposal came as a result of the negotiated budgetary agreement between the Government Parties and the Right and the Advance Party. This agreement resulted in two significant cuts of 10 million, respectively. kr in the allocation for the thousand-year change mark and a reduction of 35 million. kr in the production aid for newspapers. The same parties have also co-existed in the Committee on Further Priorities within the adopted budgetary framework. I would like to take this opportunity to pay tribute to the Progress Party, as I have already done, and to the representatives of the Right to have shown accountability and rigour in the negotiations that have taken place. The repriorities carried out within a framework of 8 million. kr, will also provide an important incentive for those enterprises which receive additional funding for their work. This redistribution led to a number of activities and actions, including several museums, such as the Norwegian Architecture Museum, the Norwegian Forest Museum and the Falstad Museum. Furthermore, there was an important contribution to the purchase of Norwegian quality phonograms and art to the National Gallery, the support of the group The Brazz Brothers and the Rikskonsertes school concert activities, to name a few. I am also pleased that a broad majority of the committee, consisting of all parties with the exception of the Workers' Party, went in to give the Olav party days node status and thereby ensure the further operation of this festival, after the Rikskonserten, who managed the festival support, had announced that the Olav party days would be cut off their support amount by approx. two thirds due to a more stringent practice of the award criteria. The Olav Festival days are not a purely music festival, but a broad musical and cultural model linked to the Nidaro Cathedral, and the majority therefore found reason to take it out of the festival pot and continue the amount of support at the same level as it has had in recent years. Unfortunately, cultural policy often becomes a struggle for money. Now it's never so that money can accomplish everything. A great deal of creativity and creative cultural activity is being developed on a voluntary basis without costing society a great deal in dollars and cents. These are the many free groups of artists and not least the countless voluntary teams and organisations good examples of them. Where there is desire, motivation and idealism, there is culture created by small means. But from there it's a long way to say that we don't need cultural institutions that are fully funded by the public. Ideally, we would have contributed more resources to far more than we can do, but I think most people admit that in today's economic reality it's little to go on. The government's starting point in this state budget has been to tighten up the economy. Therefore, there is a deliberate choice behind when the Government wants to prioritise a continuation this year and to some extent a strengthening of the operating base of the existing institutions rather than investment and investment in new areas. There are also important incentives in view of the cultural expansion that is taking place outside the institutions. There is no denying that many cultural institutions are struggling with very tight budgetary frameworks. In particular, this applies to the museums. It is therefore gratifying that both government and big business are now engaged in strengthening the museum sector. In this budget, it's set at 10 million. kr extra to this area. At the same time, there are expectations that the museum's situation will be thoroughly analysed and reviewed during the work on the announced programming message on archive, library and museum policy. A special responsibility lies with the Government of the national institutions where the State is responsible for the entire operating grant. In the next year's budget, both national orchestras, theatres and the Norwegian Opera have received significant increases in operating grants to strengthen the artistic activities of their institutions. It is also gratifying to note that the interest in opera seems to be increasing in Norway. This is reflected by increased influx to the Norwegian Opera in Oslo, but also by the setting up of operas and music theaters in a number of other places in the country both at the district operas and in a number of major cities. The Christian People's Party will greatly regret that it failed to make a positive decision in the Stortinget in the previous session on the construction of a new opera. However, growing opera interest should be a sign in the time that the Storting will re-present itself as the opera act will gather around a locational option for a new national opera, and that at the same time steps are being taken to establish a model for the opera movement elsewhere in the country. One fact that the Storting has to deal with is that the millennial shift is moving ever closer. In order for this to become something more than a regular New Year's celebration, it has been added to a large-scale cultural label throughout the country. In the proposition, the government described the millennium after Christ’s birth as a “crossroads – between the epochs we have behind us and a new thousand years”. The State part of the marking consists of three main elements. The thousand-year-old place in the counties, the thousand-year-old place in the municipalities and the projects and events to be carried out under the direction of the organisers’ company Twentieth Year-Change – Norway 2000 AS, where the Church’s marking is also included. The markings are intended to contribute to creating something of lasting value, and which at the same time has roots in our history. It's about taking care of culture and memories, of traditions and experiences, religious and social, and bringing them on to future generations. The mark of the Millennium will help remind us as people of the legacy of our mothers and fathers and provide us with the necessary foundations to meet challenges in an uncertain future. We record that the design has started well both within the organisers' company and in the many municipalities and county municipalities when it comes to collecting current proposals for thousands of years. In addition to this, the marking of the millennium change in Norway is also added to an additional dimension through cooperation with both ‘Oslo by 1000 years’ and Kulturby Bergen 2000, both of which are significant cultural events linked to the country’s two largest cities. There has been criticism from the representatives of the Workers' Party in the Committee against the fact that the majority of the Storting has reduced the overall framework for the Millennium Marking by 10 million. kr, and that the allocation of the thousand-year mark-up has led to a reduction in other parts of the cultural budget. The Labour Party is entitled to reduce the allocation of the thousand-year mark compared to the original plans in both the submitted budget and the budgetary agreement with the Right and the Advance Party. But it is completely wrong when the Workers' Party claims that the allocation of the Millennium Marking has led to a reduction in other parts of the cultural budget. No, it's not the appropriations for the thousand-year markings that have led to cuts. It's the opposite of the tightening up of the economy, which I also thought the Workers' Party understood. But there's also been a reduction in these appropriations, and it's just been done to protect other cultural purposes. I therefore refer to the Council of State letter of 4 December 1998, which states that ‘even after the budgetary conciliation, the growth of the cultural budget from 1998 to 1999 — without the provision for the thousand-year mark-up — is about the same size as the general growth of the expenditure of the State budget’. The greatest reduction in the Ministry of Culture's framework area is the reduction in production aid for the newspapers. This is cut by an important aid scheme which the centre parties initially did not want. The aim of press support has always been to ensure the spread of the free word, to maintain freedom of expression and diversity and to maintain a high level of newspaper consumption in our country. And the press support system has worked well in this direction until today. Once the cut has been made, the aim must be to set up the scheme in the short term so that as many newspapers as possible can be maintained and the objective of diversity and freedom of expression achieved. In the longer term, however, it will be necessary to carry out a comprehensive review of the framework conditions of the press with a view to achieving greater predictability and stability. It is also necessary to look at the framework conditions of the press in the light of developments in the entire media sector, not least in view of the merger that is currently taking place by various media, by eradicating the boundaries between them. In the newspaper sector, we have long seen a trend towards greater independence from political parties. At the same time, the papers have become good investment objects for strong media sponsors. Also within cultural policy it is enough that a truth is a truth until it is no longer. It may therefore be that the time has come to think again and find new grips to ensure the values we want to characterize the media reality in the future. For this reason, the Centre Parties, together with the Advance Party and the Right, have submitted proposals for the establishment of a public body to carry out a comprehensive review of the framework conditions of the press. Media policy covers more than the framework conditions of the press. The media play an increasingly important role in cultural policy and are increasingly influencing the use of our time. The media influence us and control us more and more both for good and for evil. Not least in order to meet the strong commercialisation and internationalisation in this area, it is necessary to ensure good and stable framework conditions for public broadcasting. This will also be necessary to ensure Norwegian-language offers while maintaining cultural diversity. A happy move in Norwegian cultural life is the advancement of Norwegian film production. Both outdoors and at home, Norwegian films have aroused increased recognition. In this context, state aid for film is an important instrument. It should preferably be characterised as a luxury problem that some Norwegian-produced films gather so large an audience that they leave farms with most of the film support, so that it gets less back to new productions the following year. The Labour Party has put forward proposals to provide additional support in 1999 for new film productions. On the part of the Christian People's Party, we did not want to decide whether additional measures are needed right now, but we will consider this as we get a more comprehensive overview of developments. The government is now under an obligation to assess additional appropriations in the context of the revised national budget, and we do not ignore the fact that it may be necessary to come back to this in the spring. I will, on behalf of my own party, the Advance Party, the Right Party and the Central Party, address the proposal that has been distributed in the Chamber.
