ParlaMint-NO_1998-12-07-2.ana.ud94e44	The called alternate of the Mora and Romesdal counties, Eli Sollied Överaas, has taken the seat.
ParlaMint-NO_1998-12-07-2.ana.ud94e50	Recent times have clearly revealed what an oil nation's great challenge is: we need to learn how to deal with very uncertain and fluctuating oil prices. It is also the case that the fight for investment is becoming increasingly tougher. Norwegian cap competes for investment with a number of other countries. Politicians have a major and difficult task of managing economic policy. Individual oil companies must prepare for the increasing competition. In this situation, it is very important that the companies operating on a Norwegian base experience that the conditions determined in Norway do not change from year to year, and often several times a year, in line with the policy needs for money to meet the actual electoral commitments. Norway can never compete with some other countries for lower taxes and opportunities for exploitation of workers and the environment. But one thing we have to be able to offer as an important competitive advantage: stability and long-term stability can be the only advantage we have on Norwegian soil. In this context, not least the uncertainty of the recent period about, for example: The increase in CO2 tax was important, an increase that was so important to the Government in June that it threatened not to get a majority in favour of it, while it was now reversed in the autumn, now the Government would accept a cut in the CO2 tax in order to be able to fly on. There has been uncertainty about corporate tax, and there has been uncertainty about new practices for new fields. This is not a particularly good policy for stability and long-term sustainability. Another side of the reality of low oil prices is how oil companies deal with this. From this point on, it can be difficult to meet with other than reduced costs. The NORSOK process showed us that it was possible to reduce costs and extend the lifetime of Norway as an oil nation. There is a lot of evidence that we should go into a new NORSOK round. There is every reason to believe that the oil price remains low, and it is only money to make money to reduce costs if the price of oil would rise again. Cutting costs has one well-known page. It is usually the employees who have to bleed. Harder labour pressure and tougher work environment are a high price to pay for many. In my opinion, it is possible to carry out the necessary processes without losing health, but it requires management. In my opinion, the authorities have a special responsibility to initiate the proper implementation of the necessary measures by companies operating on the base. We also have a very strong supply and equipment industry that is hit by low oil prices and the pursuit of costs. It is an important responsibility that even this part of Oil Norway, which may be what we have to bet on when it ends oil and gas, gets through this with our heads over the water. The value creation of this technological and knowledge-based industry will be an important foundation for industrial production in future Norway. So a few words in the end about something that others from the Workers' Party have mentioned before me, but that doesn't get any less important for that reason: shifts in the power sector. In a situation of increasing demand for electricity produced on pure hydropower, and where we constantly need to import coal power, it must be wrong to propose measures to counteract reorganisation and efficiency in the power sector. To do as the Government will, remove the reimbursement system for document fees, is to send out a signal to this industry – that we do not want more efficiency and conversion, that the Government will not have a more efficient hydropower production and turnover! I see in today's newspapers that former Vice President of the Center Party, Kolbjørn Almlid, calls the current line in the Central Party's policy of «reactionary» and «retro-German». I'm not going that far. But to slow down reorganization at a time of so great upheavals in this market both in Norway and in Europe, with ever greater shortages of electricity in Norway, where we import more and more coal power, and to slow down efficiency, at least it is not very forward-looking. But it may not be the role of the Center Party to be forward-looking either.
ParlaMint-NO_1998-12-07-2.ana.ud94e76	The draft budget for the Ministry of Oil and Energy naturally bears some of the constraints on which there seems to be a great deal of agreement with regard to the state budget. Nevertheless, the Government has been able to take on important priorities, which are also reflected in the comparison with the Right Party and the Advance Party. The main energy policy objectives of the Government are linked to long-term sustainability, value creation, well-being, employment, future power consumption and a desire to establish the energy nation of Norway as a priority country on environmental issues. The draft budget for 1999 is well on the way to meeting these main objectives. In particular, it is gratifying that the commitment to renewable energy is a strong priority in the draft budget. This is consistent with the Government’s goal of limiting energy consumption. Norway is among the countries that consume the most electricity per year. the population. Forecasts for the next 15-20 years represent an increasing demand for power while also increasing imports of electricity under given assumptions. In such a perspective, the Government of the Adults Declaration stresses the importance of rethinking how we can best address future power needs while taking the necessary environmental challenges into account for the energy sector as a whole. With what is behind us, we are faced with enormous challenges in the energy sector. Therefore, in order to counteract the increasing consumption of fossil resources while taking care of remaining, large watercourses, our willingness to adopt critical attitudes to today's energy consumption and forecasts for the coming years will be very important. Developing new, large watercourses and at the same time open to the use of gas to cover an expected increase in domestic energy consumption is hardly the way to go in this context. I am therefore pleased that the government has said no to the extension of the Upper Otta watercourse, and that signals from the Right give hope that the watercourse can be saved. On the other hand, I am not happy that the Workers' Party's national meeting has now opened up the use of gas on the domestic market. I find it difficult to understand other than that this is contrary to the lot’s own programme, which underlines the Norwegian gas as an export article for relief for highly polluting power generation in other countries. I have also registered significant frustration within the Workers' Party's own ranks over this decision, which is difficult to interpret as being different from an environmental policy retreat. On the other hand, the government's offensive attitude to rethink the energy policy of the future is a step in the right direction. The development of alternative energy production is continued through the initial proposal for next year's budget of 270 million. kr. The proposal is, however, somewhat reduced by the agreed agreement with the Right and the Advance Party, but we are still left with a significant increase in relation to the year's budget. In sum, the budgetary agreement between the Government Parties, the Right and the Advance Party means an increase of 30 pst. to an additional and alternative energy development in 1999. In the case of grants for the introduction of energy technologies and bioenergy, the increased effort will allow the extension of the support scheme to solar energy as well as strengthen efforts in particular for wind energy, heat pumps and district heating. The exemption from the investment levy and production aid for wind power means an important strengthening of efforts, in addition to the increased possibility of investment aid provided for in the budget. Increased investment in an additional and alternative energy combined with the Government’s proposal for an increased electricity tax, shows that the Government is taking seriously the objective that Norway should, in a normal year, be self-sufficient in electricity through renewable energy sources. However, the electricity charging increase, as proposed by the Government, has not received the necessary majority in the Grand Duchy, and there is therefore reason to call for concrete alternative measures to achieve this objective. The Government proposes to wind up the system of reimbursement of the document fee for electricity companies. I support this, inter alia: in the interests of equal treatment vis-à-vis other undertakings, and is satisfied that the agreement with the Right and the Advance Party ensures the majority of the proposal. With effect from the 1993 budget, the Stortinget has agreed to allow the King, under certain conditions, to approve new projects in the petroleum industry. The mandate for simplified administrative procedure is proposed to be continued in the 1999 budget, but the ceiling for total investment per year. the project is proposed to be reduced from NOK 5 billion to NOK 3 billion. In doing so, the government has signalled a willingness to increase participation by the Storting, but one records that the majority wants to grant the Government extended authorisation. Finally, I would like to recommend the proposal presented, including the agreement with the Right and the Advance Party, on the 1999 budget of the Ministry of Oil and Energy, a budget which takes care of and continues to give priority to a new and forward-looking energy policy.
ParlaMint-NO_1998-12-07-2.ana.ud94e106	Society is in great development, especially in the field of technology. To move on with technology and development, we need to put great emphasis on research in the future. Other countries in Europe have gone beyond us, and in the future we need to invest even more in basic research to create skills and value creation in mainland Norway, not least in the districts. This has been recognised by the Workers' Party and therefore proposes the creation of a Norwegian Research Fund, where state sales of shares and holdings are relocated to forward-looking research rather than the provision of clean consumption and civic overburdens. The Labour Party believes that it should focus on three main areas: marine research, medical research and environmental research. The latter will be of great importance for us to be able to meet our commitments under the Kyoto agreement on greenhouse gas emissions. Environmental protection research was a high priority in Norwegian research policy while the Labour Party had the government power; in fact, research and development funded by the Ministry of the Environment increased by more than 50 pst. in the 1990s, until 1997. Environmental research today is making new demands for research efforts. We know that basic research is the foundation of other research. So we have a public responsibility to ensure this research is a good framework, and then we can't use the cheese-suiting principle and cut a little bit here and a little bit there. Nevertheless, this is what the bourgeois majority does in next year's budget, where basic appropriations for research institutes have also been cut. These are not the large numbers, but the signals mean that Norway can stand rather quickly without expertise in research. Only within the Norwegian Institute of Natural Research, NINA, is the number of researchers actually reduced from 15 to 8 in a short time. It will be important in future to give these institutions greater predictability in the framework conditions for the work they do. We still have many unresolved environmental research, environmental work and clean-up tasks around the country. One of the most polluted places in the country is the former mining site of Sulitjelma. The entire Committee agrees that the State, as the last owner of the mining activity, is responsible for the environmental clean-up in Sulitjelma, and that major clean-up work remains after 104 years of mining and major pollution. An example of this is that in 1989 the melting furnace pipe, which is 65 metres high, was blown down, which was a danger to the environment, was said to be. Today, 10 years later, it is almost buried with sand and dust from the slags, which in special weather conditions send black clouds over parts of Sulitjelma. The opinion of the Committee is therefore a victory for the Sulitjelma community and gives hope that we will be able to resolve the major pollution problems despite the fact that the Government considers their financial obligations to be completed in Sulitjelma. This is the view of the Government, although a majority of the financial committee in the revised national budget in 1998 required the Ministry to provide funds for cleaning up the budget for 1999. How far from reality are Left's politicians, who call themselves environmental champions and then have government councils in both the Ministry of Industry and Trade and the Ministry of Environment? The Labour Party proposes to grant 1 million in the 1999 budget. SEK for the scrapping work in Sulitjelma, and SV supports this. Unfortunately, Sulitjelma became a victim of a civil budget settlement. The five bourgeois parties did not find financial resources for the environmental work in Sulitjelma, and Sulitjelma must give way to the tithe of power, even this time. I choose to interpret it so that on the next crossroads, the committee stands together.
ParlaMint-NO_1998-12-07-2.ana.ud94e123	Lars Rise has asked for the word out of the way to put forward a proposal.
ParlaMint-NO_1998-12-07-2.ana.ud94e126	I should have liked to have commented on part of what Torny Pedersen said, but...
ParlaMint-NO_1998-12-07-2.ana.ud94e131	That is not possible, it is in order to present a proposal to the representative that has now been put to the floor.
ParlaMint-NO_1998-12-07-2.ana.ud94e134	Yes, I will have proposal No. 3 on page 54 of the setting.
ParlaMint-NO_1998-12-07-2.ana.ud94e139	Lars Rise then brought up the suggestion he referred to.
ParlaMint-NO_1998-12-07-2.ana.ud94e142	Within an otherwise tight budget, the Government continues its efforts for a better environment. This requires that the ambitions and instruments of environmental protection policy are both maintained and strengthened. Environmental protection policy needs to be better anchored locally, and it needs to be better integrated into the economic system and in the various sectors. The main areas of activity in the budget are climate action, the protection of biodiversity and action against chemicals that are hazardous to health and the environment. The government has also set new, ambitious national air quality targets. I am pleased that we have joined the main lines of the budget proposal. Environmental protection policy is far beyond the Ministry of the Environment's own budget. In the context of the State budget, the first two sectoral environmental action plans have been presented by the Ministry of Transport and the Ministry of Defence. Several new plans will be drawn up in 1999. The proposal on green taxes was one step in the necessary conversion of the tax system and a follow-up to the ‘polluter pays’ principle. The tax package in the budget contains the amendments adopted by the Stortinget in June. Several of the proposals are important elements of the Government’s climate policy. I can mention the extension of the CO2 tax and the final treatment tax on waste. Changes in the charging framework will also stimulate the development of wind power and other alternative energy sources, while increasing the appropriations for an increase in the budget of the Ministry of Oil and Energy. The government has set up a public body to investigate a national system of tradable greenhouse gas allowances. The selection shall give its opinion by the end of 1999. Action against local air pollution and noise is important for the Government. We have presented new and stricter targets for local air quality. The level of ambition is high, and we have started work on reviewing the national and local instrumentation. The Government aims to present national noise targets during 1999. Knowledge of biodiversity and its associated values needs to be strengthened. Work has therefore been started on monitoring, value classification and monitoring of biodiversity in municipalities. The government has started working on national policy guidelines to ensure biodiversity. The Government will ensure the sound management of the large predatory animals, while maintaining active agriculture with the possibility of exploiting the set-aside. The effort to record stocks has been increased. Conversion funds have been allocated for particularly vulnerable uses, and the Government will follow developments closely, among other things. for the prevention and procurement of pests. Emissions of those hazardous to health and the environment chemicals shall be significantly reduced and will be tried to stop by 2000, 2005 and 2010. The most dangerous substances will be reduced first. The right of consumers and traders to know and to make environmentally friendly choices should be strengthened. In this field, the Government is focusing in particular on measures to improve information on such substances at all stages of the production stream. The objective of Local Agenda 21 is to establish cooperation between the municipality, non-governmental organisations and local businesses in a joint effort for sustainable development. The rapporteurs and advisers are therefore also key actors in the local Agenda 21 work. A anchoring in the municipality's ordinary planning processes is essential. I see Local Agenda 21 as an important tool in the renewal of local democracy. By building on the apparatus of the Local Governments’ Central Association, regionally, in addition to key environments of excellence at the central level, a wider range of tools can provide a good exchange of experience and learning that will strengthen the local Agenda 21 work. This cooperation strategy shall not be at the expense of non-governmental organisations, rather on the contrary. In this context, I would like to remind you that there are several items in the budget that can be used in Local Agenda 21 work. I have noted the Committee's scepticism as a regional focal point for coordinating and developing local Agenda 21. The majority oppose a further build-up of regional focal point funded by government funds. To follow up on the majority, I want to keep the nodes where there is an agreement, but not build this further. I would like to draw attention to the fact that the agreements with the nodes are limited in time and will of course be evaluated, and that the Stortinget will gain knowledge of this evaluation. I will also meet the desire of the Alliance to actively participate in the Local Agenda 21 work. The Committee refers to its earlier wish for the Government to present a new paper on waste policy, source sorting and recovery. The work on such a big message has started. I agree with the Committee's proposal that a new review of outdoor policy should be desirable. I have already begun the discussions on what theme will be central to such a review. Important issues that point out are the development of land use, particularly in cities and agglomerations and along the coast, and the commercialisation of natural use in relation to all human rights. I am pleased with the Committee's comments on the State's nature oversight and the emphasis on the local connection and function of the Natural Supervision.
ParlaMint-NO_1998-12-07-2.ana.ud94e175	It's going to be line change.
