ParlaMint-NO_1998-12-17.ana.ud456e36	The representative Anneliese Dørum, who has been licensed, has again taken the seat.
ParlaMint-NO_1998-12-17.ana.ud456e44	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1998-12-17.ana.ud456e49	I suggest Asmund Kristoffersen.
ParlaMint-NO_1998-12-17.ana.ud456e54	Asmund Kristoffersen has been proposed as president. – Other proposals are not available, and Asmund Kristoffersen is unanimously elected president of today’s meeting. Before the cases are considered, the President will propose that this morning's meeting be interrupted for the Grand Council's Christmas meeting at 9 p.m. 13.45 and set again for the evening meeting at 2.30 p.m. 16:00. – No objections have been raised to the President’s proposal and it is deemed to have been adopted.
ParlaMint-NO_1998-12-17.ana.ud456e68	At the request of the Foreign Affairs Committee, the President will propose that the debate be limited to 1 hour and 45 minutes and that the speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 15 minutes, Christian People's Party 20 minutes, Right 15 minutes, Center Party 15 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. Furthermore, the President will propose that there be a possibility of a replacement of lines of up to three lines with replies after the speeches by the main speakers for each party group, and five lines with replies after the posts of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – This is deemed to be adopted.
ParlaMint-NO_1998-12-17.ana.ud456e79	This is about approving an amendment to Annex I to the EEA Agreement – until daily we call it the veterinary agreement. The EEA Agreement, known to enter into force on 1 January 1994, entered into force six months later. At the time, the EU’s own legislation in this area was under assessment, and Norway and the other EFTA countries – which at the time were several times more than today – maintained their national provisions in certain areas. It was then stated that these areas would be negotiated during 1995. These are provisions specifying how the product or animal is to be checked on importation, provisions on trade in live fish, crustaceans, small ruminants, labelling of animals and EU provisions on animal protection. The same was true of the financial arrangements. If the present agreement is now approved, the veterinary border inspection will be suspended and replaced by the provisions laid down in the so-called control directives. In practice, this means that the current system of veterinary checks at the border is lost, and that instead we have a control system where those who are to import live animals or animal products must be registered in a public register. Checks shall then be carried out at the premises of the consignor, the producer, prior to dispatch to Norway, and random checks may be carried out at the premises of the consignee. When such a consignment is in order, the consignee shall notify the supervisory authorities at least 24 hours before the goods arrive. Thus, the current border control is removed and replaced by control at the consignor and at the person importing the animal or the commodity. In any case, the recipient will be concerned with documentary and identity checks and physical veterinary checks. Here, physical checks will be essentially based on samples, as is the current regime at the border, while document and identity checks will be carried out by the importer for all consignments of goods. Documents shall be kept in such a way as to allow supervisory authorities to review and verify them as a matter of urgency. If there is a suspicion that the goods arriving do not fully comply with the requirements of quality, documentation or purity, the whole consignment may be checked anywhere after entering the country, preferably at the border. Thus, if there is a suspicion that the consignment does not have the required quality, other types of checks may be carried out. Norwegian control has two functions. One is to check that the product complies with the requirements, to check that the food is in order, to check that the animal is healthy. Secondly, there is a check that the equivalent control at the consignor is working. In addition, a number of new national monitoring and monitoring programmes are in place to systematically maintain and in certain areas improve animal health and food quality in Norway. We can demand that what is imported by food and live animals should be at the same quality level as ourselves. An example is the work done in relation to salmonella, which has led to a particularly favourable situation in this country in this area. As a consequence of this programme, we can now demand that meat, eggs and live animals imported into the country come from producers who are subject to as strict controls as the one we carry out here in the country. If, for various reasons and in a qualified manner, we suspect or know that the product does not have the quality we require, the security clauses enter into, and we can then do what is necessary to ensure the quality of food and animal health, for example by refusing to import goods from the producer concerned. This is based on a national judgement. This assessment is carried out by Norway and Norway’s supervisory authorities. When such decisions are taken, there are certain formal requirements and the EU needs to be informed about what is being done. I must be allowed to quote what the Minister of Agriculture said in the open hearings on this matter in relation to the security clauses: «Of course, you shouldn't do this because you want to. There must be a reason for that, and it is then that one believes that animal or public health is threatened in some way." The Minister of Agriculture also said that if we have to go on doing so, if we have to implement these clauses, 'it will of course be up to the national authorities to take the decisions' which are desirable or necessary. If Norway now adopts this agreement in addition to these modified control systems, it also means that we become the EEA's external border, and consequently the EU's external border. The control against third countries has the consequence that imports from these countries have to pass through certain specific control stations. This raises a legitimate question as to which problems might arise, for example: landing of fish from Russia, which is a third country. Will this create problems for fisheries recipients and farms in our area? Firstly, fresh fish are not covered by this. Fresh fish can be landed where it is appropriate to land without passing this type of control. In the case of frozen fish, or other fishery products, it is agreed that if the reception is not too far from the nearest control station, the control station will move out with an ambulatory check. If the fishing reception is too far from such a control station, a local unit will be set up at the reception to carry out the necessary checks. The conclusion of this is that it will not lead to problems with the landing of fish from third countries. I think it's pretty easy to understand that you're skeptical about leaving a control system with which we have experience, in order to establish a new one. Nevertheless, it is my opinion that the arrangement that this agreement is based on is not just as good as the one that we have, it is actually better. The control system we put in place is better than the one we leave. I am not alone in saying that, for the director of the State Institute for Public Health, Bodolf Hareide, who is also the head of the Scientific Committee on Food Safety, said the following at the hearing: ‘But the Scientific Committee has carried out a qualitative risk analysis in this assessment, and that is how we expect the new regime to be better than what works today.’ I believe that what we leave out of control arrangements can be said with great certainty to be maintained at at least the same level of the regime being introduced. It will obviously be so that the new system can also be further developed, and I am pleased that the Government provides for a comprehensive evaluation, and that an overall assessment of the legislation, together with an analysis of the disease situation, will be presented to the Grand Duchy in 2001. I recommend this majority vote.
ParlaMint-NO_1998-12-17.ana.ud456e119	It's going to be line change.
ParlaMint-NO_1998-12-17.ana.ud456e122	Norwegian fish exports are one of the industries that will be affected if you do not agree to this agreement. Norwegian fish exports are the export industry No. 2 in this country. We export one million tonnes to the EU, about 15 trailer loads of fish per year. hours of work are exported to the EU from Norway. Of course, this agreement goes both ways; we import, among other things. EU meat, approx. one trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer load per trailer In a note from the Centre Party in the setting for processing, it says: ‘However, this member has noticed that in the proposition it has not been possible to demonstrate the economic and practical consequences it will have for Norwegian fish exports to the EU, compared to the current situation, if the size does not accept the veterinary agreement.’ Here, to my knowledge, it lies what I would call an insinuation against the Government and the Minister of Fisheries. It says that ‘it has not been possible to document’. Understood: One has tried, but one has not succeeded in trying to document this. I think the Minister for Fisheries, both in the open hearings and otherwise in general, in an excellent way, also together with a comprehensive Norwegian fishing export environment, has shown the consequences of following the minority in the Government. I could imagine having the case rapporteur assess the consequences he sees for Norwegian fish exports if Stortinget – against assumption – would follow the minority in the Government.
ParlaMint-NO_1998-12-17.ana.ud456e136	First, some have believed that without this agreement, fisheries exports would be able to continue as they are today, and that there are certain rules that will prevent the EU from tightening up. It turns out to be wrong. It is true that we will then be a third country, and the rules that the European Union has already introduced for other third countries will, of course, also apply to us. And then there's a couple of things to point at. One is an increased frequency of control. That's now that side of it. The other side is that if you go into what the EU puts into the concept of ‘physical control’, what it actually results from controls at the border station, it is quite extensive. Its name is, among other things, in addition, a certain number of packages must be taken from different places in the consignment. That means you have to go in and take packages in different places on the load. It shall be checked for temperature, weight, must be checked for odour, colour, consistency, taste, etc. and by thawing and boiling. So it's obvious that you're facing quite extensive physical checks. The other side of this is, as I mentioned before, that there must be control stations in relation to third countries. And then we become a third country, and then there are certain control stations that our fish exports have to pass. These control stations need not necessarily be in the shortest loop. We know, for example. that very many of our fishing carriers and exporters today come from the north, enter Sweden, go down along Norway, return to Norway and so on. It's the best and fastest way. So they're going to have to go to these special control stations, and they're going to have to pass them at times when they're staffed with a veterinarian. I therefore believe it is obvious that the disadvantage of fishing exports will be significant if this agreement is not adopted.
ParlaMint-NO_1998-12-17.ana.ud456e143	I would like to take as my starting point what I believe is the rapporteur and I agree. Firstly, increasing international trade in food and other biological material increases the risk of infection and disease. Secondly, Norway is in a very favourable situation both in the case of foodborne diseases and in the case of animal health. We also know that increased trade in food is a prerequisite and a goal for the WTO, and we know that in the Storting there is a pressure in the same direction. In 1992 when we were given the EEA Agreement, it stated that the border control was ‘essential for the maintenance of our favourable animal health status’. In the setting up of the EEA Protocol, it was underlined how important it was for us that Norway could maintain the national provisions in relation to trade in animals and foodstuffs. Since 1992, trade in animal products has increased, and the situation of infection in the countries with which we trade has deteriorated. It was documented during the hearings. And in such a situation, a normal belief we would need a better control system and a more stringent control. However, as was said here, in order to facilitate Norwegian fish exports, the precautionary principle leaves and opts out of a border control system that was highlighted not only as important but as crucial in 1992. Because this is primarily a consumer question, I will ask the following questions: Does the case-rapporteur understand the concern expressed by the head of the Consumer Council on behalf of consumers when she refers to this as a ‘risky gambling’?
ParlaMint-NO_1998-12-17.ana.ud456e154	To first address this with the border control and that the Storting said in its time that the border control was essential. Yes, it is quite clear that control of imports of food and live animals is essential. Of course, what Storting did not take a stand or had any particular meaning about then was other possible control arrangements. What was obvious was that imports of live animals and food had to be controlled. I don't think the Storting had any dramatic and qualified opinion that this control necessarily had to happen on the frontier and in the way that it's done now. The control currently carried out at the border is certainly reasonably good, but it is a random check and at a falling frequency. For example, if we import 1,000 units, 60 of these units are sampled. So you can't glorify today's system to those degrees. It's a pretty good system, but it's not like you're leaving some bottom solid to switch to something that's relatively relaxed in the fish. [[laughs in the hall]] So the representative Jakobsen says that we need a better control system when increased trade comes – and it is possible that happens if there is the kind of development that the WTO sees for itself. Today we import 700,000 tonnes in this way, while at border trade 130 000 tonnes are imported into plastic bags by some of us. And that's exactly what I think we're getting now, I think this is a better system, with labelling, with control at the manufacturer, with control at the recipient. So I don't think we're leaving anything that was better. I think we're just doing this by getting a better system.
