Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e35	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e56	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MODA	Aukan, Modulf	M	1948	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e90	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.BHH	Hanssen, Bjarne Håkon	M	1962	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e121	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.OHE	Hedstrøm, Øystein	M	1946	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e136	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.AG	Gabrielsen, Ansgar	M	1955	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e156	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	notMP	Minister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.K_AGJ	Gjønnes, Kåre	M	1942	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e192	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e206	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e209	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	-	Centre-left	person.KBO	Bekkemellem, Karita	F	1965	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e226	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PES	Sandberg, Per	M	1960	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e237	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e240	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Regular	MP	notMinister	KrF	Kristelig Folkeparti	Coalition	Centre to centre-right	person.MHG	Grimstad, May-Helen Molvær	F	1968	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e257	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e265	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e917	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e924	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1000	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1034	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1041	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1047	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1330	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1337	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-24-lower	ParlaMint-NO_1998-11-24-lower.ana.ud2207e1346	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-24	1998-11-24	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-24	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
