ParlaMint-NO_1998-10-28.ana.ud1702e27	: The called alternate of the Rogaland County, Helge Solum Larsen, has taken the seat.
ParlaMint-NO_1998-10-28.ana.ud1702e35	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1998-10-28.ana.ud1702e40	I suggest Bjarne Håkon Hanssen.
ParlaMint-NO_1998-10-28.ana.ud1702e45	Bjarne Håkon Hanssen is proposed as president. Other proposals are not available, and Bjarne Håkon Hansen is unanimously elected President of the current sitting.
ParlaMint-NO_1998-10-28.ana.ud1702e64	On Monday, the Storting received a message from the Prime Minister's office that the following members of the Government will meet for oral Question Time. State Council Peter Angelsen State Council Kåre Gjøne State Council Jon Lilletun State Council Guro Fjellanger The advertised members of the government are present, and we are ready to start the oral question procedure. Some representatives have signed up in advance with a request to ask questions. The representatives who also wish to ask the main questions are asked to rise. - Thank you. We start with the first main questions, from the representative Petter Løvik.
ParlaMint-NO_1998-10-28.ana.ud1702e86	I want to ask a question to the Council of State Lilletun. We all want a good school. Some of the most important things to get to a good school are good and motivated teachers, and getting a good motivation is a good working environment as a whole. Then it's a little suspicious when we read again about increasing power against teachers, the latter in the Glamdalen on 23 October, where killing threats, attempts to fire the teachers' housing, knife troubles and rough oral use are described. This is something we see in many places and on an ever-increasing scale. My question is, can we and should we accept this? My right and my right answer is a clear no, and I want to ask the Council of State, is he in agreement with that assessment? And if he is, what in concrete terms will the Council of State do to remedy this?
ParlaMint-NO_1998-10-28.ana.ud1702e95	The representative Løvik and the party Right and Government are quite a few that of course it cannot be accepted. The problem area is compounded, and it's big. I would like to emphasize that this is the exception and not the rule, but the exceptions are so serious that of course something has to be done in relation to this. The government has started a series of actions. One of the things that has shown the best results so far is the work of the conflict council, which is now being stepped up and tried to be transferred to more and more schools at the youth school stage – which was the original one – and now also to the further ones. We think we're going to solve this problem, we're going to have to get the students on board. We have to create a confirmation at school that makes a common do something about this, for once again: it's the exceptions on the school that stand for that kind of behavior. I have registered the same thing as the representative Løvik, and have invited the teachers' organisations to a meeting on November 5 where this will be discussed. The message the Storting has requested for when it concerns teacher recruitment will also deal with this. In addition, I would like to point out an important work with a contact company that Oslo is doing, where each school has a contact system with the police, which has proved to be working in a good way. So there's not one answer, but a lot of answers, and we recognize that we don't have all of them.
ParlaMint-NO_1998-10-28.ana.ud1702e104	On 19 November last, I raised about the same question with the same Council of State, and the background was the Teacher's examination, which to a large extent shows that what we are talking about is an exception. But 24 pst. teachers have been exposed to power — both youth and childhood — and 48 pst. By the teachers, the school doesn't do enough. Also, the Council of State said that this was an important and complex matter, and it is quite funny that the Council of State basically had the same solutions: a meeting and a big message. Then there would be a meeting week after, an experience conference where these questions would be addressed. In addition, it was said that there would be a big message about special education in the spring of 1998. What came out of the conference, I don't know, but I know what came out of the big message – nothing really came out of it when it comes to power against the teachers. I therefore hope that both the meeting and the big message that the Council of State is now saying will come, this time will give something far more concrete than the Council of State promised a year ago.
ParlaMint-NO_1998-10-28.ana.ud1702e109	It's not that anything came out of it. First of all, it is obvious that conducting special teaching skills closer to the student and closer to the school is helpful to the teacher. Furthermore, at that time, the first round of the conflict council had not been evaluated. Now it is evaluated, and matters are being stepped up in cooperation between the Ministry of Justice and the Ministry of Education and Research. But I would be too simple in my answers if I pretended there's not a long-standing process behind the developments we've had in school -- a process based on many superior social relationships. It's not done in one year! We're doing a good job, but I can't stand here and give an answer. Nevertheless, a lot of things have been done in this matter since the representative Løvik first took this up.
ParlaMint-NO_1998-10-28.ana.ud1702e114	There will be follow-up questions – Bjørn Hernæs.
ParlaMint-NO_1998-10-28.ana.ud1702e117	It is difficult not to perceive the Council of State as trying to minimize a very serious problem. When he says that this is the exception and not the rule, it reminds me of the prison director who in a situation with a lot of escapes said you should not forget that most of the prisoners, after all, were in prison! If the Council of State is satisfied with that kind of statement, you can of course get quite far. So the point is that it's going to last, and it's also going to say the local papers in small places. This is a problem that has to be taken seriously, and one of the things that needs to be discussed now is whether the school should get back its right to intervene harder against impossible students. Violence against students and violence against teachers cannot be accepted. Will the Ministry now consider resuming the proposal of the Right to give the municipalities the opportunity to lay down rules which will allow the principal to present those students who do not behave in such a way as to be required as an absolute minimum in order to be able to teach in Norwegian school?
ParlaMint-NO_1998-10-28.ana.ud1702e126	In my view, the laws and rules that apply today are good enough for one to intervene – and that is not an attempt to minimize. But I think it is important that we insist that the exceptions to this apply, not be allowed to create a picture of Norwegian school as a school where primarily the chosen one dominates. But at the same time, it's not like I'm pretending the problem doesn't exist. On the contrary, we're working on it in full. We have the legislation to do. At the same time, it is not a solution to go back to the Spanish pipe, if that is what is in the representative Hernæs' proposal, but it is actually going through social pedagogical work. And one thing I think would be useful is getting new professionals into school. The teacher is primarily trained as a teacher, to teach. I think we also need other social educational professionals who can prevent this kind of problem behaviour.
ParlaMint-NO_1998-10-28.ana.ud1702e132	Let's move on to the next main question.
ParlaMint-NO_1998-10-28.ana.ud1702e135	I will be asked a question to the Minister of Church, Education and Research. State Council Lilletun, together with the Minister of Health, has stopped the educational programme on life and sexuality. It is the Health Inspectorate, the government's own professional body, that has had the professional responsibility for this programme. Many different disciplines with a high level of competence have contributed to its development, including educators. It is strange that the Council of State intervenes and makes a political assessment of this teaching material and asks for a new professional assessment from the University of Agder. What's with this teaching material that works consistently on the Council of State? [[President clubs]]
ParlaMint-NO_1998-10-28.ana.ud1702e144	This information material on living is provided by the Health Inspectorate for use among others. in health centres for young people. The main objective has thus not been to create a material for use in the school. However, provision has been made for schools to use it in education. This was done naturally with a professional assessment by the Ministry of the Church, Education and Research, especially since a government agency has produced the material. My first reaction was that there had to be an independent professional and pedagogical assessment. The department of the department has asked the Högskulen in Agder, which has a wide range of professional environments, to make such an assessment. Now there is a good and thorough assessment from the Hochskulen in Agder. This assessment points to the fact that material has many positive aspects, including: that one presents the theme with humor and joy and in a youthful way. But weak aspects of the structure are also being brought forward as teaching materials in the school. I have noted the assessment and have based on this particular following: I follow the consistent assessment from the Högskulen in Agder to raise the age limit of the teaching video to 15 – 16 years – i.e. what was previously 9th grade, no 10th grade. The Ministry sees the need for relevant teaching material on living together for the lower classes, and we follow this up in the new plan of action on unwanted pregnancy and abortion. Creating material in the field of living and sexuality will be used to update teaching staff. It is also necessary to develop a educational guide to the video to make it easier for the school to use the film in education. This should be a guide for both teachers and elephants. The report from the Högskulen in Agder states that a guide will be provided before the material is put into use in the school, as was also planned by the State Health Authority. The Agder highlight indicates that the CD game has several weak sides, both in terms of content in general and in terms of age. The ministry does not consider the game to be the property of educational institutions in the school. It may, however, be better suited for small groups in connection with work at health centres, as also stated in the report of the High School in Agder.
ParlaMint-NO_1998-10-28.ana.ud1702e151	A group under the Church Council has seen the computer game and evaluated it positively, for use in the firm instruction. Norwegian Educational Center, which has assessed the computer game and recommended it for distribution in the Nordic region, is also one of our professional bodies, so that the professional evaluation should be solid. It's scary to hear that you want to raise the age limit. It's too late! The situation of young people must be based on their own situation. Is it the life - style of each State Council that should always apply to sexual education? I am familiar with the basics of the Council of State, and have also heard the Minister of Family Valgerd Svarstad Haugland say that marriage is a God-like arrangement for the benefit of children and adults. Is there such a narrow view, which not all parts, which should be the starting point for information to young people, or should it be the health and ethical considerations that should apply?
