Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e45	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e64	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ANH	Høegh, Annelise	F	1948	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e75	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e78	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	SV	Sosialistisk Venstreparti	-	Left	person.OLGB	Ballo, Olav Gunnar	M	1956	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e85	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	Minister	Sp	Senterpartiet	Coalition	Centre	person.MMK	Kleppa, Magnhild Meltveit	F	1948	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e111	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e125	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	notMP	notMinister	H	Høyre	-	Centre-right	person.HVH	Hove, Harald Victor	M	1983	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e146	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e161	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Chairperson	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.JR	Ringstad, Jorunn	F	1943	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e166	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	notMP	notMinister	H	Høyre	-	Centre-right	person.HVH	Hove, Harald Victor	M	1983	
ParlaMint-NO-en_1998-11-05-lower	ParlaMint-NO_1998-11-05-lower.ana.ud390e171	Hansard from meeting in the Norwegian Parliament, term 1997-2001, Session 1998-1999, Sitting day 1998-11-05	1998-11-05	Lower house	Term 1997-2001	Session 1998-1999	-	Sitting day 1998-11-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.INL	Lønning, Inge	M	1938	
