ParlaMint-NO_1998-11-17.ana.ud829e42	The representative, Carl I. Hagen, will make a private proposal.
ParlaMint-NO_1998-11-17.ana.ud829e45	I will be allowed to present proposals for the reintroduction of the previous system for the treatment of the State budget by the Storting.
ParlaMint-NO_1998-11-17.ana.ud829e50	The proposal put forward will be dealt with in a regulatory manner.
ParlaMint-NO_1998-11-17.ana.ud829e64	No one has asked for the floor. [[Footing, see next column]]
ParlaMint-NO_1998-11-17.ana.ud829e80	No one has asked for the floor. [[Votation, see below]]
ParlaMint-NO_1998-11-17.ana.ud829e94	No one has asked for the floor. [[Fotation, see page 419]]
ParlaMint-NO_1998-11-17.ana.ud829e102	The size goes to voting.
ParlaMint-NO_1998-11-17.ana.ud829e108	A vote shall be taken on the proposal of the representative for the Inge Wage on behalf of the Right, transmitted from the meeting of the Odelstingen on 5 November 1998: ‘The Government asks the Government to submit proposals for changes in teacher education with a view to establishing differentiated approaches to the stage, middle and early stages of education for the past 2 years.’
ParlaMint-NO_1998-11-17.ana.ud829e124	A vote shall be taken on the proposal from the Inge Wage Committee on behalf of the Right, submitted by the meeting of the Odelsting on 5 November 1998: ‘The Government asks the Government to propose a change in the qualifications of teachers in secondary school so that teachers who teach theoretical knowledge should have at least one year of professional immersion in the subject.’
ParlaMint-NO_1998-11-17.ana.ud829e170	The presidency's position is that the proposal is not being discussed.
ParlaMint-NO_1998-11-17.ana.ud829e173	I would suggest that this matter, Document No. 8:5, is sent to the Municipal Committee for normal consideration, and will briefly justify my proposal for a procedure. This case concerns the spatial plan of Stavanger Municipality, approved by the City Council on 29 September 1997. The plan has been drawn up in full agreement with the local government sector authorities. These have made their comments and approved the plan without any objections. The Ministry of the Environment has asked for changes. It is therefore a very important political principle, namely local autonomy. It should be such that if the local authorities want something, it can only be over-tested by a political body, that is, the Stortinget. This is a proposal put forward by representatives of the Labour Party, the Right and the Progressive Party, three representatives from Rogaland. Of course, I will not comment on the content of the proposal, but I think it would be relatively remarkable if the Stortinge were not to deal with such a proposal to look at it. I must also be allowed to mention that there are several ways in which the Stortinget takes a position on concrete proposals. There should be a most reassuring basis for the Storting when making decisions. Treatment of a difficult policy area is much better based on an attitude from a committee than, for example, from a committee. to adopt something to be put forward in the context of only a debate in the Chamber, be it an ordinary debate or an inter-pelling debate. There is no particular basis. The reasonable procedure should be for a case of this nature to be referred to a committee. I can't see that this is a big business either. On the contrary, according to the Constitution, the Storting has the task of controlling the executive, the Government, and I regard this as also part of this control of the government's work. I think it would be quite natural to send this matter to the municipal committee. I would recommend Stortinget not to be put on the sideline on these questions, but on the contrary support the proposal to send this Document No. The 8th proposal from the representatives of Jan Simonsen, Jan Johnsen and Tore Nordtun to the Municipal Committee of Storting for ordinary consideration.
