ParlaMint-NO_1998-12-18.ana.ud1256e102	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1998-12-18.ana.ud1256e105	I would like to make a suggestion that the Storting asks the Government to grant permission to produce and re-distill spirits to others other than Arcus.
ParlaMint-NO_1998-12-18.ana.ud1256e110	Representative Ellen Gjerpe Hansen will make a private proposal.
ParlaMint-NO_1998-12-18.ana.ud1256e113	On behalf of Sverre Hoddevik, Petter Løvik and myself, I would like to propose that the Stortinget ask the Government to draw up proposals for the competitive outsourcing of the national road haulage network.
ParlaMint-NO_1998-12-18.ana.ud1256e118	The representative, Carl I. Hagen, will make a private proposal.
ParlaMint-NO_1998-12-18.ana.ud1256e121	On behalf of the representative Jan Simonsen and myself, I would like to make proposals to convert the contingent amnesty of aliens affected by the so-called Quetta and Laos projects.
ParlaMint-NO_1998-12-18.ana.ud1256e126	The proposals will be dealt with in a regulatory manner. The President will inform the Council that the Minister for Foreign Affairs has today requested the Stortinget to give a statement on the Schengen cooperation, the negotiations with the EU and the main content of the draft agreement. In accordance with Section 34(a) of the Rules of Procedure, the Presidency has agreed to make such a statement at the end of the Storting meeting today. Following the presentation, it is proposed that one representative from each batch group be given the word once for up to 5 minutes. It shall be deemed to have been adopted. Furthermore, even though this may not be the right place, the president will inform the group leaders that the group leader meeting to which it is called is being postponed after the Stortinges meeting is over today. Before the matters on today's map are dealt with, the President will propose that this morning's meeting, if necessary, continue beyond the scheduled time, at 0 p.m. 15 until today's map has been processed. – No objection has been raised, and it is deemed to have been adopted. The President does not expect there to be any danger that the Storting meeting will be very long, so the decision that it can continue beyond 1 p.m. 15, it'll hardly be effective. On the contrary, the President believes that the Storting meeting will be relatively short today – only for the information of the representatives.
ParlaMint-NO_1998-12-18.ana.ud1256e146	The Municipal Committee issued its Innst. S. No 18 for 1998-99 on the activities of the Sameting in 1997, cf. St.meld. No 52 for 1997-98, 3 November. The fact that we do not have the debate before today, the Great Britain's last working day in 1998, is due to the simple fact that the vote should also be held in Sami. The store's press release handed out its tolerance price on Tuesday this week. When jury leader Hilde Harbo explained the arguments of the Press Release and the jury for the award, she was busy with just language. She told me that this year's prize winner was a man who had to move home from seven years old to start school. During his first two years of school, he understood nothing about teaching because the teacher spoke a foreign language. At the boarding school where he lived, the staff did not understand his mother tongue. This year's winner of the Press Release's Tolerance Prize was Professor Ole Henrik Magga, former President of Sametinget. In his explanatory statement, the jury leader said among other things:\t\t You can change the settings of the grid. «With its diplomatic abilities, prudence and flexibility, but at the same time with firmness, pride and great authority, Magga has made an invaluable national effort. Not just for those who have a safer identity and self-confidence. A scourge of Norwegian society has been eliminated at the same time, although we know that there is still disagreement and unresolved issues before we have reached the goal of full recognition and equality between the two peoples on which this nation is based.’ The charters for the price being distributed, to which former prime minister Jo Benkow has given the basic capital, state that the price is to be allocated to persons who, through their function, have sought to contribute to greater tolerance and understanding between people and societies with different opinions, races and beliefs. "Ole Henrik Magga fully meets these conditions," said the jury leader Hilde Harbo. It is my hope that the future debate on co-political issues can be brought into line with the spirit of the Tolerance Prize, both from a national, Norwegian and Sami point of view. As Magga said in his speech of thanks, freedom of speech is the strongest weapon of a minority. This freedom and this weapon must be safeguarded, while at the same time contributing to respect for the positions of opponents of opinion and thereby demonstrating the ability and will of tolerance. The majority of the Committee notes, in the context of the examination of the 1997 Annual Communication, that it is positive that the annual report not only reports from the past year but also addresses future challenges and tasks. The majority, which consists of all except the Advance Party, note that the Sameting will assert the right to self-determination. The majority express agreement with the Government in its definition that this right will consist in the fact that, within the national frameworks, it will be possible to steer the development of the Sami society as far as possible. The question of self-determination over land, which has been dealt with in the suspension of the Joint Committee, will be considered after the current hearing. The majority say that it is important that there is close cooperation between the Government and the Federation. The majority of the Committee also points to the fact that the Government has set up its own Sámi State Secretary Committee and has its own State Secretary for Sámi issues to coordinate the common policies within each department. I would also like to refer to the communication sent out by the Ministry of Local and Regional Affairs on 16 December, where it is announced that a new department will be set up in the Ministry of Local and Regional Affairs on 1 January 1999. The department is then given the overall responsibility for designing and coordinating its policies in relation to the Sami population, in relation to national minorities and in relation to refugees and immigrants. The main objectives of the establishment of the new department are, first of all, the desire to strengthen the co-political work of the ministries. This will be done by adding more resources to this work, including: in the form of a common language competence. Secondly, the new department will coordinate and develop policies in relation to national minorities, i.e.: groups with a long relationship with Norway, such as women, forest fins, the Roma, Gypsy and Jews. This is in line with the recent consent of the Stortinge to ratify the Council of Europe Framework Convention on the Protection of National Minorities. Thirdly, there is a desire to make better use of the overall resources of the co-operation policy department and the immigration department, by coordinating overlapping tasks in the two departments. I see this as a follow-up to the challenge that Sameness has given to central powers of government, in terms of the development of co-political work. The majority have also noted that the Government is committed to strong cooperation with the Federation in the budgetary process. The majority of the Committee has found it appropriate to point out that in some constituencies the number of persons entitled to vote is so low that the issue of legitimacy can be raised, and agrees with the Sameting and the Ministry of Local and Regional Affairs that there is reason to consider the electoral rules prior to the next merger elections. The government has also provided information on how the State will follow up the consequences of the Aursund judgment in its Annual Report, as the majority have noted. The majority are also concerned with the place of women in the reindeer industry and indicate that the necessary equality in some areas has not been achieved. The majority therefore welcome the fact that the partners in the reindeer management agreement want to make the value creation of women visible by granting an additional grant of NOK 22 500 to holdings, where both spouses are actively involved in the reindeer management. The Progress Party, which forms the minority in the Committee, regards the Annual Report as an informative document and an information channel between the Sameting and the central authorities, but also demonstrates to its principle position that the Sameting should be closed. The members of the Progress Party take note of the Government’s feedback to the Stortingen regarding the content of the Annual Report of the Sameting in St.meld. No 52 for 1997-98 on the activities of the Joint Undertaking in 1997. These members call for a clearer view from the Government on how the Government interprets the Sámi requirements for self-determination and requirements for the right to land and water in Sámi areas. As I have said before, the majority of the Committee says that these questions must be brought back once the consultation round on the suspension of the Joint Committee, which is currently under way, has been completed. Finally, an overall committee refers to the message and argues the Stortinget to St.meld. No The Protocol shall be annexed to this Agreement for 1997-98 on the activities of the Joint Undertaking.
ParlaMint-NO_1998-12-18.ana.ud1256e189	Several have not asked for the floor on case No. 1st@item: inlistbox [[Fotation, see page 1443]]
ParlaMint-NO_1998-12-18.ana.ud1256e205	No one has asked for the word [[Fotation, see page 1443]]
ParlaMint-NO_1998-12-18.ana.ud1256e221	No one has asked for the floor. [[Fotation, see page 1443]]
ParlaMint-NO_1998-12-18.ana.ud1256e237	No one has asked for the floor. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e253	No one has asked for the floor. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e269	No one has asked for the floor. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e285	No one has asked for the floor. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e301	No one has asked for the floor. [[Fotation, see page 1444]]
ParlaMint-NO_1998-12-18.ana.ud1256e315	Pretty short of the message that has been produced. This is, to a large extent, a message that takes account of what has happened in 1997, and there is no comment on it. We take note of the information and agree that this is a good message. What is said about the structure of the banking and financial industries is, in fact, the only thing the Committee has to comment on. To that it is just to say that there is also a large deal about the structure of banking and financial industries. We point out that the concentration of power that has occurred over time does not prevent stronger competition in the Norwegian market. What has always been the basis for the structure is that there should be soundness and competition, and it seems that one is taking care of the situation now. The majority in the Committee have also said that this is the way it should go. The main objective of structural policy is to ensure that Norway has well-functioning and sound financial institutions and that there is a high level of competition between institutions. Of course, the objective of a good supply of financial services in all regions still needs to be established. It has been a small discussion with regard to the financial environment outside Oslo. All, except for the Socialist Left Party, are agreed that it is important to keep up with a scattered activity and competence and thus take care of and develop a good financial environment outside Oslo as well. Thus, the environment that exists needs to be developed in line with the structure – soundness and competition. The Committee's plurality has not pointed to any particular place that is more important than others, for here it is an industry which is to develop freely in relation to the competition in this market. And it's equally important both in Oslo, in Bergen and in Trondheim that these environments develop.
ParlaMint-NO_1998-12-18.ana.ud1256e330	The matter, on which the rapporteur was concerned, is also referred to the structural policy of the financial industry. I see this in line with the rapporteur of the matter so that the current guidelines are confirmed. For this reason, I allow myself to ask a question on the basis of a newspaper announcement today that the Ministry of Finance has recently granted access to the concession of a company in the field of export finance to purchase another company working in the financing of credit to municipalities, but on the condition that no exemption from the rule of maximum 10 p.m. ownership can be granted. Such derogation has been granted in the past. The institution in question already has an exemption, for example: the State-owned bank The Norwegian Bank owns approx. 30 pst. in the company. I can also mention examples that exemptions have been granted in the past, including: the purchase by savings banks of an insurance company, which meant that they would share the ownership of four of the coastal banks, those who later joined the SpareBank 1 Group. There was also a derogation at that time. My question is whether this newspaper message is crazy. In case it should be crazy, I'd like to receive information about what's right. If it is right, I ask the question whether this implies a new policy on the part of the Government, namely that no exemptions should be granted whatsoever from the 10 pst ownership restriction rule.
