ParlaMint-NO_1998-11-23-lower.ana.ud2382e42	The representative, Jan Simonsen, will present two private legislative proposals.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e45	On behalf of Carl I. Hagen and myself, I would like to make two legislative proposals, one on better possibilities for the police to investigate in order to detect the illegal possession of weapons, and one on access to the conviction of increased penalties for criminals convicted of multiple crimes at the same time.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e50	The proposals will be dealt with in accordance with the rules of procedure.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e62	Through Input. O. No 14 submits its position on Ot.prp. No 53 for 1997-98 on the law on intercommunal companies and the law on changes in local authorities etc., which is based on NOU 1995:17. The Committee is in agreement with the Ministry and the legislative selection that the laws governing municipal, county and intercommunal enterprises, in particular those with a commercial element, need to be cleaned up. I assume that the various parts themselves will give the following reasons. I would like to point out that the reactions in the hearing conducted by the Ministry after its legislative selection have been largely positive. In other words, it's an extension law. The Committee has had a hearing with the Norwegian Press Association, the Association of Energy Supply, the Norwegian Municipal Association, the YS-KFO, the KS and the Norwegian State-Authorised Auditors' Association, and the reactions were also largely positive to the legislative proposals in the Proposition. Some objections in areas such as adding circumstances, adding co-destination, audit, publicity and openness were. The main objective of the legislative proposals is to provide a range of forms of organisation that allow municipalities to choose a form that is adapted to the specific area of activity. It is the principle of company law that underpins the legislative proposals. The legislative proposals are an expression of a balance between the importance of the freedom of leadership in a company and the importance of political control, and, in many circumstances, a compromise between cross-interests is needed. The majority in the committee believe that the legislative proposal does not provide a reservation for some areas of municipal service production. We in the committee agree that municipal enterprise should still be able to organise itself as a limited liability company, and not through special rules such as now, but under the stock laws. In that case, no form of organisation other than the form of a limited liability company is necessary to establish a limited liability company. We found it unfortunate that intercommunal companies with limited liability outside the stock law are not regulated. The proposal to repeal the exemption in Section 18-2 of the Share Act 1 is therefore right, and as a result, such operations must in future benefit from the form of a limited liability company. Kommunelova's § 27 is not good enough when forming intercommunal companies. One should not have special rules in company laws for municipal companies, and therefore there is a right to abolish the right to set up intercommunal companies under the company law of 1985. The Committee agrees with the proposal for a law of its own for non-restricted intercommunal companies – the law on intercommunal companies. The Committee’s plurality is very important in establishing clean forms of organisation with clear lines of responsibility. The majority further argues, like the ministry, that a system in which the board is directly subordinate to the local government and the daily leader and is also directly subordinate to the company's administration ensures this. The Committee does not agree with the Ministry that the Administrative Manager should be able to hold the function of managing the undertaking’s day-to-day manager. The Committee believes that such practices could lead to an unfortunate double role for the Administrative Manager, as he/she, when dealing with some types of matters in practice, would be both subordinate to the local government and to his/her executive. The Committee therefore believes that the municipality's administrative director should not be the daily leader of a municipal enterprise. However, the Committee will be able to open up the possibility of granting exemptions in exceptional circumstances in cases where the enterprise has very few employees or the municipality is small. I would also like to point out that the Department is working on a problem-solving issue related to the place a company has in municipalities with parliamentary governance, and we expect that we will get it handled if not for too long. Furthermore, the Committee agrees with the Ministry's assessments and proposals in relation to the accounting principle of municipal enterprises. The budgetary and accounting system shall follow other municipal activities, but it may be decided that a municipal enterprise shall keep accounts in accordance with its accounting law. In this way, the Ministry will assess whether the enterprise or type of enterprise in question should be able to keep an accounting record according to accounting law. We don't find it useful for the rules to be designed so that there is an obligation to keep an accounting on both of these principles at the same time. Furthermore, when the entity has an accounting obligation under the accounting law, the auditor carrying out the audit shall be registered or authorised by the State. If the accounting law is chosen, this will have consequences for the selection of the auditor in the enterprise. I submitted its amendments to the new law on auditors, cf. Ot. pp. No 75 for 1997-98, does not have an auditor in municipal AS information obligation for control committees or other municipal bodies. Such obligations must be included in the statutes of the undertaking or company. The Ministry of Local and Regional Affairs, in its reply of 22 October 1998, to the Committee, points out that in the wake of the NIBR research report entitled ‘A study of the supervisory and supervisory systems of municipalities and counties’, to be completed in 1999, it would be natural to raise questions about the internal control system established by the new municipality. The Committee believes that the administrative audit of the municipal audit and control committee must be retained and developed, and that this must be ensured by the municipal statutes of the companies/activities. In addition, it must be assessed to give the municipal audit the same right to information when it relates to municipal enterprises, municipal limited liability companies and intercommunal companies which the Riksrevision has in respect of the whole state limited liability company, share law § 18-5. The Committee therefore asks the Government to return to Stortingen with a review of the subject matter and any legislative proposals that take this into account. The Committee is amalgamated in the form of an organisation of inter-communal companies which will be subject to the new law and, furthermore, does not require the approval of the company agreement by the State. When it comes to publicity, I will refer to the handling of St. Announcement. No 32 for 1997-98, on the principle of public disclosure in the administration, and the respective fractions' comments and proposals in the Innst. S. No 21 for 1998-99 ; that processing has just finished. The Committee supports the Committee's proposal that intermunicipal companies should be subject to accounting obligations under the Accounting Act. Here the committee disagrees with the department. We suggest that the owners can decide in the company agreement that the company can instead keep accounts according to municipal accounting principles. The Committee believes that this implies that companies which keep accounts under accounting law should be subject to audit obligations under the statutory audit law and that the statutory auditor must be registered or authorised by the State. In this context, it is therefore necessary to provide the Ministry with the necessary powers to provide special information on the keeping of accounts by accounting law, with regard to the harmonisation of such accounts and the rules on financial management. Today, we have been informed by the Ministry that because the Committee proposes to amend Section 27 of the Municipality of El Salvador, concerning intermunicipal companies, the company must have an accounting obligation under accounting law, and therefore a change in accounting law will be necessary. This will be in Section 1 other sections of the Accounting Act, where the accounting obligations are calculated according to that Act, as well as Section 2, where exemption and adaptation are permitted. I will then, on behalf of the Committee, confirm that one wishes to make the necessary adjustment in accounting law as a consequence of the Committee's proposal on inter-municipal companies in Section 27 of the Kommunelova. I would again like to show that the aim of the bill is to provide a range of forms of organisation that are adapted to the different activities of the municipalities and counties. The Committee therefore believes that the proposals provide a basis for better use of resources both in municipalities and in county municipalities. So some comments from the Progress Party's fraction. I want to refer here to our general attitude to that of concession management. In this context, I would also like to refer to letters from the Ministry of Local and Regional Affairs of 16 November 1998 to the Committee on the Management of Ot.prp. No 53 for 1997-98 and § 41 of the Intermunicipal Company Act. In the letter, the ministry is afraid of losing political governance if one cannot process their rights as soon as a share is sold or the company is changed. We in the Progress Party see no danger that private individuals may buy up in a municipal limited liability company with up to 1/3 of the shares before one must have the concession management of the company's rights. We will therefore, together with the Right, vote against the proposal for the second sentence of the fourth paragraph of Paragraph 41. We will also propose that the Government submit proposals to amend the industrial concession law, so that exceptions for intermunicipal companies can be made. We want municipal enterprises and intercommunal companies to be confined to municipal tasks where service production is integrated with management tasks. Municipal enterprises engaged in the production of services should, as far as possible, be established as own legal entities and preferably organised as a limited liability company. Such an organisation will facilitate the promotion of community activities. Competition promotion is a decisive commitment to improving the economy of municipalities and ensuring the quality of services. In this context, I would like to stress that the separation of municipal enterprises into own legal entities with limited liability, in the first row of a limited liability company, is the best way to achieve clear lines of responsibility, visibility of costs and efficient financial management. I agree with the Government that there should be no mandatory representation for those added to the board. The plural is not that. I think the local government is the body that should decide on this based on local assessments. It is a self-evident matter that they should be added to withdraw on matters that deal with the exercise of authority. It is important to stress that the separation of intercommunal activities into legal entities with limited liability, in the first row as a limited liability company, is the best way to achieve clear lines of responsibility, visibility of costs and efficient financial management, and that it can also improve the finances of municipalities. Finally, I would like to address the suggestions made by the Progress Party and the Right in the setting on page 16.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e142	The representative of Solholm has drawn up the proposals he referred to. It's going to be line change.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e147	In this case, as in Case No. 3, the employees' rights are to be weakened. It is the employees who threaten the principle of governance. The Workers' Party believes and has experience that there is cooperation with the employees that produces results. That's the way it is in private business, and that's the way it is in public. Everyone agrees that municipalities should be as effective as the rest of the business community. Then you have the employees with you. That participation also requires something, makes the employees responsible, gives insight and obligations, we know that, and it is not unknown to anyone that you are deprived of the right to participate and to participate in and decide, is also the willingness to give the small extra to a lesser extent present. So my questions to the representative Solholm are: why is the Progress Party so afraid to legislate the right of employees to sit on the board of a municipal enterprise? Does not the representative feel that it is better to have employees with him than against him?
ParlaMint-NO_1998-11-23-lower.ana.ud2382e158	We in the Progress Party are not saved at all to add them to the layer. But when it applies to municipal enterprises, it is stipulated in the law that this should be part of the municipality's legal body, to say it like that. Therefore, it is not necessary to include them in each municipal enterprise, because there may be just as many if one of them is separated into municipal enterprises. They are represented on the administrative board of the municipality – what is to cover the municipality as a legal person. If you open them up, like multiples do, you might get a double run of them added. There might not be any interaction there, and that in many cases this will seem unfortunate. Therefore, in the Progress Party, with the support of the Right, we found that as long as it applies to municipal enterprises, it is right that a user of the current form of organisation, i.e. that the administrative selection is the representative body of those added to the municipality and the measures and actions to be taken within the municipality when applying their rights.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e163	No more words have been asked for.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e166	In the opinion of the Municipal Committee on the Law on Intermunicipal Companies and Municipal and Municipal Enterprises, we find a unanimous committee on many points, as the rapporteur has also explained. But although there is a lot of consensus, I believe that the Labour Party and SV on the one hand, and the Right and Advance Party on the other, have completely different approaches in terms of what should be organised as municipal and county municipalities. We agree that changes in the municipal sector lead to the need for new ways of organising municipal activities. Therefore it is positive that it now opens up to new forms. And we in the committee have tried throughout the setting to simplify and make businesses an attractive form of organization. In the Workers' Party, we believe that municipal enterprises should be an alternative to organising parts of the municipality that are of a commercial nature, without having to use the form of a limited liability company. We are uncertain whether municipal and county enterprises are suitable organisational forms for all types of tasks in the municipality. We are among others uncertainty as to whether undertakings are an appropriate form of organisation in the care sector, in hospitals, in hospitals or in schools. We agree with the Government that what has been proposed in Ot.prp. No 53, is not a solution for these areas, and we therefore support the ministry's view that the organisation of central welfare tasks should be explored separately, including alternative forms of organisation for, among others. hospitals shall be reviewed. Oslo Municipality is currently discussing the possibility of reorganising its hospitals, where enterprises are an alternative. The national assembly of the Labour Party on the weekend also said something about county and municipal enterprises. We believe that there is a need for a national assessment of different forms of organisation in the hospital sector. We believe that there is a need to discuss whether different forms of organisation for the country's hospital may have an adverse effect on, among other things. regional responsibility and other tasks of hospitals in addition to their role as a county hospital. Before this is properly investigated, the organisation of hospitals as a limited liability company should not take place. A regional hospital, such as Ullevål is, has a responsibility for the whole region. If the Municipality of Oslo decides that it should be an AS, I think the health regional cooperation that has now started can become more difficult. Although the Right and Advance Party accepts that municipal and county authorities can be an alternative way of organising municipal operations, it is clear throughout the reasoning that, in their view, the form of a limited liability company is the best way of achieving clear lines of responsibility, making costs visible and having efficient financial management. We in the Labour Party do not agree with that. With the changes in the law made here today, the lines of responsibility will be clear. By keeping accounts in accordance with the accounting principle, such as in an AS, it should be easy to see the costs and to have efficient financial management. Then it seems to me that it is because of the privatisation tool Right and the Progress Party prefers an AS over an enterprise. The representation of employees in municipal enterprises is subject to disagreement in the Committee. An important issue for the Workers' Party has been that employees' rights and employee participation should not be weakened in relation to the current situation. Rather, we believe the opposite: we believe that it must be an objective to strengthen employees' representation, and propose a change to this point in relation to the Government's proposal. The proposal is based on the fact that a majority of the employees of the undertaking may require that up to one fifth of the members of the board of directors with alternates be elected by and among the employees. I would like to pay tribute to the Central Party and the Christian People's Party, who are opposed to the Government's proposal here and support the Workers' Party and SV so that there is a majority in favour of strengthening the employees' rights, and that this is legislating, so that we do not have a long debate on this in every case on the statutes of municipal enterprises and in every election forward in the municipalities. Why the Right Party and the Advance Party are so afraid to give employees the right to sit on the board of a municipal corporation is hard to understand. Of course, a director's representation gives an important right to the employees, but it also obliges the employees. And what's wrong with that? No, now we have to work to get the employees on the team, that's what creates smaller conflicts, gives insight and understanding and creates results. And I guess we all agree on that is important. In particular, the parties to the Right and the Advance Party, which are so concerned with competitive outsourcing and privatisation, should be concerned with the results. I would like to address minority motion No. 1, which the Working Party and SV have referred to in the setting.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e192	The representative Signe Eye has drawn up the proposal to which she referred.
ParlaMint-NO_1998-11-23-lower.ana.ud2382e195	The government has in Ot.prp. No 53 for 1997-98 submitted proposals for the law on intermunicipal companies and the law on amendments to the municipal law, etc. on municipal enterprises. The Ministry's bill is based on the Municipal Committee's investigation, "On the organisation of municipal, county and municipal activities", NOU 1995:17, which was issued on 23 May 1995. The investigation concerns in particular activities with a commercial element. The proposal to establish a separate law on intercommunal companies has been overwhelmingly endorsed in the consultation round. The investigation and the proposition provide a long-lasting description of the applicable right in an unclear area. The legislative proposals represent a necessary clean-up. The Municipal Law of 1992 gave municipalities and county councils great organizational freedom. However, Section 27 of the Municipal Act did not provide the necessary clarity and clarity in what has become increasingly relevant in today's situation, namely cooperation between municipalities through intercommunal companies in order to carry out municipal and county tasks of a commercial nature. The proposals limit § 27 of the municipal law to intermunicipal cooperation measures which are not separate legal entities. The proposals also replace the rules on municipal enterprises in Section 11 of the Municipal Act with a new chapter on municipal enterprises. The aim of the changes is to provide the municipal sector with options in organisational forms adapted to the broad range of activities of municipalities. A joint committee also agrees with the Ministry that there is a need to clean up the laws governing municipal, county and intermunicipal activities, in particular those with a commercial element. In the opinion of the Ministry, the organisation of inter-municipal cooperation on key welfare tasks should be explored separately, giving the majority of the Committee its full support. Furthermore, the Committee agrees that municipal activities should be organised as a limited liability company, not under specific rules, but under the Share Act. The Committee also agrees with the proposal for a new form of organisation, namely municipal enterprises. The Committee agrees with its own law on intercommunal companies. The new law becomes mandatory through cooperation in the form of a partnership. Municipal enterprises are given a clean form of organisation with clear lines of responsibility by means of the bill. However, the Committee considers that, as a general rule, the administrative director of the municipality should not be the Executive Director of a municipal undertaking. Only in exceptional cases may a derogation be granted, precisely in order to avoid an unfortunate double role for the administrative director of the municipality. The majority of the committee is subject to the rights and obligations of employees when the municipality chooses to organise its activities as a municipal enterprise. The Christian People's Party considers it important that the co-responsibility of employees for the performance of the municipal corporation is underlined by their right to require participation in the board of directors. Government parties in the Committee do not see it as a way of reducing municipal autonomy by granting employees the right to co-determination through representation. Such a right emphasises the co-responsibility and obligations of employees in relation to the municipal enterprise. Earlier today, the Stortinge has debated St.meld No. 32 for 1997-98 on transparency in administration. In this respect, the various fractions have given their comments. The majority of the municipal committee agrees with the Government that there should be a closed board meeting in municipal enterprises, just to be equal to the private sector. At the same time, the majority believe that it is possible to decide by local decision whether to open board meetings. The accounting principles have been discussed in the Committee, which does not consider it appropriate for the rules to be designed in such a way as to require the simultaneous keeping of accounts under the Accounting Act and under the Municipal System. The Committee points out that administrative audits, which are part of the municipal audit and control committee, need to be maintained and developed and that this needs to be ensured through the statutes. The Committee also asks the Government to return to Stortinget with a review of the subject matter and any legislative proposals. In the case of intermunicipal companies, the Committee suggests that the owners may decide in the company agreement that the company may keep accounts in accordance with municipal accounting principles. However, the Committee's view is that inter-communal companies are primarily required to have accounting obligations under the Accounting Act. The Committee's proposals continue to maintain municipal freedom of choice and self-determination. The Christian People's Party shares the view expressed by the Advocate-General on behalf of the Committee that the Government must come back with a necessary legislative amendment to the Accounting Act in relation to this proposal. Furthermore, the Committee notes that the legislative proposals are within and adapted to the EEA legislation, thus ensuring a level playing field between municipal and private providers of goods and services. The Christian People's Party advises the central parties to support the legislative proposals and the committee's recommendations.
