ParlaMint-NO_1998-11-18.ana.ud1731e27	The called alternate of the Troms County, Ruth Stenersen, has taken the seat.
ParlaMint-NO_1998-11-18.ana.ud1731e35	The President will propose the election of a President-in-Office of the European Parliament today – and consider it adopted. The President is asking for proposals from the President-in-Office.
ParlaMint-NO_1998-11-18.ana.ud1731e40	I suggest Ursula Evje.
ParlaMint-NO_1998-11-18.ana.ud1731e45	Ursula Evje has been proposed as vice-president. Other proposals are not available, and Ursula Evje is considered unanimously elected president of the current meeting.
ParlaMint-NO_1998-11-18.ana.ud1731e66	On Monday, the Stortinget received notice from the Prime Minister's office that Prime Minister Kjell Magne Bondevik and the following government councils will meet for oral Question Time: State Council Odd Einar Dürumsta Council Magnhild Melting Authority Kleppa The advertised members of the government are present, and we are ready to start the oral question procedure. Some representatives have signed up in advance with a request to ask questions. The representatives who, in addition to them, wish to ask questions are asked to stand up. - Thank you. We will then start with the first main questions, from the representative Hill-Marta Solberg.
ParlaMint-NO_1998-11-18.ana.ud1731e82	I will be allowed to ask the following questions to the Prime Minister: The Financial Committee has now completed its work on the financial position, and negotiations on the State budget were concluded soon a week ago. At the end of the work of the Financial Committee, it may be known that no majority of the State budget has been drawn up for the following year. Through the media, the Prime Minister has stated that he has a solution to the budgetary problems. If that were the case, would it not be natural that this solution had been presented through the Financial Committee, so that the Storting could also have gained insight into this through the financial position to be presented immediately to the Stortinget?
ParlaMint-NO_1998-11-18.ana.ud1731e89	I have not stated that I have a solution, but I have stated that of course we are thinking about how, towards the time when the Storting will adopt a budget, we can try to find a solution. Now we are in a difficult budgetary situation. I agree with the representative of Hill-Marta Solberg. The government and all the parties at Stortinget have a responsibility to contribute to a solution. According to the Constitutional Act, § 75, the capital increase is to adopt a State budget. Right-leader, Jan Petersen, said at the beginning of this week that we should now perhaps go into a quiet week – use the phone, not the media, to find solutions. I think that's wise. I agree with him. Now, if you really want a solution that one so far has not achieved, I think you should do it the way that Jan Petersen said, not by playing out or negotiating through the media or the voice of the Stortinge. That's why I want to do my own thing so that it can happen.
ParlaMint-NO_1998-11-18.ana.ud1731e99	I have to make it clear that my question to the Prime Minister was not about whether he might intend to negotiate through the media, but whether it would not have been right that the possible solution that might be found per. telephone, had been produced through the work of the Financial Institution in the Financial Committee. It is true that the Government is represented by no less than three parties in the Financial Committee, and we should therefore be able to assume that a possible solution could be presented in those negotiations.
ParlaMint-NO_1998-11-18.ana.ud1731e104	Several attempts have been made, both through the Financial Committee and in discussions between the parliamentary leaders of various parties, to find a solution within the time limit for the release of the financial position. It has not worked, and it is too late to do so now. But that doesn't mean that the parties at Stortinget are going to give up finding a solution in the finance debate, and then I think we're going to have to use different methods than communicating publicly if one really wants a solution. The government parties and the government want to contribute to a solution, and we take note of Jan Petersen's invitation to how one now might best handle it.
ParlaMint-NO_1998-11-18.ana.ud1731e112	Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e115	Frankly, I had not thought that the silent week should be so quiet that it is the Prime Minister who is speaking, and I am not saying anything, so I have a question for the Prime Minister. In Bergen's Official Journal yesterday, the Minister of Industry of the Right warns and says that there will be no agreement, there will not be a basis for broad civil cooperation for many years. The parliamentary leader of the Christian People's Party is somewhat similar. But the problem with this is that I have not noticed any broad civil cooperation. On the contrary, the Government has very clearly stated that it is a block-independent government and has presented a budget proposal that is just attacking the Hearts of Right. And then my question is simply what is in this statement from the Minister of Economic Affairs. Maybe this is one way to go. My question to the Prime Minister is simply about the Minister of Industry's statement means that the Government now sees that this will develop into a broad civil cooperation where everyone participates on an equal footing and what action the Prime Minister intends to take to achieve this objective.
ParlaMint-NO_1998-11-18.ana.ud1731e125	Everyone knows what was the background because we got the government we now have. It was that the leader of the Workers' Party went off voluntarily because he did not get that connection at the big elections last year that he intended. He still has that connection, of course, because the composition of the Storting is unchanged for four years. I see today by a newspaper that he's talking about the gallop now giving him more than 36.9 pst. But it doesn't have much to say for Storting's composition. There was no basis for a broad non-socialist government last year because the Right Party and the Centre mutually excluded each other from government cooperation. I have not registered new signals in this way and must relate to it. But it is clear that for the climate between the non-socialist parties, for example, it would be unfortunate. The right would help to ensure that a responsible budget is not adopted now, which a government cannot live with. Jan Petersen began by saying that it should not be such a quiet week that he should be silent. No, I had not expected that either, and I have not registered it recently. What I hope, on the other hand, is that Jan Petersen will focus on, is that the government parties have gone a long way in the adjusted proposal we have presented in the Financial Committee. It is better than the Workers' Party's proposal, firstly because we have the cash support, which the Workers' Party does not have – they will even remove it in the middle of a kindergarten year, from 1 January. It is better for business in terms of shipping taxes, sharing model for family businesses, stock discounts. The Labour Party, however, will frustrate support for the private schools. This can't be good right-wing policy. Government parties have included the reimbursement scheme for seafarers, which the Workers' Party does not have. There should be a basis for cooperation between the government parties and, among other things, between them. Right.
ParlaMint-NO_1998-11-18.ana.ud1731e135	I note that the Prime Minister did not have anything to follow up the Minister of Industry's statement, so we are well faced with another case of double communication by the Government. I would like to remind you that the draft budget is an attack on the important issues of taxation, defence, the fight against crime, road construction – matters that lie at our heart. We offered to talk about the budget before it was presented. It was rejected from the government parties. It seems to me that the government's block independence is that it's the government that's going to be independent of the blocks, while the Right always has to stand up for the Government, and that way there's leftovers of the old two-block fence again in the Government. My question to the Prime Minister is: What is it in the government's policy that had to justify the concept of "bourgeois"?
ParlaMint-NO_1998-11-18.ana.ud1731e142	I have never been a strong supporter of the expression bourgeois. It reminds me a little too much of the struggle between citizenship and the proletariat. On the other hand, I have used the expression non-socialist about the current government parties, and I have said that we are center parties. But based on what Jan Petersen puts in the expression "civil," I think it must be interesting for the Right that we have proposed and achieved a reform of family policy that increases the freedom of choice for young children's parents, and I sincerely hope – or of course – that the Right is at the cash support agreement, because the Right has always been a reliable partner. I would also like to stress that in the adjusted budget line the central parties have submitted, we have agreed to increase the appropriations for defence, even more than the Workers' Party proposes, and to increase the appropriations for the police and judiciary. Our arrangement is better than the Labour Party's in terms of taxes and taxes, even if we do not fully comply with the Right. So the presentation Jan Petersen gave was not exhaustive.
ParlaMint-NO_1998-11-18.ana.ud1731e149	Here is the basis for asking for the word of a manifest misunderstanding...
ParlaMint-NO_1998-11-18.ana.ud1731e154	This does not allow the regulation. We're going on with a follow-up question from Børge Burnde.
ParlaMint-NO_1998-11-18.ana.ud1731e159	The Prime Minister's only concrete answer to the question from Jan Petersen about what was civil policy in this Government's budget was the implementation of the cash support. But it was adopted in the spring. It was the financing of the cash support we were going to return to in the budget, and here the Prime Minister and the Government have chosen to finance the cash support through the biggest tax increases in the decade. You have to give with one hand and take with the other. Talk about a lack of prerequisites for a reform that would strengthen families! And one of the other reforms proposed by the Government to help strengthen families is to remove a holiday – in order for families to have more time for each other, is that what was the starting point? Nope. In the quiet week, Einar Steensnæs has taken on a bit of the prime minister's role and been around and warned that even if the government wasn't going to get its budget through, you won't go off, that's the responsibility of Storting. Does not the Government have a responsibility to present a budget which is at least an opportunity to get through in the Storting?
ParlaMint-NO_1998-11-18.ana.ud1731e166	I realized the exchange of notes on the way to the pulpit that Burnde speaks in Jan Petersen's spirit, and I think that's quite fine. What is it in this draft budget that is so-called bourgeois, was it asked. I understand that the Right is talking about possible budgetary cooperation with the Workers' Party. The Labour Party has provided a budget that is worse for business, worse for taxes and taxes. They have provided a budget that would frustrate support for private schools, which could not possibly be civil or right-wing policies. They will take the cash support from the small children's families in the middle of a kindergarten year, from 1 January. These are so important things that I would think that the Right must think well about. So Børge Burnde makes the question of taking away a holiday as a big point, it should be a so-called non-citizen policy. I think it was so late as in 1993 that the Right itself suggested removing two days off. So I think one should think in a little bit bigger lines than that Burnde's posts gave the impression.
ParlaMint-NO_1998-11-18.ana.ud1731e175	Let's move on to the next main question.
ParlaMint-NO_1998-11-18.ana.ud1731e178	I have a question for the Prime Minister, who has always been deeply concerned about value issues. I assume that the Prime Minister agrees that people's sense of security is important to the standard of living they have. This may be particularly true of older people. When you lose your sense of freedom and don't dare go out, among other things. in Oslo after the dawn of darkness, the standard of living is reduced, and it is a very important issue of value. The latest developments in the area of crime and violence in Oslo are being met by the Government with a de facto Minister of Justice who has no immediate action, no proposals that can do anything about the situation as it now evolves. I will be allowed to ask the Prime Minister if he will see to it that the Government is now doing a lot of different things to meet the sweeping and violent wave that is in Oslo, for example. by providing the country with a new Minister of Justice who is not as decapitated as the sitting.
ParlaMint-NO_1998-11-18.ana.ud1731e185	The last thing the Prime Minister does not intend to do, on the contrary. We have a good Minister of Justice. The government takes the problem of violence seriously. The government continued to put forward an action plan against violence. It is well received, among others. by Mr. Oslo's chief of police. I was even with her a trip in Oslo centre one night a few weeks ago, among other things. For with your own eyes to see how the nightlife of Oslo appears. And she said that the measures outlined in this plan were a good tool for, among other things. Oslo Police. I agree that we have not been able to solve the problem, and in recent times we have had ugly cases, not of so much more violence, but of far more serious violence than has been the case in the past, and I think this must be attacked in several ways. There has to be more police, and it has to be more police in the streets. That is what the Government wants to work for, and that is why, in the adjusted proposal, the central parties have also presented to the Finance Committee, we have gone further than in the original proposal in terms of appropriations to the police. The Ministry of Justice has also authorised a test system with video surveillance of some strokes in the centre of Oslo, so that those who are out of business should know that they can be monitored and taken more easily. Then there is an indisputable fact – although Carl I. Hagen does not like to hear it – that the police chief told me the night we were out in Oslo center, that is between 60 and 80 pst. violence is committed by intoxicated persons, and when it is between 60 and 80 pst, it is because it is slightly different in different age groups. And most of them are drunk with alcohol. The liberal alcohol policy that has been pursued in Oslo, not least under the pressure of the Progress Party, is, in my view, a strong contributor to the gross violence we have.
ParlaMint-NO_1998-11-18.ana.ud1731e202	I figured the Prime Minister would suggest again that you want to go back to the prohibition period and almost stop all the alcohol service. It led to the greatest criminal development ever wherever it was attempted. What I miss from the Prime Minister is, among other things, legislative changes and immediate action to demonstrate that the big community will not be involved in these developments. Then it not only helps with long-term plans, then urgent action is required. It does not appear in the government's paper pile that is available here. It's action now in the next few weeks I'm calling for. Will there be any proposals from the Government for changes to the law that would result in reactions that would be prejudicial to those who are perpetrators of the violence? I also think that the Prime Minister should, in fact, consider whether he should not now clarify whether the Government will join the report of the Ministry of Justice that new posts for the Oslo Police will be completed in two or three years – that is, say yes to the 680 posts proposed by the Committee on the Resources of the Ministry of Justice.
