ParlaMint-NO_1998-11-13-lower.ana.ud413e36	The representative, Erna Solberg, will present a private bill.
ParlaMint-NO_1998-11-13-lower.ana.ud413e39	On behalf of Sverre J. Hoddevik and myself, I would like to make suggestions to allow municipalities to choose between buying audit services and having their own or intercommunal audit systems.
ParlaMint-NO_1998-11-13-lower.ana.ud413e44	The proposal will be dealt with in accordance with the rules of procedure. The President will propose that the morning meeting, if necessary, continue beyond the regulatory time until the map is completed. There were no objections to this. - It's a note.
ParlaMint-NO_1998-11-13-lower.ana.ud413e56	At the request of the Municipal Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that the speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that the opportunity be given for the replacement of lines of up to three lines with replies after the contributions of the main speakers from each party group and after the contributions of members of the Government. In addition, it is proposed that those on the list of speakers, in addition to the time allocated, should have a speaking time of up to 3 minutes. - It's a note.
ParlaMint-NO_1998-11-13-lower.ana.ud413e65	This bill that we are about to deal with is initially a proposed amendment relating to three laws: the law on housing law, the law on housing construction law and the law on ownership. Through the Committee's examination of the matter, we have had a number of consultations with organisations that are affected by the possible changes that the Committee and Odelstingen finally come up with. Based on the consultations and the communication the Committee has had with the Council of State and the Ministry, we have also chosen to propose amendments to the proposal for a law. As regards the law on ownership, the Committee agrees with the Ministry and the Government in the proposed amendments, which are initially aimed at giving access to the complaint by compartmentalisation a more real content. As I said, this is the committee's opinion. The same applies to the right of registration in the Register of Shareholders of the holding which is compartmentalised before 1 January 1998. In the case of legislative changes directly related to housing law and housing law, the Committee is somewhat divided. There is an overall committee that proposes the changes to the law that go beyond what is in the Government's proposal, namely the creation of a cooperation committee – I'm going to come back to it a little later. What the law initially takes into account is a follow-up to a case The Stortinget has dealt with in the past, which is what we can easily call the immigration message, where municipalities, county councils and the state would be allowed to acquire shares in housing laws in order to be able to provide the part of the population with problems in obtaining own housing offers. It is this which is also the starting point of the Government and on which the majority of the Committee chooses to support. Our starting point has been that the municipalities have a general responsibility to facilitate housing for the inhabitants. They have a special responsibility under the Social Services Act to provide housing for those who have problems getting housing on their own, those who have problems with it for various reasons. It's essentially this last group, which is very different from each other, that we, through the changes we are now dealing with, aim to help, and at the same time provide the municipalities, county councils and state with the instrument necessary to fulfil their obligations under other laws. That's been our starting point. So there's been a debate outside the house that's mainly linked to the immigrant environment. In any case, it is from the Workers' Party's point of view that there is a narrowing of the issues. It is a much wider consequence that this legislative change gives municipalities an instrument to deal with the problems. But through the consultation rounds carried out by the Committee, we have got a number of recordings that have made it necessary to clarify how the law and access now make the municipalities acquire up to 10 pst. of the units in housing laws to be handled. Because, on the one hand, the municipalities are given an instrument by hand to facilitate the provision of housing for disadvantaged people, on the other hand, we have a special responsibility to take account of those who are already residents of the housing laws. It is the balancing on which the Committee stands, independent of the possibilities now granted to municipalities to acquire up to 10 pst. – for the establishment of a Cooperation Committee. The broad majority, which consists of all except the Progress Party, makes it clear through the recommendation that municipalities have a responsibility to distribute the housing, that housing should not be accumulated in so-called low-cost areas, but that we have a spread of the housing stock with a view to providing a good housing environment. Local authorities also have a responsibility to facilitate a good living environment, and consultations have shown that in larger cities, such as the Netherlands, Oslo is not easy to define parts of the city as a very good living environment. The municipality also has a responsibility to do something about it. When the municipality has access to acquire or take over up to 10 pst. This is also based on ensuring a better integration of disadvantaged people into the living environment. The right has disputed in terms of the 10 pst. rule, and the right is likely to come back to that in later articles in this case, because they aim at a more mathematical calculation of the 10 pst. as proposed by the Government and to which the majority of the Committee has joined. I'll assume that the Rightself explains to. What is the main purpose of the majority position is to follow up what the Government has put forward, and to join it with the addition of Section 10, which deals with cooperation committees, but also, as I was a little bit concerned, that the municipalities are responsible for facilitating a good living environment, with reference to the debate outside the house, on which the media have focused something, and which is that the municipalities may in case have to acquire dwellings that are initially more expensive than those they could have by not paying attention to the good housing environment, namely by establishing these dwellings in low-cost areas. Then a joint committee says that the department has a responsibility to follow up the effects of the changes in the law, and possibly come back to the Storting in an appropriate way if the changes do not have the intended effect. It is a responsibility that I trust the Council of State and the Government to follow up. With these words I would recommend the setting.
ParlaMint-NO_1998-11-13-lower.ana.ud413e93	It's going to be line change.
ParlaMint-NO_1998-11-13-lower.ana.ud413e96	What, in the opinion of the Progress Party, is worth noting in this matter, and which is disappointing to us in the position of the Workers' Party, is the inability to listen to the interests of ordinary citizens and residents. According to OBOS, which is the largest residential co-operation in the municipality of Oslo, there have never been such strong reactions and so many clear and unambiguous consultation opinions, which clearly say that there are already major problems in some housing laws with that access of 2 pst. which is there today, because of people who do not have sufficient living capacity. And then the Workers' Party, which in my view has been a party that on a number of occasions has shown good social commitment, goes here to the step of pushing the burden of this unilaterally over on the residents' fights and the housing laws. In the opinion of the Progress Party, this is an example of a lack of political governance and a poor ability to solve concrete political problems, which are being pushed on ordinary residents. So the question I want to ask to the Workers' Party is whether the wishes and interests of the rightholders are no longer essential to the Workers' Party.
ParlaMint-NO_1998-11-13-lower.ana.ud413e101	The representative Danielsen will at least deal with a few issues. In relation to the last questioning, one could be almost dialectic and very precise and say that we do not allow the recordings that come from the housing laws to have a ‘decisive meaning’. It's totally out of the question. There are other things that it's more close to giving crucial importance. But we have chosen to give the recordings that have come a great deal of meaning to our position and treatment of this proposition. The clearest example is that an overall committee ends up setting up cooperation committees, where we clearly formulate the responsibilities of municipalities through the setting-up and in the legal text. It is the municipalities that are responsible for following up the submitted and the challenges associated with the submitted. It is not, as we have heard, the housing laws that are to assume that responsibility. It is the municipalities, and in particular it is the background to the establishment of cooperation committees. When the Committee agrees with this – and the Progress Party has agreed with the Appendix in the law to which the Committee is taking the initiative – it is independent of the possibility of acquiring 10 pst. of the shares in a right of residence law. It is based on the issues addressed here by the representative Danielsen, that the municipalities have a special responsibility to follow up. It is not a responsibility that should lie on the residents and on the district attorneys.
ParlaMint-NO_1998-11-13-lower.ana.ud413e111	I'm a little interested in this 10 pst. rule, and I don't think the case rapporteur should let go so easily when it comes to that particular piece, because it actually surprises me a little. That's how you can buy a share in housing laws with from five to 19 apartments. This means that in a five-apartment housing team you get a share of about 20 p.m., while in a housing team with up to 19 apartments you get a share of only about 20 p.m. 5 pst. It's a biased distribution. I want to ask you, is it right to charge a small housing unit with a 20 pst. share when a larger housing unit is released with 5 pst.? I would like an answer from the representative of the Workers' Party.
ParlaMint-NO_1998-11-13-lower.ana.ud413e118	The representative, Andersen, addresses a problem that I was a little bit concerned with, where the Right has a dissenting attitude. It is linked to the 10 p.m. rule, where the right to acquire by way of authorisation is granted by means of a five- or more-unit housing law. We believe that the starting point taken by the Government involves an appropriate system and model. We don't think it'll be possible to give the municipalities the tool, the instrument for which this amendment is aimed, by using mathematics and basing itself on millimeters of justice. We don't believe it. In this way, it is more of the appropriateness of our agreement with the Government's arrangements, not on the basis of millimeters of justice.
ParlaMint-NO_1998-11-13-lower.ana.ud413e125	No more words have been asked for a line.
