ParlaMint-NO_1998-12-10-upper.ana.ud2094e110	This case is deleted.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e122	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e136	I would like to refer to the consideration of this matter in Odelstinget, where the Advance Party had a number of objections. The objections were so large that we voted against the whole position, the title of the law and the law as a whole. We believe that we should have equal treatment for people who are Norwegian citizens and who are serving the nation abroad. We think it is unfortunate that we should have a separate pension scheme for escorts only to people who have worked in the foreign service. We also know that it is in the law that one should not have coordination in this area. When we see the big fundamental discussion we've had in terms of retirement benefits and earned rights, we see from the Progress Party that it's unreasonable to start with escorts in foreign service in this area. But I do not see any grounds for resuming this matter today, as we in the Progress Party at this stage were alone about this in Odelstinget.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e141	Several have not asked for the word. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e155	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e171	I would like to refer to the consideration of this matter in Odelstinget, where Tore Nordtun, on behalf of the Workers' Party, gave a thorough argument for the proposals that I would like to make here in Lagtinget. I will then, on behalf of the Workers' Party, make the following proposals: ‘The decision of the nodule is not accepted.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e226	Mr Dalheim put forward the proposals he referred to.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e229	I would refer to the debate in Odelstinget and the many proposals there on the subject we are now discussing. In Odelstingen, the Progress Party had proposals in some areas along with the Right and Tverrpolitan People's Elections. But then the situation has arisen that we have come to an agreement with the central parties, and after a discussion with our people in the Financial Committee, we see no reason for us to re-examine all these proposals here in the Lamentations. That's why we're joining the scheme that's now in place, and we're not going to make any suggestions.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e234	It is with some amazement that we must then take note from the Right that the Progress Party has not taken any interest in promoting the proposals we have agreed on. I shall then, on behalf of the Right, refer only to the debate and voting in the Odelstinget.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e239	That the Right is high in the clouds right now, we've noticed in many areas. But to hear such criticism from a party with which we have been dealing on important tax and tax issues, it is the Progress Party that is to be blamed for not promoting the proposals here! Where has it been by the Right in this matter? We've always done it this way -- we've had a dialogue, as I mentioned in my first post, with our financial fraction, and after the negotiations that have been with the centre parties, so we've no use resuming these proposals today, when we know that they're going down. That's why it's not done. But I'm going to ask the Right for the afterlife to tighten up and make recordings to us, if it's so to understand that it's the Progress Party that's going to get blamed for not finding it worth doing the job they were supposed to do as a serious and responsible party. They must not be guilty of the Progress Party, which has had discussions with its peoples in the Financial Committee.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e244	Several have not asked for the word. The President will first vote on the proposal from the Labour Party, then on the proposal from the Labour Party and the Socialist Left.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e259	The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e271	I would like to refer to the discussion that was in Odelstingen on these important questions, where the Progress Party had a number of objections to the majority that ended up with. We see no need to re-examine these proposals in the Lamentations today, because we do not expect that the situation has changed so drastically from the oeltings treatment to the layings treatment that people will change their mind.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e276	Several have not asked for the word. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
ParlaMint-NO_1998-12-10-upper.ana.ud2094e290	No one has asked for the floor. The Law Decision will be approved by the Creation in accordance with the Constitution to forward to the King.
