Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u236	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	KV	KV	-	Centre-left	ČanakNenad	Čanak, Nenad	M	1959	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u237	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u238	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	LK	LK	-	-	GajevićGorica	Gajević, Gorica	F	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u239	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u240	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	SRS	Srpska radikalna stranka	Opposition	Far-right	StamenkovićDragoljub	Stamenković, Dragoljub	M	1954	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u241	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u242	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	SPO	Srpski pokret obnove	Opposition	Centre-right	MikovićMilan	Miković, Milan	M	1932	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u243	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u244	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	SVM	Savez vojvođanskih Mađara	Opposition	Centre-right	KasaJožef	Kasa, Jožef	M	1945	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u245	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u246	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	LK	LK	-	-	BojićMilovan	Bojić, Milovan	M	1955	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u247	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u249	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	SVM	Savez vojvođanskih Mađara	Opposition	Centre-right	BiačiAnton	Biači, Anton	M	1941	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u250	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u251	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	LK	LK	-	-	ĐorđevićŽivorad	Đorđević, Živorad	M	1945	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u252	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u254	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Regular	MP	notMinister	LK	LK	-	-	ĐorđevićŽivorad	Đorđević, Živorad	M	1945	
ParlaMint-RS-en_1998-02-20-0	ParlaMint-RS_1998-02-20-0.u255	Term 4, Meeting v1	1998-02-20	Unicameralism	4. mandat	-	Zasedanje v1	2000-07-13	-	Reference	English	Chairperson	MP	notMinister	LK	LK	-	-	TomićDragan	Tomić, Dragan	M	1958	
