Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u12	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u13	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u14	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-002-134	ParlaMint-CZ_2023-03-24-ps2021-053-07-002-134.u15	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/134	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
