Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Guest	MP	notMinister	-	-	-	-	ZdenekNytra	Nytra, Zdeněk	M	-	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	LubomirBroz.1966	Brož, Lubomír	M	1966	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u12	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	KarelHaas.1973	Haas, Karel	M	1973	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u13	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u14	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RadekVondracek.1973	Vondráček, Radek	M	1973	
ParlaMint-CZ-en_2023-02-07-ps2021-052-01-001-001	ParlaMint-CZ_2023-02-07-ps2021-052-01-001-001.u15	Parliament of the Czech Republic, Chamber of Deputies, 2023-02-07	2023-02-07	Lower house	ps2021	-	ps2021/052	ps2021/052/01	ps2021/052/001	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
