Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	notMP	Minister	-	-	-	-	PetrHladik	Hladík, Petr	M	-	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	notMP	Minister	-	-	-	-	PetrHladik	Hladík, Petr	M	-	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u12	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u13	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u14	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Regular	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JiriHavranek.1992	Havránek, Jiří	M	1992	
ParlaMint-CZ-en_2023-03-24-ps2021-053-07-001-133	ParlaMint-CZ_2023-03-24-ps2021-053-07-001-133.u15	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-24	2023-03-24	Lower house	ps2021	-	ps2021/053	ps2021/053/07	ps2021/053/133	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
