Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Regular	MP	notMinister	STAN	Political group Mayors and Independents	Coalition	Centre to centre-right	MichaelRataj.1969	Rataj, Michael	M	1969	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Regular	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarekVyborny.1976	Výborný, Marek	M	1976	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	PatrikNacher.1974	Nacher, Patrik	M	1974	
ParlaMint-CZ-en_2023-05-02-ps2021-063-07-001-151	ParlaMint-CZ_2023-05-02-ps2021-063-07-001-151.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-05-02	2023-05-02	Lower house	ps2021	-	ps2021/063	ps2021/063/07	ps2021/063/151	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KlaraDostalova.1971	Dostálová, Klára	F	1971	
