Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	RadimFiala.1969	Fiala, Radim	M	1969	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	RichardBrabec.1966	Brabec, Richard	M	1966	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u12	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u13	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u14	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	Minister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	MartinKupka.1975	Kupka, Martin	M	1975	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u15	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u16	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	KarelHavlicek.1969	Havlíček, Karel	M	1969	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u17	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u18	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-03-08-ps2021-061-01-000-000	ParlaMint-CZ_2023-03-08-ps2021-061-01-000-000.u19	Parliament of the Czech Republic, Chamber of Deputies, 2023-03-08	2023-03-08	Lower house	ps2021	-	ps2021/061	ps2021/061/01	ps2021/061/000	COVID,War	English	Chairperson	MP	notMinister	ODS	Political group Civic Democratic Party	Coalition	Centre-right to right	JanSkopecek.1980	Skopeček, Jan	M	1980	
