Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u1	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u2	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Guest	MP	Minister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	MarianJurecka.1981	Jurečka, Marian	M	1981	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u3	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	KDU-ČSL	Political Group of the Christian and Democratic Union - Czechoslovak People's Party	Coalition	Centre to centre-right	JanBartosek.1971	Bartošek, Jan	M	1971	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u4	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Regular	MP	notMinister	SPD	Political group Freedom and Direct Democracy	Opposition	Right to far-right	TomioOkamura.1972	Okamura, Tomio	M	1972	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u5	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u6	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	BerenikaPestova.1971	Peštová, Berenika	F	1971	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u7	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u8	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	JanaHanzlikova.1966	Hanzlíková, Jana	F	1966	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u9	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u10	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Regular	MP	notMinister	ANO	Political group ANO 2011	Opposition	Centre to centre-right	AlenaSchillerova.1964	Schillerová, Alena	F	1964	
ParlaMint-CZ-en_2023-07-19-ps2021-071-05-001-003	ParlaMint-CZ_2023-07-19-ps2021-071-05-001-003.u11	Parliament of the Czech Republic, Chamber of Deputies, 2023-07-19	2023-07-19	Lower house	ps2021	-	ps2021/071	ps2021/071/05	ps2021/071/003	COVID,War	English	Chairperson	MP	notMinister	TOP09	Political group TOP 09	Coalition	Centre-right	MarketaPekarovaAdamova.1984	Pekarová Adamová, Markéta	F	1984	
