ParlaMint-ES-GA_2019-06-26-DSPG122.u1	Good morning. Change in agenda development
ParlaMint-ES-GA_2019-06-26-DSPG122.u2	We continue the session, and we forward the two questions to the President of the Board that are being dealt with today. Ask Mr. President of the Galician Council of Da Ana Belén Pontón Mondelo, G.P. of the Galego Nationalist Block, on the level of confidence of citizenship in the face of the continuing changes of criteria of the Government of Galicia
ParlaMint-ES-GA_2019-06-26-DSPG122.u3	Whenever you want.
ParlaMint-ES-GA_2019-06-26-DSPG122.u4	Thank you very much. Good morning. Mr Feijóo, we are living in times when it is necessary to dignify politics and regain its true meaning, and for that it is key that politics sustain itself in principles, values and ethics. Cicero once said, "When politicians don't resist ethics, they're like hyenas to the hunt of power." And in order to dignify politics, the value of the word is very important. That what you do corresponds to what you say. On May 16th, an interview was published, in which you made a very round statement: "For Ourense it would be lethal to have Jácome as mayor." But he didn't stay there, because you didn't save any qualifications about this person. He said it was "...a hystrionic person, unlike an open and cordial city. Unfortunately, we're starting to get to know each other for that. We're worried because it gives us the wrong image." Three weeks later, this lethal, hystrionic politician and opposed to an open and cordial city is mayor of Ourense by work and grace of the People's Party's vows. And it must be said that this is a boisterous spectacle, which causes shame, Mr. Feijóo. But he has another reading, which is a political reading, most important for what we should be concerned about, and it is that he lets the president of the board naked because he shows us that his word is worthless and that he practices the worst of policies, that he has no principles or ethics and that they only seek an end, a goal, clinging to power at any cost. His opportunistic change of criteria is what he's willing to do anything to keep himself in power. He's willing to sacrifice Ourense's future because there's nothing more important to Feijóo than to stay in the armchair. And to try to cover up this bochurnous spectacle, he does what is best given him: censorship in the media and to put in place publicity and propaganda, using the Board to start his pre-election, in a desperate attempt to cover up reality: the reality of his failure because you are the worst president of Galicia's history, the reality of the election battalions of the People's Party and the reality that, if elections were held today, the Greeks and the Greeks would put their suitcases on the door, tired of seeing how a country with so much potential has a demographic indentation that walks galloping, where new people are looking hopelessly at the future and where public services are deteriorating. [[Murmurs.]] So we asked him if he could explain to this chamber why Galicia has to pay the terrible consequences of his lack of discretion, his lack of speech, and now the use of the board as an election office. Because look, Mr. Feijóo, the Greeks and the Greeks don't need an Ionchi president of power, willing to everything, willing to do anything in order to remain in government, they need a president who puts Galicia's interests ahead. Thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u5	Thank you, Mrs. Pontón. Answer by the president of the board.
ParlaMint-ES-GA_2019-06-26-DSPG122.u6	Thank you very much, Mr. President. Mrs. Pontón, I am surprised at some of your statements. We agree with Cicero, no doubt, even if he's not a nationalist. We agree with Cicero, and that is, without a doubt, an opening proposal that seems to have the Galician Nationalist Block. I have just been censored for meeting with the Government last Thursday at the Council's time and inviting the high offices of the Galician Union to have the Government explain to the entire governing body of the Autonomous Community which are the projects of the councils and for the president of the board to intervene to explain which are ultimately the transversal projects of the councils themselves. I'm surprised, Your Honor, that you don't know that this Council of Galicia has made two strategic plans, at this moment we are fulfilling the second, and I'm surprised that you don't know that the governments that plan the logic are to present what their strategic lines are surrounded and concretely in the Strategic Plan of Galicia 2021-2027, Horizon 2030. I understand, Mrs. Pontón, that for you this is something unheard of because when you were ruling you couldn't bring the whole government together. And they couldn't bring the whole government together because the BNG's high office wasn't talking about the PSOE's high office, and the PSOE's high office wasn't talking about the BNG's high office. You imagine the president of the board at that time summoning the senior positions of the BNG councils to talk together about the government's action. What would happen? Well, they just wouldn't attend. That's why it's more than surprising that you and the PSOE, who for these purposes are the same, are surprised that the President of the Board summons his Government, and his general directors, and together we speak of Galicia at the headquarters of the Self-Government, which is San Caetano-Junta of Galicia. That's very surprising, but as far as you can see, BNG's surprises don't end there. Tell you that we don't have criteria in the elections and in whom we rule. But if I speak and this parliamentary group and my party propose amendments to the electoral law to govern the most voted list. If in the press round of the night of the municipal elections I've proposed the most voted list again. If all this time I've been calling the Socialist Party and the BNG to let those who won the polls rule. And now it seems that the BNG and the Socialist Party wanted to rule the House of Ourense with Ourense Democracy and, in addition, invite citizens. [[Murmurs.]] The same way BNG rules with citizens in Malpica. [[Murmurs.]] Don't laugh, Mrs. Ponton, don't laugh. Those citizens who considered you the ultra-right old-fashioned, turn out to be BNG's partner in Malpica and wanted to rule with him in the House of Ourense. [[Murmurs.]] Mrs. Pontón, we have our criteria. Noting that the Lord of Ourense Democracy would rule with the Socialist Party in Deputation and with the BNG, finding that Ourense Democracy would rule with the Socialist Party in the Council of Ourense, and finding that the Socialist Party would in no case accept the ruling of the People's Party where you have won, as you can imagine, if the BNG can deal with Ourense Democracy and the Socialist Party too, what is the imputation? Is the imputation what the People's Party can rule with the same people who wanted to rule the BNG and the Spanish Socialist Workers' Party? It's at least surprising, Mrs. Pontón. [[Murmurs.]] It's true that there's little surprise here.
ParlaMint-ES-GA_2019-06-26-DSPG122.u7	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u8	After his background, after his pacts, after his alliances, I'm no longer surprised by anything the Galician Nationalist Block says. Nothing else and thank you very much.
ParlaMint-ES-GA_2019-06-26-DSPG122.u9	Thank you, President. Replica, Mrs. Pontón.
ParlaMint-ES-GA_2019-06-26-DSPG122.u10	Mr. Feijóo, we see him again in the escapist fashion, the obsession of the Bipartite, yes, because you have an obsession, I don't know. Ten years ruling and constantly coming here opposing a government that does not exist. I hope, of course, that by 2020 you may be in the most comfortable place it is, that it is making opposition, because the Greeks and the Greeks place it there. [[Applause]] I'm actually surprised you're talking about pacts, because it's like talking about pacts. Yes, yes, a party that deals, and also wants to do it in a secret way, with that extreme old-right, racist, masquerade, who is denying the terrorism most women have killed in this country, which is male terrorism. [[Speak words that are not perceived.]] Those are the pacts that defend and support the People's Party. [[Applause]] You're about to make a deal! And he doesn't explain to us, Mr. Feijóo, how you may see coherently that your party will hand over the city of Ourense to a person you yourself have defined as lethal, as histrionic and as the opposite to an open and cordial city. That's your letter of presentation, and you come here now to tell us that the fault of your pacts with Ourense Democracy is the Block and the Socialist Party. Do you really think you can carry on with this coat of hair, Mr. Feijóo? Don't you realize that every time we put him in front of the mirror of his words, the only thing we see is something that is very worrying about this country, that the President of the Board so much says something about how he does the opposite and we can't believe in his word? [[Murmurs.]] And look, the best example of you can't believe in your word is that you come here constantly repeating the same promises. Last Thursday you did a pre-election act, you didn't do a government act, because if you had so much to offer to the Greeks and to the Greeks, you wouldn't suspend the Government Council, where decisions can be made for the future, to make a rally at the headquarters of the Galician Union. He would have gathered his office and made decisions. [[Applause]] Whenever you want, let's review the Board's advice and see how many reports, reports, reports, propaganda and propaganda come out of these Board's advice because there's no political matter or substance. [[Murmurs.]] Look, there's someone who says that life... yeah, yeah. [[Murmurs.]] I very much appreciate the respect of counsellors and advisors, who come to Parliament laughing at what the opposition has to say, laughing at the Greeks who don't think like them.
ParlaMint-ES-GA_2019-06-26-DSPG122.u11	Quiet.
ParlaMint-ES-GA_2019-06-26-DSPG122.u12	It's a portrait of how you understand democracy. Keep going, keep going, ladies and gentlemen of the People's Party, showing a lack of respect for you... [[Applause]]
ParlaMint-ES-GA_2019-06-26-DSPG122.u13	Finish, please.
ParlaMint-ES-GA_2019-06-26-DSPG122.u14	...to this Parliament and to the Greeks and to the Greeks. Mr. Feijó, some say that life is what happens to us as we make plans. You have a lot of plans, but the reality is that it leaves Galicia touched after these ten years. I insist, Galliza doesn't need a president who's an Ionchi of power and who only wants to hold...
ParlaMint-ES-GA_2019-06-26-DSPG122.u15	Thank you.
ParlaMint-ES-GA_2019-06-26-DSPG122.u16	...to the armchair at any cost.
