Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e757	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e788	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e965	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1002	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_10304	Strolz, Matthias	M	1973	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1092	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1125	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_35504	Schieder, Andreas	M	1969	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1239	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1260	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Opposition	Right to far-right	PAD_59908	Podgorschek, Elmar	M	1958	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1409	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1430	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_15526	Lopatka, Reinhold	M	1960	
ParlaMint-AT-en_2014-05-20-025-XXV-NRSITZ-00026	ParlaMint-AT_2014-05-20-025-XXV-NRSITZ-00026_d7e1773	Sitting Number 26, Legislative period XXV, Tuesday, 20. May 2014	2014-05-20	Lower house	Legislative period XXV	-	-	Sitting 26	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
