Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e512	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e575	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e727	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e755	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e785	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_51565	Kitzmüller, Anneliese	F	1959	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e812	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	JETZT	parliamentary group JETZT – Pilz List	-	Centre-left to left	PAD_83111	Holzinger-Vogtenhuber, Daniela	F	1987	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e902	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e918	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	JETZT	parliamentary group JETZT – Pilz List	-	Centre-left to left	PAD_83111	Holzinger-Vogtenhuber, Daniela	F	1987	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e945	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e969	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_12741	Haubner, Peter	M	1960	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1048	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1072	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	-	Centre-left	PAD_35497	Muchitsch, Josef	M	1967	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1166	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1193	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Coalition	Right to far-right	PAD_51570	Rosenkranz, Walter	M	1962	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1277	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1293	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	Coalition	Right to far-right	PAD_51570	Rosenkranz, Walter	M	1962	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1353	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1386	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Regular	MP	notMinister	NEOS	parliamentary group of NEOS	-	Centre	PAD_83125	Scherak, Nikolaus	M	1986	
ParlaMint-AT-en_2018-06-14-026-XXVI-NRSITZ-00032	ParlaMint-AT_2018-06-14-026-XXVI-NRSITZ-00032_d7e1488	Sitting Number 32, Legislative period XXVI, Thursday, 14. June 2018	2018-06-14	Lower house	Legislative period XXVI	-	-	Sitting 32	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	Coalition	Centre-right to right	PAD_88386	Sobotka, Wolfgang	M	1956	
