Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0001par0001	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	SüreyyaSadi.Bilgiç	Bilgiç, Süreyya Sadi	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0002par0008	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	İlhamiÖzcan.Aygun	Aygun, İlhami Özcan	M	1969	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0003par0010	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Ali.Öztunç	Öztunç, Ali	M	1976	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0004par0011	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Özgür.Özel	Özel, Özgür	M	1974	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0005par0012	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0006par0013	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Tamer	Tamer, İsmail	M	1956	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0007par0014	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Ali.Şeker	Şeker, Ali	M	1968	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0005par0015	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0008par0016	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	SüreyyaSadi.Bilgiç	Bilgiç, Süreyya Sadi	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0005par0017	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Mahmut.Tanal	Tanal, Mahmut	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0009par0018	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Tamer	Tamer, İsmail	M	1956	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0010par0019	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	Engin.Altay	Altay, Engin	M	1963	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0011par0020	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ÖmerFethi.Gürer	Gürer, Ömer Fethi	M	1957	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0009par0021	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	İsmail.Tamer	Tamer, İsmail	M	1956	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0011par0022	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	CHP	Republican People's Party	Opposition	Centre-left	ÖmerFethi.Gürer	Gürer, Ömer Fethi	M	1957	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0012par0024	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	SüreyyaSadi.Bilgiç	Bilgiç, Süreyya Sadi	M	1961	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0013par0025	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Regular	MP	notMinister	DP	Democratic Party	Opposition	Centre-right	Cemal.Enginyurt	Enginyurt, Cemal	M	1965	
ParlaMint-TR-en_2022-08-01-tbmm-T27	tbmm-2022-08-01sit01spe0012par0026	The Turkish parliamentary corpus ParlaMint-TR-en, Term 27, Year 5, Session 112	2022-08-01	Unicameralism	27	5	112	-	-	COVID,War	English	Chairperson	MP	notMinister	AKP	Justice and Development Party	Coalition	Right	SüreyyaSadi.Bilgiç	Bilgiç, Süreyya Sadi	M	1961	
