ParlaMint-FR_2019-10-08-O1015.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-10-08-O1015.u2	This afternoon, the Assembly continued its discussion of the articles of the draft law, concluding with amendment No. 2423, which included an additional article after article 21.
ParlaMint-FR_2019-10-08-O1015.u3	On Amendment No 2423, I am seized of a request for a public vote by the La France group. The vote is announced in the National Assembly. Mrs Danièle Obono has the floor to support this amendment.
ParlaMint-FR_2019-10-08-O1015.u4	Intersex individuals show variations in sexual development. They are therefore not in line with male or female stereotypes. About 1.7% of people are affected. At present, they are operated on or are treated at an early age to conform their sexual characteristics to what is expected of the male or female. These extremely heavy and invasive operations are carried out at an age when the person cannot consent. They are irreversible, often painful, and can involve life-long treatment, including hormonal treatment. They have consequences: healthy organ blemishes, drug dependence, a deep sense of personal violation and pathologization of a healthy body. These operations are similar to mutilation. For these children, it is much more urgent to wait. We are dealing with healthy variations in life, which most often do not pose any health problems. It is essential that people themselves make any decision on a possible body modification operation, in the absence of vital necessity. In 2016, the DILCRAH – an interdepartmental delegation to the fight against racism, anti-Semitism and anti-LGBT hatred – called for the cessation of these operations. That same year, the United Nations called France to order three times. For its part, the European Parliament has explicitly called for an end to these interventions. As for the Council of State, it considered that these acts seriously affected the physical integrity of the child. He recalled that only the vital emergency or the free and informed consent of the person can justify the violation of a person's physical integrity. In 2018, the Defender of Rights showed the major sequelae, both physical and psychological, resulting in physical pain, altered body and altered or painful sexuality. He recommends waiting to be able to obtain the consent of the person. Finally, the CNCDH – the National Advisory Commission on Human Rights – has also described these operations as inhuman and degrading treatment and sexual mutilation. [[Mr. Loïc Prud-homme applauds]] The purpose of this amendment, drafted with the association GISS Alter Corpus, is to supplement Article 16-3 of the Civil Code with the following provision: "The acts of sexual conformation aimed at modifying the primary and secondary sexual characteristics of a person, except in the event of a vital emergency or of the consent personally expressed by the person, even a minor, shall be prohibited. »
ParlaMint-FR_2019-10-08-O1015.u5	All right!
ParlaMint-FR_2019-10-08-O1015.u6	Mr Jean-François Eliaou, rapporteur of the special committee on the bioethics bill, has the floor to give the committee's opinion.
ParlaMint-FR_2019-10-08-O1015.u7	As you said, Mrs Obono, we are talking about extremely difficult and painful situations, which can lead to emotional and psychological consequences, not only in the child, but also in the environment. I will explain why I am asking for the amendment to be withdrawn, as well as for all similar amendments concerning the prohibition of so-called 'conformation' or'sexual assignment' acts, in favour of Amendment No 2334 which Mr Raphaël Gérard will later support. The answer that we, as legislators, have to give must come, as I said in the special committee, from studies which we need to clarify the framework of extremely complicated pathologies which are the subject of complex consultations. Some patients show similar signs due to very different causes. In the face of clinical patterns that can be varied and complex, different therapeutic attitudes can also be very variable. That is why we must legislate with great caution, after obtaining absolutely indispensable studies. That is also why Amendment No 2334 rightly provides for the submission of a report from the Government to Parliament on this type of pathology. The latter amendment also aims to establish a mechanism to organise the systematic orientation of children who vary in their genital development towards one of the four centres in our national territory, in Paris, Lyon, Lille and Montpellier. The multidisciplinary teams of these centres, specially trained for this, will have to provide children and their families with appropriate information and psychosocial support – I insist on the word "accompaniment". For the time being, and in the absence of an exhaustive study, Amendment No 2334 is the most reasonable mechanism that I believe can be adopted as far as our knowledge of the subject is concerned. It is also the one that corresponds to the recommendations of the Council of State, in the study it adopted on 28 June 2018 on the revision of the law on bioethics – I refer you to pages 141 and 142 of this document. I therefore propose that, with Amendment No 2334, we make a first step forward which could then be supplemented by further measures in the light of the results of the studies which we will be asking for in the form of a report submitted by the Government to Parliament. I would also point out that we do not lack regulatory or legal tools. For the most serious cases of unwarranted harm to the child's body, which some amendments describe as "mutilation", our law already contains rules of prohibition fully applicable to cases where such harm has been motivated only by a purpose of subpoena. This point seems important to me: practitioners who perform an operation solely motivated by the urgency of assigning sex to a child would be condemned. Moreover, according to a rule of medical ethics in force, codified in article R. 4127-41 of the Code of Public Health, "no mutilating intervention may be carried out without serious medical grounds and, unless urgent or impossible, without the information of the person concerned and without his consent". The cases of mutilation referred to in certain amendments are therefore already covered by this prohibition. Finally, I would point out that in recent hours we have received a shower of sub-amendments and that some of you have also tabled amendments, two or more, all very different in terms of their content. This shows that, on this issue, the hand of the legislator is still trembling and hesitant. After these explanations, Mr President, I would therefore like to point out that I am against this amendment and those who are following it on the same subject, and on which I will not systematically justify this opinion.
ParlaMint-FR_2019-10-08-O1015.u8	The Minister for Solidarity and Health has the floor to give the Government's opinion on Amendment No. 2423.
ParlaMint-FR_2019-10-08-O1015.u9	The Government's opinion was also unfavourable. I thank the rapporteur for his detailed explanations. Mrs Obono, we can only share your intention to ensure the best possible protection of the health of these children who have variations in genital development. It seems to us, however, that it is not by adding a prohibition in the law that we will guarantee them better care. Indeed, as the rapporteur has pointed out, the current legislative framework already prohibits early surgery and irreversible treatment of a child when there is no medical need. Let us add that your amendment poses a significant risk by reducing the medical necessity to the only vital risk. This could prevent the conduct of medical procedures that are absolutely necessary before the age of consent, for example to avoid a loss of functional opportunity. It is therefore very important to leave it to doctors to define what is or is not a medical necessity. For all these reasons, I am against your amendment. However, I am well aware of the need to provide better guidance and care for these children. That is why I will be in favour of another amendment which should make the care path of these children with sexual ambiguity more robust. It provides for the systematic referral of the children concerned and their families to a specialized reference centre on the subject. It seems to me that this is the way of wisdom. This will improve the care of these people, and it is a much more effective solution than the prohibition – in the absence of a vital reason for emergency – of the act in question. I am against this amendment as well as those on this subject, and will therefore not systematically take up the floor on them.
ParlaMint-FR_2019-10-08-O1015.u10	Mrs Danièle Obono has the floor.
ParlaMint-FR_2019-10-08-O1015.u11	For our part, we can already be satisfied that amendments on this subject are being discussed and that the Government is in favour of one of them. Indeed, when we began to raise this issue, we were opposed to the fact that it did not have to be dealt with in the context of the bill. It was added that there was not much to do, especially since all this was already framed. Obviously, this is not the case: the Government's position on an amendment by the majority is, in a way, a concession in favour of our arguments. Madam Minister, if prohibitions do exist, it seems to us that they still leave too much to too invasive practices, which call into question the free choice of people and their consent to their own bodies – it is not a question of technicality, but of ethics. I would add that illegal practices also exist: obviously, the law, in its present state, is not protective enough. I would like to mention concrete cases in this regard. According to SNDS figures, the national health data system, in 2017, there were at least seven vaginoplasties with reduced clitoris practiced on children under one year of age. Associations report more cases, and would find even more if they did extensive research. I hope that the reports we will be requesting will provide full figures on this. The operations I have just mentioned are carried out in reference centres, the very ones where you want to systematically send the children and their families. The solution therefore does not lie in the orientation towards centres that carry out mutilating operations – it is not we who use this word, Mr rapporteur, but the associations, the people concerned, who have been testifying for several years, and the human rights organisations. An opinion of the Directorate-General for Health, addressed to the Council of State in the context of a dispute, states that sexual conformation operations do not respond to a direct medical risk, that some are prohibited, and that only the person concerned is able to assess whether he wishes to benefit from it, and not the medical profession, as effective as knowledge and techniques are. There is therefore a real contradiction between what you are telling us, Madam Minister, and the figures given by your department, which attest that invasive operations involving the free choice of persons are taking place on children under the age of one year. And everyone here has certainly been aware of the warnings about the systematic referral to the reference centres. We are not debating this subject for the first time, since it has already been the subject of several amendments in the discussion, but we would like to see concrete progress made in responding to the multiple and documented alerts on acts of sexual conformation. We welcome the consideration of reports to support this issue. However, given the elements at our disposal, it is possible to take a decision now and thus send a clear signal, so that operations which affect the free choice of persons and their right to dispose of their bodies, which also applies to children, can be stopped altogether. [[Applause on the benches of the FI group]] That is, I believe, what is expected of us as we discuss a bioethics bill.
ParlaMint-FR_2019-10-08-O1015.u12	I put to the vote Amendment No. 2423.
ParlaMint-FR_2019-10-08-O1015.u13	The result of the vote is as follows: Number of voters 68 Number of votes cast 60 Absolute majority 31 For adoption 11 Against 49
ParlaMint-FR_2019-10-08-O1015.u14	Mr Raphaël Gérard has the floor to support Amendment No. 2127.
ParlaMint-FR_2019-10-08-O1015.u15	Before returning to the debate which has just been opened by our colleague Mrs Obono, I propose this amendment, which draws the conclusions of the report of the Council of State on the rules for registering sex for intersex children whose sex is difficult to determine. To date, a circular dated 28 October 2011 authorizes, on an exceptional and provisional basis, not to indicate any sex, with the consent of the public prosecutor, for a period of one to two years after the doctor has given his opinion. While I welcome this possibility of avoiding errors in the assignment of sex to the dramatic consequences for children and their families, placing them in difficult situations and forcing them, for example, to seek a procedure for judicial correction of the mention of sex in the event of medical error, the Council of State stressed that it deserved to be included at the legislative level, since the provisions of the circular could be regarded as unlawful under article 57 of the Civil Code. The transposition of this possibility into the law would make it possible no longer to condition this postponement – which is the most important – to surgical procedures on children with variations in sexual development. In fact, the 2011 circular now maintains a mix of genders by linking the possibility of deferring sex to marital status with medical procedures that may not meet a medical need, or that may be delayed in time, subject to the choice made by the parents or expressed by the child when he or she is in a position to do so. From my point of view, the possibility of postponement should not lead to tension with the medical profession, under the penalty of creating psychological pressure on the parents, but also on the child. In addition, the shorter the reporting period for civil registration, the greater the pressure on parents, particularly on the part of medical teams. It is therefore contrary to the precautionary principle, which would require a detailed, balanced and concrete assessment of the best interests of the child. This proposal has nothing to do with the creation of a neutral sex, as was proposed earlier in the debate. Whether surgery is performed early or not, doctors and psychologists always advise parents to project the child into a given sex, regardless of the gender to which it will later identify. The rectification procedures are now very limited but, when they take place, they have an impact that will last the entire life of the child: at every request for birth certificate, he will indeed be confronted with this error of assignment at birth.
ParlaMint-FR_2019-10-08-O1015.u16	What is the opinion of the committee?
