ParlaMint-FR_2019-09-26-E2015.u1	The next item is the continuation of the discussion of the bioethics bill (No. 2187, 2243).
ParlaMint-FR_2019-09-26-E2015.u2	This afternoon, the Assembly continued its discussion of the articles of the bill, concluding with Amendment No. 2370 to Article 1.
ParlaMint-FR_2019-09-26-E2015.u3	Amendment No 2370 is not being defended. I have before me two identical amendments, Nos 1708 and 2272. I call Mrs Emmanuelle Ménard to support Amendment No. 1708.
ParlaMint-FR_2019-09-26-E2015.u4	It is intended to delete, in paragraph 12, the words "unless a quality problem affects such embryos". The notion of "quality" of the embryo is legally too vague. This concept involves obvious risks of eugenic drifts contrary to the very spirit of an ethical science and, I believe, to the bill.
ParlaMint-FR_2019-09-26-E2015.u5	Mr Xavier Breton has the floor to support Amendment No. 2272.
ParlaMint-FR_2019-09-26-E2015.u6	According to article 1, paragraph 12, "an unmarried couple or woman whose embryos have been preserved may not benefit from a further attempt at in vitro fertilization prior to the transfer of the embryos unless a quality problem affects these embryos". But what is the quality of embryos? At the end of this afternoon's sitting, we heard the Minister of Solidarity and Health explain that an embryo was "a cluster of cells." He was reduced to that! Based on this definition, the embryo is a product, a material with various characteristics and qualities. It can be disposed of as a commodity purchased from Conforama by contacting the after-sales department to which one explains that there is a particular defect and that one wants to make an exchange. But there is another approach to the embryo that would be a little more than a cluster of cells. In fact, we understood, by listening to the rapporteur Jean-Louis Touraine speaking about medically assisted procreation – PMA – post mortem, that there was indeed a higher interest of the embryo. You can see that confusion reigns. The notion of embryo quality is very embarrassing. It is in line with your view, minister, that we respect, but we disagree with it. We do not say that the embryo is a human person – none of us says that; We only believe that, if there is doubt, we must consider the embryo as... We say: there is life to be born.
ParlaMint-FR_2019-09-26-E2015.u7	"Considering the embryo as..." Like what?
ParlaMint-FR_2019-09-26-E2015.u8	We are talking about a question that goes through ages and centuries. You answer that definitively by saying that an embryo is only a cluster of cells that can be done what you want, a product whose quality and characteristics I define. We believe that we need to go a little further on a subject that is a threat to humanity. We have no definitive answers, but we can at least share our doubts. It is the whole purpose of article 16 of the Civil Code, which guarantees respect for life from the very beginning, or of the Veil Law which respects a balance between the freedom of women and the protection of unborn life. You're just sticking to the notion of a cluster of cells. That is why we question the notion of "quality" of the embryo, as you use it in the bill. It is absolutely necessary to define it in the text.
ParlaMint-FR_2019-09-26-E2015.u9	Mr Jean-Louis Touraine, rapporteur of the special committee responsible for examining the bioethics bill, gave the committee's opinion on the two amendments.
ParlaMint-FR_2019-09-26-E2015.u10	Once again, as in every review of a bioethics law, we are debating the definition of the embryo, when it is an impossible task. In truth, we all agree that it must be given full and complete dignity. No embryo is treated as one thing, or without due consideration for what can become a human life. Total dignity is therefore attributed to the embryo. On the concrete level, everyone recognizes that, as far as life is concerned, there is not a passage from "nothing" to "all". This is done by an operation that biologists define as progressive, step by step. First we have the fusion of the two gametes, an embryo that the English call pre-embryo, then the embryo, then later, after two months, the foetus, and this continues to the viable newborn. Whatever our philosophical differences may be, each of us knows confusedly that, if we attribute total dignity to all, protection is not strictly identical to each of these stages. Even those who totally disapprove of the use of IUDs for philosophical reasons do not consider that preventing the nidation of an embryo is as serious as an infanticide. In nature itself, the number of embryos formed is more than twice the number of births due to the ruthless selection that takes place in the initial stages of the process. By listening to you, I understand all the fears you may have when we talk about "quality." It should not be seen as an infringement of dignity. It must be understood that the quality we are talking about is not the quality that is attributed to an object; On the contrary, it is the potential human quality of the embryo that is a human quality that is likely to develop. In the spirit of the bill, therefore, the term is used because, in fact, in vitro, since there has been no natural selection in the female genital tract, there are many embryos that have no ability to be viable and never to implant in a uterus. During manipulation, abnormalities, cell or tissue lesions are observed. Changes are taking place which mean that the "quality" of the embryo is not optimal for it to become a fetus, let alone a newborn. That is what we need to hear under this term. There is no need to hold endless semantic debates: it is not insulting to say that embryos, when they are not of good quality, cannot be re-implanted because they will never lead to a birth, because they will not go to life. If you agree, I suggest that we try to agree on this and that we reserve our fights for essential and fundamental causes. This afternoon we spoke constructively and interestingly about the excessive number of supernumerary embryos. This is a concrete question! I repeat, while the term "quality" may indeed have different meanings, it does not constitute, in this case, a lack of respect. On the contrary, it makes it possible to mention the fact that an embryo will not have the possibility to become a newborn. I therefore call for the two amendments to be withdrawn. It is not necessary for us to talk as far as possible about a single word. We could eventually find him a synonym, but what's the point?
ParlaMint-FR_2019-09-26-E2015.u11	The Minister for Solidarity and Health has the floor to give the Government's opinion on the same amendments.
ParlaMint-FR_2019-09-26-E2015.u12	I fully agree with the rapporteur's very good words. However, I would like to go back to the ones I held at the end of the afternoon, because they were not sufficiently precise and misinterpreted. We were talking about 200,000 frozen embryos. To give an idea of what this represents visually, I have used an image, but I do not deny in any way the potential human person that is the embryo. It is in the name of this potentiality of the human that we must respect the dignity of the embryo, and that bioethics laws apply to it and its specificity, whether in the context of the MPA, medical assistance in procreation, or research. I pray those I have been able to shock by my words to forgive me. In MPA, the notion of embryo quality has a precise meaning. It concerns, for example, the embryo whose number of cells is insufficient in relation to the expected stage of development, which suggests the existence of cell necrosis. The term will be used to evoke fragmented cells that suspect embryo break-in at the time of thawing through manipulation. We're talking about the visual quality of the embryo. This term is visually objectifiable. This should be clarified, as there should be no trial of intent on this basis. The Government is opposed to the amendments.
ParlaMint-FR_2019-09-26-E2015.u13	Mr Xavier Breton has the floor.
ParlaMint-FR_2019-09-26-E2015.u14	I understand that the wording of paragraph 12 is not sufficiently precise. If, rather than "unless a quality problem affects these embryos", you had written "unless these embryos are not viable", it would have been clearer. In this context, we can agree. On the basis of an explanation which we can agree on and which will be included in the record of our discussions, I withdraw my amendment.
ParlaMint-FR_2019-09-26-E2015.u15	Mrs Ménard, do you maintain your amendment?
ParlaMint-FR_2019-09-26-E2015.u16	I do not have time to explain why, but I withdraw my amendment.
ParlaMint-FR_2019-09-26-E2015.u17	I have before me two amendments, Nos 2574 and 892, which can be discussed jointly. Mr Pascal Brindeau has the floor to support Amendment No. 2574.
ParlaMint-FR_2019-09-26-E2015.u18	We had already had this discussion on the word "quality" in a special commission. All of this may seem to be an incidental semantic debate when we hear the explanations of the rapporteur and the minister, but it is true that the notion of "quality" can lead to confusion. There is what you describe, and the interpretation that could possibly be made of this term with the possibility of a form of embryo selection to be re-implanted according to a quality that could be termed genetic.
ParlaMint-FR_2019-09-26-E2015.u19	That's eugenics!
ParlaMint-FR_2019-09-26-E2015.u20	My amendment, which is ultimately editorial, aims to avoid misinterpretation of the term "quality" by replacing the words "unless a quality problem affects these embryos" with the words "unless the characteristics of the embryos so require". This rather neutral formulation allows us to take into account what you describe – the elimination of embryos that will never become fetuses – while avoiding that the term "quality" gives rise to an interpretation, even unfounded, of the future genetic characteristics of the child.
ParlaMint-FR_2019-09-26-E2015.u21	I call Mr Thibault Bazin to support Amendment No. 892.
ParlaMint-FR_2019-09-26-E2015.u22	Madam Minister, thank you for your comments, which are to your credit. I, too, have already had the opportunity to correct some of my words. I confess that I feel that I am something other than a "mass of cells", I feel that I am much more than that; I feel deeply alive. An embryo is much more than a cluster of cells. The wording of paragraph 12 must also be considered in the light of all the provisions of the bill. With regard to the embryo, the notion of "quality problem" questions. Can she pave the way for this? You will say that I insist on the subject, but you yourself know that the temptation to select embryos does exist. Quality can be objective as subjective. It is preferable to use directly the words "damaged embryos" or those that have been yours, rapporteur, when you were talking about the impossibility of implantation in a uterus. This avoids the more questionable and fuzzy notion of "quality". Minister, I thought it was nice for you to use the adverb "visually" when you went back to your "cell cluster" formula. What one sees does not translate the whole being. The embryo is or is not. If it's damaged, it can't be anymore. Yesterday, Bastien Lachaud absolutely wanted me to talk about what the father was for me in the order of "doing". I, in this law of bioethics, am not in the order of "doing"; I am first in the order of "being".
ParlaMint-FR_2019-09-26-E2015.u23	All right!
ParlaMint-FR_2019-09-26-E2015.u24	What is the committee's opinion on the two amendments?
ParlaMint-FR_2019-09-26-E2015.u25	They are intended to question the word "quality", which is the technical term used by all those working in the laboratories concerned with the subject. This word expresses two realities: either the embryos have cellular abnormalities – they may have been damaged or altered during careful manipulations – or it concerns a characteristic that is not visible visually but can be studied through tests. I am thinking of a family with a terrible genetic disease, fatal in the first months or years of life. An in vitro fertilization was decided during which about a quarter of the embryos would be removed – those for which the two alleles are carried by the father, the other by the mother. They will not be re-implanted because they are carriers of genetic disease – without this being visible on the microscope alone. In the two cases I have just described, embryos are not re-implanted because quality is considered unsatisfactory. I would add, for Mr Bazin, that there is no eugenics in this case. Eugenics, I would remind you, is intended to change the human species.
ParlaMint-FR_2019-09-26-E2015.u26	Eugenics, we're here!
ParlaMint-FR_2019-09-26-E2015.u27	When transmitted diseases are fatal before adolescence, there is no possibility of altering the future of the species. Preventing the occurrence of fatal diseases in a family and in the child is not eugenics, but the prevention of pathologies.
ParlaMint-FR_2019-09-26-E2015.u28	Embryo dissection, that's it!
ParlaMint-FR_2019-09-26-E2015.u29	Eugenics, on the other hand, would be achieved by selecting characteristics to "improve" the evolution of the species according to criteria arbitrarily defined by some. That, as you know, we forbid you, as we do.
ParlaMint-FR_2019-09-26-E2015.u30	What is the Government's opinion?
ParlaMint-FR_2019-09-26-E2015.u31	The wording proposed by these two amendments is in fact both lacking. The term "damaged" does not correspond to the idea we wish to include in the text. Embryos may be damaged, but they may also experience other problems, such as insufficient number of cells compared to the expected stage of development. Nor is the word "characteristics" appropriate because it refers to genetic characteristics, which would lead to confusion under the Public Health Code. The term "quality" has been included in the Act since 2004. The text specifies which embryos present a quality problem: they are "embryos with a high rate of fragmentation or a significant delay in development". They are therefore morphological characteristics. We are against these amendments which, in our view, would make the text more difficult to interpret.
ParlaMint-FR_2019-09-26-E2015.u32	Mr Jean-François Eliaou has the floor.
ParlaMint-FR_2019-09-26-E2015.u33	Allow me, ladies and gentlemen, to take up the remarks made by the Minister. The word "characteristics," Mr. Brindeau, is practically synonymous with "genetic characteristics." Of course, there is no question of sorting embryos according to their genetic characteristics. In fact, we will later consider an amendment on the DPI HLA, the pre-implantation diagnosis with HLA type, for which we will ask for an exception, so that a derogation is provided for in this paragraph if this practice is maintained in France. The terms used in this bill seem to me to be fully appropriate. They allow us to remain in the qualitative and observational field, and to take into account the criteria of intrauterine growth to judge the possibility of reimplanting an embryo.
ParlaMint-FR_2019-09-26-E2015.u34	Mr Thibault Bazin has the floor.
ParlaMint-FR_2019-09-26-E2015.u35	I would like, Madam Minister, to be able to put your answer in the law. Your explanations satisfy me so much that I would have liked you to table an amendment, since you have the possibility at all times, unlike us. That would have solved our controversy. We do not yet know what our position on the IPR will be, which we will examine in a few days, or in a few weeks, and I would have been reassured that clarifications will be made now. You speak of "high rate", "fragmentation" and "delayed development". We are not obtuse and we understand what defines the quality of the embryo for you. We could decide to trust you, but how can we be sure that everyone will understand the text like you? The rapporteur himself has just reduced eugenics to the modification of the human genome, when, as we all know here, it is much more than that. Eugenics is also the selection of embryos and the search for new qualities, since it is possible to select certain elements, especially with the characteristics. We don't do it in France, and it's so much better, but it exists. You refer to serious diseases every time, Mr rapporteur, but, as the reading of your various amendments shows, your definition is changing. You would like to avoid certain diseases that, for us, do not prevent a happy life. We have heard extremely poignant testimony in committee. It is regrettable that whenever the therapeutic argument is used in the debate – an argument that has been swept away at other times – we fail to mention the risk of misuse and non-ethical use of the new rights. We must not be naive. Let us face up to the measures that we want to implement, with firewalls.
ParlaMint-FR_2019-09-26-E2015.u36	Mr Pascal Brindeau has the floor.
ParlaMint-FR_2019-09-26-E2015.u37	I withdraw my amendment. The explanations of the minister and our colleague Eliaou convinced me. The debate took place in a special committee and I wanted it to take place in a public meeting with this amendment. Our debate will have made it possible to clarify the concept of quality.
ParlaMint-FR_2019-09-26-E2015.u38	Mr Guillaume Chiche has the floor.
ParlaMint-FR_2019-09-26-E2015.u39	I propose that, in the interests of our debate and if my colleagues do not mind, we should open a joint debate on Amendments Nos 2205 to 2273, which all concern the quality of embryos.
ParlaMint-FR_2019-09-26-E2015.u40	My dear colleague, there is a certain science of the session in the organisation of joint discussions. These meet specific criteria, with the adoption of one amendment bringing down the others. I shall therefore follow, if you will, the organization of the discussion as planned.
ParlaMint-FR_2019-09-26-E2015.u41	All right, Mr. President!
ParlaMint-FR_2019-09-26-E2015.u42	Amendment No 2205 by Mrs Annie Genevard is being defended.
ParlaMint-FR_2019-09-26-E2015.u43	I have before me three identical amendments, Nos 26, 345 and 822. Mr Xavier Breton has the floor to support Amendment No. 26.
ParlaMint-FR_2019-09-26-E2015.u44	[[Exclaims on the banks of the LaREM Group]] Guillaume Chiche seeks to avoid the debate on the definition of embryo quality. The questions that we ask, I see, cause embarrassment among the majority! The answers given to us reveal the logic behind this text: that of the parental project. Of course, I am referring to the amendment adopted last night, which aims to make parenting and procreation only a parenting project. Hence, the child becomes a product, the characteristics and qualities of which are defined as desired. We believe that the law must be more precise. I have heard your answer, minister, but the law must be as clear as you are. We therefore ask you to go further in the definition of embryo quality, specifying "cell quality". If you refuse to do so, there are other qualities. Then tell us which ones! The quality of the embryo must be defined in law. We cannot accept false fugitives on such an important subject. Then, of course, the decree and the enforcement of the law by the regulatory bodies will intervene. But now we have to say what the quality of the embryo is. Who defines it? Is that the couple? We know that we are considering general screening, a liberal embryo selection eugenicism that we refuse. Tell us what the quality of an embryo is and maybe we can get along.
ParlaMint-FR_2019-09-26-E2015.u45	I call Mr Patrick Hetzel to support Amendment No. 345.
ParlaMint-FR_2019-09-26-E2015.u46	I will go along the same lines, since this is an identical amendment, stressing our concern at the reading of Article 1.12. "An unmarried couple or woman whose embryos have been preserved may not benefit from a further attempt at in vitro fertilization prior to the transfer of these embryos unless a quality problem affects these embryos. » We would like to know a little more! You say, Mr rapporteur, that there is no risk of eugenics. However, many of us believe that, as the text stands at present, this risk does exist. We believe that there is eugenics when the embryos are sorted out. The amendment proposes to add the word "cell" after "quality" to clarify this. We cannot be satisfied with such a blurred wording, which suggests that eugenic operations, i.e. embryo sorting, would be possible. I hope you hear us, minister. You know how much we are committed to ensuring that the life and place of the embryo are fully respected. I recalled earlier that, for a long time, embryo-related research has been treated with much greater caution. I reject all the less so-called ethics and note, alas, that the Government has not yet provided us with any guarantees. We therefore await his explanations. He still has the opportunity to amend the text in session, as he did for Article 4, rewritten entirely with a magic wand, without it seems to be a problem. With this amendment, we raise real ethical issues, which require clarification by the Government and a new wording, so that eugenics does not tip its nose in the bill.
ParlaMint-FR_2019-09-26-E2015.u47	I call Mr Le Fur to support Amendment No. 822.
