ParlaMint-FR_2019-06-18-O1278.u1	The next item is the oral questions without debate.
ParlaMint-FR_2019-06-18-O1278.u2	Mrs Bénédicte Peyrol has the floor to put her question, No 774, on the tele-declaration of the dossiers of the common agricultural policy.
ParlaMint-FR_2019-06-18-O1278.u3	My question is for the Minister of Agriculture and Food, who was, two days ago, with the farmers of the Drôme, who were the victims of considerable damage due to thunderstorms and hail. Allier farmers are also experiencing significant weather damage. I am thinking in particular of the drought, which was terrible in 2018 and is expected to be of the same magnitude in 2019: with my colleague Jean-Paul Dufrègne, here, we were this weekend with the prefect, according to which the current level of precipitation was equivalent to that of August, so that the department was placed under increased vigilance last week and that it took measures of restriction. In addition to the climatic difficulties, which affect the exercise of their profession, the farmers in my constituency have told me of administrative problems. As the 2019 campaign, with regard to the changes to the declaration, ended last week, I would like to draw the Government's attention to the expectations, which are a source of concern, of farmers regarding the tele-declarations of applications for aid under the CAP, the common agricultural policy. Since 2015, many of them have experienced significant delays in payment, which, for some, have just been caught up, while these are sometimes three to four-year-old campaigns. The conditions for telereporting for the campaign for 2019, which ended on 15 May, did not reassure them. Indeed, many files could not be opened and informed as early as 1 April 2019, the date of the launch of the campaign, because farmers did not have all the necessary information, due to the lack of duly finalised instructions. In addition to the climatic hazards I mentioned earlier, the profession regularly suffers from many others, economic and – recently – media. It cannot see its cash flow further weakened due to administrative uncertainties. That is why I would like to know what initiatives will be taken in order, on the one hand, to bring more flexibility to the examination of the dossiers and to prevent farmers from facing penalties for errors related to the reporting conditions, and, on the other hand, to send instructions on time or, failing that, to open all the dossiers on the date scheduled for the next marketing year.
ParlaMint-FR_2019-06-18-O1278.u4	All right!
ParlaMint-FR_2019-06-18-O1278.u5	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2019-06-18-O1278.u6	Mrs Peyrol, I apologize for the absence of Didier Guillaume, who is still in Drôme, from the farmers. Your question is about the tele-reporting campaign for CAP files. First, we would like to point out that the schedule for the return to normal of the 2018 campaign payments, on which the Government had committed itself on 21 June 2017, has to date been respected; We can congratulate ourselves on that. The aid for the 2018 marketing year was paid according to the normal schedule: advances from 16 October 2018, the balance from 14 December. At national level, a total of EUR 7.66 billion was paid, representing more than 99% of the aid. The first payments for agri-environmental and climate measures and aid for organic farming for the 2018 marketing year were made in March 2019 and will be finalised by the end of the year; To date, 44% of cases have been acquitted, reflecting a return to normal. The 2019 campaign will also take place according to the normal calendar. The tele-declaration, which took place between 1 April and 15 May, took place in good conditions. As of May 15, 2019, 345226 files had been filed, compared with 347252 files on the same date in 2018; This is what was expected, given the annual erosion of the number of applicants. The processing of applications has already begun in DDT, the departmental directorates of the territories. The normal payment schedule will be respected for the benefit of farmers. As regards simplification, there is a need to make efforts in this area, we agree. Be assured that we are taking this position high in the context of the next CAP negotiations.
ParlaMint-FR_2019-06-18-O1278.u7	Mr Jean-Luc Reitzer, speaking on behalf of the Group of the European People's Party, raised his question, No. 780, concerning the increase in the registration fees for foreign students.
ParlaMint-FR_2019-06-18-O1278.u8	Madam Minister for Higher Education, Research and Innovation, I would like to draw your attention to the increase in the fees for the enrolment of foreign students in French universities and, in particular, to the consequences of this measure for the University of Strasbourg – which will certainly interest the President of the sitting – as well as for the University of Haute-Alsace. The University of Strasbourg welcomes more than 10,000 foreign students each year. Two thirds come not from Europe but from countries such as Lebanon, Ghana or Colombia, where the standard of living is much lower than ours. The vast majority of these students already have recourse to borrowing, in addition to their savings, to study and live in our country. The increase in registration fees for non-European students will be a hindrance to their arrival in France, put us at risk of dropping out of the attractiveness of our higher education and will create a regrettable caesure between our country, our universities and the rest of the world. Unfortunately, this increase will also lead to a weakening of the attractiveness of our country, our regions, our territories and, ultimately, our businesses. These young foreign students will prefer to turn to other European universities, while coming to study at home would contribute to the future of our country and would mainly contribute to the international influence of France. In Alsace, a land traditionally oriented towards Europe and the world, the absence of non-European students on university campuses is perfectly inconceivable. In view of the figures I have quoted and the reality of foreign students living in our universities, what steps do you think you are taking, Madam Minister, to ensure that they can retain their place in our universities and thus contribute to strengthening the attractiveness of our country through our knowledge, our research and our innovation?
ParlaMint-FR_2019-06-18-O1278.u9	Good question!
ParlaMint-FR_2019-06-18-O1278.u10	The Minister for Higher Education, Research and Innovation has the floor.
ParlaMint-FR_2019-06-18-O1278.u11	Mr Reitzer, the objective of the "Bienvenue en France" strategy is to attract more foreign students to our country, by considerably improving their reception conditions and by sorting out the number of scholarships and exemptions so that all students who want to choose France can continue to do so. For the first time, the international attractiveness of our universities has become a government priority, as the Prime Minister said on November 19. This involves simplifying the procedures for obtaining and renewing visas, which we have conducted with the Ministry of the Interior. This also requires the establishment of a redistributive system to support the funding of a better reception of all foreign students. What is at stake is to create a link of solidarity between foreign students who will have the capacity to pay these differentiated rights and those who will not. The latter will naturally be exempt from this, but they will nevertheless benefit from quality reception conditions. Non-European students already engaged in a course in France will not be affected, nor will doctoral students, who will be exempt. The differentiated fees will also not apply to students with tax residency status in France, who are obtained after a few years of study. For all the others, we have planned the introduction of a system of scholarships and exemptions, which will be issued either by diplomatic posts, as was already the case before, or directly by universities, which is new. At the national level, we have already tripled the number of scholarships and exemptions notified to diplomatic posts. At the local level, each university already has the capacity, while respecting its autonomy, to exempt its non-European students and thus build, gradually, over several years, a strategy of attractiveness. The differentiated fee enforcement decree also allows each institution to modulate the level of exemption that it will apply to the fees for foreign students. Finally, with a view to the coming year, we have made available to the institutions an envelope of EUR 10 million, which will allow the establishment of one-stop shops this year, in order to improve the reception of students and the development of French as a foreign language, as part of a call for projects. These various measures have already made it possible to ensure the near-stability of applications for licences for next year – admissions represent only a small fraction of these applications. They will also allow each of the institutions, including the University of Strasbourg and the University of Haute-Alsace, to project in time its strategy of attractiveness while building its policy of international solidarity, for the benefit of all its foreign students.
