ParlaMint-FR_2019-09-24-E2009.u1	The next item is the question to the Government.
ParlaMint-FR_2019-09-24-E2009.u2	Mr Gilles Lurton has the floor.
ParlaMint-FR_2019-09-24-E2009.u3	Prime Minister, we are all aware of the need to save money. However, the efforts must be properly distributed.
ParlaMint-FR_2019-09-24-E2009.u4	Yes!
ParlaMint-FR_2019-09-24-E2009.u5	[[Applause on a few benches of the LR group]] However, since your arrival at the head of the Government, the same people have always laughed. Under François Hollande's presidency, they were the families. With your Government, it's families and pensioners! After an inconsiderable increase in the generalised social contribution on pensions and an unfair disindexation of retirement pensions from inflation, we learn that you are considering removing the exemption from social contributions from the salary of a person employed at home for persons over 70 years of age. Yet, as INSEE says, since 2018, the purchasing power of pensioners has declined by 400 euros per household per year.
ParlaMint-FR_2019-09-24-E2009.u6	Yes!
ParlaMint-FR_2019-09-24-E2009.u7	[[Applause on the benches of the LR group, as well as on a few benches of the SOC and FI groups]] This is the result of your hard work on older people, who have worked their entire lives to be able to benefit from their retirement. This measure, which will encourage work in the dark, sweeps away everything that home employment represents for our economy, for the employee and for the employer. Beyond the service rendered, it is the entire social link with the elderly that is being undermined. Worse, this measure runs counter to home retention and the independence of older people...
ParlaMint-FR_2019-09-24-E2009.u8	Of course!
ParlaMint-FR_2019-09-24-E2009.u9	...that we all care about. What a paradox, as we await a law on the old age, promised by the end of the year! Again, you will answer: "Where are your savings proposals? » We have made proposals, and you would better reduce public spending, which has increased by more than EUR 50 billion since your arrival. This decision destroys our hopes and those of the elderly. [[Applause on the benches of the LR group, as well as on several benches of the SOC and GDR groups. – Mrs Caroline Fiat also applauds]] So, Prime Minister, will it now be necessary, in our country, for the elderly to be dying or totally dependent to be supported?
ParlaMint-FR_2019-09-24-E2009.u10	He's right!
ParlaMint-FR_2019-09-24-E2009.u11	The Prime Minister has the floor.
ParlaMint-FR_2019-09-24-E2009.u12	Ah! That's the question!
ParlaMint-FR_2019-09-24-E2009.u13	Nothing more normal than a Norman to answer a Breton...
ParlaMint-FR_2019-09-24-E2009.u14	Hope it's not Norman's answer!
ParlaMint-FR_2019-09-24-E2009.u15	[[Applause on several benches of the LaREM and MODEM groups]] The Finance Bill for 2020, which will be introduced in the coming days, is one of the most massive tax cuts in our country's recent history. By 2020, it will total almost 10 billion euros: income tax will decrease by 5 billion, the last third of the housing tax will be abolished for 80% of French citizens, the challenge of working overtime will continue and corporate tax will continue to fall. In short, in total, just over EUR 10 billion less taxes. When you cut taxes so significantly,...
ParlaMint-FR_2019-09-24-E2009.u16	After you've raised them!
ParlaMint-FR_2019-09-24-E2009.u17	...it is normal, I would even say that it is healthy to ask the question of tax niches. These have multiplied over time: as the average tax burden increases, counterparties, in the form of tax niches, have been brought in to excuse too high a tax burden.
ParlaMint-FR_2019-09-24-E2009.u18	Why the elderly?
ParlaMint-FR_2019-09-24-E2009.u19	We want to reduce compulsory levies, and we are committed to re-establishing order in a tax system that has become horrendously complex, especially because of niches. At the time I spoke on the subject, I said that we would take the time to accompany the sectors in which niches are an important part of the development model. As part of the preparation of the finance bill, all ministers proposed to review or eliminate certain tax niches: in many cases, developments are neutral, given the drop in taxes, for the sectors concerned; in others, and I know perfectly well, honourable Member, they raise questions and, at times, serious concerns.
ParlaMint-FR_2019-09-24-E2009.u20	Incomprehension, especially!
ParlaMint-FR_2019-09-24-E2009.u21	This is the case with home helpers, especially for the elderly. I heard these concerns, relayed from yesterday, notably by Presidents Mignola and Le Gendre.
ParlaMint-FR_2019-09-24-E2009.u22	By us too!
ParlaMint-FR_2019-09-24-E2009.u23	[[Exclaims and applause on the benches of the LR group]] I share those concerns. I took stock with the Minister of Labour this morning.We agreed together that this decision would have merited much more in-depth consultation.
ParlaMint-FR_2019-09-24-E2009.u24	Ramez, Ramez,
ParlaMint-FR_2019-09-24-E2009.u25	[[Applause on the benches of the LaREM, MODEM, LR, SOC, UDI-I, LT and GDR groups]] This consultation did not take place under conditions consistent with the objectives and method I have set for Act II of the quinquennium. That is why I asked the Minister of Labour to give up this measure. So I want to reassure professionals and employers: these measures will not come into force. But, honourable Member, ladies and gentlemen, we will have to find other ways of saving money in this field.
ParlaMint-FR_2019-09-24-E2009.u26	There's the CICE!
ParlaMint-FR_2019-09-24-E2009.u27	The minister will promptly send us further proposals,...
ParlaMint-FR_2019-09-24-E2009.u28	We've got some!
ParlaMint-FR_2019-09-24-E2009.u29	...which will be the subject of consultation with parliamentarians and relevant sectors. By 2020, we will cut taxes to an unprecedented level, and the budget deficit will reach its lowest level in 20 years.
ParlaMint-FR_2019-09-24-E2009.u30	That's not true!
ParlaMint-FR_2019-09-24-E2009.u31	[[Applause on the benches of the LaREM and MODEM groups]] That's the point. That's what I don't want to vary on.
ParlaMint-FR_2019-09-24-E2009.u32	Mrs Marie-Christine Verdier-Jouclas has the floor.
ParlaMint-FR_2019-09-24-E2009.u33	My question is for the Prime Minister. Together with the Government, we, members of the parliamentary majority, are mobilized on several priorities, including one: to restore purchasing power to the French and French. That is the meaning of the 2020 budget, which we will soon be looking at. We learned yesterday – the issue has been raised at the moment – that this priority, which we have been holding to since the beginning of the mandate, could be undermined by the abolition of the total exemption from social contributions on home help for persons over seventy years of age, with the exception of persons with disabilities or in situations of dependency.
ParlaMint-FR_2019-09-24-E2009.u34	The Prime Minister has just responded!
ParlaMint-FR_2019-09-24-E2009.u35	This measure could be understood as a reduction in the purchasing power of pensioners. We have just had proof of that with Mr. Lurton's question.
ParlaMint-FR_2019-09-24-E2009.u36	Your DNA is injustice!
ParlaMint-FR_2019-09-24-E2009.u37	But it is the opposite of the policy we want to pursue, with you, Prime Minister, for our fellow citizens. [[Claims on several benches in the LR group]] We understand the logic of this measure, which consists in retaining only the criterion of dependence. It would allow the most vulnerable people to be better supported, whether they are twenty, forty or eighty years old.
ParlaMint-FR_2019-09-24-E2009.u38	The Prime Minister has just withdrawn it!
ParlaMint-FR_2019-09-24-E2009.u39	Change your mind!
ParlaMint-FR_2019-09-24-E2009.u40	However, as things stand, it could not be considered without a global vision or within the framework of the long-awaited reform of the accompaniment of old age and dependency. Prime Minister, we have just heard from you on this. We, the majority, did not doubt your answer, because we have confidence in our government. On their behalf, as a member of the Committee on Finance, the Special Rapporteur of the budget mission 'Labour and employment', I thank you and the Minister for Labour for taking the decision to give up this measure.
ParlaMint-FR_2019-09-24-E2009.u41	Thanks to Gilles Lurton!
ParlaMint-FR_2019-09-24-E2009.u42	[[Applause on several benches of the LaREM group]] We are ready to work with you on other proposals.
ParlaMint-FR_2019-09-24-E2009.u43	The Minister for Labour has the floor.
ParlaMint-FR_2019-09-24-E2009.u44	What's the point? We have the answer!
ParlaMint-FR_2019-09-24-E2009.u45	Give back the money!
ParlaMint-FR_2019-09-24-E2009.u46	Mr. President, ladies and gentlemen,
ParlaMint-FR_2019-09-24-E2009.u47	I made a mistake...
ParlaMint-FR_2019-09-24-E2009.u48	[[Rires on several benches of the SOC and GDR groups]] ...but I have other ideas!
ParlaMint-FR_2019-09-24-E2009.u49	... I will start by reminding you that there are several major issues at stake. The Prime Minister has announced that this measure, as originally envisaged, is not being adopted. But, in substance, we will still have to deal with the subject: how can we promote employment in the home help sector – as a minister responsible for employment – this issue is very important to me and it is important to me, as to all of us, in the fight against unemployment – while adapting our devices – that was the heart of the idea? This can take other forms, at other times, by maturing the issue and debating it. What measures will make it possible to better support our seniors in aging – and ourselves as a result of them?
ParlaMint-FR_2019-09-24-E2009.u50	It's laborious...
ParlaMint-FR_2019-09-24-E2009.u51	[[Same movements]] ...but we're gonna be all right!
ParlaMint-FR_2019-09-24-E2009.u52	The current system was designed at another time, thirty-two years ago. We lived less in poorer health. Today, one of the subjects that attracts attention, on every bench, is that of old age and dependence, about which the Minister of Solidarity and Health, Agnès Buzyn, will present a major project next year. In this context, we will have to review many provisions, to be sure that they are consistent with the priority of providing increased support to the weakest of us – who are also dependent people, regardless of their age. Of course, it has always been planned to maintain the tax credit and the reduction of expenses for the use of home helpers.
ParlaMint-FR_2019-09-24-E2009.u53	Don't say "of course"!
ParlaMint-FR_2019-09-24-E2009.u54	[[Applause on a few benches of the LaREM and MODEM groups]] Even the third stage of the rocket, so to speak, which consists of a specific aid for people over seventy years of age, is maintained. We need to put this reflection – in time, in time, in place – in the one dealing with the old age.
ParlaMint-FR_2019-09-24-E2009.u55	It's laborious!
ParlaMint-FR_2019-09-24-E2009.u56	Mr Christophe Naegelen has the floor.
ParlaMint-FR_2019-09-24-E2009.u57	My question is for the Minister of Labour. A year ago, the Government decided – without compensation – to increase the CSG for pensioners. Because of the events we all know, the Government has – rather wisely – decided to reconsider this measure. The Prime Minister has just announced that the Government is giving up a new measure concerning pensioners. Minister of Labour, it is your duty to promote legal and declared work. With this measure, you would have favoured work in the dark and worsened an area already in great suffering. Indeed, you do not take into account the level of dependency of older people, their degree of isolation, or even their resource conditions. In the Vosges mountain, the average age is well above the national average, and pensions are lower. It would have been complicated to explain to these pensioners that, without being dependent, they no longer have the right to exemption from social contributions for assistance in shopping, cleaning or maintenance of the garden! I'm asking you about them, Madam Minister. You mentioned the need to help dependents. If we want to help them, it would be interesting to start giving more resources to our EHPADs, for which some people are on waiting list! It would also be interesting to encourage an increase in the budget of our hospitals, as it is clear that there are problems with follow-up care and rehabilitation services! [[Applause on the benches of the IDU-I group]] Minister, how do you intend to better help dependent people, especially pensioners, with concrete means?
ParlaMint-FR_2019-09-24-E2009.u58	The Minister for Labour has the floor.
